!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:13:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1170000000,-17.742634,-0.47197846
1171000000,-17.641077,-0.4719196
1172000000,-17.613754,-0.47295889
1173000000,-17.617132,-0.46230188
1174000000,-17.540667,-0.42666391
1175000000,-17.519262,-0.43982118
1176000000,-17.492107,-0.47493398
1177000000,-17.432009,-0.47360161
1178000000,-17.420242,-0.44797197
1179000000,-17.436125,-0.47207704
1180000000,-17.390646,-0.46729711
1181000000,-17.332663,-0.45451671
1182000000,-17.339289,-0.46945521
1183000000,-17.348967,-0.46861985
1184000000,-17.322784,-0.48417372
1185000000,-17.259157,-0.45834291
1186000000,-17.264767,-0.477685
1187000000,-17.234619,-0.47275889
1188000000,-17.185835,-0.47844321
1189000000,-17.128052,-0.45655793
1190000000,-17.115213,-0.47432879
1191000000,-17.092087,-0.46208668
1192000000,-17.08827,-0.47286862
1193000000,-17.018637,-0.47026977
1194000000,-17.028505,-0.47519332
1195000000,-16.963356,-0.45933628
1196000000,-16.909903,-0.46754226
1197000000,-16.970655,-0.47916958
1198000000,-16.943546,-0.46017236
1199000000,-16.879057,-0.46594521
1200000000,-16.887686,-0.4886384
1201000000,-16.856033,-0.47637123
1202000000,-16.891153,-0.48620781
1203000000,-16.813271,-0.45923376
1204000000,-16.815434,-0.50128192
1205000000,-16.748487,-0.47310168
1206000000,-16.76668,-0.47300187
1207000000,-16.7082,-0.50690687
1208000000,-16.631067,-0.47193694
1209000000,-16.687502,-0.5086149
1210000000,-16.637539,-0.48470089
1211000000,-16.652151,-0.49077138
1212000000,-16.591179,-0.50044942
1213000000,-16.569401,-0.47616559
1214000000,-16.525909,-0.49336186
1215000000,-16.561789,-0.49553728
1216000000,-16.561802,-0.47529936
1217000000,-16.509527,-0.49670616
1218000000,-16.504057,-0.4736414
1219000000,-16.456097,-0.50358146
1220000000,-16.439575,-0.51314455
1221000000,-16.446512,-0.49716032
1222000000,-16.380995,-0.49755928
1223000000,-16.415077,-0.510306
1224000000,-16.354012,-0.49494597
1225000000,-16.375307,-0.48331225
1226000000,-16.299679,-0.51228559
1227000000,-16.3064,-0.47240269
1228000000,-16.301746,-0.49656281
1229000000,-16.266014,-0.49854544
1230000000,-16.239548,-0.50066447
1231000000,-16.218233,-0.50859636
1232000000,-16.166042,-0.49542412
1233000000,-16.266764,-0.53240639
1234000000,-16.139898,-0.4934231
1235000000,-16.162239,-0.48978168
1236000000,-16.105478,-0.49279082
1237000000,-16.181221,-0.51759547
1238000000,-16.153847,-0.51721793
1239000000,-16.111265,-0.49679926
1240000000,-16.077785,-0.50318509
1241000000,-16.063393,-0.51462972
1242000000,-16.06761,-0.50653946
1243000000,-16.031612,-0.50837433
1244000000,-16.020844,-0.50528252
1245000000,-16.022509,-0.52550805
1246000000,-15.928907,-0.48961142
1247000000,-15.974723,-0.51387352
1248000000,-15.936383,-0.49423689
1249000000,-15.937874,-0.49136832
1250000000,-15.940187,-0.51198441
1251000000,-15.931598,-0.50070298
1252000000,-15.904923,-0.53581697
1253000000,-15.946608,-0.53132695
1254000000,-15.89897,-0.52900219
1255000000,-15.859942,-0.54325247
1256000000,-15.860903,-0.53073001
1257000000,-15.812801,-0.49617854
1258000000,-15.789744,-0.48931539
1259000000,-15.850377,-0.5186125
1260000000,-15.805229,-0.55661416
1261000000,-15.842593,-0.55015349
1262000000,-15.805625,-0.5459137
1263000000,-15.726392,-0.48991257
1264000000,-15.770901,-0.50393277
1265000000,-15.7061,-0.53070045
1266000000,-15.730892,-0.51925731
1267000000,-15.712749,-0.51168561
1268000000,-15.655123,-0.52341539
1269000000,-15.701133,-0.51500833
1270000000,-15.69805,-0.54039353
1271000000,-15.64535,-0.52404207
1272000000,-15.659568,-0.53286982
1273000000,-15.625383,-0.51478904
1274000000,-15.584638,-0.52171725
1275000000,-15.650023,-0.52012664
1276000000,-15.604177,-0.53335822
1277000000,-15.571546,-0.52837503
1278000000,-15.573313,-0.53846866
1279000000,-15.54027,-0.53122985
1280000000,-15.518339,-0.52989173
1281000000,-15.56394,-0.52281487
1282000000,-15.589259,-0.51908433
1283000000,-15.537879,-0.52460247
1284000000,-15.538814,-0.54204869
1285000000,-15.505474,-0.53962308
1286000000,-15.53863,-0.52407134
1287000000,-15.524353,-0.54363394
1288000000,-15.49232,-0.54056418
1289000000,-15.44708,-0.53491551
1290000000,-15.469443,-0.52755898
1291000000,-15.49577,-0.54033828
