!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:01:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB)
1148000000,-25.890331,-0.23817016
1149000000,-25.882265,-0.2335137
1150000000,-25.882696,-0.21450506
1151000000,-25.85898,-0.23010236
1152000000,-25.878029,-0.20376836
1153000000,-25.893747,-0.23497355
1154000000,-25.856888,-0.21614091
1155000000,-25.94348,-0.25703719
1156000000,-25.959339,-0.2662074
1157000000,-25.933447,-0.22887331
1158000000,-25.92417,-0.25140002
1159000000,-25.949238,-0.24252942
1160000000,-25.960445,-0.23895627
1161000000,-26.013477,-0.25049123
1162000000,-25.983755,-0.24675746
1163000000,-25.985197,-0.21527091
1164000000,-25.954878,-0.23675254
1165000000,-25.991558,-0.23175518
1166000000,-26.050224,-0.24899948
1167000000,-26.007416,-0.2246822
1168000000,-26.043764,-0.23769076
1169000000,-26.041636,-0.23266917
1170000000,-26.094002,-0.24051659
1171000000,-26.085007,-0.22806972
1172000000,-26.083565,-0.24825591
1173000000,-26.217066,-0.25358617
1174000000,-26.076111,-0.20464137
1175000000,-26.104214,-0.22378924
1176000000,-26.15344,-0.23256811
1177000000,-26.125046,-0.23008062
1178000000,-26.210058,-0.23710394
1179000000,-26.155993,-0.23559736
1180000000,-26.187346,-0.24515483
1181000000,-26.199144,-0.22040449
1182000000,-26.251434,-0.23937063
1183000000,-26.267664,-0.2352377
1184000000,-26.284706,-0.24772546
1185000000,-26.234394,-0.21215159
1186000000,-26.284075,-0.24244411
1187000000,-26.328371,-0.25006199
1188000000,-26.337124,-0.26837683
1189000000,-26.317732,-0.23675652
1190000000,-26.312479,-0.26019853
1191000000,-26.354897,-0.27518868
1192000000,-26.318825,-0.24398182
1193000000,-26.357111,-0.26019636
1194000000,-26.341599,-0.24560046
1195000000,-26.291016,-0.22064216
1196000000,-26.307022,-0.22924401
