!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 02, 2016 16:31:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1157000000,-170.67805,-170.82494
1158000000,-170.55128,-170.91209
1159000000,-170.52528,-171.0025
1160000000,-170.80602,-171.31499
1161000000,-170.46519,-171.32948
1162000000,-170.8519,-171.57863
1163000000,-170.82079,-171.69447
1164000000,-171.31221,-171.78824
1165000000,-171.01178,-171.93933
1166000000,-170.90015,-171.95949
1167000000,-171.51733,-172.23947
1168000000,-171.14973,-172.33943
1169000000,-171.7538,-172.59378
1170000000,-171.48247,-172.64156
1171000000,-171.67365,-172.86731
1172000000,-171.76668,-172.97986
1173000000,-172.13148,-173.20171
1174000000,-172.02466,-173.21957
1175000000,-171.81813,-173.34348
1176000000,-172.49617,-173.53351
1177000000,-172.66176,-173.7917
1178000000,-172.31668,-173.79298
1179000000,-172.51608,-174.04771
1180000000,-172.65387,-174.14972
1181000000,-172.63626,-174.20247
1182000000,-172.9682,-174.56152
1183000000,-172.70609,-174.56584
1184000000,-173.06863,-174.73871
1185000000,-173.12405,-174.84418
1186000000,-173.22435,-175.01802
1187000000,-173.22403,-175.16693
1188000000,-173.41286,-175.27473
1189000000,-173.85583,-175.44423
1190000000,-174.22641,-175.92632
1191000000,-173.84787,-175.73987
1192000000,-173.9747,-175.96172
1193000000,-173.83817,-176.10117
1194000000,-174.07312,-176.22852
1195000000,-174.44635,-176.45551
1196000000,-174.20766,-176.57013
1197000000,-174.22148,-176.51962
1198000000,-174.77202,-176.72174
1199000000,-174.76065,-176.94444
1200000000,-174.54654,-176.9803
1201000000,-174.81313,-177.3004
1202000000,-175.24876,-177.41426
1203000000,-175.0282,-177.48477
1204000000,-175.39105,-177.77505
1205000000,-175.1497,-177.73306
1206000000,-175.53886,-177.99792
1207000000,-175.19951,-177.99519
1208000000,-175.6562,-178.12814
1209000000,-175.83882,-178.42027
1210000000,-175.57997,-178.33151
1211000000,-175.90182,-178.74165
1212000000,-176.29399,-179.05791
1213000000,-176.21989,-179.14435
1214000000,-176.04594,-179.08586
1215000000,-176.19498,-179.28508
1216000000,-176.69023,-179.50905
1217000000,-176.46156,-179.55103
1218000000,-176.41365,-179.65594
1219000000,-176.82661,-179.97002
1220000000,-177.00941,179.90326
1221000000,-176.90988,179.79965
1222000000,-177.24167,179.65883
1223000000,-177.02786,179.57449
1224000000,-177.31503,179.46323
1225000000,-177.30922,179.1915
1226000000,-177.76849,179.00734
1227000000,-177.53587,178.88358
1228000000,-177.30266,178.96861
1229000000,-177.57037,178.74538
1230000000,-177.93361,178.49083
1231000000,-177.82413,178.33408
1232000000,-178.30417,178.06001
1233000000,-178.10001,178.01279
1234000000,-177.89352,177.97902
1235000000,-178.40967,177.69606
1236000000,-178.35803,177.6797
1237000000,-178.20578,177.72919
1238000000,-178.49982,177.29086
1239000000,-178.68782,177.17793
1240000000,-178.74538,176.98492
1241000000,-178.82437,176.88828
1242000000,-179.00916,176.69621
1243000000,-178.99065,176.53336
1244000000,-179.17366,176.4223
1245000000,-179.50198,176.08846
1246000000,-179.29047,176.1331
1247000000,-179.41788,176.08141
1248000000,-179.23473,175.76103
1249000000,-179.20767,175.75461
1250000000,-179.16579,175.80901
1251000000,-179.61577,175.49898
1252000000,-179.73582,175.12706
1253000000,-179.79042,174.91565
1254000000,-179.84807,174.90459
1255000000,179.92786,174.81839
1256000000,179.6927,174.60648
1257000000,179.73515,174.49556
1258000000,179.70094,174.37668
1259000000,179.99593,174.34026
1260000000,179.59813,174.16541
1261000000,179.50656,173.97224
1262000000,179.23492,173.59497
1263000000,179.68013,173.83118
1264000000,179.34146,173.4651
1265000000,179.42383,173.51256
1266000000,179.08031,173.23172
1267000000,178.76479,172.98404
1268000000,178.65935,172.92409
1269000000,178.91594,172.8495
1270000000,178.47484,172.46487
1271000000,178.51154,172.49857
1272000000,178.62427,172.3513
1273000000,178.42624,172.16632
1274000000,178.5786,172.11565
1275000000,177.76016,171.67909
1276000000,178.01012,171.75594
1277000000,177.94446,171.74168
1278000000,177.66531,171.50723
1279000000,177.36034,171.11359
1280000000,177.84314,171.32451
1281000000,177.38892,170.97279
1282000000,177.0993,170.75606
1283000000,176.75751,170.61089
