"Freq [GHz]","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(1,1)) [] - _1_for_ON__0_for_OFF='1'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='0'","dB(S(2,1)) [] - _1_for_ON__0_for_OFF='1'"
1,-0.815891582561521,-3.64753766128159,-16.1492067399274,-3.46245595894357
1.001,-0.81698678238401,-3.6555986156129,-16.1264554267986,-3.45509449729424
1.002,-0.818085567045347,-3.6636722435459,-16.1037498705468,-3.44774703464353
1.003,-0.819187923719364,-3.67175854855537,-16.0810900628253,-3.44041355807762
1.004,-0.82029383947794,-3.6798575340688,-16.0584759950819,-3.43309405469348
1.005,-0.821403301291108,-3.68796920346622,-16.0359076585578,-3.42578851159857
1.006,-0.822516296027176,-3.69609356008014,-16.0133850442859,-3.41849691591042
1.007,-0.823632810452856,-3.70423060719546,-15.9909081430887,-3.41121925475657
1.008,-0.824752831233372,-3.71238034804935,-15.9684769455775,-3.40395551527406
1.009,-0.825876344932619,-3.7205427858312,-15.9460914421506,-3.39670568460926
1.01,-0.827003338013289,-3.72871792368246,-15.9237516229913,-3.3894697499176
1.011,-0.828133796836999,-3.73690576469661,-15.9014574780672,-3.38224769836318
1.012,-0.82926770766446,-3.74510631191902,-15.8792089971282,-3.37503951711854
1.013,-0.830405056655609,-3.7533195683469,-15.8570061697051,-3.36784519336444
1.014,-0.831545829869776,-3.76154553692916,-15.8348489851083,-3.36066471428951
1.015,-0.832690013265844,-3.76978422056637,-15.8127374324263,-3.35349806709
1.016,-0.833837592702412,-3.7780356221106,-15.7906715005244,-3.34634523896944
1.017,-0.834988553937964,-3.78629974436543,-15.7686511780429,-3.33920621713846
1.018,-0.836142882631045,-3.79457659008576,-15.7466764533964,-3.3320809888145
1.019,-0.837300564340452,-3.80286616197777,-15.7247473147718,-3.32496954122145
1.02,-0.838461584525407,-3.81116846269884,-15.7028637501275,-3.3178718615895
1.021,-0.839625928545751,-3.81948349485743,-15.6810257471918,-3.31078793715483
1.022,-0.84079358166214,-3.82781126101301,-15.6592332934615,-3.30371775515929
1.023,-0.841964529036261,-3.83615176367597,-15.6374863762008,-3.29666130285022
1.024,-0.84313875573101,-3.84450500530754,-15.6157849824404,-3.28961856748009
1.025,-0.844316246710731,-3.85287098831971,-15.5941290989754,-3.2825895363064
1.026,-0.845496986841417,-3.86124971507511,-15.5725187123648,-3.27557419659123
1.027,-0.846680960890943,-3.86964118788694,-15.5509538089303,-3.26857253560114
1.028,-0.847868153529286,-3.87804540901893,-15.5294343747544,-3.26158454060677
1.029,-0.849058549328769,-3.88646238068519,-15.5079603956803,-3.25461019888278
1.03,-0.850252132764278,-3.89489210505016,-15.4865318573097,-3.24764949770742
1.031,-0.851448888213546,-3.90333458422854,-15.4651487450027,-3.24070242436232
1.032,-0.852648799957363,-3.91178982028516,-15.4438110438757,-3.23376896613231
1.033,-0.853851852179856,-3.92025781523495,-15.4225187388011,-3.22684911030517
1.034,-0.855058028968749,-3.92873857104285,-15.401271814406,-3.21994284417129
1.035,-0.856267314315619,-3.93723208962369,-15.3800702550708,-3.21305015502349
1.036,-0.857479692116185,-3.94573837284216,-15.3589140449287,-3.20617103015679
1.037,-0.858695146170577,-3.95425742251268,-15.3378031678646,-3.1993054568682
1.038,-0.859913660183627,-3.96278924039939,-15.3167376075137,-3.19245342245637
1.039,-0.861135217765155,-3.97133382821599,-15.295717347261,-3.18561491422148
1.04,-0.86235980243028,-3.97989118762574,-15.2747423702401,-3.17878991946491
1.041,-0.863587397599705,-3.98846132024131,-15.2538126593324,-3.17197842548911
1.042,-0.864817986600042,-3.99704422762478,-15.2329281971663,-3.16518041959723
1.043,-0.866051552664125,-4.00563991128749,-15.212088966116,-3.15839588909302
1.044,-0.867288078931325,-4.01424837269001,-15.1912949483007,-3.15162482128058
1.045,-0.868527548447887,-4.02286961324207,-15.1705461255841,-3.14486720346403
1.046,-0.869769944167266,-4.03150363430244,-15.1498424795732,-3.13812302294745
1.047,-0.871015248950461,-4.04015043717891,-15.1291839916176,-3.13139226703452
1.048,-0.872263445566367,-4.04881002312819,-15.1085706428088,-3.12467492302838
1.049,-0.87351451669214,-4.05748239335582,-15.0880024139793,-3.11797097823137
1.05,-0.874768444913538,-4.06616754901615,-15.0674792857019,-3.11128041994485
1.051,-0.876025212725301,-4.0748654912122,-15.0470012382892,-3.10460323546895
1.052,-0.877284802531534,-4.08357622099568,-15.0265682517922,-3.09793941210237
1.053,-0.878547196646069,-4.09229973936681,-15.0061803060006,-3.09128893714221
1.054,-0.879812377292866,-4.10103604727434,-14.9858373804412,-3.08465179788366
1.055,-0.881080326606405,-4.10978514561545,-14.965539454378,-3.07802798161989
1.056,-0.882351026632093,-4.11854703523566,-14.9452865068109,-3.0714174756418
1.057,-0.883624459326663,-4.12732171692881,-14.9250785164757,-3.06482026723786
1.058,-0.884900606558594,-4.13610919143693,-14.904915461843,-3.05823634369377
1.059,-0.886179450108542,-4.14490945945025,-14.884797321118,-3.05166569229247
1.06,-0.887460971669763,-4.15372252160705,-14.8647240722396,-3.04510830031378
1.061,-0.888745152848537,-4.16254837849368,-14.8446956928802,-3.03856415503424
1.062,-0.890031975164651,-4.17138703064442,-14.8247121604451,-3.03203324372695
1.063,-0.891321420051806,-4.18023847854147,-14.8047734520718,-3.02551555366134
1.064,-0.892613468858109,-4.18910272261484,-14.7848795446297,-3.019011072103
1.065,-0.893908102846517,-4.19797976324235,-14.7650304147196,-3.01251978631345
1.066,-0.895205303195335,-4.20686960074951,-14.7452260386733,-3.00604168355001
1.067,-0.896505050998675,-4.21577223540946,-14.7254663925531,-2.99957675106556
1.068,-0.897807327266953,-4.22468766744297,-14.7057514521514,-2.99312497610838
1.069,-0.899112112927396,-4.2336158970183,-14.6860811929906,-2.98668634592197
1.07,-0.900419388824529,-4.2425569242512,-14.6664555903223,-2.98026084774485
1.071,-0.901729135720707,-4.2515107492048,-14.646874619127,-2.97384846881038
1.072,-0.903041334296608,-4.26047737188963,-14.6273382541144,-2.96744919634658
1.073,-0.904355965151788,-4.26945679226346,-14.6078464697221,-2.96106301757599
1.074,-0.905673008805198,-4.27844901023132,-14.5883992401163,-2.95468991971544
1.075,-0.906992445695743,-4.2874540256454,-14.5689965391907,-2.9483298899759
1.076,-0.908314256182818,-4.29647183830505,-14.5496383405668,-2.94198291556231
1.077,-0.909638420546874,-4.30550244795664,-14.5303246175937,-2.93564898367341
1.078,-0.910964918989986,-4.31454585429358,-14.5110553433471,-2.92932808150153
1.079,-0.912293731636429,-4.32360205695622,-14.4918304906304,-2.92302019623254
1.08,-0.913624838533257,-4.33267105553181,-14.4726500319733,-2.91672531504551
1.081,-0.914958219650904,-4.34175284955448,-14.4535139396323,-2.91044342511269
1.082,-0.916293854883773,-4.35084743850512,-14.4344221855904,-2.90417451359928
1.083,-0.917631724050853,-4.35995482181139,-14.4153747415572,-2.89791856766327
1.084,-0.918971806896324,-4.36907499884762,-14.3963715789684,-2.89167557445532
1.085,-0.920314083090201,-4.37820796893482,-14.377412668986,-2.88544552111856
1.086,-0.921658532228943,-4.38735373134056,-14.358497982498,-2.87922839478842
1.087,-0.923005133836121,-4.39651228527895,-14.3396274901187,-2.87302418259258
1.088,-0.924353867363046,-4.40568362991065,-14.3208011621885,-2.86683287165066
1.089,-0.925704712189431,-4.41486776434269,-14.3020189687736,-2.86065444907419
1.09,-0.927057647624076,-4.42406468762857,-14.2832808796667,-2.85448890196639
1.091,-0.928412652905525,-4.43327439876808,-14.2645868643861,-2.84833621742211
1.092,-0.929769707202754,-4.44249689670737,-14.2459368921767,-2.84219638252757
1.093,-0.931128789615865,-4.45173218033882,-14.2273309320095,-2.83606938436027
1.094,-0.932489879176791,-4.46098024850103,-14.2087689525815,-2.82995520998887
1.095,-0.933852954850005,-4.47024109997878,-14.1902509223164,-2.82385384647301
1.096,-0.935217995533232,-4.47951473350296,-14.1717768093644,-2.8177652808632
1.097,-0.936584980058185,-4.48880114775057,-14.1533465816021,-2.8116895002006
1.098,-0.937953887191297,-4.49810034134465,-14.134960206633,-2.80562649151706
1.099,-0.939324695634471,-4.50741231285419,-14.1166176517877,-2.79957624183475
1.1,-0.940697384025823,-4.51673706079421,-14.0983188841237,-2.79353873816625
1.101,-0.942071930940457,-4.5260745836256,-14.0800638704259,-2.78751396751425
1.102,-0.943448314891231,-4.53542487975514,-14.0618525772068,-2.7815019168715
1.103,-0.944826514329534,-4.54478794753545,-14.0436849707066,-2.77550257322067
1.104,-0.946206507646078,-4.55416378526496,-14.0255610168936,-2.76951592353421
1.105,-0.947588273171706,-4.56355239118784,-14.0074806814645,-2.76354195477424
1.106,-0.948971789178175,-4.572953763494,-13.9894439298442,-2.75758065389241
1.107,-0.950357033879,-4.58236790031903,-13.971450727187,-2.75163200782979
1.108,-0.951743985430258,-4.59179479974416,-13.9535010383759,-2.74569600351674
1.109,-0.953132621931431,-4.60123445979625,-13.9355948280239,-2.73977262787275
1.11,-0.954522921426239,-4.61068687844774,-13.9177320604735,-2.73386186780646
1.111,-0.955914861903514,-4.62015205361661,-13.8999126997976,-2.72796371021533
1.112,-0.957308421298027,-4.62962998316634,-13.8821367097998,-2.72207814198574
1.113,-0.958703577491386,-4.6391206649059,-13.8644040540147,-2.71620514999271
1.114,-0.960100308312899,-4.64862409658971,-13.8467146957082,-2.71034472109992
1.115,-0.961498591540464,-4.65814027591759,-13.8290685978782,-2.70449684215943
1.116,-0.962898404901471,-4.66766920053475,-13.8114657232549,-2.69866150001181
1.117,-0.964299726073693,-4.67721086803174,-13.7939060343012,-2.69283868148579
1.118,-0.965702532686203,-4.68676527594444,-13.7763894932134,-2.68702837339831
1.119,-0.967106802320318,-4.69633242175402,-13.7589160619214,-2.68123056255436
1.12,-0.968512512510491,-4.70591230288692,-13.7414857020894,-2.67544523574687
1.121,-0.969919640745284,-4.71550491671479,-13.7240983751164,-2.66967237975664
1.122,-0.971328164468305,-4.72511026055451,-13.7067540421366,-2.66391198135222
1.123,-0.972738061079153,-4.73472833166813,-13.6894526640201,-2.65816402728982
1.124,-0.974149307934406,-4.74435912726283,-13.6721942013736,-2.65242850431318
1.125,-0.975561882348577,-4.75400264449097,-13.6549786145405,-2.64670539915352
1.126,-0.9769757615951,-4.76365888044995,-13.6378058636019,-2.64099469852942
1.127,-0.978390922907341,-4.77332783218229,-13.6206759083773,-2.63529638914676
1.128,-0.97980734347956,-4.78300949667555,-13.6035887084248,-2.62961045769858
1.129,-0.98122500046796,-4.79270387086229,-13.5865442230419,-2.623936890865
1.13,-0.982643870991669,-4.80241095162013,-13.5695424112665,-2.61827567531318
1.131,-0.984063932133792,-4.81213073577164,-13.552583231877,-2.61262679769718
1.132,-0.985485160942428,-4.82186322008434,-13.5356666433935,-2.60699024465789
1.133,-0.986907534431714,-4.83160840127071,-13.5187926040781,-2.60136600282296
1.134,-0.988331029582885,-4.84136627598817,-13.5019610719357,-2.59575405880671
1.135,-0.989755623345312,-4.85113684083899,-13.485172004715,-2.59015439921004
1.136,-0.991181292637591,-4.86092009237037,-13.4684253599088,-2.58456701062035
1.137,-0.992608014348597,-4.87071602707433,-13.451721094755,-2.5789918796115
1.138,-0.994035765338569,-4.88052464138779,-13.4350591662375,-2.57342899274368
1.139,-0.99546452244022,-4.89034593169242,-13.4184395310865,-2.56787833656336
1.14,-0.996894262459801,-4.90017989431478,-13.4018621457797,-2.56233989760322
1.141,-0.998324962178232,-4.91002652552617,-13.3853269665432,-2.55681366238207
1.142,-0.999756598352195,-4.91988582154268,-13.3688339493516,-2.55129961740479
1.143,-1.00118914771528,-4.92975777852519,-13.3523830499297,-2.54579774916225
1.144,-1.00262258697906,-4.93964239257929,-13.3359742237527,-2.54030804413124
1.145,-1.0040568928343,-4.94953965975532,-13.3196074260476,-2.53483048877441
1.146,-1.00549204195204,-4.95944957604835,-13.3032826117933,-2.52936506954022
1.147,-1.00692801098474,-4.96937213739814,-13.2869997357223,-2.52391177286284
1.148,-1.00836477656749,-4.97930733968917,-13.2707587523209,-2.51847058516212
1.149,-1.00980231531911,-4.98925517875058,-13.2545596158307,-2.51304149284352
1.15,-1.01124060384337,-4.99921565035621,-13.2384022802489,-2.50762448229804
1.151,-1.01267961873013,-5.00918875022454,-13.2222866993297,-2.50221953990216
1.152,-1.01411933655651,-5.01917447401872,-13.2062128265849,-2.49682665201783
1.153,-1.01555973388813,-5.02917281734652,-13.1901806152852,-2.49144580499235
1.154,-1.01700078728028,-5.03918377576038,-13.1741900184607,-2.48607698515834
1.155,-1.01844247327906,-5.04920734475733,-13.1582409889022,-2.48072017883374
1.156,-1.01988476842271,-5.05924351977906,-13.142333479162,-2.47537537232164
1.157,-1.02132764924269,-5.06929229621183,-13.1264674415551,-2.47004255191036
1.158,-1.022771092265,-5.07935366938655,-13.1106428281599,-2.46472170387332
1.159,-1.02421507401134,-5.08942763457869,-13.0948595908195,-2.45941281446902
1.16,-1.02565957100036,-5.09951418700834,-13.0791176811422,-2.45411586994098
1.161,-1.02710455974889,-5.10961332184018,-13.0634170505033,-2.44883085651774
1.162,-1.02855001677318,-5.11972503418346,-13.0477576500454,-2.44355776041275
1.163,-1.02999591859013,-5.12984931909203,-13.03213943068,-2.43829656782438
1.164,-1.03144224171858,-5.1399861715643,-13.0165623430882,-2.43304726493587
1.165,-1.0328889626805,-5.15013558654329,-13.0010263377219,-2.42780983791525
1.166,-1.03433605800227,-5.16029755891654,-12.9855313648047,-2.42258427291538
1.167,-1.03578350421598,-5.17047208351624,-12.9700773743333,-2.41737055607382
