Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB),S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1023000000,-12.00578831,-3.3591683,-15.924234,-3.3074334,-9.9475918,-16.360205,118.32308,-94.56752,4.4408798,-94.399864,-146.36978,5.2929463
1024000000,-12.00987173,-3.3641713,-15.944427,-3.3517363,-10.01818,-16.367695,118.60519,-94.647392,4.5266047,-94.488953,-146.29291,5.2267346
1025000000,-12.01395828,-3.3502083,-16.010855,-3.346379,-9.97472,-16.411549,118.60267,-94.647575,4.0043664,-94.593346,-146.47495,4.8827076
1026000000,-12.01804796,-3.3342662,-15.934181,-3.3239584,-10.014117,-16.360907,117.92841,-94.687538,4.7474885,-94.52179,-146.57434,5.5083647
1027000000,-12.02214078,-3.3055775,-15.979423,-3.3070297,-9.9658689,-16.373524,118.20049,-94.917709,4.3783102,-94.553856,-146.52391,5.1655383
1028000000,-12.02623674,-3.3440511,-15.958591,-3.3319736,-10.003701,-16.38236,117.96685,-94.972069,4.0171151,-94.670509,-146.71808,4.8583651
1029000000,-12.03033584,-3.3366563,-15.954919,-3.3213809,-9.9992599,-16.379059,118.27441,-94.867966,3.8289545,-94.780907,-146.87666,4.8005834
1030000000,-12.03443809,-3.3286898,-15.974211,-3.3185675,-9.995121,-16.397013,117.94181,-95.210449,3.963026,-95.124573,-146.99867,4.7997627
1031000000,-12.03854348,-3.3206503,-15.976389,-3.3199451,-10.001168,-16.383158,118.06896,-95.34095,3.945735,-94.976486,-147.03735,4.9156427
1032000000,-12.04265202,-3.3316619,-15.990837,-3.3336103,-10.043402,-16.427473,117.9753,-95.456284,3.8633983,-95.302223,-147.24063,4.6230683
1033000000,-12.04676371,-3.3415239,-16.027342,-3.3427796,-10.039644,-16.461773,118.17898,-95.436783,3.8799591,-95.22316,-147.20256,4.6645246
1034000000,-12.05087856,-3.3401482,-16.028801,-3.3348041,-10.05613,-16.429487,118.03874,-95.410004,3.7045145,-95.3563,-147.38504,4.5317059
