Freq(Hz),S21 Log Mag(dB),21 90,S11 Log Mag(dB),11 90,,,21 180,11 180,,21 Thru,11 Thru,,21 Thru2,11 Thru2
1038000000,-0.59468651,-178.92957,-10.160052,82.399147,,160.10294,-199.89706,64.061089,,-149.01015,103.77645,,-145.58672,107.58218
1039000000,-0.6246624,-179.13435,-10.188078,82.182602,,159.95908,-200.04092,63.971134,,-148.96393,103.76041,,-145.75243,107.21888
1040000000,-0.62986255,-178.86221,-10.187064,82.274788,,159.91057,-200.08943,63.791309,,-149.00421,104.03628,,-145.62384,107.40787
1041000000,-0.62982887,-179.13725,-10.162185,82.460892,,159.79903,-200.20097,63.792732,,-149.22281,103.96831,,-146.0219,107.21231
1042000000,-0.64212459,-179.29636,-10.176752,82.009155,,159.78546,-200.21454,63.71994,,-149.3632,103.75992,,-145.89629,107.27383
1043000000,-0.65878546,-179.58165,-10.203574,81.581963,,159.46149,-200.53851,63.264587,,-149.4827,103.71779,,-146.08165,107.05138
1044000000,-0.60003191,-179.85457,-10.136074,81.478401,,159.10794,-200.89206,62.862816,,-149.78632,104.06691,,-146.39941,107.07193
1045000000,-0.63005322,-179.87546,-10.157821,81.51078,,159.01001,-200.98999,62.861279,,-149.89117,104.0085,,-146.54362,106.96124
1046000000,-0.66316634,-179.89185,-10.165386,81.468834,,158.98488,-201.01512,62.872997,,-149.88594,104.44816,,-146.58517,107.08422
1047000000,-0.61907738,-180.29732,-10.131519,80.98391,,158.58492,-201.41508,62.424488,,-150.20657,103.6731,,-146.81465,106.64483
1048000000,-0.63957101,-180.43176,-10.154802,80.995865,,158.42421,-201.57579,62.404022,,-150.32286,104.22968,,-147.18983,106.44582
1049000000,-0.63811117,-180.50325,-10.144801,80.803299,,158.40033,-201.59967,62.203346,,-150.53159,103.75525,,-146.99088,106.71835
1050000000,-0.64929259,-180.70798,-10.151635,80.628868,,158.03906,-201.96094,61.842636,,-150.54448,103.5925,,-147.17917,106.41239
1051000000,-0.63351756,-180.96623,-10.140138,80.479973,,157.97545,-202.02455,61.87513,,-150.5867,104.24733,,-147.29698,106.61723
1052000000,-0.63204557,-181.00868,-10.127825,80.346756,,157.76369,-202.23631,61.782463,,-150.92204,102.93962,,-147.48885,105.75755
1053000000,-0.63003862,-181.1675,-10.124535,80.492233,,157.74974,-202.25026,61.796074,,-151.02275,104.21996,,-147.49548,106.47583
1054000000,-0.62472588,-181.39809,-10.087064,80.045135,,157.36012,-202.63988,61.217232,,-151.11105,103.94364,,-147.71445,106.1494
1055000000,-0.63118976,-181.53552,-10.111054,79.829231,,157.09642,-202.90358,60.970013,,-151.2836,103.64192,,-147.75854,106.1534
1056000000,-0.61068362,-181.6759,-10.053831,79.961266,,157.10143,-202.89857,61.111179,,-151.28951,104.91239,,-147.95023,106.69892
1057000000,-0.64204007,-181.87758,-10.093594,79.744232,,156.6729,-203.3271,60.739468,,-151.59697,104.00201,,-148.17673,105.9026
1058000000,-0.64252305,-182.0863,-10.086766,79.414314,,156.64066,-203.35934,60.551662,,-151.75438,104.25757,,-148.27129,106.3625
1059000000,-0.66024369,-182.07462,-10.108197,79.239288,,156.51311,-203.48689,60.490643,,-151.875,104.07108,,-148.45009,105.94066
1060000000,-0.60737836,-182.37546,-10.077835,79.223831,,156.15582,-203.84418,60.199184,,-152.0981,104.10713,,-148.5537,105.97362
1061000000,-0.6158815,-182.47572,-10.032134,79.112434,,156.14067,-203.85933,60.020622,,-152.08127,104.48855,,-148.74051,105.7727
1062000000,-0.64617229,-182.84918,-10.062284,78.827789,,155.78424,-204.21576,59.883034,,-152.40697,103.8617,,-148.84357,105.70005
1063000000,-0.63563949,-183.02371,-10.065697,78.501175,,155.65755,-204.34245,59.664833,,-152.55125,103.79794,,-149.22148,105.45182
1064000000,-0.63222557,-183.09653,-10.052343,78.59864,,155.58829,-204.41171,59.694462,,-152.58899,103.81068,,-149.22195,105.34039
1065000000,-0.62595129,-183.18085,-10.031436,78.447479,,155.28149,-204.71851,59.344509,,-152.81342,103.54811,,-149.36206,105.07487
1066000000,-0.64109927,-183.29317,-10.07084,78.39418,,155.26511,-204.73489,59.356339,,-152.72598,103.84621,,-149.34087,105.44845
1067000000,-0.64573103,-183.37189,-10.029257,78.217445,,155.05302,-204.94698,59.1208,,-152.91063,103.6997,,-149.63443,105.14584
1068000000,-0.63758916,-183.71931,-10.034216,77.907196,,154.68552,-205.31448,58.771755,,-153.36005,103.24247,,-149.8331,104.77025
1069000000,-0.64855385,-183.92581,-10.016753,77.968414,,154.49481,-205.50519,58.700771,,-153.50235,103.6974,,-149.98502,105.30167
1070000000,-0.63328403,-184.05074,-9.9989433,77.550972,,154.58885,-205.41115,58.534702,,-153.38475,103.83324,,-150.03925,104.95733
1071000000,-0.68136138,-184.17979,-10.019182,77.713951,,154.08784,-205.91216,58.61512,,-153.73097,103.53629,,-150.1066,105.01251
1072000000,-0.67118263,-184.50888,-10.039253,77.270378,,153.95717,-206.04283,58.066944,,-153.7524,103.54179,,-150.19006,104.89786
1073000000,-0.66712564,-184.41818,-10.011077,77.235168,,154.00615,-205.99385,58.145775,,-153.99361,103.57082,,-150.26569,104.82243
1074000000,-0.68676609,-184.57726,-10.030636,77.184044,,153.69078,-206.30922,57.770969,,-153.90596,103.48486,,-150.6194,104.60407
1075000000,-0.67043477,-184.77417,-9.9973135,76.863602,,153.64827,-206.35173,57.669445,,-154.13771,103.68193,,-150.60959,104.53413
1076000000,-0.63743585,-184.97554,-9.9949331,76.869011,,153.28734,-206.71266,57.416203,,-154.29195,103.70988,,-150.99286,104.54261
1077000000,-0.65311241,-185.2196,-9.994523,76.509567,,153.17273,-206.82727,57.34734,,-154.34517,103.8329,,-150.93491,104.64025
1078000000,-0.65868282,-185.20599,-9.9862099,76.468506,,153.06892,-206.93108,57.224781,,-154.73045,102.83086,,-151.12387,104.1565
1079000000,-0.65884924,-185.41046,-9.9984131,76.458351,,152.87338,-207.12662,57.034203,,-154.71921,103.38889,,-151.24469,104.22594
1080000000,-0.67011684,-185.71365,-9.9586754,76.086746,,152.61411,-207.38589,56.886513,,-154.92807,103.44635,,-151.3862,104.36507
1081000000,-0.67939603,-185.80739,-9.9866829,76.177376,,152.42191,-207.57809,56.580811,,-154.96817,103.85577,,-151.42816,104.47861
1082000000,-0.66254759,-185.99208,-9.9637098,75.801781,,152.1651,-207.8349,56.454567,,-155.15469,103.69504,,-151.75719,104.30518
1083000000,-0.64448982,-186.22144,-9.9610291,75.582092,,152.23257,-207.76743,56.517204,,-155.21965,103.04327,,-151.65042,103.68705
1084000000,-0.65486658,-186.20418,-9.9432106,75.577553,,151.88544,-208.11456,55.887459,,-155.49483,103.34491,,-151.8788,104.10468
1085000000,-0.65990108,-186.37569,-9.9580288,75.561264,,151.68242,-208.31758,55.99585,,-155.52736,103.47034,,-152.12007,103.93967
1086000000,-0.64905584,-186.74425,-9.9421749,75.27301,,151.43384,-208.56616,55.730995,,-155.86868,102.82059,,-152.1924,103.8362
1087000000,-0.65489531,-186.62457,-9.9367056,75.203568,,151.36945,-208.63055,55.629982,,-155.8506,102.99847,,-152.39587,103.29069
1088000000,-0.66431099,-186.88109,-9.9188776,74.992348,,151.25192,-208.74808,55.552597,,-156.05074,102.9107,,-152.51817,103.62572
1089000000,-0.64904433,-186.96898,-9.9298067,75.078995,,151.16348,-208.83652,55.39883,,-156.05327,102.98685,,-152.51537,103.54361
1090000000,-0.61609292,-187.29056,-9.8831501,74.72686,,150.89464,-209.10536,55.087353,,-156.40709,103.05464,,-152.80063,103.84589
1091000000,-0.64359403,-187.42528,-9.9203691,74.489792,,150.56776,-209.43224,54.684814,,-156.53409,102.85638,,-152.96503,103.26434
1092000000,-0.64676112,-187.57373,-9.9363079,74.37265,,150.58136,-209.41864,54.871056,,-156.61578,103.11132,,-152.86842,103.63805
1093000000,-0.6562165,-187.73537,-9.9235878,74.107475,,150.06,-209.94,54.438885,,-156.80707,102.67931,,-153.13074,103.04147
1094000000,-0.64819199,-187.72348,-9.914381,74.343422,,150.14342,-209.85658,54.484913,,-156.68741,103.14104,,-153.10626,103.34919
1095000000,-0.66767752,-188.09711,-9.9463663,73.875221,,150.04257,-209.95743,54.219124,,-157.06969,103.03296,,-153.38161,103.29737
1096000000,-0.63724071,-188.27893,-9.9089222,73.907104,,149.66206,-210.33794,54.03447,,-157.12865,102.86577,,-153.6274,102.79323
1097000000,-0.65140027,-188.09203,-9.9083643,73.936577,,149.61157,-210.38843,53.889137,,-157.11418,102.87794,,-153.67827,102.7653
1098000000,-0.66548353,-188.43527,-9.8993168,73.584953,,149.34081,-210.65919,53.62756,,-157.46017,102.41844,,-154.01781,102.19201
1099000000,-0.66526371,-188.58044,-9.9132986,73.528214,,149.24045,-210.75955,53.548649,,-157.5887,102.44382,,-153.98019,102.61917
1100000000,-0.65162396,-188.90482,-9.9005833,73.17791,,148.95567,-211.04433,53.22979,,-157.66687,102.73392,,-154.04298,102.60925
1101000000,-0.69326538,-188.88855,-9.9348545,73.1036,,148.73378,-211.26622,52.981667,,-157.78584,102.6884,,-154.2636,102.34988
1102000000,-0.65757638,-188.9552,-9.9074736,72.970978,,148.85832,-211.14168,53.202744,,-157.86276,102.28526,,-154.27419,102.2406
1103000000,-0.64604259,-189.6067,-9.8739233,72.696518,,148.07672,-211.92328,52.552006,,-158.46555,101.87346,,-154.72716,101.9972
1104000000,-0.66342157,-189.56636,-9.9065847,72.640335,,148.13393,-211.86607,52.480564,,-158.24013,102.34089,,-154.74832,102.13613
1105000000,-0.67367905,-189.91266,-9.897665,72.312553,,147.88144,-212.11856,52.326553,,-158.56735,101.85313,,-154.89828,102.12159
1106000000,-0.66608524,-189.65065,-9.9074707,72.563904,,148.11874,-211.88126,52.516235,,-158.44241,102.13246,,-154.87569,101.97752
1107000000,-0.6657142,-189.87675,-9.8962965,72.378769,,148.02585,-211.97415,52.311783,,-158.46835,102.34506,,-154.93796,102.06239
1108000000,-0.6862573,-190.09323,-9.9164925,72.092125,,147.47487,-212.52513,51.776463,,-158.99487,101.93662,,-155.56215,101.33463
1109000000,-0.65854752,-190.44545,-9.8923721,71.780846,,147.14406,-212.85594,51.643658,,-159.1348,101.71423,,-155.57262,101.33932
1110000000,-0.67542022,-190.47565,-9.8887939,71.74955,,147.15617,-212.84383,51.537434,,-159.06064,101.85866,,-155.53795,101.41676
1111000000,-0.67765617,-190.72047,-9.89643,71.733276,,146.76434,-213.23566,51.30315,,-159.42972,101.37803,,-155.86418,101.11337
1112000000,-0.68802971,-190.79015,-9.8818617,71.528885,,146.70404,-213.29596,51.005741,,-159.46178,101.6847,,-155.77394,101.46889
1113000000,-0.66929215,-190.84866,-9.8696566,71.477036,,146.6965,-213.3035,51.060978,,-159.53503,101.5027,,-155.81898,101.24454
1114000000,-0.68906254,-191.19653,-9.9082069,71.16803,,146.29839,-213.70161,50.639027,,-159.74232,101.66258,,-156.05902,101.1289
1115000000,-0.66613835,-191.36465,-9.8459501,71.044228,,146.38358,-213.61642,50.726555,,-159.95401,101.60599,,-156.10425,101.37169
1116000000,-0.69349003,-191.50169,-9.889945,70.752022,,146.03871,-213.96129,50.310406,,-160.05246,101.21542,,-156.25119,100.90258
1117000000,-0.64342207,-191.50667,-9.8715925,70.902168,,145.92448,-214.07552,50.273426,,-160.10777,101.4449,,-156.35487,100.92142
1118000000,-0.66778505,-191.83904,-9.846488,70.550667,,145.64081,-214.35919,50.05584,,-160.26837,101.13392,,-156.75461,100.44499
1119000000,-0.67399722,-191.86249,-9.8592615,70.469406,,145.49234,-214.50766,49.817848,,-160.30595,100.84865,,-156.69273,100.30244
1120000000,-0.68839991,-192.13785,-9.8768244,70.313995,,145.31302,-214.68698,49.578434,,-160.6926,100.72456,,-157.03601,100.10386
1121000000,-0.70758307,-192.20625,-9.9021835,70.142868,,145.114,-214.886,49.510639,,-160.7605,100.81163,,-157.02808,100.22996
1122000000,-0.68700576,-192.47284,-9.8742371,70.083267,,144.93213,-215.06787,49.487183,,-160.95049,100.77836,,-157.12134,100.21171
1123000000,-0.65900898,-192.46986,-9.863574,69.823639,,144.61621,-215.38379,48.822712,,-161.01228,100.57441,,-157.23253,99.951126
1124000000,-0.66347486,-192.71153,-9.8662815,69.590431,,144.63341,-215.36659,48.810406,,-161.18968,100.78464,,-157.41464,99.967354
1125000000,-0.67460972,-192.8571,-9.8663321,69.562248,,144.54362,-215.45638,48.873421,,-161.28069,100.60432,,-157.53598,99.953049
1126000000,-0.69070876,-192.98029,-9.8707991,69.354156,,144.29512,-215.70488,48.733459,,-161.30179,100.58792,,-157.65431,99.717186
1127000000,-0.65689117,-193.33717,-9.851409,69.226997,,143.94795,-216.05205,48.418549,,-161.60927,100.31905,,-157.87761,99.551285
1128000000,-0.67283791,-193.29834,-9.8520508,69.121658,,143.87192,-216.12808,48.036469,,-161.69974,100.17588,,-157.82527,99.551254
1129000000,-0.67915207,-193.40663,-9.8704691,69.024582,,143.7144,-216.2856,48.099747,,-161.8289,100.27489,,-158.008,99.544762
1130000000,-0.71951342,-193.73755,-9.8802929,68.970161,,143.58075,-216.41925,47.945641,,-162.18755,99.763176,,-158.30928,99.159851
1131000000,-0.67721319,-193.80289,-9.865736,68.740128,,143.1539,-216.8461,47.583717,,-162.27997,100.03541,,-158.43727,99.112068
1132000000,-0.66152644,-193.97984,-9.8435001,68.568947,,143.07303,-216.92697,47.582603,,-162.1331,100.03024,,-158.50523,99.063248
1133000000,-0.66399461,-194.16429,-9.843749,68.460335,,142.86429,-217.13571,47.085743,,-162.42453,100.01723,,-158.55261,99.014351
1134000000,-0.67259848,-194.19801,-9.8639956,68.424164,,142.79428,-217.20572,47.014793,,-162.59496,99.980766,,-158.78534,98.968971
1135000000,-0.69395638,-194.5659,-9.8605995,68.074318,,142.39665,-217.60335,46.914639,,-162.88947,99.424309,,-159.06137,98.566772
1136000000,-0.67758709,-194.55487,-9.8646832,67.963028,,142.33549,-217.66451,46.524101,,-162.86932,99.746948,,-159.15933,98.511238
1137000000,-0.67338842,-194.83234,-9.8658552,67.883705,,142.08043,-217.91957,46.371986,,-163.02164,99.838623,,-159.31448,98.50885
1138000000,-0.6873498,-194.96979,-9.8583698,67.616325,,141.8748,-218.1252,46.202171,,-163.16183,99.525444,,-159.38036,98.303635
1139000000,-0.68826169,-195.22237,-9.8689413,67.298233,,141.95525,-218.04475,46.326286,,-163.23781,99.432114,,-159.46065,98.38195
