Freq(Hz),S21 Log Mag(dB),S21 Phase(¡),S11 Log Mag(dB),S11 Phase(¡)
1000000000,-0.21550888,-165.76724,-19.569447,138.31384
1001000000,-0.2012639,-165.99532,-19.551292,137.88319
1002000000,-0.2434413,-166.60127,-19.621008,137.12163
1003000000,-0.23536786,-166.39667,-19.555891,137.39302
1004000000,-0.24169965,-166.52492,-19.636709,136.95691
1005000000,-0.25248092,-166.80496,-19.563034,136.75755
1006000000,-0.19875917,-166.61734,-19.50526,137.01956
1007000000,-0.21818507,-167.05212,-19.505278,136.03484
1008000000,-0.22290863,-167.12987,-19.512636,136.0838
1009000000,-0.21361326,-167.45438,-19.455328,135.62804
1010000000,-0.22451298,-167.49153,-19.489134,135.50183
1011000000,-0.21488614,-167.64426,-19.444468,135.17265
1012000000,-0.2169832,-168.07256,-19.462057,134.75676
1013000000,-0.22596426,-167.86087,-19.418959,134.72525
1014000000,-0.23569152,-168.0249,-19.444866,134.425
1015000000,-0.21233097,-168.27191,-19.429123,134.30156
1016000000,-0.22358772,-168.45871,-19.372078,134.04097
1017000000,-0.22260292,-168.61241,-19.324684,133.50682
1018000000,-0.25571346,-168.71486,-19.340694,133.79454
1019000000,-0.23676324,-168.9894,-19.328722,132.96086
1020000000,-0.25701955,-169.17996,-19.372097,132.75687
1021000000,-0.21269822,-169.28467,-19.321016,132.52095
1022000000,-0.2506038,-169.46664,-19.294008,132.26497
1023000000,-0.2507157,-169.71364,-19.313704,131.87636
1024000000,-0.22658975,-169.72583,-19.297316,131.70201
1025000000,-0.2289176,-170.04712,-19.262362,131.22563
1026000000,-0.23445877,-170.3351,-19.236414,130.83017
1027000000,-0.24508718,-170.39253,-19.263775,130.81866
1028000000,-0.20046213,-170.56192,-19.18786,130.50441
1029000000,-0.22827284,-170.49995,-19.230064,130.60963
1030000000,-0.21880946,-170.98816,-19.185049,129.74576
1031000000,-0.23167212,-170.94775,-19.215109,129.70969
1032000000,-0.21753208,-171.37827,-19.167034,129.27498
1033000000,-0.21734694,-171.41618,-19.147928,129.11929
1034000000,-0.24334863,-171.41452,-19.178989,128.82317
1035000000,-0.24226019,-171.76917,-19.188389,128.68628
1036000000,-0.20378043,-171.85158,-19.110352,128.33269
1037000000,-0.2264742,-172.01372,-19.156858,128.32405
1038000000,-0.21264343,-172.30728,-19.098316,127.88206
1039000000,-0.22301109,-172.37811,-19.10907,127.7449
1040000000,-0.25761169,-172.36322,-19.158028,127.63726
1041000000,-0.24367619,-172.646,-19.122866,127.39894
1042000000,-0.26660633,-172.7363,-19.132397,127.08134
1043000000,-0.24919914,-172.97427,-19.138044,126.68949
1044000000,-0.23538268,-173.20447,-19.079149,126.34793
1045000000,-0.23298529,-173.31465,-19.077417,126.36496
1046000000,-0.27094531,-173.29774,-19.068066,126.35875
1047000000,-0.22230238,-173.67157,-19.034788,125.59457
1048000000,-0.23329502,-173.81752,-19.052036,125.46789
1049000000,-0.25318033,-173.94681,-19.058512,125.24469
1050000000,-0.24340603,-174.2092,-19.033628,124.78399
1051000000,-0.2503134,-174.18719,-19.042774,124.93953
1052000000,-0.22776709,-174.52478,-19.019196,124.25095
1053000000,-0.22694038,-174.54463,-19.001198,124.37341
1054000000,-0.23496121,-174.63383,-18.999037,124.17078
1055000000,-0.21077316,-174.79501,-18.94916,123.84095
1056000000,-0.22433782,-175.03102,-18.930035,123.83524
1057000000,-0.23899727,-175.21886,-18.969881,123.47966
1058000000,-0.25493816,-175.42055,-18.982792,123.33939
1059000000,-0.26806465,-175.647,-18.969191,122.73852
1060000000,-0.22263812,-175.74875,-18.952299,122.77264
1061000000,-0.22429943,-175.95517,-18.900545,122.36588
1062000000,-0.24031848,-176.17102,-18.920935,122.08552
1063000000,-0.24867268,-176.48682,-18.92964,121.61272
1064000000,-0.23473425,-176.41542,-18.923643,121.62626
1065000000,-0.21445352,-176.63025,-18.877636,121.38868
1066000000,-0.24119559,-176.58495,-18.899414,121.29813
1067000000,-0.24650761,-176.73372,-18.903542,121.0529
1068000000,-0.25306267,-177.03972,-18.91984,120.62836
1069000000,-0.26548964,-177.44307,-18.901701,120.40848
1070000000,-0.24876159,-177.35658,-18.879869,120.18414
1071000000,-0.28899327,-177.68404,-18.89686,120.03172
1072000000,-0.2783834,-177.78395,-18.897104,119.56306
1073000000,-0.26015499,-177.90688,-18.859884,119.46994
1074000000,-0.27766177,-177.97194,-18.897442,119.34913
1075000000,-0.25752592,-178.22957,-18.8564,118.8615
1076000000,-0.24233885,-178.54932,-18.845768,118.73756
1077000000,-0.27455047,-178.59256,-18.890985,118.54348
1078000000,-0.24430619,-178.73709,-18.832302,118.19618
1079000000,-0.25479725,-178.93068,-18.846294,118.03243
1080000000,-0.27631396,-179.10402,-18.849659,117.83865
1081000000,-0.27159041,-179.39032,-18.858374,117.64431
1082000000,-0.26028654,-179.53328,-18.835028,117.26868
1083000000,-0.24000993,-179.42053,-18.817049,117.21947
1084000000,-0.24944271,-179.69305,-18.810596,116.83772
1085000000,-0.24008656,-179.90454,-18.807367,116.74356
1086000000,-0.24623099,-180.02852,-18.802994,116.59539
1087000000,-0.2550275,-180.23872,-18.79155,116.2078
1088000000,-0.25946635,-180.28021,-18.797934,116.14569
1089000000,-0.23235212,-180.39961,-18.800112,115.90694
1090000000,-0.25149709,-180.60997,-18.809752,115.71685
1091000000,-0.25032094,-180.77904,-18.808462,115.39897
1092000000,-0.24009338,-180.87955,-18.81131,115.31575
1093000000,-0.25247145,-181.27002,-18.790854,115.03096
1094000000,-0.26441824,-181.01372,-18.812002,115.16647
1095000000,-0.26195434,-181.43089,-18.842793,114.69566
1096000000,-0.24014649,-181.64871,-18.799854,114.36247
1097000000,-0.25014821,-181.57045,-18.788773,114.41344
1098000000,-0.27791411,-181.88548,-18.823111,113.91202
1099000000,-0.23501399,-181.95731,-18.772631,114.00889
1100000000,-0.24311109,-182.23648,-18.802364,113.58982
1101000000,-0.26317024,-182.43208,-18.794436,113.2908
1102000000,-0.23498066,-182.59325,-18.765215,112.82778
1103000000,-0.25694314,-183.0833,-18.790552,112.70927
