Freq(Hz),S21 Log Mag(dB),S21 Phase(¡),S11 Log Mag(dB),S11 Phase(¡)
1112000000,-0.28921017,-158.94177,-17.528372,86.826302
1113000000,-0.29183698,-159.05745,-17.510487,86.48909
1114000000,-0.27710256,-159.33342,-17.496061,86.362793
1115000000,-0.27868074,-159.47594,-17.463852,86.704849
1116000000,-0.27924505,-159.61511,-17.454865,86.181541
1117000000,-0.26516718,-159.74837,-17.423422,86.319839
1118000000,-0.29319918,-159.88689,-17.409769,85.876854
1119000000,-0.3038781,-159.99327,-17.434359,86.023354
1120000000,-0.28117865,-160.20683,-17.374712,86.059944
1121000000,-0.28441769,-160.42464,-17.341806,86.130676
1122000000,-0.2869792,-160.40907,-17.368912,86.383965
1123000000,-0.2738573,-160.46593,-17.386414,86.009636
1124000000,-0.28340417,-160.62306,-17.330229,86.306679
1125000000,-0.27793008,-160.69644,-17.297703,86.138405
1126000000,-0.284812,-160.90117,-17.30792,85.622955
1127000000,-0.27781162,-161.22897,-17.260538,85.721794
1128000000,-0.29795197,-161.11632,-17.300621,85.868065
1129000000,-0.27861276,-161.2724,-17.229891,86.019127
1130000000,-0.30068997,-161.50592,-17.248583,85.61528
1131000000,-0.27015474,-161.7282,-17.215673,85.791008
1132000000,-0.30613387,-161.8466,-17.232254,85.456444
1133000000,-0.3036876,-161.83662,-17.239046,85.748932
1134000000,-0.30273169,-162.01193,-17.178995,85.736137
1135000000,-0.3108283,-162.3815,-17.20092,85.23246
1136000000,-0.29072347,-162.44421,-17.18745,85.432365
1137000000,-0.27932858,-162.46199,-17.159645,85.599815
1138000000,-0.317745,-162.77809,-17.161301,85.137146
1139000000,-0.3175551,-162.83672,-17.124685,85.092796
1140000000,-0.3023842,-163.07773,-17.106998,85.003731
1141000000,-0.29582313,-163.05238,-17.104618,85.354729
1142000000,-0.3178879,-163.34486,-17.122862,84.948334
1143000000,-0.27718034,-163.40796,-17.047836,84.88871
1144000000,-0.30535358,-163.47537,-17.071722,84.9459
1145000000,-0.29479906,-163.68922,-17.037487,84.659462
1146000000,-0.31439057,-164.02829,-17.047705,84.676674
1147000000,-0.30528006,-163.82903,-17.010519,84.575554
1148000000,-0.30265579,-164.12358,-17.006262,84.612785
1149000000,-0.28774139,-164.28133,-16.951643,84.614799
1150000000,-0.32000527,-164.29155,-16.978853,84.491707
1151000000,-0.3049221,-164.45468,-16.966711,84.481194
1152000000,-0.30655903,-164.6568,-16.947422,84.436104
1153000000,-0.27934596,-164.77859,-16.91922,84.489517
1154000000,-0.31023788,-164.85779,-16.911089,84.333473
1155000000,-0.31170884,-165.17311,-16.93001,84.108475
1156000000,-0.29693577,-165.16872,-16.935884,84.403954
1157000000,-0.28762552,-165.37967,-16.868509,84.090935
1158000000,-0.30782622,-165.47754,-16.84288,84.043442
1159000000,-0.32089448,-165.88789,-16.868607,83.529625
1160000000,-0.31850722,-165.69153,-16.890329,83.692719
1161000000,-0.31933174,-165.71744,-16.88271,83.695618
1162000000,-0.31813163,-166.04892,-16.85878,83.711952
1163000000,-0.3150976,-166.23022,-16.845789,83.233856
1164000000,-0.2889649,-166.4404,-16.805344,83.350861
1165000000,-0.30160621,-166.42847,-16.829029,83.102081
1166000000,-0.31592476,-166.56616,-16.812279,83.512375
1167000000,-0.28489539,-166.82487,-16.763878,83.107445
1168000000,-0.32045949,-166.93266,-16.818319,83.122879
1169000000,-0.30413145,-167.09682,-16.762438,82.983665
1170000000,-0.31049666,-167.35698,-16.756422,82.848289
1171000000,-0.28518644,-167.43091,-16.794874,82.971817
1172000000,-0.33522701,-167.4514,-16.809471,82.629707
1173000000,-0.32130191,-167.5394,-16.766729,82.625267
1174000000,-0.28328416,-167.73218,-16.768127,82.538811
1175000000,-0.29033598,-168.00049,-16.679157,82.680954
1176000000,-0.31494263,-168.08081,-16.73337,82.337906
1177000000,-0.27769253,-168.04434,-16.718479,82.516655
1178000000,-0.30368558,-168.26442,-16.743019,82.425262
1179000000,-0.29189423,-168.50166,-16.645748,82.453102
1180000000,-0.30483308,-168.45787,-16.69309,82.00193
1181000000,-0.30794722,-168.89053,-16.694895,82.292183
1182000000,-0.31000277,-168.91878,-16.676003,82.035988
1183000000,-0.30588317,-169.11128,-16.689898,82.062584
1184000000,-0.31861994,-169.00369,-16.745081,81.894829
1185000000,-0.29172054,-169.12608,-16.664808,82.074242
1186000000,-0.30470216,-169.30904,-16.660444,82.330833
1187000000,-0.34568268,-169.40057,-16.706791,81.889687
1188000000,-0.3362166,-169.6179,-16.670422,81.786179
1189000000,-0.29049402,-169.72122,-16.676033,81.75798
1190000000,-0.31852084,-170.04973,-16.621628,81.515717
1191000000,-0.28719044,-170.09573,-16.620609,81.844093
1192000000,-0.32728049,-170.32567,-16.653114,81.255051
1193000000,-0.32670191,-170.24896,-16.672462,81.193436
1194000000,-0.30160317,-170.36736,-16.625395,81.49604
1195000000,-0.30379874,-170.67145,-16.594381,81.364014
1196000000,-0.34397462,-170.75696,-16.640234,81.391815
1197000000,-0.32118103,-170.71547,-16.59087,81.410309
1198000000,-0.32684094,-171.13008,-16.657438,81.144348
1199000000,-0.31402773,-171.10654,-16.541765,81.134933
1200000000,-0.30550864,-171.24065,-16.589464,81.354317
1201000000,-0.34652537,-171.51631,-16.602493,80.956123
1202000000,-0.30817756,-171.73523,-16.582211,80.502388
1203000000,-0.30237183,-171.67097,-16.604269,81.083946
1204000000,-0.30011857,-171.88821,-16.554689,80.696091
1205000000,-0.33508781,-171.95897,-16.594755,80.846504
1206000000,-0.32053235,-172.15326,-16.580046,80.754921
1207000000,-0.31378049,-172.33049,-16.55176,80.762894
1208000000,-0.31828418,-172.48193,-16.508297,80.433151
1209000000,-0.34552655,-172.78523,-16.5867,80.22097
1210000000,-0.31532085,-172.89064,-16.526917,79.848236
1211000000,-0.32383719,-172.88776,-16.548393,80.422318
1212000000,-0.29844177,-173.20093,-16.486286,79.863533
1213000000,-0.33003217,-173.22029,-16.561569,79.874016
1214000000,-0.30731121,-173.29704,-16.563688,80.121323
1215000000,-0.34238568,-173.3952,-16.566641,79.871117
1216000000,-0.34350947,-173.52251,-16.549198,79.963272
1217000000,-0.32267722,-173.73428,-16.522184,79.867691
1218000000,-0.2949937,-173.99695,-16.507088,79.746056
1219000000,-0.32017747,-174.13185,-16.477024,79.596123
1220000000,-0.30302957,-173.9547,-16.544853,80.205215
1221000000,-0.32938078,-174.26514,-16.520794,79.630493
1222000000,-0.30424839,-174.42688,-16.52393,79.469307
1223000000,-0.3093459,-174.52377,-16.533468,79.42865
1224000000,-0.3097797,-174.69249,-16.505156,79.46788
1225000000,-0.30384231,-174.99297,-16.469902,79.413734
1226000000,-0.3413088,-175.09447,-16.532051,79.302605
1227000000,-0.33535841,-175.1291,-16.528513,79.252464
1228000000,-0.30387336,-175.40675,-16.452045,78.953712
1229000000,-0.32400116,-175.49808,-16.502954,78.972618
1230000000,-0.33799741,-175.51976,-16.545292,79.01059
1231000000,-0.33688968,-175.92145,-16.468754,78.700096
1232000000,-0.31029233,-175.87164,-16.45356,78.928902
1233000000,-0.31066874,-175.98029,-16.475079,78.911125
1234000000,-0.34849986,-176.13199,-16.516609,78.473167
1235000000,-0.32778525,-176.0224,-16.517834,78.772743
1236000000,-0.29926503,-176.53395,-16.432655,78.430626
1237000000,-0.31852657,-176.43161,-16.483759,78.740349
1238000000,-0.31413728,-176.56644,-16.469854,78.595619
1239000000,-0.33592781,-176.81798,-16.503111,78.049713
1240000000,-0.34085795,-177.01315,-16.488552,78.150558
1241000000,-0.30743611,-177.19708,-16.437183,78.248154
1242000000,-0.33654049,-177.20995,-16.418884,78.151031
1243000000,-0.32632077,-177.3504,-16.435585,78.391304
1244000000,-0.32145593,-177.5108,-16.412781,78.064262
1245000000,-0.33247676,-177.67194,-16.447023,77.683945
1246000000,-0.32929814,-177.8405,-16.432549,77.697098
1247000000,-0.32790291,-177.82568,-16.41082,77.833984
1248000000,-0.30497143,-178.19063,-16.418028,77.857063
1249000000,-0.30995923,-178.24138,-16.404434,77.601418
1250000000,-0.31144443,-178.09793,-16.403503,77.845512
1251000000,-0.31090227,-178.489,-16.41341,77.560143
1252000000,-0.32325068,-178.69975,-16.422377,77.22374
1253000000,-0.3111029,-178.73344,-16.431175,77.253761
1254000000,-0.32196566,-179.11267,-16.419386,77.115746
1255000000,-0.34120438,-179.13977,-16.402708,77.241631
1256000000,-0.33155903,-179.34761,-16.411419,77.216721
1257000000,-0.31596589,-179.42641,-16.333433,76.953796
1258000000,-0.29305488,-179.43925,-16.371714,76.961525
1259000000,-0.31548241,-179.8336,-16.349628,76.549583
1260000000,-0.33896399,-179.87036,-16.429981,76.556213
1261000000,-0.35201761,-179.91245,-16.413923,76.677055
1262000000,-0.32537141,-180.14247,-16.415005,76.468185
1263000000,-0.34974599,-180.24544,-16.386665,76.611427
1264000000,-0.32754931,-180.49478,-16.402733,76.675667
1265000000,-0.30596912,-180.40762,-16.345478,76.545898
1266000000,-0.33712956,-180.66937,-16.425943,76.384537
1267000000,-0.342536,-180.70769,-16.40007,76.33786
1268000000,-0.32885081,-181.00536,-16.431587,76.158356
1269000000,-0.34284914,-181.05592,-16.433781,76.12468
1270000000,-0.32624817,-181.14223,-16.399847,76.103966
1271000000,-0.33422449,-181.3212,-16.408188,75.882553
1272000000,-0.33128235,-181.44395,-16.392828,75.888283
1273000000,-0.33471307,-181.66307,-16.377268,75.554596
1274000000,-0.34031802,-181.68806,-16.413521,75.777328
1275000000,-0.33532327,-181.75674,-16.420895,75.406097
1276000000,-0.32483882,-182.10191,-16.41328,75.546753
1277000000,-0.31873697,-182.16527,-16.405828,75.530945
1278000000,-0.33880702,-182.45926,-16.384125,75.280365
1279000000,-0.34569865,-182.43668,-16.375643,75.159233
1280000000,-0.33376923,-182.6261,-16.417257,75.086578
1281000000,-0.333828,-182.65781,-16.417543,75.138573
1282000000,-0.34124622,-182.88829,-16.406651,75.055817
1283000000,-0.34653074,-183.02361,-16.421373,75.135223
1284000000,-0.34585401,-183.20367,-16.442827,75.021202
1285000000,-0.36294121,-183.41101,-16.46566,74.724686
1286000000,-0.32073522,-183.44351,-16.433418,74.864212
1287000000,-0.33574483,-183.59557,-16.378819,74.601685
1288000000,-0.34337953,-183.87976,-16.420446,74.465118
1289000000,-0.32294974,-183.88057,-16.440462,74.282837
1290000000,-0.34924674,-184.05931,-16.44644,74.271805
1291000000,-0.33648404,-184.1151,-16.41054,74.351822
1292000000,-0.35781136,-184.33691,-16.44932,74.040054
1293000000,-0.32205832,-184.5175,-16.422342,74.437134
1294000000,-0.35843983,-184.48575,-16.490973,74.045341
1295000000,-0.35648519,-184.90335,-16.47151,73.849937
1296000000,-0.34632099,-184.77403,-16.449432,73.879112
1297000000,-0.33279532,-184.98265,-16.452684,73.782547
1298000000,-0.32103857,-185.07083,-16.445631,73.782196
1299000000,-0.32267302,-185.1852,-16.468027,73.754097
1300000000,-0.333747,-185.41029,-16.447144,73.718864
1301000000,-0.34515953,-185.6236,-16.470985,73.30204
1302000000,-0.36186567,-185.66678,-16.485777,73.190315
1303000000,-0.32099953,-185.81635,-16.463902,73.264427
1304000000,-0.35159662,-186.0596,-16.507689,73.169258
1305000000,-0.33263537,-185.99503,-16.490187,73.442284
1306000000,-0.32679224,-186.30864,-16.423512,73.231659
1307000000,-0.32661685,-186.42995,-16.461889,72.946495
1308000000,-0.33530536,-186.49983,-16.492407,72.881454
1309000000,-0.33836457,-186.73039,-16.488676,72.873802
1310000000,-0.34664237,-186.89941,-16.491194,72.829498
1311000000,-0.3269051,-186.69315,-16.516949,72.849396
1312000000,-0.32098046,-186.96802,-16.50293,72.806808
1313000000,-0.33753291,-187.44344,-16.465054,72.212166
1314000000,-0.34691378,-187.45114,-16.510874,72.210602
1315000000,-0.34882313,-187.64938,-16.512499,72.183151
1316000000,-0.33994117,-187.69792,-16.535723,72.209412
1317000000,-0.31903246,-187.85222,-16.475288,72.117554
1318000000,-0.3545585,-187.87061,-16.539997,72.024292
1319000000,-0.34620699,-188.13597,-16.516741,72.026535
1320000000,-0.33394724,-188.29778,-16.542057,71.527161
1321000000,-0.3501758,-188.30301,-16.558125,71.809715
1322000000,-0.34520602,-188.48663,-16.564804,71.312241
1323000000,-0.349841,-188.69789,-16.578279,71.432915
1324000000,-0.35003707,-188.83289,-16.569315,71.298241
1325000000,-0.33368808,-188.87039,-16.612112,71.336021
1326000000,-0.33618176,-189.2495,-16.548805,71.018562
1327000000,-0.35056779,-189.30121,-16.613306,70.831497
1328000000,-0.33410385,-189.17957,-16.598791,71.137772
1329000000,-0.3425833,-189.57761,-16.626167,70.618835
1330000000,-0.32756603,-189.75366,-16.613003,70.612099
1331000000,-0.33209285,-189.82263,-16.646214,70.387993
1332000000,-0.3409031,-190.04654,-16.612343,70.443382
1333000000,-0.32823533,-190.19785,-16.676962,69.960983
1334000000,-0.34243593,-190.22107,-16.675941,70.19529
1335000000,-0.31925133,-190.29697,-16.643572,70.026962
1336000000,-0.34114611,-190.40289,-16.740929,70.239464
1337000000,-0.34036073,-190.64601,-16.684462,70.027092
1338000000,-0.34493271,-190.84802,-16.682127,69.927132
1339000000,-0.33708224,-190.75591,-16.723211,70.185059
1340000000,-0.31540218,-191.19118,-16.690577,69.408539
1341000000,-0.33296591,-191.43623,-16.704063,69.197014
1342000000,-0.33590499,-191.34814,-16.720985,69.450073
1343000000,-0.34170842,-191.47568,-16.747063,69.255066
1344000000,-0.33201241,-191.72473,-16.769825,68.985703
1345000000,-0.32336143,-191.80165,-16.780043,69.156387
1346000000,-0.33518946,-191.94516,-16.788883,69.00737
1347000000,-0.32924277,-192.28221,-16.744482,68.770676
1348000000,-0.34844232,-192.33664,-16.796265,68.717911
1349000000,-0.36081713,-192.46483,-16.846533,68.58551
1350000000,-0.32295492,-192.53423,-16.826761,68.630524
1351000000,-0.36641166,-192.69054,-16.870327,68.430832
1352000000,-0.33965096,-192.90337,-16.832581,68.389359
1353000000,-0.37207273,-193.08423,-16.900023,68.217896
1354000000,-0.33354971,-193.2802,-16.880323,67.883926
1355000000,-0.33676422,-193.1964,-16.88867,67.857681
1356000000,-0.36416316,-193.4734,-16.941174,67.674515
1357000000,-0.35160559,-193.46219,-16.942566,67.793388
1358000000,-0.33128905,-193.75677,-16.982475,67.843658
1359000000,-0.346046,-193.80768,-16.990833,67.47168
1360000000,-0.34610757,-193.95634,-17.010216,67.612885
1361000000,-0.34006956,-194.071,-17.010153,67.525307
1362000000,-0.33564016,-194.34134,-17.043612,67.224289
1363000000,-0.34017432,-194.46553,-17.073137,67.08297
1364000000,-0.35480985,-194.76913,-17.092581,66.963356
1365000000,-0.35845867,-194.70422,-17.147886,67.185219
1366000000,-0.38282859,-194.89697,-17.191544,66.877548
1367000000,-0.38389599,-194.88066,-17.258015,67.04924
1368000000,-0.38227394,-195.03902,-17.265461,67.028801
1369000000,-0.38712656,-195.24681,-17.327072,66.884094
1370000000,-0.38411254,-195.42497,-17.335697,66.984818
1371000000,-0.385131,-195.40436,-17.363605,67.315247
1372000000,-0.37945864,-195.60202,-17.420441,67.33625
1373000000,-0.39918455,-195.79172,-17.482641,67.629196
1374000000,-0.40039718,-196.07298,-17.495481,67.592255
1375000000,-0.38759598,-196.16258,-17.475182,68.102333
1376000000,-0.39717853,-196.05795,-17.525076,68.198212
1377000000,-0.40767929,-196.43027,-17.526114,68.446808
1378000000,-0.39322364,-196.16141,-17.508169,69.102852
1379000000,-0.40782854,-196.58968,-17.503139,68.941689
1380000000,-0.40140817,-196.66492,-17.481339,69.022728
1381000000,-0.40995848,-196.53447,-17.485807,69.403252
1382000000,-0.39554507,-196.67467,-17.43281,69.520844
1383000000,-0.3641589,-196.96661,-17.364029,69.374748
1384000000,-0.40498233,-197.01865,-17.38089,69.450104
1385000000,-0.38768515,-197.14647,-17.34041,69.239326
1386000000,-0.366173,-197.28741,-17.323698,69.435669
1387000000,-0.3994087,-197.43185,-17.32612,69.135338
1388000000,-0.4078826,-197.62154,-17.311432,69.135292
1389000000,-0.39701551,-197.66013,-17.31167,68.839508
1390000000,-0.3729766,-197.7802,-17.254568,69.095131
1391000000,-0.36857525,-197.97742,-17.274685,68.539597
1392000000,-0.34944198,-198.12996,-17.24502,68.431282
1393000000,-0.36068952,-198.38457,-17.241232,68.351021
1394000000,-0.38433111,-198.31604,-17.265556,68.227127
1395000000,-0.38484171,-198.58437,-17.260025,68.125946
1396000000,-0.37437746,-198.59926,-17.273321,67.82869
1397000000,-0.34657764,-198.75249,-17.260033,67.827164
1398000000,-0.35398021,-199.00546,-17.251581,67.660767
1399000000,-0.35079426,-199.01924,-17.262465,67.646057
1400000000,-0.35033274,-199.10466,-17.262642,67.404312
1401000000,-0.3866176,-199.39854,-17.31916,67.217842
1402000000,-0.36707965,-199.4576,-17.302605,67.052376
1403000000,-0.34147191,-199.72736,-17.286436,66.90435
1404000000,-0.35985872,-199.8297,-17.306107,66.774208
1405000000,-0.34419349,-200.06052,-17.28569,66.668381
1406000000,-0.34373543,-200.21249,-17.322844,66.457176
1407000000,-0.36232427,-200.28398,-17.327724,66.32605
1408000000,-0.35067695,-200.47379,-17.359396,66.238838
1409000000,-0.34991547,-200.41078,-17.367302,66.166313
1410000000,-0.33455995,-200.67595,-17.356415,66.026665
1411000000,-0.34011865,-200.79573,-17.332174,66.087997
1412000000,-0.36483073,-201.11272,-17.409225,65.679497
1413000000,-0.33348995,-201.07103,-17.394289,65.84417
1414000000,-0.34695622,-201.16826,-17.425549,65.700798
1415000000,-0.3554751,-201.40231,-17.450436,65.471024
1416000000,-0.35926455,-201.48653,-17.451946,65.545059
1417000000,-0.34193131,-201.8878,-17.462267,65.383499
1418000000,-0.33467764,-201.82306,-17.464396,65.368309
1419000000,-0.35350779,-202.01611,-17.496939,65.126244
1420000000,-0.34651306,-202.15855,-17.534666,65.013519
1421000000,-0.33049288,-202.24644,-17.514288,65.099609
1422000000,-0.34227553,-202.40813,-17.562737,64.835831
1423000000,-0.33532715,-202.58632,-17.540482,64.73748
1424000000,-0.32196033,-202.70912,-17.555321,64.68
1425000000,-0.33162573,-202.71887,-17.60169,64.673195
1426000000,-0.35125789,-202.97639,-17.61726,64.484116
1427000000,-0.3399612,-203.19217,-17.610746,64.369629
1428000000,-0.30266041,-203.23473,-17.603561,64.639961
1429000000,-0.37318328,-203.31638,-17.670225,64.35865
1430000000,-0.34720191,-203.6179,-17.657124,64.133659
1431000000,-0.33295116,-203.88652,-17.672678,64.054268
1432000000,-0.34694791,-203.70341,-17.666687,64.058273
1433000000,-0.33451438,-203.79483,-17.707754,64.00396
1434000000,-0.32758817,-204.05658,-17.694378,63.927929
1435000000,-0.3382521,-204.23317,-17.721598,63.807751
1436000000,-0.34192783,-204.22249,-17.760286,64.018021
1437000000,-0.32035413,-204.72826,-17.722319,63.28738
1438000000,-0.35661721,-204.76508,-17.818548,63.343277
1439000000,-0.3454262,-204.84505,-17.806679,63.339596
1440000000,-0.34806773,-204.89403,-17.834913,63.470901
1441000000,-0.32320744,-205.18335,-17.800545,63.053123
1442000000,-0.35407779,-205.2912,-17.878029,62.891869
1443000000,-0.32609487,-205.38658,-17.865385,63.235531
1444000000,-0.34302071,-205.60152,-17.892664,62.908325
1445000000,-0.2960833,-205.69548,-17.888758,62.859886
1446000000,-0.32859948,-205.95421,-17.939024,62.664303
1447000000,-0.34170297,-205.95425,-17.946234,62.64584
1448000000,-0.34116355,-205.95912,-18.003719,62.777569
1449000000,-0.33074686,-206.19516,-18.003052,62.459347
1450000000,-0.34701028,-206.40485,-18.010042,62.343674
1451000000,-0.31803837,-206.43181,-18.021017,62.615513
1452000000,-0.33263347,-206.91641,-18.040499,62.15572
1453000000,-0.35675421,-206.70139,-18.111145,62.236931
1454000000,-0.35525152,-206.90237,-18.113916,62.165318
1455000000,-0.33921051,-207.21843,-18.094234,62.016361
1456000000,-0.35153595,-207.26778,-18.125927,61.92197
1457000000,-0.33763725,-207.31914,-18.166679,61.870308
1458000000,-0.34481302,-207.37079,-18.208216,61.843082
1459000000,-0.33139607,-207.71663,-18.197205,61.72007
1460000000,-0.32293871,-207.69882,-18.20179,61.660423
1461000000,-0.33919528,-207.9584,-18.293776,61.642548
1462000000,-0.33942276,-207.96162,-18.273922,61.691589
1463000000,-0.33316341,-208.35405,-18.261703,61.405567
1464000000,-0.32826445,-208.37985,-18.281433,61.311256
1465000000,-0.35259715,-208.47853,-18.340464,61.037502
1466000000,-0.32248381,-208.80756,-18.326447,61.047672
1467000000,-0.33493257,-208.79375,-18.344555,61.094402
1468000000,-0.31574836,-208.90482,-18.313295,61.102547
1469000000,-0.34950852,-209.03702,-18.441065,60.985218
1470000000,-0.32659239,-209.06531,-18.396563,61.02845
1471000000,-0.33588096,-209.49277,-18.440239,60.666172
1472000000,-0.326428,-209.52219,-18.459303,60.554565
1473000000,-0.31197023,-209.75089,-18.455275,60.459736
1474000000,-0.32898471,-209.67587,-18.444517,60.583286
1475000000,-0.34384763,-209.88498,-18.545078,60.162956
1476000000,-0.3464103,-210.03679,-18.552536,60.390701
