Freq(Hz),S21_90deg,S21_180deg,S21_thru,S21_thru_with_coupling
1098000000,-0.27791411,-0.29700261,-0.23763581,-0.27961665
1099000000,-0.23501399,-0.28706193,-0.21051614,-0.25062639
1100000000,-0.24311109,-0.2797313,-0.19455807,-0.24919511
1101000000,-0.26317024,-0.31481352,-0.22058983,-0.29709971
1102000000,-0.23498066,-0.25475773,-0.20308611,-0.2607688
1103000000,-0.25694314,-0.28378195,-0.21354571,-0.28324285
1104000000,-0.26004446,-0.29340741,-0.22093849,-0.25734943
1105000000,-0.25064099,-0.28731012,-0.19668116,-0.25773305
1106000000,-0.24801302,-0.28655618,-0.2033972,-0.29668704
1107000000,-0.24247545,-0.27703613,-0.22408901,-0.27895656
1108000000,-0.27033642,-0.29480848,-0.22011748,-0.28149879
1109000000,-0.23233946,-0.27536476,-0.19256225,-0.26174608
1110000000,-0.26414463,-0.29691592,-0.23366894,-0.28654414
1111000000,-0.25949052,-0.2866292,-0.25111556,-0.29789576
1112000000,-0.23994257,-0.28981325,-0.22483483,-0.28921017
1113000000,-0.24765918,-0.28693765,-0.22318909,-0.29183698
1114000000,-0.2564376,-0.30049327,-0.23895447,-0.27710256
1115000000,-0.2684398,-0.27362096,-0.21655609,-0.27868074
1116000000,-0.26893914,-0.29518184,-0.24270034,-0.27924505
1117000000,-0.22361444,-0.29002872,-0.19276989,-0.26516718
1118000000,-0.24336299,-0.3035939,-0.22369677,-0.29319918
1119000000,-0.27611554,-0.3085373,-0.24463794,-0.3038781
1120000000,-0.27128181,-0.31162727,-0.23904815,-0.28117865
1121000000,-0.25961098,-0.29636455,-0.24194834,-0.28441769
1122000000,-0.26855919,-0.28129646,-0.23670684,-0.2869792
1123000000,-0.25164676,-0.27608779,-0.21579863,-0.2738573
1124000000,-0.24517125,-0.27922085,-0.22038059,-0.28340417
1125000000,-0.21357735,-0.27492827,-0.21337558,-0.27793008
1126000000,-0.264678,-0.30599391,-0.24299784,-0.284812
1127000000,-0.22791478,-0.27433628,-0.22412483,-0.27781162
1128000000,-0.23719521,-0.30854666,-0.26704407,-0.29795197
1129000000,-0.27069592,-0.27557969,-0.21080826,-0.27861276
1130000000,-0.26458523,-0.29443863,-0.24693362,-0.30068997
1131000000,-0.24005426,-0.29788136,-0.21565674,-0.27015474
1132000000,-0.24374542,-0.26991099,-0.22246984,-0.30613387
1133000000,-0.24598005,-0.29731667,-0.2412871,-0.3036876
1134000000,-0.26887217,-0.2798593,-0.25119784,-0.30273169
1135000000,-0.26924717,-0.32165095,-0.23570587,-0.3108283
1136000000,-0.24819611,-0.27188808,-0.22805324,-0.29072347
1137000000,-0.25140125,-0.26914781,-0.21778391,-0.27932858
1138000000,-0.25530452,-0.30917877,-0.25624147,-0.317745
1139000000,-0.28163454,-0.30574059,-0.24112274,-0.3175551
1140000000,-0.2687594,-0.30864432,-0.2508786,-0.3023842
1141000000,-0.2600674,-0.31151268,-0.23486219,-0.29582313
1142000000,-0.2502369,-0.29261553,-0.23428935,-0.3178879
1143000000,-0.24037138,-0.29729003,-0.24689482,-0.27718034
1144000000,-0.29904333,-0.30547681,-0.2630924,-0.30535358
1145000000,-0.2513881,-0.28325909,-0.25864297,-0.29479906
1146000000,-0.24640222,-0.28811917,-0.24788596,-0.31439057
1147000000,-0.27433595,-0.2783289,-0.23986164,-0.30528006
1148000000,-0.24557871,-0.31286994,-0.24571609,-0.30265579
1149000000,-0.25080264,-0.28325206,-0.22971891,-0.28774139
1150000000,-0.27851656,-0.30575541,-0.26783505,-0.32000527
1151000000,-0.25025627,-0.28964025,-0.24412651,-0.3049221
1152000000,-0.25138092,-0.30367333,-0.26631632,-0.30655903
1153000000,-0.26099426,-0.2946822,-0.23617557,-0.27934596
1154000000,-0.26613584,-0.30488792,-0.26496941,-0.31023788
1155000000,-0.25228453,-0.28542098,-0.24374233,-0.31170884
1156000000,-0.26045215,-0.30135205,-0.22738995,-0.29693577
1157000000,-0.26244447,-0.29042137,-0.24583322,-0.28762552
1158000000,-0.25194019,-0.28981063,-0.24672729,-0.30782622
1159000000,-0.25204352,-0.30218634,-0.23529825,-0.32089448
1160000000,-0.26556343,-0.28304419,-0.26467368,-0.31850722
1161000000,-0.27279612,-0.30267733,-0.25562611,-0.31933174
1162000000,-0.25688699,-0.28337568,-0.2596885,-0.31813163
1163000000,-0.27052829,-0.28763348,-0.27426487,-0.3150976
1164000000,-0.25588316,-0.26829356,-0.25470608,-0.2889649
1165000000,-0.25782719,-0.29345414,-0.24516109,-0.30160621
1166000000,-0.24300881,-0.27836955,-0.24490793,-0.31592476
1167000000,-0.24290918,-0.28501394,-0.25553402,-0.28489539
1168000000,-0.24418765,-0.28635165,-0.25907102,-0.32045949
1169000000,-0.25533473,-0.30180866,-0.24942665,-0.30413145
1170000000,-0.26095581,-0.30199957,-0.26871794,-0.31049666
1171000000,-0.24053688,-0.28433454,-0.23337725,-0.28518644
1172000000,-0.25845799,-0.31250915,-0.27009839,-0.33522701
1173000000,-0.27224708,-0.28032035,-0.26810604,-0.32130191
1174000000,-0.23651202,-0.2745606,-0.24285209,-0.28328416
1175000000,-0.24361347,-0.26111433,-0.24547729,-0.29033598
1176000000,-0.27384704,-0.31328106,-0.28789446,-0.31494263
1177000000,-0.2263858,-0.26816005,-0.24545079,-0.27769253
1178000000,-0.27243149,-0.29447725,-0.23889564,-0.30368558
1179000000,-0.25195786,-0.27597132,-0.24492201,-0.29189423
1180000000,-0.26568729,-0.29722673,-0.26218718,-0.30483308
1181000000,-0.23814155,-0.28077695,-0.24085011,-0.30794722
1182000000,-0.27437025,-0.31333733,-0.28165954,-0.31000277
1183000000,-0.23813036,-0.27166808,-0.27617794,-0.30588317
1184000000,-0.24653514,-0.29122496,-0.23389801,-0.31861994
1185000000,-0.24801396,-0.29688513,-0.24185641,-0.29172054
1186000000,-0.24151573,-0.28434521,-0.23808585,-0.30470216
1187000000,-0.28653565,-0.32517034,-0.27370495,-0.34568268
1188000000,-0.26919034,-0.29756734,-0.26569581,-0.3362166
1189000000,-0.23204972,-0.27239445,-0.23908764,-0.29049402
1190000000,-0.26009354,-0.29146606,-0.27016521,-0.31852084
1191000000,-0.23951524,-0.29830813,-0.26098379,-0.28719044
1192000000,-0.25110525,-0.2999332,-0.26870766,-0.32728049
1193000000,-0.26249295,-0.29289168,-0.28493172,-0.32670191
1194000000,-0.23696853,-0.26773667,-0.24582519,-0.30160317
1195000000,-0.24929945,-0.29780519,-0.25489867,-0.30379874
1196000000,-0.27290186,-0.30448508,-0.2651692,-0.34397462
1197000000,-0.25839224,-0.29201692,-0.26121396,-0.32118103
1198000000,-0.26762602,-0.28825209,-0.30320156,-0.32684094
1199000000,-0.24751429,-0.28446954,-0.29071781,-0.31402773
1200000000,-0.2345235,-0.27766368,-0.23974882,-0.30550864
1201000000,-0.26892278,-0.31188875,-0.27884918,-0.34652537
1202000000,-0.24067228,-0.29467571,-0.24152856,-0.30817756
1203000000,-0.25093633,-0.2810545,-0.24659705,-0.30237183
1204000000,-0.23622258,-0.30744046,-0.26815307,-0.30011857
1205000000,-0.23908386,-0.31283158,-0.26659074,-0.33508781
1206000000,-0.24717055,-0.28284004,-0.28230584,-0.32053235
1207000000,-0.24102673,-0.29674652,-0.28055939,-0.31378049
1208000000,-0.24965614,-0.30900162,-0.27819201,-0.31828418
1209000000,-0.25134218,-0.29021382,-0.27522576,-0.34552655
1210000000,-0.24566048,-0.28721288,-0.26290095,-0.31532085
1211000000,-0.27040869,-0.30396393,-0.25897822,-0.32383719
1212000000,-0.23813114,-0.28435802,-0.25969276,-0.29844177
1213000000,-0.25274765,-0.30166483,-0.25550082,-0.33003217
1214000000,-0.26064467,-0.29505581,-0.26372162,-0.30731121
1215000000,-0.25361967,-0.30807999,-0.28326347,-0.34238568
1216000000,-0.24626701,-0.28748262,-0.27280131,-0.34350947
1217000000,-0.2442098,-0.27200657,-0.26779318,-0.32267722
1218000000,-0.21762906,-0.28347096,-0.24668309,-0.2949937
1219000000,-0.2452701,-0.30089608,-0.28775728,-0.32017747
1220000000,-0.24431269,-0.28532147,-0.2665776,-0.30302957
1221000000,-0.24022096,-0.31562024,-0.29297233,-0.32938078
1222000000,-0.22974272,-0.27821758,-0.23937802,-0.30424839
1223000000,-0.24894993,-0.28568181,-0.27296966,-0.3093459
1224000000,-0.24400599,-0.27057642,-0.258757,-0.3097797
1225000000,-0.20353228,-0.27855214,-0.22449276,-0.30384231
1226000000,-0.24560012,-0.31702548,-0.2934998,-0.3413088
1227000000,-0.26510751,-0.31238657,-0.28432968,-0.33535841
1228000000,-0.26674607,-0.30916142,-0.29410148,-0.30387336
1229000000,-0.25889379,-0.29623559,-0.29295945,-0.32400116
1230000000,-0.26386383,-0.30937207,-0.2871629,-0.33799741
1231000000,-0.2587823,-0.28591594,-0.28503829,-0.33688968
1232000000,-0.23765591,-0.29805288,-0.2602573,-0.31029233
1233000000,-0.24448605,-0.2902436,-0.25975952,-0.31066874
1234000000,-0.29449317,-0.32055888,-0.29944661,-0.34849986
1235000000,-0.24504867,-0.29617751,-0.26684219,-0.32778525
1236000000,-0.25318682,-0.29925483,-0.2529048,-0.29926503
1237000000,-0.26832807,-0.2825155,-0.27179408,-0.31852657
1238000000,-0.230766,-0.30621183,-0.27635917,-0.31413728
1239000000,-0.25796288,-0.3125917,-0.27053538,-0.33592781
1240000000,-0.26049632,-0.28713471,-0.29438201,-0.34085795
1241000000,-0.22845887,-0.29139897,-0.2703529,-0.30743611
1242000000,-0.25085458,-0.31733423,-0.27723598,-0.33654049
1243000000,-0.23600799,-0.30826855,-0.26796365,-0.32632077
1244000000,-0.2332193,-0.2854721,-0.27481398,-0.32145593
1245000000,-0.26900202,-0.32151833,-0.27429006,-0.33247676
1246000000,-0.25070328,-0.29919407,-0.28706214,-0.32929814
1247000000,-0.23801251,-0.2988753,-0.27902862,-0.32790291
1248000000,-0.24464445,-0.27955443,-0.25805134,-0.30497143
1249000000,-0.23420289,-0.29929203,-0.2582157,-0.30995923
1250000000,-0.26149768,-0.31228513,-0.26177338,-0.31144443
1251000000,-0.23644881,-0.28298041,-0.26998597,-0.31090227
1252000000,-0.26178047,-0.30297312,-0.28034535,-0.32325068
1253000000,-0.24984048,-0.29477516,-0.27619639,-0.3111029
1254000000,-0.22988899,-0.29281023,-0.24758387,-0.32196566
1255000000,-0.25964212,-0.33163172,-0.28205255,-0.34120438
1256000000,-0.24749497,-0.30233684,-0.27858147,-0.33155903
1257000000,-0.26299271,-0.29506043,-0.26726869,-0.31596589
1258000000,-0.22188164,-0.29179838,-0.26076075,-0.29305488
1259000000,-0.243847,-0.30587158,-0.28452152,-0.31548241
1260000000,-0.25327981,-0.31288573,-0.29472885,-0.33896399
1261000000,-0.27614245,-0.32379895,-0.32501382,-0.35201761
1262000000,-0.27202928,-0.31390366,-0.29063514,-0.32537141
1263000000,-0.24719265,-0.31215683,-0.27448204,-0.34974599
1264000000,-0.24265026,-0.29793778,-0.26194403,-0.32754931
1265000000,-0.25832129,-0.32734945,-0.28448951,-0.30596912
1266000000,-0.25297868,-0.30396697,-0.2656571,-0.33712956
1267000000,-0.23948117,-0.32407221,-0.29596362,-0.342536
1268000000,-0.21324326,-0.29082063,-0.27186781,-0.32885081
1269000000,-0.24960235,-0.30034083,-0.26719308,-0.34284914
1270000000,-0.25204623,-0.32969958,-0.2718069,-0.32624817
1271000000,-0.24295035,-0.31328341,-0.26925406,-0.33422449
1272000000,-0.27359879,-0.33771387,-0.28419086,-0.33128235
1273000000,-0.2553747,-0.33434662,-0.28650588,-0.33471307
1274000000,-0.24150433,-0.33837363,-0.26602706,-0.34031802
1275000000,-0.26136571,-0.30889446,-0.29204908,-0.33532327
1276000000,-0.24611068,-0.30406231,-0.27548939,-0.32483882
1277000000,-0.26327205,-0.3076795,-0.28262267,-0.31873697
1278000000,-0.24218464,-0.32820091,-0.28751951,-0.33880702
1279000000,-0.24668762,-0.31899989,-0.28293401,-0.34569865
1280000000,-0.22492407,-0.31751353,-0.27193412,-0.33376923
1281000000,-0.25283942,-0.33109859,-0.29740036,-0.333828
1282000000,-0.23184426,-0.32643646,-0.26806903,-0.34124622
1283000000,-0.24414314,-0.31292668,-0.29929993,-0.34653074
1284000000,-0.27159572,-0.32745323,-0.30108964,-0.34585401
1285000000,-0.25008321,-0.31112328,-0.29601312,-0.36294121
1286000000,-0.24069153,-0.29949552,-0.30276242,-0.32073522
1287000000,-0.25998718,-0.33671591,-0.26746252,-0.33574483
1288000000,-0.25094113,-0.3407861,-0.30056566,-0.34337953
1289000000,-0.22926046,-0.30032977,-0.28405371,-0.32294974
1290000000,-0.24350075,-0.313492,-0.31057581,-0.34924674
1291000000,-0.25928897,-0.33576593,-0.30367136,-0.33648404
1292000000,-0.27888802,-0.33930367,-0.28675744,-0.35781136
1293000000,-0.27287862,-0.32891798,-0.29048818,-0.32205832
1294000000,-0.29620346,-0.3287158,-0.31312448,-0.35843983
1295000000,-0.25841519,-0.33360317,-0.3006568,-0.35648519
1296000000,-0.23142865,-0.32432878,-0.26443708,-0.34632099
1297000000,-0.26369989,-0.36083645,-0.31373262,-0.33279532
1298000000,-0.2420807,-0.3414188,-0.30671012,-0.32103857
1299000000,-0.25208724,-0.33137852,-0.27474061,-0.32267302
1300000000,-0.23865563,-0.3319062,-0.27588195,-0.333747
1301000000,-0.25317481,-0.3270438,-0.29404658,-0.34515953
1302000000,-0.26674467,-0.36623892,-0.31037581,-0.36186567
