Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1.046,-4.694054257,-4.7314315,-4.674619745,-4.7660899,-4.680730805,-4.5101089,-4.679669694,-4.7673192
1.047,-4.692927177,-4.733006,-4.673493407,-4.7905455,-4.67960479,-4.540103,-4.678521539,-4.7301288
1.048,-4.691803117,-4.7422976,-4.672370061,-4.8079648,-4.678481796,-4.5503888,-4.677376431,-4.7501864
1.049,-4.690682082,-4.7057252,-4.671249714,-4.7718844,-4.677361831,-4.5217261,-4.676234377,-4.7457938
1.05,-4.68956408,-4.7135539,-4.670132372,-4.781383,-4.676244903,-4.5331206,-4.675095386,-4.7526822
1.051,-4.688449121,-4.7329679,-4.669018045,-4.7787232,-4.67513102,-4.5371494,-4.673959466,-4.7268939
1.052,-4.68733721,-4.7097306,-4.66790674,-4.7697101,-4.674020189,-4.5094051,-4.672826624,-4.7700796
1.053,-4.686228356,-4.7176619,-4.666798464,-4.787147,-4.672912418,-4.5403481,-4.671696867,-4.7330008
1.054,-4.685122568,-4.7223034,-4.665693226,-4.784801,-4.671807715,-4.5462389,-4.670570205,-4.7523274
1.055,-4.684019851,-4.7165179,-4.664591032,-4.796804,-4.670706088,-4.5513797,-4.669446643,-4.7427692
1.056,-4.682920215,-4.7748885,-4.663491892,-4.7825356,-4.669607545,-4.5482154,-4.668326191,-4.7315807
1.057,-4.681823668,-4.695076,-4.662395812,-4.7486339,-4.668512092,-4.4929852,-4.667208856,-4.7137032
1.058,-4.680730216,-4.7664223,-4.6613028,-4.8104472,-4.667419739,-4.5688152,-4.666094645,-4.7496195
1.059,-4.679639868,-4.7384453,-4.660212864,-4.7729092,-4.666330493,-4.5394878,-4.664983567,-4.7317762
1.06,-4.678552631,-4.7153373,-4.659126013,-4.7674627,-4.665244361,-4.5147433,-4.66387563,-4.7489958
1.061,-4.677468515,-4.7162862,-4.658042253,-4.7751598,-4.664161352,-4.5243773,-4.662770841,-4.7488561
1.062,-4.676387525,-4.7527847,-4.656961593,-4.7563314,-4.663081474,-4.5277214,-4.661669208,-4.7258735
1.063,-4.675309671,-4.7136421,-4.65588404,-4.763176,-4.662004734,-4.5105524,-4.660570739,-4.7051821
1.064,-4.67423496,-4.707418,-4.654809603,-4.7695265,-4.660931141,-4.5093288,-4.659475441,-4.740447
