frequency,eps_r,e''
20000000,77.8114,1.2334
59960000,78.3127,0.2452
99920000,78.1749,0.3814
139880000,78.4338,0.6435
179840000,78.3594,0.9907
219800000,78.3039,0.9162
259760000,78.3566,1.1298
299720000,78.2881,1.1093
339680000,78.3729,1.3428
379640000,78.3371,1.5343
419600000,78.3304,1.6302
459560000,78.2904,1.7975
499520000,78.3135,1.9309
539480000,78.2856,2.0701
579440000,78.3063,2.2163
619400000,78.2797,2.3401
659360000,78.2815,2.529
699320000,78.2719,2.6692
739280000,78.3399,2.8318
779240000,78.2131,3.002
819200000,78.2296,3.0841
859160000,78.2182,3.2628
899120000,78.1661,3.3993
939080000,78.1533,3.574
979040000,78.1903,3.7267
1019000000,78.1762,3.9051
1058960000,78.1276,4.0343
1098920000,78.118,4.1796
1138880000,78.0815,4.3378
1178840000,78.0512,4.5058
1218800000,78.055,4.6375
1258760000,78.0192,4.7535
1298720000,78.0355,4.9252
1338680000,78.0348,5.0486
1378640000,77.9994,5.2163
1418600000,77.9853,5.3588
1458560000,77.9574,5.5403
1498520000,77.9422,5.6763
1538480000,77.9234,5.8292
1578440000,77.8852,5.9834
1618400000,77.8645,6.1195
1658360000,77.8295,6.2789
1698320000,77.8052,6.427
1738280000,77.7809,6.5847
1778240000,77.7446,6.7272
1818200000,77.7114,6.8848
1858160000,77.6923,7.0143
1898120000,77.6612,7.1792
1938080000,77.6189,7.3279
1978040000,77.594,7.4794
2018000000,77.5766,7.6022
2057960000,77.5485,7.7634
2097920000,77.5176,7.9216
2137880000,77.4933,8.0626
2177840000,77.4489,8.2013
2217800000,77.422,8.3465
2257760000,77.384,8.4931
2297720000,77.3625,8.6365
2337680000,77.3283,8.8031
2377640000,77.2765,8.9548
2417600000,77.2252,9.0825
2457560000,77.1832,9.2364
2497520000,77.1452,9.3853
2537480000,77.0964,9.5364
2577440000,77.0533,9.6575
2617400000,77.0066,9.8068
2657360000,76.9672,9.9544
2697320000,76.9362,10.0805
2737280000,76.8906,10.2101
2777240000,76.8623,10.3579
2817200000,76.811,10.4984
2857160000,76.7749,10.6466
2897120000,76.7451,10.7891
2937080000,76.6996,10.9409
2977040000,76.6605,11.0731
3017000000,76.6082,11.2053
3056960000,76.5561,11.3591
3096920000,76.5048,11.4959
3136880000,76.4636,11.6468
3176840000,76.4085,11.7797
3216800000,76.3452,11.9258
3256760000,76.285,12.0675
3296720000,76.2359,12.2012
3336680000,76.1879,12.3313
3376640000,76.1324,12.4754
3416600000,76.0665,12.6114
3456560000,76.0091,12.728
3496520000,75.981,12.8859
3536480000,75.9371,13.0155
3576440000,75.896,13.1516
3616400000,75.8492,13.2826
3656360000,75.7919,13.44
3696320000,75.7429,13.5722
3736280000,75.6817,13.7094
3776240000,75.6208,13.8344
3816200000,75.551,13.9694
3856160000,75.4888,14.1234
3896120000,75.4072,14.2405
3936080000,75.3322,14.3906
3976040000,75.3057,14.502
4016000000,75.2457,14.6615
4055960000,75.196,14.7858
4095920000,75.138,14.9039
4135880000,75.0822,15.0466
4175840000,75.0298,15.1618
4215800000,74.9713,15.3055
4255760000,74.8966,15.4257
4295720000,74.8165,15.5539
4335680000,74.7657,15.6888
4375640000,74.6968,15.825
4415600000,74.6259,15.9538
4455560000,74.5633,16.0817
4495520000,74.4906,16.2206
4535480000,74.4501,16.3301
4575440000,74.374,16.4629
4615400000,74.3017,16.5729
4655360000,74.2459,16.6959
4695320000,74.1635,16.8186
4735280000,74.0857,16.9435
4775240000,74.0124,17.073
4815200000,73.9469,17.2026
4855160000,73.8758,17.3328
4895120000,73.8183,17.4619
4935080000,73.7509,17.5874
4975040000,73.6941,17.724
5015000000,73.6375,17.8444
5054960000,73.5726,17.9519
5094920000,73.4996,18.0828
5134880000,73.4122,18.2054
5174840000,73.3419,18.3234
5214800000,73.2615,18.4381
5254760000,73.1894,18.5453
5294720000,73.1065,18.684
5334680000,73.0327,18.8142
5374640000,72.9714,18.9347
5414600000,72.9113,19.0537
5454560000,72.84,19.1696
5494520000,72.7584,19.2916
5534480000,72.6891,19.4136
5574440000,72.6113,19.5138
5614400000,72.5263,19.6205
5654360000,72.438,19.7389
5694320000,72.3554,19.8667
5734280000,72.2799,19.9832
5774240000,72.2102,20.104
5814200000,72.1436,20.2145
5854160000,72.0661,20.3488
5894120000,72.0105,20.4635
5934080000,71.9354,20.5771
5974040000,71.8502,20.6629
6014000000,71.7519,20.7719
6053960000,71.6612,20.8887
6093920000,71.5722,20.9943
6133880000,71.507,21.0908
6173840000,71.4059,21.2026
6213800000,71.3172,21.3288
6253760000,71.2508,21.4563
6293720000,71.1891,21.589
6333680000,71.132,21.6877
6373640000,71.0652,21.7931
6413600000,70.9716,21.8945
6453560000,70.8766,21.9917
6493520000,70.7928,22.0921
6533480000,70.7049,22.1694
6573440000,70.5974,22.2795
6613400000,70.4934,22.4132
6653360000,70.416,22.5254
6693320000,70.3636,22.6354
6733280000,70.294,22.75
6773240000,70.2126,22.8542
6813200000,70.1348,22.971
6853160000,70.0432,23.061
6893120000,69.9582,23.1713
6933080000,69.871,23.2638
6973040000,69.7712,23.3745
7013000000,69.6901,23.4348
7052960000,69.5724,23.5411
7092920000,69.4761,23.6313
7132880000,69.3636,23.7431
7172840000,69.2992,23.8623
7212800000,69.2497,23.9836
7252760000,69.1648,24.0888
7292720000,69.1017,24.1921
7332680000,69.0104,24.2728
7372640000,68.9282,24.3358
7412600000,68.7964,24.4236
7452560000,68.7093,24.5248
7492520000,68.6008,24.6207
7532480000,68.5197,24.7336
7572440000,68.4481,24.8254
7612400000,68.3452,24.9285
7652360000,68.2684,25.0529
7692320000,68.1951,25.1514
7732280000,68.1153,25.2411
7772240000,68.0353,25.3328
7812200000,67.9443,25.4063
7852160000,67.8629,25.4821
7892120000,67.7677,25.547
7932080000,67.639,25.5974
7972040000,67.5182,25.681
8012000000,67.419,25.7984
8051960000,67.3109,25.8903
8091920000,67.2277,26.0324
8131880000,67.1528,26.1334
8171840000,67.0814,26.2454
8211800000,67.0483,26.3457
8251760000,66.9842,26.3836
8291720000,66.8572,26.4425
8331680000,66.7389,26.528
8371640000,66.64,26.6134
8411600000,66.5332,26.6842
8451560000,66.4435,26.7603
8491520000,66.328,26.8621
8531480000,66.2424,26.9423
8571440000,66.1408,27.0472
8611400000,66.0691,27.1511
8651360000,65.9822,27.2634
8691320000,65.9119,27.3531
8731280000,65.8268,27.4
8771240000,65.7164,27.4457
8811200000,65.6156,27.4932
8851160000,65.5084,27.5333
8891120000,65.4172,27.6062
8931080000,65.3069,27.6574
8971040000,65.1735,27.7607
9011000000,65.0638,27.8776
9050960000,64.9898,28.0163
9090920000,64.9508,28.1456
9130880000,64.8766,28.2319
9170840000,64.8183,28.2909
9210800000,64.6972,28.3187
9250760000,64.5736,28.3679
9290720000,64.5028,28.4354
9330680000,64.4053,28.4595
9370640000,64.299,28.5037
9410600000,64.1289,28.5565
9450560000,63.9914,28.7065
9490520000,63.9215,28.8513
9530480000,63.8708,28.9533
9570440000,63.7844,28.9907
9610400000,63.6776,29.0531
9650360000,63.6202,29.0871
9690320000,63.5251,29.1126
9730280000,63.4118,29.1518
9770240000,63.2883,29.1719
9810200000,63.1457,29.2072
9850160000,63.0345,29.2961
9890120000,62.9189,29.4032
9930080000,62.8348,29.5202
9970040000,62.7683,29.6519
10010000000,62.7235,29.8094
10049960000,62.6808,29.837
10089920000,62.5532,29.88
10129880000,62.4529,29.9435
10169840000,62.3535,29.9709
10209800000,62.2934,29.972
10249760000,62.1818,29.929
10289720000,62.0007,29.9425
10329680000,61.8432,30.0316
10369640000,61.7426,30.1314
10409600000,61.6868,30.2342
10449560000,61.6081,30.3201
10489520000,61.4901,30.4171
10529480000,61.3944,30.5334
10569440000,61.3733,30.6698
10609400000,61.3758,30.6784
10649360000,61.2838,30.6466
10689320000,61.1437,30.6441
10729280000,60.9618,30.6901
10769240000,60.8754,30.7679
10809200000,60.7684,30.8469
10849160000,60.6831,30.9233
10889120000,60.5798,30.9747
10929080000,60.4588,31.0821
10969040000,60.3752,31.195
11009000000,60.315,31.2223
11048960000,60.2297,31.2195
11088920000,60.1002,31.2569
11128880000,60.0414,31.3155
11168840000,59.911,31.2546
11208800000,59.8065,31.3251
11248760000,59.8136,31.3432
11288720000,59.6805,31.3229
11328680000,59.5177,31.3781
11368640000,59.3409,31.4948
11408600000,59.2592,31.6493
11448560000,59.2128,31.7612
11488520000,59.1132,31.8768
11528480000,59.0819,31.9974
11568440000,59.0289,32.031
11608400000,58.9668,32.0159
11648360000,58.8286,31.9457
11688320000,58.6241,32.0224
11728280000,58.5676,32.0593
11768240000,58.4528,32.0436
11808200000,58.3329,32.0898
11848160000,58.2597,32.1938
11888120000,58.218,32.2345
11928080000,58.1464,32.2679
11968040000,58.0199,32.2892
12008000000,57.835,32.3755
12047960000,57.7257,32.5365
12087920000,57.7685,32.6541
12127880000,57.7585,32.5996
12167840000,57.6173,32.548
12207800000,57.4993,32.6024
12247760000,57.3799,32.6496
12287720000,57.2494,32.729
12327680000,57.1408,32.8077
12367640000,57.0343,32.8457
12407600000,56.9496,32.8955
12447560000,56.8398,32.9609
12487520000,56.8241,33.0486
12527480000,56.7668,32.955
12567440000,56.6063,32.9456
12607400000,56.4861,33.0249
12647360000,56.3697,33.0328
12687320000,56.2412,33.1279
12727280000,56.2465,33.2256
12767240000,56.2308,33.2162
12807200000,56.0887,33.2304
12847160000,55.91,33.318
12887120000,55.8147,33.4646
12927080000,55.8077,33.5065
12967040000,55.7008,33.4721
13007000000,55.5641,33.4594
13046960000,55.4544,33.5061
13086920000,55.4099,33.6332
13126880000,55.4172,33.6091
13166840000,55.2371,33.5626
13206800000,55.0344,33.7117
13246760000,55.051,33.8445
13286720000,54.9909,33.7813
13326680000,54.8136,33.7513
13366640000,54.6703,33.8115
13406600000,54.5856,33.8586
13446560000,54.5747,33.9749
13486520000,54.5514,33.9643
13526480000,54.3789,33.94
13566440000,54.2174,34.0664
13606400000,54.2467,34.1533
13646360000,54.1707,34.0154
13686320000,53.9335,34.0354
13726280000,53.7888,34.1616
13766240000,53.74,34.2665
13806200000,53.7006,34.3027
13846160000,53.6736,34.2379
13886120000,53.4659,34.2468
13926080000,53.3189,34.3908
13966040000,53.3398,34.5245
14006000000,53.3649,34.4529
14045960000,53.2239,34.348
14085920000,52.9939,34.3067
14125880000,52.8697,34.4829
14165840000,52.9134,34.5852
14205800000,52.9089,34.4734
14245760000,52.6918,34.4257
14285720000,52.5327,34.5625
14325680000,52.4417,34.6326
14365640000,52.3084,34.7412
14405600000,52.3345,34.8295
14445560000,52.3163,34.7131
14485520000,52.1804,34.7655
14525480000,52.2334,34.7902
14565440000,52.1169,34.632
14605400000,51.889,34.706
14645360000,51.8588,34.8235
14685320000,51.7876,34.753
14725280000,51.5345,34.7708
14765240000,51.4302,35.0028
14805200000,51.495,35.0574
14845160000,51.3917,35.047
14885120000,51.326,35.1009
14925080000,51.2326,35.0478
14965040000,51.0549,35.1344
15005000000,51.0216,35.1908
15044960000,51.0364,35.0377
15084920000,50.8937,34.9577
15124880000,50.8216,35.0305
15164840000,50.8735,35.027
15204800000,50.5968,34.9708
15244760000,50.4135,35.1413
15284720000,50.4089,35.2601
15324680000,50.3323,35.3104
15364640000,50.2501,35.3672
15404600000,50.2065,35.3649
15444560000,50.094,35.393
15484520000,50.0106,35.5395
15524480000,50.0584,35.6427
15564440000,50.0553,35.5065
15604400000,49.836,35.4497
15644360000,49.7327,35.5518
15684320000,49.6823,35.4803
15724280000,49.3848,35.4173
15764240000,49.12,35.6202
15804200000,49.2629,35.8214
15844160000,49.355,35.6633
15884120000,49.2519,35.6583
15924080000,49.2686,35.6368
15964040000,49.1384,35.5315
16004000000,49.0201,35.6036
16043960000,49.0712,35.6736
16083920000,48.9536,35.5624
16123880000,48.7009,35.5689
16163840000,48.4576,35.7378
16203800000,48.3089,35.966
16243760000,48.3746,36.1868
16283720000,48.5753,36.0522
16323680000,48.4169,35.753
16363640000,48.1387,35.778
16403600000,48.0197,35.9007
16443560000,47.9765,36.0844
16483520000,48.1368,36.1074
16523480000,48.1362,35.849
16563440000,47.8704,35.8294
16603400000,47.6561,35.9279
16643360000,47.5708,35.9956
16683320000,47.5072,35.9584
16723280000,47.2706,36.0088
16763240000,47.2936,36.2346
16803200000,47.3467,36.1478
16843160000,47.3178,36.2769
16883120000,47.4125,36.166
16923080000,47.1798,36.0557
16963040000,46.9401,36.259
17003000000,46.93,36.2615
17042960000,46.6363,36.1414
17082920000,46.486,36.2889
17122880000,46.4031,36.3566
17162840000,46.2275,36.442
17202800000,46.28,36.5375
17242760000,46.3046,36.4747
17282720000,46.3079,36.473
17322680000,46.285,36.3891
17362640000,46.1843,36.2956
17402600000,46.1641,36.293
17442560000,46.2624,36.3007
17482520000,46.1604,36.0907
17522480000,45.738,36.0612
17562440000,45.45,36.2698
17602400000,45.3802,36.4682
17642360000,45.2687,36.5845
17682320000,45.3958,36.8435
17722280000,45.7076,36.5887
17762240000,45.4794,36.3968
17802200000,45.0249,36.7455
17842160000,45.2261,37.2537
17882120000,45.6328,37.0259
17922080000,45.6118,36.4246
17962040000,44.9887,35.97
18002000000,44.3821,36.322
18041960000,44.3622,36.7782
18081920000,44.4574,36.7989
18121880000,44.439,36.7003
18161840000,44.2838,36.8508
18201800000,44.4577,36.9509
18241760000,44.5151,36.7503
18281720000,44.5878,36.759
18321680000,44.6695,36.3855
18361640000,44.2194,36.0903
18401600000,43.8678,36.3392
18441560000,43.8793,36.5687
18481520000,43.8946,36.7189
18521480000,43.865,36.6754
18561440000,43.6896,36.5335
18601400000,43.3597,36.6101
18641360000,43.3272,36.8689
18681320000,43.4584,36.9843
18721280000,43.4329,36.8732
18761240000,43.238,37.0031
18801200000,43.4358,37.2004
18841160000,43.5142,36.9279
18881120000,43.265,36.6619
18921080000,42.9516,36.5572
18961040000,42.8458,36.4948
19001000000,42.6154,36.5009
19040960000,42.3867,36.7817
19080920000,42.5019,37.0152
19120880000,42.7606,37.1376
19160840000,43.0308,37.0308
19200800000,42.7687,36.6095
19240760000,42.3706,36.9177
19280720000,42.5959,36.922
19320680000,42.38,36.67
19360640000,42.1246,36.7531
19400600000,41.9779,36.7533
19440560000,41.8236,36.7608
19480520000,41.5799,36.765
19520480000,41.481,37.2955
19560440000,42.3067,37.4942
19600400000,42.4863,36.7656
19640360000,42.0805,36.5703
19680320000,41.7566,36.6904
19720280000,41.7246,36.9203
19760240000,41.8169,36.8821
19800200000,41.8065,36.6819
19840160000,41.6246,36.3789
19880120000,40.9751,36.3946
19920080000,41.0083,36.876
19960040000,41.0171,36.7507
20000000000,40.7882,37.2637
