f1,S11_A,S11_HFSS,f2,S11_Zolver
2000000000,-12.44334723,-11.99275131,2000000000,-14.32575765
2010000000,-12.44334723,-12.00036879,2010000000,-14.32576077
2020000000,-12.44334723,-12.00799514,2020000000,-14.32575765
2030000000,-12.44334723,-12.01562593,2030000000,-14.32576202
2040000000,-12.44334723,-12.02325618,2040000000,-14.32575765
2050000000,-12.44334723,-12.0308804,2050000000,-14.32576202
2060000000,-12.44334723,-12.03849269,2060000000,-14.32576015
2070000000,-12.44334723,-12.04608671,2070000000,-14.32576452
2080000000,-12.44334723,-12.05365576,2080000000,-14.3257614
2090000000,-12.44334723,-12.06119278,2090000000,-14.32576015
2100000000,-12.44334723,-12.06869045,2100000000,-14.32576265
2110000000,-12.44334723,-12.07614119,2110000000,-14.32576077
2120000000,-12.44334723,-12.08353719,2120000000,-14.32576077
2130000000,-12.44334723,-12.09087049,2130000000,-14.32576015
2140000000,-12.44334723,-12.09813297,2140000000,-14.3257614
2150000000,-12.44334723,-12.10531643,2150000128,-14.32576452
2160000000,-12.44334723,-12.11241261,2160000000,-14.32576015
2170000000,-12.44334723,-12.11941323,2169999872,-14.32576265
2180000000,-12.44334723,-12.12631001,2179999744,-14.32576265
2190000000,-12.44334723,-12.13309474,2189999616,-14.3257589
2200000000,-12.44334723,-12.13975929,2199999488,-14.32576015
2210000000,-12.44334723,-12.14629564,2209999360,-14.32576015
2220000000,-12.44334723,-12.15269593,2219999232,-14.32575765
2230000000,-12.44334723,-12.15895247,2229999104,-14.32576077
2240000000,-12.44334723,-12.16505779,2239998976,-14.3257639
2250000000,-12.44334723,-12.17100466,2249998848,-14.3257614
2260000000,-12.44334723,-12.17678611,2259998720,-14.3257564
2270000000,-12.44334723,-12.18239545,2269998592,-14.3257614
2280000000,-12.44334723,-12.18782633,2279998464,-14.3257639
2290000000,-12.44334723,-12.19307271,2289998336,-14.32575765
2300000000,-12.44334723,-12.19812891,2299998208,-14.32575703
2310000000,-12.44334723,-12.20298963,2309998080,-14.32576015
2320000000,-12.44334723,-12.20764997,2319997952,-14.32575765
2330000000,-12.44334723,-12.2121054,2329997824,-14.3257614
2340000000,-12.44334723,-12.21635183,2339997696,-14.32576327
2350000000,-12.44334723,-12.22038561,2349997568,-14.32576265
2360000000,-12.44334723,-12.22420349,2359997440,-14.32575953
2370000000,-12.44334723,-12.2278027,2369997312,-14.32576265
2380000000,-12.44334723,-12.23118091,2379997184,-14.3257564
2390000000,-12.44334723,-12.23433622,2389997056,-14.32576077
2400000000,-12.44334723,-12.23726722,2399996928,-14.32576202
2410000000,-12.44334723,-12.23997293,2409996800,-14.32576077
2420000000,-12.44334723,-12.24245283,2419996672,-14.32576077
2430000000,-12.44334723,-12.24470686,2429996544,-14.32575828
2440000000,-12.44334723,-12.24673539,2439996416,-14.32576015
2450000000,-12.44334723,-12.24853925,2449996288,-14.3257589
2460000000,-12.44334723,-12.25011968,2459996160,-14.32576015
2470000000,-12.44334723,-12.25147836,2469996032,-14.3257589
2480000000,-12.44334723,-12.25261737,2479995904,-14.3257614
2490000000,-12.44334723,-12.2535392,2489995776,-14.32575765
2500000000,-12.44334723,-12.25424672,2499995648,-14.32576327
2510000000,-12.44334723,-12.25474319,2509995520,-14.32576077
2520000000,-12.44334723,-12.25503222,2519995392,-14.32575828
2530000000,-12.44334723,-12.25511775,2529995264,-14.32575953
2540000000,-12.44334723,-12.25500409,2539995136,-14.32576202
2550000000,-12.44334723,-12.25469584,2549995008,-14.32576327
2560000000,-12.44334723,-12.25419788,2559994880,-14.3257614
2570000000,-12.44334723,-12.2535154,2569994752,-14.32576077
2580000000,-12.44334723,-12.25265383,2579994624,-14.3257589
2590000000,-12.44334723,-12.25161887,2589994496,-14.32576514
2600000000,-12.44334723,-12.25041642,2599994368,-14.32576327
2610000000,-12.44334723,-12.24905261,2609994240,-14.32575765
2620000000,-12.44334723,-12.24753376,2619994112,-14.32576265
2630000000,-12.44334723,-12.24586635,2629993984,-14.32576015
2640000000,-12.44334723,-12.24405705,2639993856,-14.3257589
2650000000,-12.44334723,-12.24211265,2649993728,-14.32576015
2660000000,-12.44334723,-12.24004008,2659993600,-14.32575953
2670000000,-12.44334723,-12.23784638,2669993472,-14.32576077
2680000000,-12.44334723,-12.23553871,2679993344,-14.32576015
2690000000,-12.44334723,-12.23312429,2689993216,-14.32576327
2700000000,-12.44334723,-12.23061045,2699993088,-14.32575703
2710000000,-12.44334723,-12.22800455,2709992960,-14.32576202
2720000000,-12.44334723,-12.22531403,2719992832,-14.32576452
2730000000,-12.44334723,-12.22254637,2729992704,-14.3257589
2740000000,-12.44334723,-12.2197091,2739992576,-14.3257639
2750000000,-12.44334723,-12.21680976,2749992448,-14.32575953
2760000000,-12.44334723,-12.21385593,2759992320,-14.32575953
2770000000,-12.44334723,-12.21085522,2769992192,-14.32575953
2780000000,-12.44334723,-12.20781524,2779992064,-14.32576077
2790000000,-12.44334723,-12.20474363,2789991936,-14.32576452
2800000000,-12.44334723,-12.20164805,2799991808,-14.3257589
2810000000,-12.44334723,-12.19853616,2809991680,-14.32576265
2820000000,-12.44334723,-12.19541564,2819991552,-14.32575828
2830000000,-12.44334723,-12.19229419,2829991424,-14.32575516
2840000000,-12.44334723,-12.18917953,2839991296,-14.3257589
2850000000,-12.44334723,-12.18607941,2849991168,-14.32575953
2860000000,-12.44334723,-12.1830016,2859991040,-14.32576015
2870000000,-12.44334723,-12.17995391,2869990912,-14.32575953
2880000000,-12.44334723,-12.17694419,2879990784,-14.32576077
2890000000,-12.44334723,-12.17398034,2889990656,-14.32575765
2900000000,-12.44334723,-12.17107031,2899990528,-14.32576202
2910000000,-12.44334723,-12.16822211,2909990400,-14.32576327
2920000000,-12.44334723,-12.16544384,2919990272,-14.32575953
2930000000,-12.44334723,-12.16274365,2929990144,-14.32575953
2940000000,-12.44334723,-12.16012979,2939990016,-14.3257614
2950000000,-12.44334723,-12.15761063,2949989888,-14.32576077
2960000000,-12.44334723,-12.1551946,2959989760,-14.32576015
2970000000,-12.44334723,-12.15289029,2969989632,-14.3257614
2980000000,-12.44334723,-12.15070638,2979989504,-14.32575953
2990000000,-12.44334723,-12.14865169,2989989376,-14.32576077
3000000000,-12.44334723,-12.14673519,2999989248,-14.32576015
