!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:45:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1000000000,2.4184697,86.962997
1001000000,2.2270448,87.004013
1002000000,2.2797854,87.203804
1003000000,2.5326655,87.276321
1004000000,2.3853867,87.97274
1005000000,2.5216243,88.445045
1006000000,2.3825688,88.177597
1007000000,2.2407444,88.97728
1008000000,2.7493508,89.331612
1009000000,2.6900501,89.614677
1010000000,2.7192264,89.657669
1011000000,2.9881551,89.93795
1012000000,2.3151522,90.935066
1013000000,2.5163789,90.989098
1014000000,2.6028636,91.363892
1015000000,2.6462739,91.614838
1016000000,2.7208295,91.761208
1017000000,2.7475905,92.647743
1018000000,2.7945139,92.475029
1019000000,2.5560713,92.415825
1020000000,2.8010297,93.115982
1021000000,3.0920649,93.580475
1022000000,3.2044668,94.05172
1023000000,3.0922387,94.253471
1024000000,2.8668251,94.9216
1025000000,3.0671375,94.737999
1026000000,3.3975649,95.149635
1027000000,3.1241512,95.760643
1028000000,2.8822205,95.810471
1029000000,3.3115315,96.460266
1030000000,3.0757453,96.928368
1031000000,3.2196529,96.921196
1032000000,3.0940204,96.94957
1033000000,3.4567184,97.602036
1034000000,3.1349194,98.28463
1035000000,3.7882979,98.254532
1036000000,3.1303816,99.0326
1037000000,3.2283704,99.242714
1038000000,3.3503673,99.692993
1039000000,3.3702633,99.917053
1040000000,3.2411563,99.837585
1041000000,3.3704355,100.71039
1042000000,3.6494732,101.11942
1043000000,3.5050917,101.83163
1044000000,3.5830424,101.99036
1045000000,3.2896872,102.58685
1046000000,3.2681477,102.6415
1047000000,3.2525427,102.81544
1048000000,4.0260458,103.87952
1049000000,3.9974968,103.77831
1050000000,3.9060512,104.16405
1051000000,3.3792033,104.64793
1052000000,3.9148669,105.06715
1053000000,3.895479,105.62526
1054000000,4.0613289,105.8026
1055000000,3.6419439,106.59536
1056000000,4.0236311,107.27066
1057000000,3.9933329,107.22612
1058000000,3.8518083,107.83552
1059000000,4.2489572,108.25723
1060000000,4.2949095,108.78289
1061000000,3.6371918,109.19157
1062000000,4.0090585,109.57319
1063000000,4.1906095,109.99875
1064000000,4.4568276,110.55242
1065000000,4.1771917,111.15065
1066000000,4.5125885,111.68736
1067000000,4.5787101,111.59002
1068000000,4.4815874,112.45409
1069000000,4.6246591,112.82571
1070000000,4.2123742,113.02473
1071000000,5.132957,113.55717
1072000000,4.6850538,114.43581
1073000000,4.756691,114.99657
1074000000,4.3835945,115.54046
1075000000,5.1545367,115.68591
1076000000,5.0558286,116.4146
1077000000,5.3211169,116.99517
1078000000,4.5535073,117.44387
