!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:50:13
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
1308000000,35.478611
1309000000,35.751099
1310000000,37.348923
1311000000,34.421005
1312000000,36.070621
1313000000,37.365967
1314000000,36.645695
1315000000,35.95615
1316000000,35.662178
1317000000,36.138924
1318000000,33.847435
1319000000,37.651176
1320000000,36.688492
1321000000,35.171806
1322000000,36.148975
1323000000,34.891201
1324000000,38.068375
1325000000,37.203075
1326000000,34.71386
1327000000,37.392117
1328000000,34.65612
1329000000,36.142857
1330000000,35.250534
1331000000,36.394131
1332000000,36.140511
1333000000,34.320465
1334000000,37.077129
1335000000,34.682449
1336000000,34.853851
1337000000,37.574768
1338000000,34.764824
1339000000,35.204094
1340000000,34.622383
1341000000,36.798069
1342000000,35.237007
1343000000,35.630276
1344000000,37.576317
1345000000,36.365936
1346000000,36.264954
1347000000,36.814014
1348000000,34.395927
1349000000,34.89735
1350000000,34.067665
1351000000,36.779419
1352000000,36.780361
1353000000,35.289936
1354000000,35.681465
1355000000,35.500275
1356000000,34.820911
1357000000,39.214428
1358000000,33.84383
1359000000,35.542908
1360000000,34.562923
1361000000,37.096382
1362000000,35.354492
1363000000,35.066883
1364000000,37.312515
1365000000,36.673737
1366000000,34.626137
1367000000,36.500992
1368000000,36.308285
1369000000,37.117813
1370000000,36.103397
1371000000,36.391834
1372000000,35.848175
1373000000,36.871162
1374000000,35.032436
1375000000,36.187847
1376000000,36.140602
1377000000,35.926956
1378000000,35.784096
1379000000,34.917271
1380000000,35.72541
1381000000,35.129066
1382000000,35.497757
1383000000,34.533115
1384000000,37.376801
1385000000,34.778252
1386000000,35.59478
1387000000,35.06646
1388000000,35.136703
1389000000,35.388535
1390000000,34.800568
1391000000,35.245045
1392000000,35.641933
1393000000,34.845428
1394000000,34.809494
1395000000,34.934109
1396000000,36.145378
1397000000,35.535496
1398000000,35.135216
1399000000,35.848759
1400000000,35.635159
1401000000,35.58585
1402000000,34.109653
1403000000,34.046749
1404000000,35.287613
1405000000,33.358643
1406000000,33.739025
1407000000,34.590919
1408000000,35.46085
1409000000,34.393402
1410000000,35.795971
1411000000,33.347218
1412000000,36.131523
1413000000,34.448116
1414000000,36.537258
1415000000,35.023792
1416000000,34.668839
1417000000,34.798275
1418000000,34.311382
1419000000,32.786232
1420000000,35.168499
1421000000,34.555679
1422000000,33.497887
1423000000,35.053375
1424000000,35.526482
1425000000,34.308155
1426000000,34.581707
1427000000,33.523735
1428000000,34.424553
1429000000,34.727734
1430000000,34.596527
1431000000,35.439629
1432000000,33.212955
1433000000,33.94775
1434000000,34.413406
1435000000,36.639217
1436000000,36.58223
1437000000,34.377048
1438000000,34.377735
1439000000,32.749969
1440000000,36.3918
1441000000,37.674637
1442000000,34.167126
1443000000,35.022499
1444000000,34.082973
1445000000,34.496304
1446000000,36.063519
1447000000,33.155167
1448000000,34.754967
1449000000,36.31282
1450000000,33.589951
1451000000,36.109921
1452000000,34.562225
1453000000,34.585899
1454000000,35.550053
1455000000,34.207771
1456000000,36.954132
1457000000,34.11488
1458000000,35.583549
1459000000,34.539646
1460000000,35.413704
1461000000,34.323887
1462000000,33.555367
1463000000,35.078388
1464000000,34.720818
1465000000,34.527115
1466000000,35.28788
1467000000,36.120842
1468000000,34.505188
1469000000,35.007935
1470000000,35.653767
1471000000,36.187717
1472000000,34.625183
1473000000,35.100391
1474000000,34.051537
1475000000,35.004742
1476000000,35.056782
1477000000,34.12606
1478000000,33.497528
1479000000,33.928379
1480000000,35.683708
1481000000,35.869282
1482000000,34.180992
1483000000,36.28289
1484000000,33.67778
1485000000,33.989262
1486000000,34.154053
1487000000,35.013752
1488000000,35.737488
1489000000,31.289997
1490000000,35.216606
1491000000,35.308224
1492000000,33.886578
1493000000,35.438789
1494000000,35.643829
1495000000,34.60429
1496000000,34.834824
1497000000,33.022606
1498000000,34.193886
1499000000,35.467144
1500000000,34.055641
1501000000,34.935478
1502000000,35.409443
1503000000,33.837776
1504000000,34.006191
1505000000,35.078484
1506000000,33.676823
1507000000,34.589718
1508000000,34.581665
1509000000,35.007343
1510000000,34.332287
1511000000,34.788826
1512000000,36.246384
1513000000,34.978855
1514000000,36.51664
1515000000,33.933086
1516000000,35.186775
1517000000,35.593201
1518000000,35.157932
1519000000,36.821205
1520000000,36.60701
1521000000,34.043816
1522000000,35.369255
1523000000,36.858112
1524000000,38.071823
1525000000,35.786221
1526000000,35.315907
1527000000,36.43042
1528000000,36.630733
1529000000,36.74971
1530000000,36.121914
1531000000,34.976742
1532000000,35.79731
1533000000,34.586193
1534000000,35.834217
1535000000,36.241451
1536000000,34.938023
1537000000,36.752674
1538000000,35.21627
1539000000,33.624031
1540000000,37.517689
1541000000,36.878395
1542000000,36.826908
1543000000,34.601219
1544000000,34.519726
1545000000,37.072018
1546000000,34.789104
1547000000,35.489338
1548000000,35.303402
1549000000,36.971645
1550000000,36.883968
1551000000,35.657272
1552000000,35.034916
1553000000,37.746925
1554000000,36.38158
1555000000,37.458443
1556000000,35.805328
1557000000,38.561768
1558000000,35.571152
1559000000,37.788769
1560000000,37.693855
1561000000,36.312401
1562000000,37.801888
1563000000,37.873016
1564000000,37.19809
1565000000,36.930779
1566000000,37.052315
1567000000,40.829197
1568000000,37.76593
1569000000,37.333012
1570000000,38.646034
1571000000,37.219666
1572000000,36.539436
1573000000,38.141693
1574000000,37.199295
1575000000,39.037689
1576000000,40.074039
1577000000,38.281723
1578000000,39.745056
1579000000,37.314411
1580000000,36.91354
1581000000,38.76511
1582000000,37.815819
1583000000,37.647369
1584000000,37.977001
1585000000,38.16766
1586000000,37.026199
1587000000,36.962418
1588000000,40.377789
1589000000,36.387836
1590000000,38.609726
1591000000,38.054955
1592000000,37.304119
1593000000,37.849606
1594000000,39.72485
1595000000,39.727089
1596000000,39.147202
1597000000,40.272942
1598000000,38.016136
1599000000,41.620373
1600000000,40.380276
1601000000,40.031498
1602000000,39.259647
1603000000,38.742615
1604000000,38.447216
1605000000,39.011967
1606000000,39.553539
1607000000,39.448959
1608000000,37.055141
1609000000,40.724159
1610000000,41.788406
1611000000,40.486088
1612000000,40.246357
1613000000,39.929726
1614000000,42.070137
1615000000,40.479946
1616000000,39.573971
1617000000,41.316944
1618000000,40.031193
1619000000,40.333408
1620000000,40.825455
1621000000,39.319817
1622000000,41.829239
1623000000,40.752384
1624000000,41.430668
1625000000,39.789238
1626000000,39.946148
1627000000,40.366592
1628000000,38.13657
1629000000,40.665195
1630000000,40.608311
1631000000,41.605644
1632000000,40.623386
1633000000,41.828598
1634000000,39.774578
1635000000,40.236366
1636000000,40.928471
1637000000,37.868347
1638000000,38.909801
1639000000,42.931629
1640000000,41.681332
1641000000,42.269981
1642000000,46.165665
1643000000,42.149441
1644000000,42.990753
1645000000,42.879162
1646000000,41.950241
1647000000,44.287273
1648000000,41.163837
1649000000,41.463371
1650000000,43.391895
1651000000,42.452297
1652000000,43.100525
1653000000,40.410412
1654000000,43.315147
1655000000,44.698925
1656000000,40.798538
1657000000,41.873463
1658000000,45.032803
1659000000,44.090923
1660000000,43.954384
1661000000,45.506546
1662000000,40.757717
1663000000,43.969997
1664000000,41.595474
1665000000,43.442493
1666000000,44.278637
1667000000,43.217396
1668000000,44.524231
1669000000,43.496704
1670000000,43.097637
1671000000,44.620098
1672000000,45.551929
1673000000,43.657246
1674000000,45.516659
1675000000,45.966454
1676000000,45.352417
1677000000,43.737339
1678000000,44.526073
1679000000,47.646248
1680000000,43.83411
1681000000,46.634907
1682000000,41.937862
1683000000,45.514366
1684000000,52.726044
1685000000,44.550091
1686000000,47.983894
1687000000,45.931747
1688000000,45.658928
1689000000,43.982418
1690000000,42.038055
1691000000,49.837605
1692000000,43.991962
1693000000,50.415409
1694000000,45.530151
1695000000,46.051743
1696000000,46.16058
1697000000,47.764969
1698000000,45.202057
1699000000,47.105728
1700000000,45.667484
1701000000,45.611195
1702000000,46.147175
1703000000,47.360252
1704000000,46.618839
1705000000,47.589149
1706000000,48.449978
1707000000,47.571281
1708000000,45.862572
1709000000,48.893295
1710000000,50.291084
1711000000,46.508385
1712000000,49.033524
1713000000,48.991581
1714000000,46.16613
1715000000,48.276321
1716000000,48.499317
1717000000,47.850143
1718000000,48.15197
1719000000,47.852924
1720000000,46.372894
1721000000,47.550583
1722000000,48.701778
1723000000,49.725418
1724000000,51.646484
1725000000,52.681984
1726000000,48.503048
1727000000,53.868835
1728000000,49.786362
1729000000,46.937523
1730000000,46.991425
1731000000,49.717831
1732000000,47.950607
1733000000,53.420242
1734000000,51.414028
1735000000,45.537025
1736000000,51.627689
1737000000,51.197685
1738000000,49.857395
1739000000,49.188477
1740000000,48.951443
1741000000,50.699581
1742000000,47.564762
1743000000,49.194714
1744000000,53.467644
1745000000,52.846497
1746000000,51.05423
1747000000,51.990974
1748000000,50.137104
1749000000,48.985359
1750000000,52.86821
1751000000,55.330635
1752000000,49.951595
1753000000,47.958923
1754000000,50.543056
1755000000,51.795662
1756000000,56.588375
1757000000,52.649479
1758000000,51.15984
1759000000,52.136585
1760000000,50.215435
1761000000,55.180779
1762000000,54.60091
1763000000,55.867504
1764000000,50.845387
1765000000,51.834438
1766000000,49.087273
1767000000,51.191463
1768000000,52.052681
1769000000,50.849533
1770000000,54.183018
1771000000,53.015709
1772000000,50.57209
1773000000,56.373066
1774000000,55.152775
1775000000,57.072517
1776000000,53.854458
1777000000,53.250858
1778000000,53.818699
1779000000,51.872318
1780000000,50.658325
1781000000,49.788013
1782000000,51.305405
1783000000,49.787674
1784000000,49.40564
1785000000,54.662605
1786000000,52.440022
1787000000,51.491913
1788000000,53.710453
1789000000,53.796486
1790000000,50.998425
1791000000,51.696381
1792000000,51.444073
1793000000,51.352295
1794000000,51.506668
1795000000,50.407707
1796000000,55.210629
1797000000,48.317226
1798000000,50.847069
1799000000,58.603035
1800000000,49.069328
1801000000,57.72604
1802000000,54.844513
1803000000,53.050903
1804000000,54.419228
1805000000,56.293537
1806000000,53.076344
1807000000,58.935558
1808000000,59.111977
1809000000,55.990391
1810000000,53.219505
1811000000,56.365719
1812000000,49.481129
1813000000,57.631836
1814000000,53.992516
1815000000,54.569935
1816000000,49.354088
1817000000,51.748432
1818000000,53.487274
1819000000,51.383995
1820000000,50.100552
1821000000,49.979084
1822000000,53.470257
1823000000,61.523899
1824000000,52.464001
1825000000,52.683521
1826000000,59.019871
1827000000,54.194298
1828000000,55.720749
1829000000,52.455097
1830000000,51.227776
1831000000,50.856709
1832000000,58.99297
1833000000,53.214882
1834000000,55.486961
1835000000,61.179958
1836000000,53.893162
1837000000,58.603909
1838000000,54.772488
1839000000,53.611351
1840000000,56.987568
1841000000,56.581211
1842000000,56.189728
1843000000,61.596241
1844000000,52.748657
1845000000,56.140785
1846000000,62.813091
1847000000,57.075825
1848000000,59.361549
1849000000,57.33202
1850000000,55.634365
1851000000,58.129879
1852000000,55.450241
1853000000,55.999149
1854000000,59.575554
1855000000,57.402065
1856000000,56.853004
1857000000,56.228012
1858000000,55.866573
1859000000,58.134453
1860000000,60.110073
1861000000,58.266499
1862000000,57.111015
1863000000,63.2682
1864000000,52.895733
1865000000,58.438786
1866000000,54.459869
1867000000,62.639359
1868000000,61.840729
1869000000,52.01601
1870000000,53.403931
1871000000,53.147926
1872000000,60.61356
1873000000,56.015511
1874000000,55.621117
1875000000,60.401413
1876000000,56.766556
1877000000,57.327549
1878000000,61.162048
1879000000,56.940342
1880000000,62.406605
1881000000,61.640556
1882000000,62.159866
1883000000,62.661533
1884000000,67.255951
1885000000,55.807941
1886000000,56.215374
1887000000,58.251694
1888000000,62.363407
1889000000,58.79607
1890000000,66.332893
1891000000,63.502193
1892000000,54.141949
1893000000,63.807526
1894000000,56.92696
1895000000,57.907345
1896000000,61.05685
1897000000,58.964077
1898000000,57.086918
1899000000,57.792793
1900000000,61.023109
1901000000,55.822067
1902000000,61.141983
1903000000,65.813354
1904000000,60.367046
1905000000,56.159904
1906000000,57.955124
1907000000,68.782082
1908000000,57.707111
1909000000,60.396816
1910000000,64.427742
1911000000,62.974178
1912000000,56.565117
1913000000,58.692436
1914000000,60.337162
1915000000,58.546513
1916000000,62.98061
1917000000,65.391159
1918000000,68.335327
1919000000,60.587219
1920000000,66.056854
1921000000,62.581356
1922000000,67.068954
1923000000,72.153214
1924000000,65.299774
1925000000,65.214668
1926000000,63.895782
