Freq(Hz),S21 Log Mag_measured(dB),S21 Log Mag_HFSS(dB)
1185000000,0.026258379,-0.090459777
1186000000,0.050346561,-0.090481464
1187000000,0.024934165,-0.090503121
1188000000,0.044445802,-0.090524748
1189000000,0.059910558,-0.090546344
1190000000,0.0320867,-0.090567911
1191000000,0.059002489,-0.090589446
1192000000,0.016232289,-0.090610951
1193000000,0.06325455,-0.090632424
1194000000,0.040563781,-0.090653866
1195000000,0.035873767,-0.090675276
1196000000,0.043234549,-0.090696654
1197000000,0.024943478,-0.090718
1198000000,0.065159962,-0.090739313
1199000000,0.043232553,-0.090760594
1200000000,0.034653649,-0.090781842
1201000000,0.025494957,-0.090803056
1202000000,0.037194353,-0.090824238
1203000000,0.047370821,-0.090845385
1204000000,0.049863137,-0.090866499
1205000000,0.043166105,-0.090887579
1206000000,0.018550871,-0.090908624
1207000000,0.042672686,-0.090929635
1208000000,0.05622869,-0.090950611
1209000000,0.037723899,-0.090971552
1210000000,0.027315475,-0.090992457
1211000000,0.058623537,-0.091013327
1212000000,0.047479216,-0.091034162
1213000000,0.024363952,-0.09105496
1214000000,0.028158493,-0.091075723
1215000000,0.024905974,-0.091096448
1216000000,0.024170592,-0.091117138
1217000000,0.049590483,-0.09113779
1218000000,0.062384613,-0.091158406
1219000000,0.053688817,-0.091178984
1220000000,0.031396028,-0.091199525
1221000000,0.046589315,-0.091220028
1222000000,0.048723377,-0.091240493
1223000000,0.051646963,-0.091260919
1224000000,0.056668527,-0.091281308
1225000000,0.036605995,-0.091301658
1226000000,0.048700839,-0.091321969
1227000000,0.033602215,-0.091342241
1228000000,0.054379307,-0.091362474
1229000000,0.026196113,-0.091382668
1230000000,0.051317733,-0.091402822
1231000000,0.046083421,-0.091422936
1232000000,0.038926113,-0.09144301
1233000000,0.032297857,-0.091463044
1234000000,0.012755115,-0.091483037
1235000000,0.037849959,-0.09150299
1236000000,0.045886993,-0.091522902
1237000000,0.047727861,-0.091542773
1238000000,0.057124365,-0.091562603
1239000000,0.007978337,-0.091582391
1240000000,0.038754214,-0.091602137
1241000000,0.007824424,-0.091621842
1242000000,0.043595921,-0.091641505
1243000000,0.02044962,-0.091661125
1244000000,0.041900892,-0.091680703
1245000000,0.068836503,-0.091700238
1246000000,0.058874153,-0.091719731
1247000000,0.009561713,-0.09173918
1248000000,0.025633877,-0.091758586
1249000000,0.057790767,-0.091777949
1250000000,0.037995692,-0.091797269
1251000000,0.027828828,-0.091816544
1252000000,0.041519087,-0.091835776
1253000000,0.022467582,-0.091854963
1254000000,0.049845938,-0.091874106
1255000000,0.03854708,-0.091893205
1256000000,0.013814338,-0.091912259
1257000000,0.055548545,-0.091931268
1258000000,0.025613895,-0.091950232
1259000000,0.052814089,-0.09196915
1260000000,0.036240559,-0.091988024
1261000000,0.016458498,-0.092006852
1262000000,0.026596513,-0.092025633
1263000000,0.026976008,-0.092044369
1264000000,0.037727255,-0.092063059
1265000000,0.02548955,-0.092081703
1266000000,0.039628565,-0.0921003
1267000000,0.026667301,-0.09211885
1268000000,0.021304356,-0.092137354
1269000000,0.066181384,-0.09215581
1270000000,0.028257636,-0.09217422
1271000000,0.031913575,-0.092192582
1272000000,0.038622215,-0.092210897
1273000000,0.028429212,-0.092229164
1274000000,0.043290507,-0.092247383
1275000000,0.029137235,-0.092265554
1276000000,0.011610907,-0.092283677
1277000000,0.024421444,-0.092301751
1278000000,0.029048285,-0.092319777
1279000000,0.025847951,-0.092337755
1280000000,0.046007361,-0.092355684
1281000000,0.03548184,-0.092373563
1282000000,0.059014786,-0.092391394
1283000000,0.028790968,-0.092409175
1284000000,0.019198103,-0.092426907
1285000000,0.006939455,-0.092444589
1286000000,0.020718435,-0.092462221
1287000000,0.02145306,-0.092479804
1288000000,0.043137401,-0.092497336
1289000000,0.039559063,-0.092514818
1290000000,0.01569535,-0.09253225
1291000000,0.025730103,-0.092549632
1292000000,0.043866701,-0.092566962
1293000000,0.052401222,-0.092584242
1294000000,0.062463995,-0.092601471
1295000000,0.016666956,-0.092618648
1296000000,0.053781871,-0.092635775
1297000000,0.040510647,-0.09265285
1298000000,0.065147355,-0.092669873
1299000000,0.022025732,-0.092686845
1300000000,0.011843522,-0.092703765
1301000000,0.025281945,-0.092720633
1302000000,0.011169328,-0.092737448
1303000000,0.034567066,-0.092754212
1304000000,0.052813329,-0.092770923
1305000000,-0.001691146,-0.092787581
1306000000,0.065724008,-0.092804187
1307000000,0.033163339,-0.09282074
1308000000,0.016560307,-0.09283724
1309000000,0.028478568,-0.092853687
1310000000,0.030276062,-0.09287008
1311000000,0.02776975,-0.092886421
1312000000,0.070585236,-0.092902707
1313000000,0.016281907,-0.092918941
1314000000,0.036555205,-0.09293512
1315000000,0.036747728,-0.092951245
1316000000,-0.004704371,-0.092967317
1317000000,0.032629117,-0.092983334
1318000000,0.012155407,-0.092999297
1319000000,0.055583883,-0.093015205
1320000000,0.025663951,-0.093031059
1321000000,0.000734804,-0.093046859
1322000000,0.046788421,-0.093062603
1323000000,0.00318705,-0.093078293
1324000000,0.011296988,-0.093093927
1325000000,0.000554939,-0.093109507
1326000000,0.019511573,-0.093125031
1327000000,0.00963318,-0.093140499
1328000000,0.027580667,-0.093155912
1329000000,0.006920553,-0.09317127
1330000000,0.036379024,-0.093186572
1331000000,-0.02161091,-0.093201818
1332000000,-0.000883433,-0.093217007
1333000000,0.042051695,-0.093232141
1334000000,0.050791819,-0.093247219
1335000000,0.02440626,-0.09326224
1336000000,0.002968462,-0.093277205
1337000000,0.013070571,-0.093292113
1338000000,0.003311185,-0.093306964
1339000000,-0.002596342,-0.093321759
1340000000,0.05901796,-0.093336497
1341000000,0.0270673,-0.093351177
1342000000,0.032380495,-0.093365801
1343000000,0.005799684,-0.093380367
1344000000,0.027912375,-0.093394876
1345000000,-0.011559702,-0.093409328
1346000000,-0.004201854,-0.093423722
1347000000,0.019910075,-0.093438059
1348000000,0.017636854,-0.093452337
1349000000,0.002118917,-0.093466558
1350000000,0.016832499,-0.093480721
1351000000,0.015934017,-0.093494826
1352000000,0.031655256,-0.093508872
1353000000,0.015612298,-0.093522861
1354000000,-0.008741107,-0.093536791
1355000000,0.020805152,-0.093550662
1356000000,0.010641651,-0.093564475
1357000000,0.032969933,-0.093578229
1358000000,0.003052644,-0.093591925
1359000000,-0.007244501,-0.093605562
1360000000,-0.003018027,-0.09361914
1361000000,0.02570842,-0.093632658
1362000000,0.001157504,-0.093646118
1363000000,0.004864226,-0.093659518
1364000000,0.001754841,-0.093672859
1365000000,0.00368222,-0.093686141
1366000000,0.013253693,-0.093699363
1367000000,-0.016774382,-0.093712526
1368000000,0.015267191,-0.093725629
1369000000,0.011568085,-0.093738672
1370000000,0.011462063,-0.093751656
1371000000,0.010889177,-0.093764579
1372000000,0.02157587,-0.093777443
1373000000,0.017737694,-0.093790246
1374000000,0.005115075,-0.093802989
1375000000,0.01452322,-0.093815672
1376000000,0.008002625,-0.093828295
1377000000,-0.000231029,-0.093840857
1378000000,0.019897051,-0.093853358
1379000000,0.005254551,-0.093865799
1380000000,0.033540122,-0.09387818
1381000000,-0.020694127,-0.093890499
1382000000,0.013600178,-0.093902758
1383000000,-0.024500109,-0.093914956
1384000000,-0.00222306,-0.093927093
1385000000,0.002621171,-0.093939169
1386000000,0.019659916,-0.093951184
1387000000,0.012386702,-0.093963137
1388000000,0.007433969,-0.09397503
1389000000,-0.001255836,-0.093986861
1390000000,-0.003597071,-0.09399863
1391000000,-0.007970173,-0.094010338
1392000000,0.018282738,-0.094021985
1393000000,-0.006725483,-0.09403357
1394000000,-0.001642894,-0.094045093
1395000000,0.009860761,-0.094056554
1396000000,0.015667466,-0.094067954
1397000000,0.002173782,-0.094079292
1398000000,0.018561503,-0.094090568
1399000000,0.005578165,-0.094101781
1400000000,0.009130975,-0.094112933
1401000000,-0.004035445,-0.094124022
1402000000,-0.00161971,-0.09413505
1403000000,0.004273695,-0.094146015
1404000000,0.001285444,-0.094156917
1405000000,0.024372589,-0.094167758
1406000000,-0.007174085,-0.094178535
1407000000,0.029500874,-0.094189251
1408000000,0.008139666,-0.094199904
1409000000,-0.002854466,-0.094210494
1410000000,-0.0130305,-0.094221021
1411000000,-0.002398872,-0.094231486
1412000000,-0.015201044,-0.094241888
1413000000,-0.011921441,-0.094252226
1414000000,-0.007834693,-0.094262503
1415000000,0.011626783,-0.094272716
1416000000,0.035556037,-0.094282866
1417000000,-0.00360062,-0.094292953
1418000000,0.028415423,-0.094302977
1419000000,0.002213143,-0.094312937
1420000000,0.009431135,-0.094322835
1421000000,0.001029906,-0.094332669
1422000000,-0.004899296,-0.09434244
1423000000,0.016433092,-0.094352148
1424000000,0.004299956,-0.094361792
1425000000,0.016091486,-0.094371373
1426000000,0.002845866,-0.09438089
1427000000,-0.003267474,-0.094390343
1428000000,-0.010169346,-0.094399733
1429000000,0.007914668,-0.09440906
1430000000,-0.020020641,-0.094418322
1431000000,-0.021274833,-0.094427521
1432000000,-0.002829973,-0.094436657
1433000000,0.035253592,-0.094445728
1434000000,0.002659384,-0.094454736
1435000000,0.024440859,-0.094463679
1436000000,0.003565499,-0.094472559
1437000000,-0.012796424,-0.094481375
1438000000,-0.014296867,-0.094490127
1439000000,0.009467687,-0.094498814
1440000000,-0.005340908,-0.094507438
1441000000,-0.024332877,-0.094515998
1442000000,-0.003740956,-0.094524493
1443000000,-0.002902549,-0.094532924
1444000000,-0.007712222,-0.094541292
1445000000,-0.000452523,-0.094549594
1446000000,-0.015493519,-0.094557833
1447000000,0.000702403,-0.094566007
1448000000,-0.024658773,-0.094574117
1449000000,-0.004181608,-0.094582163
1450000000,0.014226864,-0.094590144
1451000000,-0.009765812,-0.09459806
1452000000,-0.002791972,-0.094605913
1453000000,-0.002197933,-0.0946137
1454000000,-0.006419282,-0.094621424
1455000000,-0.020105628,-0.094629082
1456000000,0.000455623,-0.094636677
1457000000,0.004796656,-0.094644206
1458000000,0.005896285,-0.094651671
1459000000,-0.002793237,-0.094659072
1460000000,-0.002897786,-0.094666407
1461000000,-0.014329446,-0.094673678
1462000000,-0.008867128,-0.094680885
1463000000,-0.013654014,-0.094688026
1464000000,0.023386398,-0.094695103
1465000000,0.004996105,-0.094702115
1466000000,-0.007802004,-0.094709063
1467000000,-0.002528518,-0.094715945
1468000000,-0.006467937,-0.094722763
1469000000,-0.010034744,-0.094729516
1470000000,0.019114144,-0.094736204
1471000000,-0.009394568,-0.094742827
1472000000,-0.029847804,-0.094749386
1473000000,-0.014232959,-0.094755879
1474000000,-0.01200575,-0.094762308
1475000000,-0.021998413,-0.094768671
1476000000,0.003272455,-0.09477497
1477000000,-0.031287,-0.094781204
1478000000,-0.034002099,-0.094787373
1479000000,-0.014327509,-0.094793477
1480000000,-0.027300045,-0.094799516
1481000000,-0.017772963,-0.09480549
1482000000,-0.030753346,-0.094811399
1483000000,-0.024034394,-0.094817243
1484000000,-0.011630284,-0.094823022
1485000000,-0.01056563,-0.094828736
1486000000,-0.007440354,-0.094834385
1487000000,-0.01072829,-0.094839969
1488000000,0.000165097,-0.094845488
1489000000,0.005076286,-0.094850941
1490000000,-0.006492356,-0.09485633
1491000000,-0.020982882,-0.094861654
1492000000,-0.000727213,-0.094866913
1493000000,0.018986706,-0.094872107
1494000000,-0.014980058,-0.094877235
1495000000,-0.014069856,-0.094882299
1496000000,-0.004276929,-0.094887298
1497000000,-0.029018003,-0.094892232
1498000000,-0.001968312,-0.0948971
1499000000,-0.01578193,-0.094901904
1500000000,-0.03977748,-0.094906642
1501000000,0.008555973,-0.094911316
1502000000,-0.00186582,-0.094915924
1503000000,-0.015138702,-0.094920468
1504000000,-0.007973539,-0.094924946
1505000000,-0.026648523,-0.09492936
1506000000,-0.020387996,-0.094933708
1507000000,-0.025909599,-0.094937992
1508000000,0.014814382,-0.09494221
1509000000,0.007005577,-0.094946364
1510000000,-0.004178835,-0.094950452
