Freq(Hz),S21 Log Mag_measured(dB),S21 Log Mag_HFSS(dB)
1000000000,-16.800127,-15.04486759
1001000000,-16.776104,-15.02683729
1002000000,-16.742289,-15.0088483
1003000000,-16.738312,-14.99090061
1004000000,-16.752743,-14.9729942
1005000000,-16.724369,-14.95512907
1006000000,-16.690832,-14.9373052
1007000000,-16.677114,-14.91952257
1008000000,-16.649578,-14.90178117
1009000000,-16.660898,-14.884081
1010000000,-16.613182,-14.86642203
1011000000,-16.620657,-14.84880426
1012000000,-16.589809,-14.83122766
1013000000,-16.577538,-14.81369223
1014000000,-16.580576,-14.79619794
1015000000,-16.548136,-14.77874479
1016000000,-16.543036,-14.76133275
1017000000,-16.512171,-14.74396182
1018000000,-16.523355,-14.72663197
1019000000,-16.502222,-14.70934319
1020000000,-16.470589,-14.69209546
1021000000,-16.508696,-14.67488876
1022000000,-16.456066,-14.65772308
1023000000,-16.423273,-14.6405984
1024000000,-16.435886,-14.6235147
1025000000,-16.401171,-14.60647197
1026000000,-16.360992,-14.58947017
1027000000,-16.329798,-14.5725093
1028000000,-16.368307,-14.55558934
1029000000,-16.361271,-14.53871026
1030000000,-16.347984,-14.52187205
1031000000,-16.304457,-14.50507468
1032000000,-16.317066,-14.48831814
1033000000,-16.269104,-14.4716024
1034000000,-16.264956,-14.45492744
1035000000,-16.250408,-14.43829324
1036000000,-16.236319,-14.42169978
1037000000,-16.228312,-14.40514704
1038000000,-16.222197,-14.38863499
1039000000,-16.17972,-14.37216361
1040000000,-16.185745,-14.35573288
1041000000,-16.170162,-14.33934277
1042000000,-16.17062,-14.32299326
1043000000,-16.145231,-14.30668433
1044000000,-16.137171,-14.29041595
1045000000,-16.116306,-14.27418809
1046000000,-16.129736,-14.25800074
1047000000,-16.070047,-14.24185386
1048000000,-16.097507,-14.22574743
1049000000,-16.067646,-14.20968142
1050000000,-16.0525,-14.19365582
1051000000,-16.016108,-14.17767058
1052000000,-16.037697,-14.16172568
1053000000,-16.032923,-14.1458211
1054000000,-15.993755,-14.12995681
1055000000,-15.995275,-14.11413277
1056000000,-15.967868,-14.09834897
1057000000,-15.946159,-14.08260537
1058000000,-15.983932,-14.06690194
1059000000,-15.928771,-14.05123866
1060000000,-15.91545,-14.03561549
1061000000,-15.910844,-14.0200324
1062000000,-15.898409,-14.00448936
1063000000,-15.898213,-13.98898635
1064000000,-15.843596,-13.97352333
1065000000,-15.834913,-13.95810027
1066000000,-15.850018,-13.94271713
1067000000,-15.816494,-13.92737389
1068000000,-15.79295,-13.91207052
1069000000,-15.784218,-13.89680697
1070000000,-15.749155,-13.88158322
1071000000,-15.782096,-13.86639924
1072000000,-15.727441,-13.85125499
1073000000,-15.734763,-13.83615043
1074000000,-15.741785,-13.82108553
1075000000,-15.738373,-13.80606026
1076000000,-15.70395,-13.79107458
1077000000,-15.658018,-13.77612846
1078000000,-15.686598,-13.76122186
1079000000,-15.66573,-13.74635474
1080000000,-15.636144,-13.73152707
1081000000,-15.634862,-13.71673882
1082000000,-15.611182,-13.70198993
1083000000,-15.599393,-13.68728039
1084000000,-15.590792,-13.67261014
1085000000,-15.566269,-13.65797915
1086000000,-15.592192,-13.64338739
1087000000,-15.55775,-13.62883481
1088000000,-15.535869,-13.61432138
1089000000,-15.531957,-13.59984705
1090000000,-15.502491,-13.58541179
1091000000,-15.492558,-13.57101556
1092000000,-15.486093,-13.55665831
1093000000,-15.506079,-13.54234001
1094000000,-15.472775,-13.52806062
1095000000,-15.454059,-13.51382009
1096000000,-15.448216,-13.49961837
1097000000,-15.423622,-13.48545545
1098000000,-15.426586,-13.47133125
1099000000,-15.443916,-13.45724576
1100000000,-15.385777,-13.44319892
1101000000,-15.359967,-13.42919068
1102000000,-15.366502,-13.41522102
1103000000,-15.337089,-13.40128987
1104000000,-15.332257,-13.38739721
1105000000,-15.313169,-13.37354298
1106000000,-15.282865,-13.35972714
1107000000,-15.291932,-13.34594964
1108000000,-15.283927,-13.33221045
1109000000,-15.267482,-13.31850951
1110000000,-15.229996,-13.30484678
1111000000,-15.247478,-13.29122221
1112000000,-15.208553,-13.27763575
1113000000,-15.231869,-13.26408737
1114000000,-15.223186,-13.25057701
1115000000,-15.165306,-13.23710462
1116000000,-15.206924,-13.22367016
1117000000,-15.147226,-13.21027358
1118000000,-15.161939,-13.19691483
1119000000,-15.143381,-13.18359386
1120000000,-15.124262,-13.17031062
1121000000,-15.130917,-13.15706507
1122000000,-15.098563,-13.14385716
1123000000,-15.09287,-13.13068683
1124000000,-15.081538,-13.11755404
1125000000,-15.06346,-13.10445873
1126000000,-15.042419,-13.09140086
1127000000,-15.044503,-13.07838037
1128000000,-15.040432,-13.06539722
1129000000,-15.015381,-13.05245134
1130000000,-15.030469,-13.0395427
1131000000,-15.058935,-13.02667124
1132000000,-15.019586,-13.0138369
1133000000,-15.005802,-13.00103963
1134000000,-14.950699,-12.98827939
1135000000,-14.977475,-12.97555611
1136000000,-14.959341,-12.96286975
1137000000,-14.929033,-12.95022025
1138000000,-14.903901,-12.93760755
1139000000,-14.893998,-12.92503161
1140000000,-14.874721,-12.91249237
1141000000,-14.890275,-12.89998977
1142000000,-14.854868,-12.88752376
1143000000,-14.86254,-12.87509429
1144000000,-14.846143,-12.86270129
1145000000,-14.851933,-12.85034472
1146000000,-14.829827,-12.83802452
1147000000,-14.832691,-12.82574063
1148000000,-14.823503,-12.81349299
1149000000,-14.763506,-12.80128155
1150000000,-14.780955,-12.78910625
1151000000,-14.782928,-12.77696704
1152000000,-14.785925,-12.76486385
1153000000,-14.716759,-12.75279663
1154000000,-14.706676,-12.74076533
1155000000,-14.718259,-12.72876987
1156000000,-14.722928,-12.71681022
1157000000,-14.671947,-12.70488629
1158000000,-14.679115,-12.69299805
1159000000,-14.722211,-12.68114543
1160000000,-14.651388,-12.66932836
1161000000,-14.656703,-12.6575468
1162000000,-14.647982,-12.64580068
1163000000,-14.629634,-12.63408993
1164000000,-14.649067,-12.62241451
