Freq(Hz),S21 Phase_measured(deg),S21 Phase_HFSS(deg)
1000000000,153.32358,150.4336948
1001000000,153.49478,150.4026397
1002000000,153.51657,150.3715869
1003000000,153.28065,150.3405363
1004000000,153.28758,150.309488
1005000000,153.10713,150.2784418
1006000000,153.15129,150.247398
1007000000,153.13963,150.2163563
1008000000,153.23152,150.1853169
1009000000,153.02869,150.1542797
1010000000,152.99933,150.1232447
1011000000,153.18579,150.0922119
1012000000,153.03343,150.0611813
1013000000,153.09604,150.0301529
1014000000,153.10089,149.9991266
1015000000,152.92467,149.9681026
1016000000,152.94896,149.9370808
1017000000,152.81212,149.9060611
1018000000,152.88647,149.8750436
1019000000,152.75865,149.8440282
1020000000,152.67377,149.813015
1021000000,152.77568,149.782004
1022000000,152.65782,149.7509951
1023000000,152.79216,149.7199884
1024000000,152.56818,149.6889838
1025000000,152.54683,149.6579813
1026000000,152.69342,149.626981
1027000000,152.40302,149.5959828
1028000000,152.46364,149.5649867
1029000000,152.49081,149.5339927
1030000000,152.563,149.5030008
1031000000,152.40416,149.4720111
1032000000,152.54578,149.4410234
1033000000,152.41415,149.4100379
1034000000,152.40047,149.3790544
1035000000,152.24954,149.348073
1036000000,152.27162,149.3170938
1037000000,152.43854,149.2861166
1038000000,152.34335,149.2551414
1039000000,152.31181,149.2241683
1040000000,152.19789,149.1931973
1041000000,152.32069,149.1622284
1042000000,152.00333,149.1312615
1043000000,152.14072,149.1002967
1044000000,152.1958,149.0693339
1045000000,152.04956,149.0383732
1046000000,151.79375,149.0074144
1047000000,151.92189,148.9764578
1048000000,151.994,148.9455031
1049000000,151.89445,148.9145505
1050000000,151.95772,148.8835999
1051000000,151.98705,148.8526513
1052000000,151.7504,148.8217047
1053000000,151.7939,148.7907602
1054000000,151.83849,148.7598176
1055000000,151.67941,148.728877
1056000000,151.72479,148.6979384
1057000000,151.75858,148.6670018
1058000000,151.49283,148.6360672
1059000000,151.6924,148.6051346
1060000000,151.59232,148.574204
1061000000,151.58052,148.5432753
1062000000,151.4588,148.5123486
1063000000,151.54041,148.4814238
1064000000,151.52348,148.450501
1065000000,151.48262,148.4195802
1066000000,151.49242,148.3886613
1067000000,151.40154,148.3577443
1068000000,151.28108,148.3268293
1069000000,151.31505,148.2959163
1070000000,151.18591,148.2650051
1071000000,151.14119,148.2340959
1072000000,151.20473,148.2031886
1073000000,151.18127,148.1722833
1074000000,151.08376,148.1413798
1075000000,151.01595,148.1104783
1076000000,151.11926,148.0795787
1077000000,151.00714,148.0486809
1078000000,151.11923,148.0177851
1079000000,151.00919,147.9868912
1080000000,151.09428,147.9559991
1081000000,151.00652,147.925109
1082000000,150.96205,147.8942207
1083000000,150.92128,147.8633343
1084000000,150.7812,147.8324498
1085000000,150.84595,147.8015672
1086000000,150.75758,147.7706864
1087000000,150.69682,147.7398075
1088000000,150.79878,147.7089304
1089000000,150.85947,147.6780552
1090000000,150.73579,147.6471818
1091000000,150.65044,147.6163103
1092000000,150.59441,147.5854407
1093000000,150.5153,147.5545728
1094000000,150.55917,147.5237068
1095000000,150.55762,147.4928427
1096000000,150.5589,147.4619803
1097000000,150.58112,147.4311198
1098000000,150.52504,147.4002611
1099000000,150.25381,147.3694042
1100000000,150.14351,147.3385491
1101000000,150.26428,147.3076959
1102000000,150.20004,147.2768444
1103000000,150.19258,147.2459947
1104000000,150.14034,147.2151469
1105000000,150.11732,147.1843008
1106000000,150.27849,147.1534565
1107000000,149.89186,147.122614
1108000000,150.08434,147.0917733
1109000000,150.24788,147.0609343
1110000000,150.13553,147.0300971
