Freq(Hz),S21 Phase(deg)
1000000000,-31.301643
1001000000,-31.332808
1002000000,-31.212919
1003000000,-31.278296
1004000000,-31.497305
1005000000,-31.351234
1006000000,-31.625061
1007000000,-31.437616
1008000000,-31.483425
1009000000,-31.491283
1010000000,-31.606161
1011000000,-31.601315
1012000000,-31.609657
1013000000,-31.722557
1014000000,-31.637875
1015000000,-31.785969
1016000000,-31.790335
1017000000,-31.887991
1018000000,-31.892616
1019000000,-31.862726
1020000000,-31.929167
1021000000,-31.970865
1022000000,-32.005459
1023000000,-32.017334
1024000000,-32.05756
1025000000,-32.026237
1026000000,-31.896591
1027000000,-32.17934
1028000000,-32.032253
1029000000,-32.077461
1030000000,-32.121853
1031000000,-32.112034
1032000000,-32.333706
1033000000,-32.282272
1034000000,-32.266598
1035000000,-32.358715
1036000000,-32.305744
1037000000,-32.386684
1038000000,-32.288342
1039000000,-32.364174
1040000000,-32.417946
1041000000,-32.551357
1042000000,-32.587124
1043000000,-32.71983
1044000000,-32.647373
1045000000,-32.607021
1046000000,-32.502357
1047000000,-32.809956
1048000000,-32.78318
1049000000,-32.792652
1050000000,-32.724026
1051000000,-32.846191
1052000000,-32.855019
1053000000,-32.771202
1054000000,-33.002369
1055000000,-32.908482
1056000000,-32.895641
1057000000,-33.096775
1058000000,-33.084145
1059000000,-32.988037
1060000000,-32.966015
1061000000,-32.94775
1062000000,-33.174461
1063000000,-33.259075
1064000000,-33.364178
1065000000,-33.36842
1066000000,-33.260372
1067000000,-33.292301
1068000000,-33.434952
1069000000,-33.183506
1070000000,-33.225204
1071000000,-33.397614
1072000000,-33.558239
1073000000,-33.573196
1074000000,-33.513973
1075000000,-33.452835
1076000000,-33.431618
1077000000,-33.313641
1078000000,-33.62957
1079000000,-33.741695
1080000000,-33.751526
1081000000,-33.655231
1082000000,-33.815453
1083000000,-33.501797
1084000000,-33.796829
1085000000,-34.035736
1086000000,-33.901787
1087000000,-33.863342
1088000000,-34.00354
1089000000,-33.888512
1090000000,-33.990761
1091000000,-33.988323
1092000000,-34.055477
1093000000,-33.905312
1094000000,-34.14278
1095000000,-33.838959
1096000000,-33.987309
1097000000,-34.16333
1098000000,-34.045681
1099000000,-34.339603
1100000000,-34.388187
1101000000,-34.398598
1102000000,-34.305481
1103000000,-34.267204
1104000000,-34.584389
1105000000,-34.386246
1106000000,-34.452251
1107000000,-34.513607
1108000000,-34.766014
1109000000,-34.548519
1110000000,-34.608723
1111000000,-34.659355
