Freq(Hz),S21 Log Mag(dB)
1000000000,0.064007699
1001000000,0.049001426
1002000000,0.10179503
1003000000,0.070962027
1004000000,0.064582214
1005000000,0.072323769
1006000000,0.079134174
1007000000,0.098458953
1008000000,0.073355116
1009000000,0.058750443
1010000000,0.10081871
1011000000,0.11263729
1012000000,0.10334518
1013000000,0.094235457
1014000000,0.062196512
1015000000,0.086493209
1016000000,0.074844293
1017000000,0.082766496
1018000000,0.067847282
1019000000,0.071309783
1020000000,0.10956316
1021000000,0.05685281
1022000000,0.075946279
1023000000,0.080943294
1024000000,0.064191937
1025000000,0.056992374
1026000000,0.071352445
1027000000,0.095453158
1028000000,0.06392473
1029000000,0.055980735
1030000000,0.089354329
1031000000,0.06281884
1032000000,0.071821347
1033000000,0.082721934
1034000000,0.064355761
1035000000,0.055072661
1036000000,0.068892866
1037000000,0.067046687
1038000000,0.072139174
1039000000,0.092271797
1040000000,0.082610972
1041000000,0.091976486
1042000000,0.095124513
1043000000,0.07386785
1044000000,0.075601384
1045000000,0.070291862
1046000000,0.064849235
1047000000,0.088838771
1048000000,0.086014494
1049000000,0.050546292
1050000000,0.0811553
1051000000,0.091046147
1052000000,0.066927098
1053000000,0.080359995
1054000000,0.06394127
1055000000,0.075917304
1056000000,0.057324532
1057000000,0.090488553
1058000000,0.044830117
1059000000,0.071176685
1060000000,0.067095287
1061000000,0.066274852
1062000000,0.057453427
1063000000,0.068633616
1064000000,0.075639717
1065000000,0.065071329
1066000000,0.067811258
1067000000,0.06788221
1068000000,0.0797721
1069000000,0.071131587
1070000000,0.066398136
1071000000,0.074637264
1072000000,0.047543474
1073000000,0.073716745
1074000000,0.081902184
1075000000,0.056333739
1076000000,0.066119611
1077000000,0.060571983
1078000000,0.064471491
1079000000,0.04730659
1080000000,0.10013388
1081000000,0.085078113
1082000000,0.057646338
1083000000,0.094414681
1084000000,0.065630369
1085000000,0.066487566
1086000000,0.032871563
1087000000,0.076529108
1088000000,0.10997231
1089000000,0.076432981
1090000000,0.044949226
1091000000,0.062773317
1092000000,0.054372922
1093000000,0.065522194
1094000000,0.040464263
1095000000,0.072678618
1096000000,0.047044154
1097000000,0.047681428
1098000000,0.067154601
1099000000,0.031379052
1100000000,0.052271962
1101000000,0.067147881
1102000000,0.064696237
1103000000,0.067790352
1104000000,0.076721497
1105000000,0.087039061
1106000000,0.086245552
1107000000,0.065985449
1108000000,0.061802085
1109000000,0.07918293
1110000000,0.094144441
1111000000,0.077037781
1112000000,0.064884603
1113000000,0.083730109
1114000000,0.057202403
1115000000,0.088071719
1116000000,0.044993225
1117000000,0.052237961
1118000000,0.078933351
1119000000,0.047637481
1120000000,0.085827954
1121000000,0.060154974
1122000000,0.082607567
1123000000,0.078233279
1124000000,0.056218203
1125000000,0.062685199
1126000000,0.046701964
1127000000,0.08912921
1128000000,0.052243315
1129000000,0.082698323
1130000000,0.075734138
1131000000,0.024080113
1132000000,0.041752357
1133000000,0.048626423
1134000000,0.073664844
1135000000,0.060729854
1136000000,0.059030719
1137000000,0.057343978
1138000000,0.046433792
1139000000,0.06825345
1140000000,0.061891194
1141000000,0.055865604
1142000000,0.078835219
1143000000,0.066751778
1144000000,0.048597593
1145000000,0.054866161
1146000000,0.059917334
1147000000,0.048169576
1148000000,0.046151288
1149000000,0.054484688
1150000000,0.065706111
1151000000,0.049583111
1152000000,0.053178027
1153000000,0.063939862
1154000000,0.088199385
1155000000,0.034086149
1156000000,0.037585203
1157000000,0.064810775
1158000000,0.042845417
1159000000,0.059990432
1160000000,0.058741163
1161000000,0.059160996
1162000000,0.071415864
1163000000,0.066830099
1164000000,0.042121571
1165000000,0.0532175
1166000000,0.046608575
1167000000,0.083537772
1168000000,0.07335116
1169000000,0.066966757
1170000000,0.051008929
1171000000,0.06362211
1172000000,0.067711376
1173000000,0.069967583
1174000000,0.036135212
1175000000,0.038729634
1176000000,0.054927204
1177000000,0.054958943
1178000000,0.037944481
1179000000,0.048539057
1180000000,0.056026351
1181000000,0.071222462
1182000000,0.042495143
1183000000,0.060669176
1184000000,0.04510643
1185000000,0.047443125
1186000000,0.064319678
1187000000,0.053671572
1188000000,0.055607736
1189000000,0.046136163
1190000000,0.058265876
1191000000,0.086032048
1192000000,0.028656388
1193000000,0.047239281
1194000000,0.054899927
1195000000,0.060508516
1196000000,0.059175543
1197000000,0.03676223
1198000000,0.067871049
1199000000,0.066424757
1200000000,0.057024769
1201000000,0.016257135
1202000000,0.066804379
1203000000,0.069386996
1204000000,0.070221215
1205000000,0.048738405
1206000000,0.056021471
1207000000,0.046550442
1208000000,0.044650503
1209000000,0.056047395
1210000000,0.034584317
1211000000,0.055912264
1212000000,0.069866113
1213000000,0.071982458
1214000000,0.051534832
1215000000,0.040083136
1216000000,0.029909521
1217000000,0.048939876
1218000000,0.086096138
1219000000,0.066739976
1220000000,0.049112137
1221000000,0.057404131
1222000000,0.041381314
1223000000,0.05718236
1224000000,0.047779862
1225000000,0.035069119
1226000000,0.062490098
1227000000,0.0304805
1228000000,0.04533416
1229000000,0.034697376
1230000000,0.072607428
1231000000,0.043562185
1232000000,0.0644067
1233000000,0.010781378
1234000000,0.03120207
1235000000,0.044986684
1236000000,0.055866137
1237000000,0.024031894
1238000000,0.044516463
1239000000,0.025730116
1240000000,0.050171517
1241000000,0.033527952
1242000000,0.050789133
