!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:31:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1000000000,-5.0855613,-110.3532
1001000000,-5.0799122,-110.36837
1002000000,-5.0665927,-110.3242
1003000000,-5.0940833,-110.46133
1004000000,-5.061799,-110.81717
1005000000,-5.1133285,-110.88072
1006000000,-5.0642757,-111.0331
1007000000,-5.0618916,-111.22567
1008000000,-5.0716233,-111.33801
1009000000,-5.0659943,-111.37492
1010000000,-5.0594082,-111.56285
1011000000,-5.0674548,-111.80696
1012000000,-5.0869155,-111.55457
1013000000,-5.0579038,-112.0138
1014000000,-5.0576773,-112.08648
1015000000,-5.0455508,-112.32166
1016000000,-5.0538187,-112.50673
1017000000,-5.0307894,-112.24789
1018000000,-5.0582638,-112.72066
1019000000,-5.0624781,-112.79895
1020000000,-5.060513,-112.88565
1021000000,-5.047648,-113.19672
1022000000,-5.0335536,-113.10809
1023000000,-5.0670581,-113.44796
1024000000,-5.0741615,-113.47133
1025000000,-5.0833731,-113.53988
1026000000,-5.0645876,-113.66069
1027000000,-5.0266552,-113.79469
1028000000,-5.0456362,-114.15908
1029000000,-5.0373578,-114.08653
1030000000,-5.0411754,-114.30344
1031000000,-5.0434508,-114.36568
1032000000,-5.0671372,-114.53837
1033000000,-5.0654683,-114.60701
1034000000,-5.0756936,-114.76475
1035000000,-5.0466471,-114.77374
1036000000,-5.0521922,-115.09445
1037000000,-5.0263429,-115.35273
1038000000,-5.0263009,-115.21405
1039000000,-5.0272355,-115.48322
1040000000,-5.0382743,-115.54022
1041000000,-5.0568776,-115.66626
1042000000,-5.0468025,-115.84179
1043000000,-5.0149112,-115.88558
1044000000,-5.0072803,-115.96893
1045000000,-5.0743923,-116.26084
1046000000,-5.0357242,-116.63828
1047000000,-5.0300026,-116.44182
1048000000,-5.0348439,-116.49043
1049000000,-5.0048642,-116.78394
1050000000,-5.0084925,-116.93848
1051000000,-5.0513959,-117.09895
1052000000,-5.0168543,-117.16578
1053000000,-5.0067749,-117.33755
1054000000,-5.0199156,-117.45399
1055000000,-5.0330625,-117.63064
1056000000,-5.0348253,-117.48306
1057000000,-5.0325789,-118.00639
1058000000,-5.0353794,-118.01656
1059000000,-5.0349112,-118.19104
1060000000,-5.0106287,-118.21855
1061000000,-5.0343585,-118.26451
1062000000,-5.0242581,-118.45178
