!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:09:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1149000000,-7.0417361,-66.419052
1150000000,-7.0583396,-66.643066
1151000000,-7.0496831,-66.705276
1152000000,-7.0320854,-66.74688
1153000000,-7.0505562,-66.583977
1154000000,-7.0745783,-66.818787
1155000000,-7.0774345,-67.036308
1156000000,-7.0480504,-66.964432
1157000000,-7.0525889,-66.97847
1158000000,-7.0691876,-66.975754
1159000000,-7.0740185,-67.251068
1160000000,-7.0349278,-67.059875
1161000000,-7.0575566,-67.014153
1162000000,-7.0481749,-67.335342
1163000000,-7.0785484,-67.316147
1164000000,-7.0574398,-67.410332
1165000000,-7.0534768,-67.440704
1166000000,-7.0649796,-67.530487
1167000000,-7.0458307,-67.738693
1168000000,-7.0944018,-67.652092
1169000000,-7.0631495,-67.621521
1170000000,-7.0787024,-67.882492
1171000000,-7.0789757,-68.011642
1172000000,-7.0645614,-67.772163
1173000000,-7.0895247,-67.825348
1174000000,-7.1056104,-67.896866
1175000000,-7.0801501,-68.08239
1176000000,-7.0840192,-68.103539
1177000000,-7.1150303,-68.122108
1178000000,-7.0862732,-68.417183
1179000000,-7.0843892,-68.158966
1180000000,-7.0668845,-68.369972
1181000000,-7.0985093,-68.582405
1182000000,-7.1090527,-68.677216
1183000000,-7.1030993,-68.575211
1184000000,-7.1085196,-68.599503
1185000000,-7.0868168,-68.615685
1186000000,-7.1017256,-68.498611
1187000000,-7.106813,-68.946617
1188000000,-7.1096196,-68.946655
1189000000,-7.1155291,-69.076805
1190000000,-7.0936651,-68.998589
1191000000,-7.0945892,-69.083015
1192000000,-7.1140308,-69.25634
1193000000,-7.1015043,-69.331551
1194000000,-7.0968776,-69.19577
1195000000,-7.1119204,-69.31031
1196000000,-7.1361809,-69.217308
1197000000,-7.1234646,-69.42289
1198000000,-7.1318026,-69.563171
1199000000,-7.1032186,-69.53653
1200000000,-7.1017661,-69.728142
1201000000,-7.0958118,-69.667473
1202000000,-7.1106277,-69.761063
1203000000,-7.1128578,-69.749466
1204000000,-7.1143723,-69.915611
1205000000,-7.105185,-70.040909
1206000000,-7.1397204,-69.822578
1207000000,-7.1320553,-69.938354
1208000000,-7.1076684,-70.061546
1209000000,-7.1174498,-70.004219
1210000000,-7.1645303,-70.295105
1211000000,-7.1582813,-70.424416
1212000000,-7.1427627,-70.229027
1213000000,-7.1466951,-70.6026
1214000000,-7.1620131,-70.456863
1215000000,-7.1360617,-70.558113
1216000000,-7.1370888,-70.448868
1217000000,-7.1467738,-70.618584
1218000000,-7.1298356,-70.854706
1219000000,-7.1406412,-70.749413
1220000000,-7.1665392,-70.787056
1221000000,-7.131196,-70.989868
1222000000,-7.1605835,-70.932632
1223000000,-7.1787715,-70.907822
1224000000,-7.1232853,-70.861237
1225000000,-7.1618443,-71.02179
1226000000,-7.1666107,-71.314529
1227000000,-7.1952538,-71.415565
1228000000,-7.1578932,-71.372215
1229000000,-7.1511011,-71.326515
1230000000,-7.1690311,-71.518669
1231000000,-7.1748638,-71.667603
1232000000,-7.1960115,-71.66436
1233000000,-7.1703324,-71.475327
1234000000,-7.1975613,-71.655548
1235000000,-7.1773162,-71.788345
1236000000,-7.1896691,-71.858322
1237000000,-7.1582165,-71.929749
1238000000,-7.1746144,-71.853806
1239000000,-7.1981049,-72.036011
1240000000,-7.203548,-72.082245
1241000000,-7.1906481,-72.099548
1242000000,-7.1730542,-72.051208
1243000000,-7.1940813,-72.210472
1244000000,-7.2004781,-72.261696
1245000000,-7.1922235,-72.539917
1246000000,-7.1639595,-72.48748
1247000000,-7.2013459,-72.651398
1248000000,-7.1969194,-72.517258
1249000000,-7.1872034,-72.573814
1250000000,-7.2012582,-72.697426
1251000000,-7.1794753,-72.883492
1252000000,-7.1734376,-73.102936
1253000000,-7.2347741,-72.840332
1254000000,-7.2246571,-72.842178
1255000000,-7.2065868,-72.937805
1256000000,-7.1961761,-73.141296
1257000000,-7.2372117,-73.08033
1258000000,-7.2246952,-73.160782
1259000000,-7.2029433,-73.511635
1260000000,-7.2227826,-73.203888
1261000000,-7.218195,-73.185844
1262000000,-7.2069468,-73.587463
1263000000,-7.2100701,-73.603195
1264000000,-7.2407937,-73.366203
1265000000,-7.2292843,-73.625328
1266000000,-7.2479339,-73.72702
1267000000,-7.2402697,-73.783394
1268000000,-7.2287107,-73.899017
1269000000,-7.2323728,-73.840797
1270000000,-7.2982988,-74.005013
