"Freq [GHz]","cang_deg(S(2,1))-cang_deg(S(2,4)) [deg]"
1,19.7429712985941
1.001,19.771535054609
1.002,19.8001277682107
1.003,19.8287495403382
1.004,19.8574004723434
1.005,19.8860806659914
1.006,19.9147902234597
1.007,19.9435292473368
1.008,19.9722978406227
1.009,20.0010961067287
1.01,20.0299241494755
1.011,20.0587820730941
1.012,20.0876699822244
1.013,20.1165879819149
1.014,20.1455361776225
1.015,20.1745146752108
1.016,20.2035235809509
1.017,20.23256300152
1.018,20.2616330440007
1.019,20.2907338158805
1.02,20.3198654250513
1.021,20.3490279798083
1.022,20.37822158885
1.023,20.4074463612767
1.024,20.4367024065902
1.025,20.4659898346929
1.026,20.4953087558873
1.027,20.5246592808747
1.028,20.5540415207551
1.029,20.5834555870255
1.03,20.61290159158
1.031,20.6423796467086
1.032,20.6718898650957
1.033,20.7014323598206
1.034,20.7310072443547
1.035,20.7606146325627
1.036,20.7902546387001
1.037,20.8199273774126
1.038,20.8496329637363
1.039,20.8793715130947
1.04,20.9091431412989
1.041,20.9389479645473
1.042,20.9687860994225
1.043,20.9986576628923
1.044,21.0285627723077
1.045,21.0585015454016
1.046,21.0884741002881
1.047,21.1184805554617
1.048,21.1485210297955
1.049,21.1785956425396
1.05,21.2087045133222
1.051,21.2388477621455
1.052,21.2690255093865
1.053,21.2992378757952
1.054,21.329484982493
1.055,21.3597669509718
1.056,21.3900839030933
1.057,21.4204359610862
1.058,21.4508232475462
1.059,21.4812458854343
1.06,21.5117039980754
1.061,21.5421977091575
1.062,21.5727271427287
1.063,21.6032924231977
1.064,21.6338936753317
1.065,21.664531024254
1.066,21.6952045954447
1.067,21.7259145147369
1.068,21.7566609083167
1.069,21.7874439027212
1.07,21.8182636248372
1.071,21.8491202018997
1.072,21.8800137614894
1.073,21.9109444315329
1.074,21.9419123402996
1.075,21.9729176164005
1.076,22.0039603887868
1.077,22.0350407867488
1.078,22.0661589399126
1.079,22.0973149782401
1.08,22.1285090320261
1.081,22.1597412318976
1.082,22.1910117088117
1.083,22.2223205940528
1.084,22.253668019233
1.085,22.2850541162882
1.086,22.3164790174775
1.087,22.3479428553815
1.088,22.3794457628991
1.089,22.4109878732472
1.09,22.4425693199582
1.091,22.4741902368778
1.092,22.5058507581641
1.093,22.5375510182839
1.094,22.5692911520126
1.095,22.6010712944318
1.096,22.6328915809259
1.097,22.6647521471819
1.098,22.6966531291868
1.099,22.7285946632252
1.1,22.7605768858776
1.101,22.7925999340178
1.102,22.8246639448118
1.103,22.8567690557151
1.104,22.8889154044703
1.105,22.9211031291055
1.106,22.9533323679321
1.107,22.9856032595417
1.108,23.0179159428054
1.109,23.0502705568709
1.11,23.0826672411594
1.111,23.1151061353649
1.112,23.1475873794512
1.113,23.180111113649
1.114,23.212677478455
1.115,23.2452866146283
1.116,23.2779386631886
1.117,23.3106337654143
1.118,23.3433720628389
1.119,23.37615369725
1.12,23.4089788106861
1.121,23.4418475454342
1.122,23.4747600440278
1.123,23.5077164492437
1.124,23.5407169041007
1.125,23.5737615518555
1.126,23.6068505360017
1.127,23.6399840002665
1.128,23.673162088609
1.129,23.7063849452155
1.13,23.7396527144996
1.131,23.7729655410979
1.132,23.8063235698684
1.133,23.8397269458868
1.134,23.8731758144446
1.135,23.9066703210467
1.136,23.9402106114078
1.137,23.9737968314503
1.138,24.007429127302
1.139,24.0411076452917
1.14,24.0748325319493
1.141,24.1086039339999
1.142,24.1424219983637
1.143,24.176286872151
1.144,24.2101987026614
1.145,24.2441576373791
1.146,24.2781638239719
1.147,24.3122174102862
1.148,24.3463185443467
1.149,24.3804673743512
1.15,24.4146640486693
1.151,24.4489087158384
1.152,24.4832015245613
1.153,24.517542623703
1.154,24.5519321622889
1.155,24.5863702894994
1.156,24.6208571546696
1.157,24.6553929072841
1.158,24.6899776969754
1.159,24.7246116735202
1.16,24.7592949868368
1.161,24.7940277869813
1.162,24.8288102241454
1.163,24.8636424486528
1.164,24.8985246109559
1.165,24.9334568616331
1.166,24.9684393513855
1.167,25.0034722310339
1.168,25.0385556515152
1.169,25.0736897638797
1.17,25.1088747192877
1.171,25.1441106690062
1.172,25.1793977644056
1.173,25.214736156957
1.174,25.2501259982282
1.175,25.2855674398812
1.176,25.3210606336682
1.177,25.3566057314288
1.178,25.3922028850864
1.179,25.4278522466455
1.18,25.4635539681868
1.181,25.4993082018662
1.182,25.5351150999093
1.183,25.5709748146093
1.184,25.6068874983232
1.185,25.6428533034683
1.186,25.6788723825192
1.187,25.7149448880034
1.188,25.7510709724999
1.189,25.7872507886329
1.19,25.8234844890708
1.191,25.859772226522
1.192,25.8961141537305
1.193,25.9325104234735
1.194,25.9689611885576
1.195,26.0054666018153
1.196,26.042026816101
1.197,26.0786419842883
1.198,26.115312259266
1.199,26.1520377939343
1.2,26.1888187412015
1.201,26.2256552539807
1.202,26.262547485186
1.203,26.2994955877285
1.204,26.3364997145131
1.205,26.3735600184349
1.206,26.4106766523753
1.207,26.4478497691993
1.208,26.4850795217497
1.209,26.5223660628462
1.21,26.5597095452796
1.211,26.5971101218093
1.212,26.6345679451591
1.213,26.6720831680134
1.214,26.7096559430137
1.215,26.7472864227554
1.216,26.7849747597832
1.217,26.8227211065878
1.218,26.8605256156023
1.219,26.898388439198
1.22,26.9363097296812
1.221,26.9742896392891
1.222,27.0123283201857
1.223,27.0504259244593
1.224,27.0885826041172
1.225,27.1267985110825
1.226,27.1650737971908
1.227,27.2034086141857
1.228,27.2418031137152
1.229,27.2802574473282
1.23,27.3187717664702
1.231,27.3573462224795
1.232,27.3959809665841
1.233,27.4346761498968
1.234,27.473431923412
1.235,27.5122484380018
1.236,27.5511258444122
1.237,27.5900642932587
1.238,27.6290639350233
1.239,27.6681249200495
1.24,27.7072473985395
