"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(2,2)) [deg]","ang_deg(S(3,1)) [deg]","ang_deg(S(3,2)) [deg]","ang_deg(S(3,3)) [deg]"
1,134.956746109754,-81.2346152743966,18.9936080291946,-81.3696091952177,-138.078840339946,18.0246224706848
1.001,134.932714762279,-81.316916918229,18.8965839320023,-81.4523811189917,-138.199479599746,17.9251192339354
1.002,134.908720246583,-81.39922114979,18.7996198593117,-81.5351544103286,-138.320105278328,17.8256848020846
1.003,134.884762544098,-81.4815279684956,18.7027159134742,-81.6179290645572,-138.440717424953,17.7263192783878
1.004,134.860841636374,-81.5638373737541,18.605872197239,-81.7007050770226,-138.56131608874,17.6270227663864
1.005,134.836957505079,-81.6461493649664,18.5090888137463,-81.7834824430868,-138.68190131866,17.5277953699019
1.006,134.813110132002,-81.7284639415261,18.4123658665219,-81.8662611581284,-138.80247316354,17.428637193031
1.007,134.789299499049,-81.810781102819,18.3157034594699,-81.9490412175427,-138.923031672062,17.3295483401386
1.008,134.76552558825,-81.8931008482238,18.2191016968666,-82.0318226167417,-139.043576892762,17.2305289158529
1.009,134.741788381752,-81.9754231771124,18.1225606833538,-82.1146053511549,-139.164108874033,17.1315790250594
1.01,134.718087861826,-82.0577480888485,18.0260805239335,-82.197389416228,-139.284627664123,17.0326987728947
1.011,134.694424010863,-82.1400755827895,17.9296613239607,-82.2801748074246,-139.405133311133,16.9338882647411
1.012,134.67079681138,-82.2224056582851,17.8333031891366,-82.3629615202243,-139.525625863024,16.835147606221
1.013,134.64720624601,-82.3047383146783,17.7370062255034,-82.4457495501252,-139.64610536761,16.7364769031903
1.014,134.623652297516,-82.387073551305,17.6407705394368,-82.5285388926417,-139.766571872562,16.6378762617334
1.015,134.600134948782,-82.4694113674939,17.5445962376404,-82.6113295433058,-139.887025425408,16.5393457881572
1.016,134.576654182815,-82.5517517625672,17.4484834271386,-82.6941214976671,-140.007466073532,16.4408855889849
1.017,134.55320998275,-82.6340947358399,17.3524322152709,-82.7769147512925,-140.127893864175,16.3424957709505
1.018,134.529802331845,-82.7164402866204,17.2564427096847,-82.859709299766,-140.248308844433,16.2441764409935
1.019,134.506431213484,-82.7987884142104,17.1605150183296,-82.9425051386903,-140.368711061262,16.1459277062516
1.02,134.483096611178,-82.8811391179047,17.0646492494508,-83.0253022636845,-140.489100561475,16.047749674057
1.021,134.459798508565,-82.9634923969917,16.9688455115824,-83.1081006703863,-140.60947739174,15.9496424519285
1.022,134.436536889411,-83.0458482507531,16.8731039135407,-83.1909003544509,-140.729841598584,15.8516061475675
1.023,134.413311737606,-83.1282066784643,16.7774245644195,-83.2737013115513,-140.850193228394,15.7536408688509
1.024,134.390123037175,-83.2105676793936,16.6818075735811,-83.3565035373786,-140.970532327411,15.6557467238255
1.025,134.366970772265,-83.2929312528038,16.5862530506517,-83.4393070276415,-141.090858941737,15.5579238207034
1.026,134.343854927158,-83.3752973979505,16.4907611055149,-83.5221117780674,-141.211173117333,15.4601722678543
1.027,134.320775486262,-83.4576661140838,16.3953318483037,-83.604917784401,-141.331474900016,15.3624921738014
1.028,134.297732434117,-83.540037400447,16.299965389396,-83.687725042406,-141.451764335464,15.2648836472147
1.029,134.274725755394,-83.6224112562772,16.2046618394074,-83.7705335478637,-141.572041469214,15.167346796905
1.03,134.251755434895,-83.704787680806,16.1094213091839,-83.8533432965742,-141.69230634666,15.0698817318191
1.031,134.228821457555,-83.787166673258,16.0142439097974,-83.9361542843556,-141.812559013058,14.9724885610333
1.032,134.205923808439,-83.8695482328527,15.919129752537,-84.0189665070446,-141.932799513523,14.8751673937475
1.033,134.183062472748,-83.9519323588029,15.8240789489043,-84.1017799604961,-142.053027893029,14.7779183392801
1.034,134.160237435815,-84.0343190503163,15.7290916106063,-84.1845946405843,-142.17324419641,14.6807415070611
