Freq [GHz],"deg(S(2,1))"
1,150.6118256904
1.001,150.5817641664
1.002,150.5517010195
1.003,150.521636252
1.004,150.4915698663
1.005,150.4615018646
1.006,150.4314322493
1.007,150.4013610228
1.008,150.3712881875
1.009,150.3412137459
1.01,150.3111377005
1.011,150.2810600537
1.012,150.2509808082
1.013,150.2208999665
1.014,150.1908175312
1.015,150.1607335051
1.016,150.1306478907
1.017,150.1005606908
1.018,150.0704719081
1.019,150.0403815455
1.02,150.0102896057
1.021,149.9801960915
1.022,149.950101006
1.023,149.9200043519
1.024,149.8899061322
1.025,149.85980635
1.026,149.8297050082
1.027,149.7996021099
1.028,149.7694976581
1.029,149.739391656
1.03,149.7092841068
1.031,149.6791750135
1.032,149.6490643796
1.033,149.6189522081
1.034,149.5888385024
1.035,149.5587232658
1.036,149.5286065017
1.037,149.4984882134
1.038,149.4683684045
1.039,149.4382470782
1.04,149.4081242383
1.041,149.3779998881
1.042,149.3478740313
1.043,149.3177466715
1.044,149.2876178122
1.045,149.2574874572
1.046,149.2273556102
1.047,149.197222275
1.048,149.1670874552
1.049,149.1369511548
1.05,149.1068133775
1.051,149.0766741273
1.052,149.046533408
1.053,149.0163912238
1.054,148.9862475784
1.055,148.956102476
1.056,148.9259559206
1.057,148.8958079164
1.058,148.8656584675
1.059,148.8355075779
1.06,148.8053552521
1.061,148.7752014941
1.062,148.7450463083
1.063,148.7148896991
1.064,148.6847316707
1.065,148.6545722275
1.066,148.624411374
1.067,148.5942491146
1.068,148.5640854539
1.069,148.5339203963
1.07,148.5037539465
1.071,148.4735861091
1.072,148.4434168886
1.073,148.4132462899
1.074,148.3830743175
1.075,148.3529009763
1.076,148.322726271
1.077,148.2925502065
1.078,148.2623727877
1.079,148.2321940194
1.08,148.2020139065
1.081,148.1718324541
1.082,148.1416496672
1.083,148.1114655508
1.084,148.08128011
1.085,148.0510933498
1.086,148.0209052756
1.087,147.9907158924
1.088,147.9605252055
1.089,147.9303332202
1.09,147.9001399417
1.091,147.8699453754
1.092,147.8397495266
1.093,147.8095524009
1.094,147.7793540036
1.095,147.7491543401
1.096,147.7189534161
1.097,147.6887512371
1.098,147.6585478087
1.099,147.6283431365
1.1,147.5981372261
1.101,147.5679300833
1.102,147.5377217138
1.103,147.5075121234
1.104,147.4773013179
1.105,147.4470893031
1.106,147.4168760849
1.107,147.3866616692
1.108,147.356446062
1.109,147.3262292692
1.11,147.296011297
1.111,147.2657921512
1.112,147.2355718381
1.113,147.2053503637
1.114,147.1751277342
1.115,147.1449039559
1.116,147.1146790348
1.117,147.0844529774
1.118,147.0542257899
1.119,147.0239974787
1.12,146.99376805
1.121,146.9635375104
1.122,146.9333058663
1.123,146.903073124
1.124,146.8728392903
1.125,146.8426043715
1.126,146.8123683742
1.127,146.7821313051
1.128,146.7518931709
1.129,146.7216539781
1.13,146.6914137335
1.131,146.6611724439
1.132,146.630930116
1.133,146.6006867566
1.134,146.5704423726
1.135,146.5401969708
1.136,146.5099505582
1.137,146.4797031416
1.138,146.4494547281
1.139,146.4192053247
1.14,146.3889549384
1.141,146.3587035763
1.142,146.3284512454
1.143,146.298197953
1.144,146.2679437061
1.145,146.237688512
1.146,146.2074323778
1.147,146.1771753109
1.148,146.1469173185
1.149,146.1166584079
1.15,146.0863985866
1.151,146.0561378618
1.152,146.0258762409
1.153,145.9956137315
1.154,145.9653503409
1.155,145.9350860767
1.156,145.9048209464
1.157,145.8745549575
1.158,145.8442881176
1.159,145.8140204344
1.16,145.7837519154
1.161,145.7534825684
1.162,145.723212401
1.163,145.6929414209
1.164,145.6626696359
1.165,145.6323970538
1.166,145.6021236824
1.167,145.5718495295
1.168,145.5415746029
1.169,145.5112989105
1.17,145.4810224603
1.171,145.4507452602
1.172,145.420467318
1.173,145.3901886419
1.174,145.3599092399
1.175,145.3296291198
1.176,145.2993482899
1.177,145.2690667581
1.178,145.2387845327
1.179,145.2085016217
1.18,145.1782180332
1.181,145.1479337755
1.182,145.1176488567
1.183,145.0873632851
1.184,145.0570770688
1.185,145.0267902163
1.186,144.9965027356
1.187,144.9662146353
1.188,144.9359259235
1.189,144.9056366086
1.19,144.875346699
1.191,144.8450562031
1.192,144.8147651293
1.193,144.784473486
1.194,144.7541812816
1.195,144.7238885247
1.196,144.6935952236
1.197,144.663301387
1.198,144.6330070233
1.199,144.602712141
1.2,144.5724167488
1.201,144.5421208551
1.202,144.5118244686
1.203,144.4815275978
1.204,144.4512302515
1.205,144.4209324381
1.206,144.3906341665
1.207,144.3603354451
1.208,144.3300362828
1.209,144.2997366882
1.21,144.26943667
1.211,144.2391362369
1.212,144.2088353977
1.213,144.178534161
1.214,144.1482325358
1.215,144.1179305306
1.216,144.0876281544
1.217,144.0573254159
1.218,144.0270223239
1.219,143.9967188872
1.22,143.9664151146
1.221,143.936111015
1.222,143.9058065973
1.223,143.8755018702
1.224,143.8451968426
1.225,143.8148915234
1.226,143.7845859215
1.227,143.7542800458
1.228,143.7239739051
1.229,143.6936675083
1.23,143.6633608644
1.231,143.6330539822
1.232,143.6027468707
1.233,143.5724395388
1.234,143.5421319954
1.235,143.5118242495
1.236,143.4815163099
1.237,143.4512081857
1.238,143.4208998856
1.239,143.3905914188
1.24,143.3602827941
1.241,143.3299740205
1.242,143.2996651069
1.243,143.2693560623
1.244,143.2390468957
1.245,143.2087376158
1.246,143.1784282319
1.247,143.1481187527
1.248,143.1178091872
1.249,143.0874995443
1.25,143.0571898331
1.251,143.0268800624
1.252,142.9965702412
1.253,142.9662603785
1.254,142.9359504831
1.255,142.905640564
1.256,142.8753306301
1.257,142.8450206903
1.258,142.8147107535
1.259,142.7844008287
1.26,142.7540909248
1.261,142.7237810506
1.262,142.6934712151
1.263,142.663161427
1.264,142.6328516954
1.265,142.602542029
1.266,142.5722324367
1.267,142.5419229274
1.268,142.5116135099
1.269,142.4813041931
1.27,142.4509949856
1.271,142.4206858965
1.272,142.3903769343
1.273,142.360068108
1.274,142.3297594264
1.275,142.2994508981
1.276,142.2691425319
1.277,142.2388343365
1.278,142.2085263207
1.279,142.1782184932
1.28,142.1479108627
1.281,142.1176034378
1.282,142.0872962272
1.283,142.0569892396
1.284,142.0266824835
1.285,141.9963759676
1.286,141.9660697005
1.287,141.9357636908
1.288,141.905457947
1.289,141.8751524776
1.29,141.8448472913
1.291,141.8145423964
1.292,141.7842378015
1.293,141.753933515
1.294,141.7236295454
1.295,141.6933259011
1.296,141.6630225905
1.297,141.632719622
1.298,141.6024170039
1.299,141.5721147446
1.3,141.5418128523
1.301,141.5115113355
1.302,141.4812102022
1.303,141.4509094609
1.304,141.4206091196
1.305,141.3903091866
1.306,141.36000967
1.307,141.3297105781
1.308,141.2994119188
1.309,141.2691137003
1.31,141.2388159306
1.311,141.2085186179
1.312,141.17822177
1.313,141.147925395
1.314,141.1176295007
1.315,141.0873340952
1.316,141.0570391864
1.317,141.0267447819
1.318,140.9964508898
1.319,140.9661575178
1.32,140.9358646737
1.321,140.9055723652
1.322,140.8752806001
1.323,140.8449893859
1.324,140.8146987303
1.325,140.784408641
1.326,140.7541191256
1.327,140.7238301915
1.328,140.6935418462
1.329,140.6632540974
1.33,140.6329669523
1.331,140.6026804185
1.332,140.5723945032
