Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1177000000,-6.9797211,-67.387199
1178000000,-6.9373889,-67.270767
1179000000,-6.9486704,-67.356644
1180000000,-6.9244804,-67.596474
1181000000,-6.9387455,-67.528481
1182000000,-6.9412808,-67.70768
1183000000,-6.9464426,-67.638885
1184000000,-6.9874535,-67.481071
1185000000,-6.9548459,-67.686562
1186000000,-6.9618664,-67.657867
1187000000,-6.9605689,-67.829399
1188000000,-6.976614,-67.948914
1189000000,-6.9515047,-68.176826
1190000000,-6.9307642,-68.127228
1191000000,-6.9909406,-68.268524
1192000000,-6.9588118,-68.160255
1193000000,-6.9748983,-68.261841
1194000000,-6.9616852,-68.346764
1195000000,-6.98736,-68.461136
1196000000,-6.9784145,-68.556625
1197000000,-6.9769568,-68.576828
1198000000,-6.9859738,-68.73423
1199000000,-6.9708037,-68.525093
1200000000,-6.9893022,-68.741203
1201000000,-6.955646,-68.852867
1202000000,-7.0047131,-68.906563
1203000000,-7.0314465,-68.906784
1204000000,-7.0209308,-68.999893
1205000000,-7.0005302,-68.977432
1206000000,-6.9848137,-69.00988
1207000000,-6.9959726,-68.841507
1208000000,-7.0072894,-69.29808
1209000000,-6.9924016,-69.185875
1210000000,-7.0458422,-69.429245
1211000000,-7.0131011,-69.503845
1212000000,-6.9881587,-69.390381
1213000000,-6.9905758,-69.697113
1214000000,-6.9951138,-69.590271
1215000000,-7.019073,-69.6119
1216000000,-6.9954462,-69.783188
1217000000,-7.0186658,-69.807129
1218000000,-6.9959078,-69.959885
1219000000,-7.0075836,-69.739632
1220000000,-7.0229855,-69.840706
1221000000,-7.0053911,-70.124435
1222000000,-6.9967976,-69.994476
1223000000,-7.0330076,-70.262619
1224000000,-6.9899521,-69.957924
1225000000,-7.0240235,-70.138954
1226000000,-7.0387087,-70.26149
1227000000,-7.0494962,-70.490799
1228000000,-7.0613313,-70.48806
1229000000,-6.9969935,-70.540283
1230000000,-7.0304475,-70.668808
1231000000,-7.0311289,-70.826736
1232000000,-7.0553703,-70.661423
1233000000,-7.0307245,-70.739372
