"Freq [GHz]","dB(S(1,1)) [] - line_width='1mm' reflect_length='10mm'","dB(S(1,1)) [] - line_width='3.09mm' reflect_length='15mm'"
1.433,-0.0909664846857679,-0.159974432495134
1.434,-0.0910004647607596,-0.160028493539293
1.435,-0.0910344062896133,-0.16008252849736
1.436,-0.0910683094642929,-0.160136537688191
1.437,-0.091102174476215,-0.160190521428822
1.438,-0.0911360015162717,-0.160244480034457
1.439,-0.091169790774809,-0.160298413818488
1.44,-0.0912035424416403,-0.160352323092515
1.441,-0.0912372567060493,-0.160406208166317
1.442,-0.0912709337567766,-0.160460069347883
1.443,-0.0913045737820389,-0.160513906943411
1.444,-0.0913381769695163,-0.160567721257316
1.445,-0.0913717435063614,-0.160621512592227
1.446,-0.0914052735791883,-0.160675281249005
1.447,-0.0914387673740917,-0.160729027526745
1.448,-0.0914722250766254,-0.160782751722762
1.449,-0.0915056468718259,-0.160836454132645
1.45,-0.0915390329441909,-0.160890135050197
1.451,-0.0915723834777063,-0.160943794767498
1.452,-0.0916056986558162,-0.160997433574881
1.453,-0.0916389786614456,-0.161051051760941
1.454,-0.0916722236770004,-0.161104649612548
1.455,-0.0917054338843499,-0.161158227414851
1.456,-0.091738609464853,-0.161211785451269
1.457,-0.0917717505993424,-0.161265324003522
1.458,-0.0918048574681212,-0.161318843351614
1.459,-0.0918379302509827,-0.16137234377385
1.46,-0.0918709691271933,-0.16142582554684
1.461,-0.0919039742755052,-0.161479288945498
1.462,-0.0919369458741463,-0.161532734243059
1.463,-0.09196988410083,-0.161586161711076
1.464,-0.0920027891327525,-0.161639571619418
1.465,-0.0920356611465926,-0.161692964236302
1.466,-0.0920685003185157,-0.161746339828267
1.467,-0.0921013068241705,-0.161799698660195
1.468,-0.0921340808386895,-0.161853040995326
1.469,-0.0921668225367024,-0.161906367095235
1.47,-0.0921995320923086,-0.161959677219866
1.471,-0.0922322096791165,-0.162012971627524
1.472,-0.0922648554702053,-0.162066250574874
1.473,-0.0922974696381562,-0.16211951431697
1.474,-0.0923300523550357,-0.162172763107224
1.475,-0.0923626037924007,-0.162225997197443
1.476,-0.0923951241213101,-0.162279216837829
1.477,-0.0924276135123011,-0.162332422276966
1.478,-0.092460072135414,-0.162385613761839
1.479,-0.0924925001601822,-0.162438791537842
1.48,-0.0925248977556331,-0.162491955848779
1.481,-0.0925572650902921,-0.16254510693686
1.482,-0.0925896023321798,-0.162598245042725
1.483,-0.0926219096488165,-0.162651370405431
1.484,-0.0926541872072155,-0.162704483262469
1.485,-0.092686435173898,-0.162757583849767
1.486,-0.092718653714879,-0.162810672401688
1.487,-0.0927508429956744,-0.162863749151038
1.488,-0.0927830031813057,-0.162916814329084
1.489,-0.0928151344362962,-0.162969868165537
1.49,-0.092847236924665,-0.163022910888576
1.491,-0.0928793108099439,-0.163075942724841
1.492,-0.0929113562551631,-0.163128963899442
1.493,-0.0929433734228714,-0.163181974635963
1.494,-0.0929753624751025,-0.163234975156477
1.495,-0.0930073235734152,-0.163287965681527
1.496,-0.093039256878872,-0.163340946430161
1.497,-0.0930711625520339,-0.163393917619914
1.498,-0.0931030407529872,-0.163446879466821
1.499,-0.0931348916413186,-0.163499832185423
1.5,-0.0931667153761282,-0.163552775988771
1.501,-0.0931985121160254,-0.163605711088431
1.502,-0.0932302820191359,-0.163658637694484
1.503,-0.0932620252431024,-0.163711556015543
1.504,-0.0932937419450701,-0.163764466258742
1.505,-0.0933254322817123,-0.163817368629755
1.506,-0.0933570964092095,-0.163870263332792
1.507,-0.093388734483262,-0.163923150570606
1.508,-0.0934203466590856,-0.163976030544496
1.509,-0.0934519330914227,-0.16402890345432
1.51,-0.093483493934519,-0.16408176949849
1.511,-0.0935150293421552,-0.164134628873981
1.512,-0.0935465394676217,-0.164187481776334
1.513,-0.0935780244637389,-0.164240328399665
1.514,-0.093609484482847,-0.164293168936662
1.515,-0.0936409196768043,-0.164346003578599
1.516,-0.0936723301969946,-0.164398832515336
1.517,-0.0937037161943354,-0.164451655935317
1.518,-0.0937350778192573,-0.164504474025592
1.519,-0.0937664152217252,-0.164557286971799
1.52,-0.0937977285512231,-0.164610094958191
1.521,-0.093829017956774,-0.164662898167625
1.522,-0.093860283586921,-0.164715696781569
1.523,-0.0938915255897377,-0.164768490980121
1.524,-0.0939227441128291,-0.164821280941988
1.525,-0.0939539393033385,-0.164874066844513
1.526,-0.0939851113079242,-0.164926848863668
1.527,-0.0940162602727914,-0.164979627174065
1.528,-0.0940473863436749,-0.165032401948952
1.529,-0.0940784896658439,-0.165085173360225
1.53,-0.0941095703840989,-0.165137941578437
1.531,-0.0941406286427777,-0.165190706772784
1.532,-0.0941716645857632,-0.16524346911113
1.533,-0.0942026783564637,-0.165296228759998
1.534,-0.0942336700978326,-0.16534898588458
1.535,-0.0942646399523605,-0.165401740648743
1.536,-0.0942955880620792,-0.16545449321503
1.537,-0.0943265145685556,-0.165507243744664
1.538,-0.0943574196129054,-0.165559992397558
1.539,-0.0943883033357874,-0.165612739332309
1.54,-0.0944191658773919,-0.165665484706215
1.541,-0.0944500073774684,-0.165718228675269
1.542,-0.0944808279752989,-0.165770971394171
1.543,-0.094511627809717,-0.165823713016326
1.544,-0.0945424070191032,-0.165876453693844
1.545,-0.09457316574138,-0.165929193577573
1.546,-0.0946039041140197,-0.165981932817059
1.547,-0.09463462227405,-0.16603467156059
1.548,-0.0946653203580396,-0.166087409955169
1.549,-0.0946959985021072,-0.166140148146545
1.55,-0.0947266568419316,-0.166192886279199
1.551,-0.0947572955127356,-0.166245624496356
1.552,-0.0947879146493004,-0.166298362939986
1.553,-0.0948185143859481,-0.166351101750809
1.554,-0.0948490948565711,-0.16640384106831
1.555,-0.0948796561946121,-0.166456581030719
1.556,-0.0949101985330638,-0.166509321775038
1.557,-0.0949407220044791,-0.166562063437034
1.558,-0.0949712267409721,-0.166614806151253
1.559,-0.0950017128742145,-0.166667550051001
1.56,-0.0950321805354246,-0.16672029526838
1.561,-0.0950626298553995,-0.166773041934278
1.562,-0.0950930609644898,-0.166825790178355
1.563,-0.0951234739926007,-0.166878540129077
1.564,-0.0951538690692071,-0.166931291913707
1.565,-0.0951842463233484,-0.166984045658299
1.566,-0.0952146058836182,-0.167036801487727
1.567,-0.0952449478781909,-0.167089559525662
1.568,-0.0952752724347894,-0.167142319894589
1.569,-0.0953055796807126,-0.167195082715821
1.57,-0.0953358697428262,-0.167247848109488
1.571,-0.0953661427475651,-0.167300616194532
1.572,-0.0953963988209222,-0.167353387088747
1.573,-0.0954266380884753,-0.167406160908749
1.574,-0.095456860675362,-0.167458937769987
1.575,-0.095487066706298,-0.167511717786761
1.576,-0.0955172563055608,-0.167564501072215
1.577,-0.0955474295970136,-0.167617287738337
1.578,-0.0955775867040864,-0.167670077895975
1.579,-0.0956077277497802,-0.167722871654835
1.58,-0.0956378528566766,-0.167775669123481
1.581,-0.0956679621469328,-0.167828470409344
1.582,-0.0956980557422837,-0.167881275618725
1.583,-0.0957281337640331,-0.167934084856797
1.584,-0.0957581963330781,-0.167986898227612
1.585,-0.0957882435698804,-0.168039715834109
1.586,-0.0958182755944915,-0.168092537778103
1.587,-0.0958482925265373,-0.1681453641603
1.588,-0.09587829448523,-0.168198195080303
1.589,-0.0959082815893626,-0.168251030636616
1.59,-0.0959382539573094,-0.168303870926631
1.591,-0.0959682117070348,-0.168356716046657
1.592,-0.0959981549560781,-0.168409566091903
1.593,-0.0960280838215707,-0.168462421156499
