Freq [GHz],"dB(S(1,1)) []","dB(S(1,2)) []","dB(S(2,1)) []","dB(S(2,2)) []"
1,-5.213578883,-2.111514038,-2.111514038,-5.210073069
1.001,-5.212767178,-2.11242058,-2.11242058,-5.209245159
1.002,-5.211969527,-2.113320618,-2.113320618,-5.208431235
1.003,-5.21118592,-2.114214148,-2.114214148,-5.207631288
1.004,-5.21041635,-2.115101166,-2.115101166,-5.206845309
1.005,-5.209660808,-2.11598167,-2.11598167,-5.206073291
1.006,-5.208919284,-2.116855655,-2.116855655,-5.205315224
1.007,-5.208191772,-2.11772312,-2.11772312,-5.204571101
1.008,-5.207478261,-2.118584059,-2.118584059,-5.203840914
1.009,-5.206778744,-2.119438472,-2.119438472,-5.203124654
1.01,-5.206093213,-2.120286353,-2.120286353,-5.202422314
1.011,-5.205421661,-2.121127701,-2.121127701,-5.201733885
1.012,-5.204764078,-2.121962512,-2.121962512,-5.201059362
1.013,-5.204120457,-2.122790784,-2.122790784,-5.200398735
1.014,-5.203490791,-2.123612513,-2.123612513,-5.199751997
1.015,-5.202875072,-2.124427696,-2.124427696,-5.199119141
1.016,-5.202273292,-2.125236331,-2.125236331,-5.198500161
1.017,-5.201685445,-2.126038414,-2.126038414,-5.197895048
1.018,-5.201111523,-2.126833944,-2.126833944,-5.197303796
1.019,-5.200551519,-2.127622916,-2.127622916,-5.196726398
1.02,-5.200005425,-2.12840533,-2.12840533,-5.196162847
1.021,-5.199473236,-2.129181181,-2.129181181,-5.195613136
1.022,-5.198954944,-2.129950468,-2.129950468,-5.19507726
1.023,-5.198450542,-2.130713188,-2.130713188,-5.194555211
1.024,-5.197960025,-2.131469338,-2.131469338,-5.194046983
1.025,-5.197483385,-2.132218915,-2.132218915,-5.19355257
1.026,-5.197020616,-2.132961919,-2.132961919,-5.193071966
1.027,-5.196571713,-2.133698345,-2.133698345,-5.192605165
1.028,-5.196136668,-2.134428192,-2.134428192,-5.192152161
1.029,-5.195715477,-2.135151458,-2.135151458,-5.191712948
1.03,-5.195308132,-2.135868139,-2.135868139,-5.19128752
1.031,-5.194914628,-2.136578235,-2.136578235,-5.190875873
1.032,-5.19453496,-2.137281743,-2.137281743,-5.190478
1.033,-5.194169123,-2.13797866,-2.13797866,-5.190093896
1.034,-5.193817109,-2.138668985,-2.138668985,-5.189723556
1.035,-5.193478915,-2.139352715,-2.139352715,-5.189366974
1.036,-5.193154535,-2.140029849,-2.140029849,-5.189024146
1.037,-5.192843964,-2.140700385,-2.140700385,-5.188695067
1.038,-5.192547197,-2.141364321,-2.141364321,-5.188379732
1.039,-5.192264228,-2.142021654,-2.142021654,-5.188078137
1.04,-5.191995054,-2.142672384,-2.142672384,-5.187790276
1.041,-5.191739669,-2.143316507,-2.143316507,-5.187516145
1.042,-5.191498069,-2.143954024,-2.143954024,-5.187255739
1.043,-5.19127025,-2.144584931,-2.144584931,-5.187009056
1.044,-5.191056207,-2.145209227,-2.145209227,-5.186776089
1.045,-5.190855935,-2.145826911,-2.145826911,-5.186556836
1.046,-5.190669431,-2.146437981,-2.146437981,-5.186351293
1.047,-5.190496691,-2.147042436,-2.147042436,-5.186159454
1.048,-5.190337711,-2.147640274,-2.147640274,-5.185981318
1.049,-5.190192487,-2.148231493,-2.148231493,-5.185816879
1.05,-5.190061015,-2.148816093,-2.148816093,-5.185666135
1.051,-5.189943291,-2.149394071,-2.149394071,-5.185529082
1.052,-5.189839313,-2.149965428,-2.149965428,-5.185405717
1.053,-5.189749076,-2.15053016,-2.15053016,-5.185296037
1.054,-5.189672579,-2.151088268,-2.151088268,-5.185200038
1.055,-5.189609816,-2.15163975,-2.15163975,-5.185117717
1.056,-5.189560786,-2.152184604,-2.152184604,-5.185049073
1.057,-5.189525485,-2.152722831,-2.152722831,-5.184994101
1.058,-5.189503911,-2.153254428,-2.153254428,-5.184952799
