Freq(Hz),S11 50 Mag,S21 50 Mag,,S11 BSF Mag,S21 BSF Mag,,S11 BSF HFSS Mag,S21 BSF HFSS Mag,,S11 BSF Milled Mag,S21 BSF Milled Mag
1050000000,-23.689022,-0.34753734,,-17.441992,-0.40214008,,-30.52160008,-0.572920048,,-17.870943,-0.40407261
1051000000,-23.662878,-0.329613,,-17.38092,-0.39081341,,-30.36036929,-0.573647713,,-17.814281,-0.36774954
1052000000,-23.616472,-0.33757314,,-17.412846,-0.41268677,,-30.20215738,-0.574378323,,-17.781036,-0.41893339
1053000000,-23.631966,-0.32780221,,-17.344048,-0.40331727,,-30.0468645,-0.575111859,,-17.835819,-0.38638487
1054000000,-23.565681,-0.33244857,,-17.297476,-0.3694661,,-29.89439558,-0.575848301,,-17.795664,-0.38812774
1055000000,-23.537146,-0.32993829,,-17.2819,-0.38856179,,-29.74466009,-0.57658763,,-17.777941,-0.4073211
1056000000,-23.532175,-0.31499529,,-17.239294,-0.38102725,,-29.5975717,-0.577329824,,-17.786369,-0.40184343
1057000000,-23.495975,-0.31347924,,-17.191174,-0.34821814,,-29.45304811,-0.578074863,,-17.665598,-0.39695987
1058000000,-23.429506,-0.31772077,,-17.204788,-0.39521623,,-29.31101076,-0.578822727,,-17.674431,-0.41648591
1059000000,-23.450438,-0.33876923,,-17.170679,-0.40115452,,-29.17138464,-0.579573394,,-17.717607,-0.40295422
1060000000,-23.411032,-0.33689475,,-17.086397,-0.37203491,,-29.03409811,-0.580326844,,-17.66333,-0.40318486
1061000000,-23.393368,-0.34830597,,-17.078279,-0.39111692,,-28.89908266,-0.581083054,,-17.617758,-0.39655966
1062000000,-23.351973,-0.36927223,,-17.056721,-0.40918082,,-28.76627277,-0.581842004,,-17.596842,-0.39023885
1063000000,-23.396271,-0.33960074,,-17.055338,-0.40016884,,-28.63560576,-0.582603671,,-17.576925,-0.3930158
1064000000,-23.310604,-0.30469102,,-16.992432,-0.35774615,,-28.50702158,-0.583368033,,-17.624914,-0.40581563
1065000000,-23.265585,-0.36513814,,-16.958481,-0.39626163,,-28.38046275,-0.584135069,,-17.536819,-0.41875112
1066000000,-23.25392,-0.3511886,,-16.950169,-0.39173377,,-28.25587412,-0.584904756,,-17.532129,-0.4076649
1067000000,-23.241562,-0.33509332,,-16.894224,-0.37748289,,-28.13320286,-0.585677071,,-17.507225,-0.39663276
1068000000,-23.253464,-0.36135665,,-16.917337,-0.40221396,,-28.01239825,-0.586451992,,-17.546654,-0.40777233
1069000000,-23.213795,-0.32768536,,-16.86412,-0.3830601,,-27.89341161,-0.587229495,,-17.469147,-0.3930921
1070000000,-23.1308,-0.31128928,,-16.82144,-0.38283092,,-27.77619619,-0.588009557,,-17.437437,-0.40518671
1071000000,-23.122864,-0.36163887,,-16.825998,-0.3930698,,-27.66070708,-0.588792155,,-17.535357,-0.43662244
1072000000,-23.084398,-0.35900176,,-16.805387,-0.43787342,,-27.54690111,-0.589577266,,-17.379044,-0.39941922
1073000000,-23.124947,-0.34420481,,-16.765585,-0.40252292,,-27.43473675,-0.590364865,,-17.431292,-0.42606002
1074000000,-23.068438,-0.31817487,,-16.733133,-0.41419333,,-27.32417405,-0.591154928,,-17.424074,-0.39480254
1075000000,-23.04583,-0.35058612,,-16.709343,-0.40782639,,-27.21517457,-0.591947432,,-17.448229,-0.40345562
1076000000,-23.02482,-0.3423813,,-16.686785,-0.41049269,,-27.10770129,-0.592742352,,-17.404093,-0.4147242
1077000000,-22.998194,-0.33795592,,-16.660152,-0.40705627,,-27.00171853,-0.593539664,,-17.441666,-0.42768672
1078000000,-22.996386,-0.32624838,,-16.575794,-0.39516869,,-26.89719193,-0.594339342,,-17.374239,-0.37516588
1079000000,-22.92453,-0.3105512,,-16.609301,-0.38166502,,-26.79408835,-0.595141363,,-17.354843,-0.43086866
1080000000,-22.885084,-0.31940305,,-16.59198,-0.40685916,,-26.69237583,-0.5959457,,-17.233749,-0.38638353
1081000000,-22.879955,-0.36287361,,-16.560431,-0.41387698,,-26.59202353,-0.596752328,,-17.359869,-0.43767595
1082000000,-22.85578,-0.31895578,,-16.5233,-0.39653,,-26.49300169,-0.597561223,,-17.286594,-0.39345279
1083000000,-22.846102,-0.34989721,,-16.499489,-0.41926229,,-26.39528156,-0.598372358,,-17.377529,-0.45535961
1084000000,-22.820213,-0.34706175,,-16.500275,-0.40497199,,-26.2988354,-0.599185708,,-17.305414,-0.41058117
1085000000,-22.849056,-0.37014112,,-16.48443,-0.42342672,,-26.20363637,-0.600001246,,-17.296267,-0.43536928
1086000000,-22.79184,-0.34819567,,-16.408564,-0.40248248,,-26.10965856,-0.600818948,,-17.371014,-0.40302232
1087000000,-22.764908,-0.33635229,,-16.401072,-0.38196033,,-26.01687689,-0.601638785,,-17.313778,-0.42669818
1088000000,-22.741463,-0.31002966,,-16.386047,-0.36541474,,-25.92526712,-0.602460732,,-17.290016,-0.42675552
1089000000,-22.703796,-0.33253089,,-16.359081,-0.40897545,,-25.83480579,-0.603284762,,-17.24387,-0.42910832
1090000000,-22.683022,-0.36830336,,-16.342585,-0.41505203,,-25.74547018,-0.604110849,,-17.195391,-0.43364292
1091000000,-22.67638,-0.35443327,,-16.303699,-0.41057375,,-25.65723833,-0.604938964,,-17.252502,-0.42532167
1092000000,-22.653746,-0.36146018,,-16.282602,-0.41146177,,-25.57008895,-0.605769082,,-17.241198,-0.43484074
1093000000,-22.605564,-0.36944461,,-16.278803,-0.42756456,,-25.48400139,-0.606601175,,-17.223955,-0.42534506
1094000000,-22.620077,-0.37063769,,-16.258606,-0.41280356,,-25.3989557,-0.607435215,,-17.277079,-0.44763154
1095000000,-22.618959,-0.34505981,,-16.203026,-0.38975826,,-25.31493248,-0.608271174,,-17.225479,-0.4139716
1096000000,-22.584286,-0.33974886,,-16.165258,-0.38491181,,-25.23191297,-0.609109026,,-17.194582,-0.434457
1097000000,-22.543919,-0.36985007,,-16.187628,-0.42804894,,-25.14987893,-0.609948742,,-17.203972,-0.40660572
1098000000,-22.537426,-0.36730319,,-16.17211,-0.42114025,,-25.06881272,-0.610790293,,-17.245878,-0.43233413
1099000000,-22.509012,-0.36917329,,-16.172064,-0.43525726,,-24.98869716,-0.611633652,,-17.189102,-0.42421341
1100000000,-22.455423,-0.32819811,,-16.110117,-0.41906345,,-24.90951562,-0.612478791,,-17.199739,-0.42256343
1101000000,-22.463537,-0.35592356,,-16.131287,-0.41257384,,-24.83125195,-0.61332568,,-17.168909,-0.41594243
1102000000,-22.490707,-0.36810687,,-16.076952,-0.4163765,,-24.75389044,-0.614174291,,-17.189827,-0.43084913
1103000000,-22.441826,-0.36261028,,-16.077232,-0.4523595,,-24.67741586,-0.615024596,,-17.179852,-0.44130915
1104000000,-22.410782,-0.3569386,,-16.026299,-0.43372047,,-24.60181339,-0.615876565,,-17.235298,-0.43768162
1105000000,-22.386084,-0.34967849,,-15.969355,-0.40930292,,-24.52706864,-0.616730169,,-17.185186,-0.42917052
1106000000,-22.390631,-0.36838576,,-15.981911,-0.41192642,,-24.45316761,-0.617585379,,-17.120981,-0.40554842
1107000000,-22.331915,-0.32142115,,-16.001478,-0.4093259,,-24.38009672,-0.618442165,,-17.160933,-0.41981927
1108000000,-22.341345,-0.33912432,,-15.935631,-0.40941954,,-24.30784272,-0.619300499,,-17.156307,-0.40706912
1109000000,-22.296787,-0.33450261,,-15.940878,-0.39648464,,-24.23639275,-0.62016035,,-17.132145,-0.42247936
1110000000,-22.26915,-0.34465155,,-15.876767,-0.41393238,,-24.16573429,-0.621021688,,-17.178244,-0.42917469
1111000000,-22.266314,-0.3378599,,-15.840615,-0.43522167,,-24.09585516,-0.621884485,,-17.23027,-0.40782952
1112000000,-22.265631,-0.34972048,,-15.848288,-0.4328289,,-24.0267435,-0.622748709,,-17.189327,-0.43873343
1113000000,-22.222637,-0.37889892,,-15.798752,-0.38461289,,-23.95838776,-0.623614331,,-17.181252,-0.45301422
1114000000,-22.219536,-0.36955166,,-15.825244,-0.42118421,,-23.89077672,-0.62448132,,-17.171318,-0.41453466
1115000000,-22.215294,-0.34920481,,-15.807445,-0.42476937,,-23.82389941,-0.625349646,,-17.247898,-0.44961077
1116000000,-22.204062,-0.34564066,,-15.757184,-0.42628551,,-23.75774518,-0.626219278,,-17.149269,-0.42745027
1117000000,-22.186205,-0.34439656,,-15.794785,-0.43704671,,-23.69230364,-0.627090187,,-17.157415,-0.40737766
1118000000,-22.126938,-0.35711044,,-15.763099,-0.43458086,,-23.62756466,-0.62796234,,-17.213791,-0.42105576
1119000000,-22.110424,-0.3526375,,-15.728683,-0.44891068,,-23.56351838,-0.628835708,,-17.166019,-0.42710242
1120000000,-22.066729,-0.37064624,,-15.705208,-0.43473229,,-23.50015519,-0.62971026,,-17.196159,-0.45085242
1121000000,-22.088522,-0.36852157,,-15.651145,-0.40373307,,-23.4374657,-0.630585963,,-17.221666,-0.44733638
1122000000,-22.032379,-0.37336713,,-15.661807,-0.43073791,,-23.37544077,-0.631462788,,-17.2397,-0.45021069
1123000000,-22.067667,-0.3582176,,-15.667212,-0.41393545,,-23.31407149,-0.632340703,,-17.254946,-0.4441196
1124000000,-22.029293,-0.36197296,,-15.651168,-0.43702611,,-23.25334915,-0.633219676,,-17.199223,-0.46782705
1125000000,-22.017776,-0.37306991,,-15.628734,-0.43481591,,-23.19326528,-0.634099677,,-17.194435,-0.41115355
1126000000,-21.97654,-0.36895183,,-15.588129,-0.42980349,,-23.13381159,-0.634980673,,-17.165503,-0.46817797
1127000000,-21.99192,-0.37177163,,-15.620312,-0.44744149,,-23.07497999,-0.635862633,,-17.237167,-0.42827946
