Freq(Hz),S11 50 Phase,S21 50 Phase,,S11 BSF Phase,S21 BSF Phase,,S11 BSF Milled Phase,S21 BSF Milled Phase
1076000000,-74.785904,-165.75441,,-128.83722,166.04942,,-150.68083,124.20957
1077000000,-75.526985,-165.75307,,-128.57826,165.96432,,-151.31194,123.7255
1078000000,-75.947762,-166.08186,,-128.85304,165.68924,,-151.15535,123.63348
1079000000,-76.085258,-166.3425,,-129.43346,165.27731,,-151.54036,123.20515
1080000000,-76.247818,-166.54662,,-129.49879,165.05341,,-151.42134,122.91062
1081000000,-76.710861,-166.61948,,-129.41496,164.90131,,-152.3008,122.90862
1082000000,-76.880119,-166.88753,,-129.68242,164.85442,,-152.36964,122.70042
1083000000,-77.377846,-166.94456,,-129.78545,164.67448,,-152.56496,122.24026
1084000000,-77.420296,-167.04604,,-129.75275,164.52832,,-152.60376,122.1737
1085000000,-77.685669,-167.02623,,-129.84529,164.46564,,-153.10953,121.89836
1086000000,-78.153305,-167.4446,,-129.95862,164.24004,,-153.09818,121.85152
1087000000,-78.527275,-167.45242,,-130.06033,164.09373,,-153.14854,121.29494
1088000000,-78.926636,-167.67763,,-130.3611,163.70662,,-153.73163,121.28837
1089000000,-78.973312,-167.73074,,-130.30843,163.76187,,-153.61433,121.03336
1090000000,-79.467392,-168.02567,,-130.60812,163.33771,,-153.60484,120.89279
1091000000,-79.696449,-167.96835,,-130.62849,163.20184,,-154.34457,120.72594
1092000000,-80.027847,-168.2953,,-130.614,163.0338,,-154.46672,120.25675
1093000000,-80.397926,-168.39064,,-130.95644,162.83296,,-154.86089,120.05241
1094000000,-80.884178,-168.64711,,-131.18831,162.76692,,-154.49385,119.72715
1095000000,-81.08992,-168.84959,,-131.29199,162.41357,,-155.1978,119.54079
1096000000,-81.584625,-168.83073,,-131.37607,162.23032,,-154.98415,119.28075
1097000000,-81.80632,-169.13498,,-131.48572,162.08333,,-155.62126,119.0215
1098000000,-81.945442,-169.42787,,-132.08934,161.58388,,-155.37793,118.81292
1099000000,-82.488525,-169.25565,,-131.69948,161.80473,,-156.2296,118.59053
1100000000,-82.561584,-169.49043,,-131.81853,161.57468,,-156.3351,118.4465
1101000000,-83.234558,-169.7262,,-131.80508,161.38025,,-156.52835,118.05265
1102000000,-83.207176,-169.81248,,-132.07469,161.28613,,-156.40027,118.15635
1103000000,-83.672112,-170.10988,,-132.26627,160.89452,,-156.75363,117.67975
1104000000,-83.534729,-170.03107,,-132.40059,160.87103,,-157.26945,117.45258
1105000000,-84.219208,-170.33081,,-132.5358,160.56938,,-157.63026,117.30168
1106000000,-84.569916,-170.35468,,-132.66875,160.37552,,-157.73431,116.9241
1107000000,-84.87748,-170.61641,,-132.87694,160.29593,,-157.57462,116.77618
1108000000,-84.807838,-170.72859,,-133.00682,160.02371,,-158.87128,116.25284
1109000000,-85.190399,-170.82906,,-133.21407,159.75604,,-158.19414,116.22031
1110000000,-85.550255,-170.98943,,-133.16855,159.68365,,-158.95366,116.02164
1111000000,-85.76326,-171.23804,,-133.38641,159.34589,,-158.7489,115.61012
1112000000,-86.067444,-171.34319,,-133.67397,159.28903,,-159.31897,115.58389
1113000000,-86.502663,-171.56877,,-133.70615,159.02191,,-159.39848,115.37896
1114000000,-86.56916,-171.80084,,-134.03577,158.67656,,-159.38957,115.16634
1115000000,-86.891083,-171.75917,,-134.02583,158.58397,,-159.79143,114.79897
1116000000,-87.258339,-171.98874,,-134.14034,158.42879,,-159.72687,114.62157
1117000000,-87.537155,-172.23419,,-134.15825,158.14145,,-160.12399,114.40075
1118000000,-87.869705,-172.1367,,-134.32019,158.21588,,-159.92543,114.12291
1119000000,-87.95092,-172.43268,,-134.45943,157.95844,,-160.62401,113.72145
1120000000,-88.343636,-172.55669,,-134.63179,157.70634,,-160.74425,113.41246
1121000000,-88.687325,-172.66302,,-134.77626,157.49863,,-161.16585,113.35359
1122000000,-88.709946,-172.87973,,-134.76843,157.40309,,-161.08682,113.34853
1123000000,-89.253746,-172.87891,,-135.07828,157.22581,,-161.50302,112.80694
1124000000,-89.366417,-173.09657,,-135.04875,157.12561,,-162.02647,112.71415
1125000000,-89.671097,-173.32123,,-135.33047,156.85617,,-161.75508,112.11181
1126000000,-89.992676,-173.38708,,-135.34579,156.70801,,-162.04124,112.09817
1127000000,-90.1045,-173.51822,,-135.48088,156.62575,,-162.60559,111.80855
1128000000,-90.739105,-173.71774,,-135.64116,156.28201,,-162.98958,111.75586
1129000000,-90.879753,-173.942,,-135.7962,156.0097,,-163.28549,111.31326
1130000000,-91.099136,-174.22867,,-136.27652,155.7397,,-163.20631,111.141
1131000000,-91.319427,-174.34506,,-135.93629,155.68893,,-163.20555,110.74506
1132000000,-91.686272,-174.58826,,-136.61162,155.35905,,-163.67834,110.69559
1133000000,-92.026993,-174.51964,,-136.41354,155.29112,,-163.40096,110.60674
1134000000,-92.064697,-174.64436,,-136.64815,155.0043,,-164.0519,110.23672
1135000000,-92.404381,-174.78429,,-136.63498,155.03398,,-164.11205,110.04718
1136000000,-92.935387,-175.14445,,-136.86703,154.75763,,-164.07256,109.66089
1137000000,-92.824776,-175.28094,,-136.8791,154.62317,,-164.73988,109.39502
1138000000,-93.41185,-175.4417,,-137.15747,154.28697,,-165.11131,109.21718
1139000000,-93.636368,-175.51329,,-137.43729,154.2576,,-165.15141,108.95242
1140000000,-94.07177,-175.63925,,-137.48077,153.94008,,-165.10597,108.89489
1141000000,-94.320808,-175.94441,,-137.91185,153.67487,,-165.44252,108.6283
1142000000,-94.28199,-176.10905,,-137.39445,153.62798,,-165.8615,108.13638
1143000000,-94.597321,-176.17696,,-137.94456,153.29196,,-166.14777,108.02515
1144000000,-95.152779,-176.34175,,-138.08353,153.28972,,-166.37892,107.80273
1145000000,-95.25898,-176.58858,,-138.04092,153.02504,,-166.12321,107.59373
1146000000,-95.623962,-176.70081,,-138.44237,152.78656,,-166.83849,107.23614
1147000000,-95.777878,-176.74013,,-138.20401,152.63573,,-167.20491,106.88003
1148000000,-95.983315,-177.0537,,-138.46104,152.51686,,-167.23485,106.81105
1149000000,-96.44162,-177.07072,,-138.79335,152.19414,,-167.47426,106.64696
1150000000,-96.651062,-177.13547,,-138.68439,152.11897,,-167.66042,106.2995
1151000000,-96.814468,-177.48747,,-138.89841,151.83446,,-167.78284,106.06297
1152000000,-97.167282,-177.38979,,-139.22545,151.78946,,-168.384,105.58807
1153000000,-97.461769,-177.80508,,-139.14612,151.64388,,-168.11021,105.71338
1154000000,-97.598793,-177.61838,,-139.24652,151.35104,,-168.55536,105.38792
