Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),,S11 BSF HFSS Mag,S21 BSF HFSS Mag
1050000000,-17.441992,-0.40214008,,-30.52160008,-0.572920048
1051000000,-17.38092,-0.39081341,,-30.36036929,-0.573647713
1052000000,-17.412846,-0.41268677,,-30.20215738,-0.574378323
1053000000,-17.344048,-0.40331727,,-30.0468645,-0.575111859
1054000000,-17.297476,-0.3694661,,-29.89439558,-0.575848301
1055000000,-17.2819,-0.38856179,,-29.74466009,-0.57658763
1056000000,-17.239294,-0.38102725,,-29.5975717,-0.577329824
1057000000,-17.191174,-0.34821814,,-29.45304811,-0.578074863
1058000000,-17.204788,-0.39521623,,-29.31101076,-0.578822727
1059000000,-17.170679,-0.40115452,,-29.17138464,-0.579573394
1060000000,-17.086397,-0.37203491,,-29.03409811,-0.580326844
1061000000,-17.078279,-0.39111692,,-28.89908266,-0.581083054
1062000000,-17.056721,-0.40918082,,-28.76627277,-0.581842004
1063000000,-17.055338,-0.40016884,,-28.63560576,-0.582603671
1064000000,-16.992432,-0.35774615,,-28.50702158,-0.583368033
1065000000,-16.958481,-0.39626163,,-28.38046275,-0.584135069
1066000000,-16.950169,-0.39173377,,-28.25587412,-0.584904756
1067000000,-16.894224,-0.37748289,,-28.13320286,-0.585677071
1068000000,-16.917337,-0.40221396,,-28.01239825,-0.586451992
1069000000,-16.86412,-0.3830601,,-27.89341161,-0.587229495
1070000000,-16.82144,-0.38283092,,-27.77619619,-0.588009557
1071000000,-16.825998,-0.3930698,,-27.66070708,-0.588792155
1072000000,-16.805387,-0.43787342,,-27.54690111,-0.589577266
1073000000,-16.765585,-0.40252292,,-27.43473675,-0.590364865
1074000000,-16.733133,-0.41419333,,-27.32417405,-0.591154928
1075000000,-16.709343,-0.40782639,,-27.21517457,-0.591947432
1076000000,-16.686785,-0.41049269,,-27.10770129,-0.592742352
1077000000,-16.660152,-0.40705627,,-27.00171853,-0.593539664
1078000000,-16.575794,-0.39516869,,-26.89719193,-0.594339342
1079000000,-16.609301,-0.38166502,,-26.79408835,-0.595141363
1080000000,-16.59198,-0.40685916,,-26.69237583,-0.5959457
1081000000,-16.560431,-0.41387698,,-26.59202353,-0.596752328
1082000000,-16.5233,-0.39653,,-26.49300169,-0.597561223
1083000000,-16.499489,-0.41926229,,-26.39528156,-0.598372358
1084000000,-16.500275,-0.40497199,,-26.2988354,-0.599185708
1085000000,-16.48443,-0.42342672,,-26.20363637,-0.600001246
1086000000,-16.408564,-0.40248248,,-26.10965856,-0.600818948
1087000000,-16.401072,-0.38196033,,-26.01687689,-0.601638785
1088000000,-16.386047,-0.36541474,,-25.92526712,-0.602460732
1089000000,-16.359081,-0.40897545,,-25.83480579,-0.603284762
1090000000,-16.342585,-0.41505203,,-25.74547018,-0.604110849
1091000000,-16.303699,-0.41057375,,-25.65723833,-0.604938964
1092000000,-16.282602,-0.41146177,,-25.57008895,-0.605769082
1093000000,-16.278803,-0.42756456,,-25.48400139,-0.606601175
1094000000,-16.258606,-0.41280356,,-25.3989557,-0.607435215
1095000000,-16.203026,-0.38975826,,-25.31493248,-0.608271174
1096000000,-16.165258,-0.38491181,,-25.23191297,-0.609109026
1097000000,-16.187628,-0.42804894,,-25.14987893,-0.609948742
1098000000,-16.17211,-0.42114025,,-25.06881272,-0.610790293
1099000000,-16.172064,-0.43525726,,-24.98869716,-0.611633652
1100000000,-16.110117,-0.41906345,,-24.90951562,-0.612478791
1101000000,-16.131287,-0.41257384,,-24.83125195,-0.61332568
1102000000,-16.076952,-0.4163765,,-24.75389044,-0.614174291
1103000000,-16.077232,-0.4523595,,-24.67741586,-0.615024596
1104000000,-16.026299,-0.43372047,,-24.60181339,-0.615876565
1105000000,-15.969355,-0.40930292,,-24.52706864,-0.616730169
1106000000,-15.981911,-0.41192642,,-24.45316761,-0.617585379
1107000000,-16.001478,-0.4093259,,-24.38009672,-0.618442165
1108000000,-15.935631,-0.40941954,,-24.30784272,-0.619300499
1109000000,-15.940878,-0.39648464,,-24.23639275,-0.62016035
