x,y1,y2,y3
2,-11.99275131,-12.4433,-14.3258
2.001,-11.99351254,-12.4433,-14.3258
2.002,-11.9942739,-12.4433,-14.3258
2.003,-11.99503538,-12.4433,-14.3258
2.004,-11.99579697,-12.4433,-14.3258
2.005,-11.99655868,-12.4433,-14.3258
2.006,-11.9973205,-12.4433,-14.3258
2.007,-11.99808242,-12.4433,-14.3258
2.008,-11.99884445,-12.4433,-14.3258
2.009,-11.99960657,-12.4433,-14.3258
2.01,-12.00036879,-12.4433,-14.3258
2.011,-12.00113109,-12.4433,-14.3258
2.012,-12.00189348,-12.4433,-14.3258
2.013,-12.00265595,-12.4433,-14.3258
2.014,-12.0034185,-12.4433,-14.3258
2.015,-12.00418112,-12.4433,-14.3258
2.016,-12.00494381,-12.4433,-14.3258
2.017,-12.00570656,-12.4433,-14.3258
2.018,-12.00646937,-12.4433,-14.3258
2.019,-12.00723223,-12.4433,-14.3258
2.02,-12.00799514,-12.4433,-14.3258
2.021,-12.0087581,-12.4433,-14.3258
2.022,-12.0095211,-12.4433,-14.3258
2.023,-12.01028413,-12.4433,-14.3258
2.024,-12.0110472,-12.4433,-14.3258
2.025,-12.01181028,-12.4433,-14.3258
2.026,-12.01257339,-12.4433,-14.3258
2.027,-12.01333652,-12.4433,-14.3258
2.028,-12.01409965,-12.4433,-14.3258
2.029,-12.01486279,-12.4433,-14.3258
2.03,-12.01562593,-12.4433,-14.3258
2.031,-12.01638907,-12.4433,-14.3258
2.032,-12.01715219,-12.4433,-14.3258
2.033,-12.0179153,-12.4433,-14.3258
2.034,-12.01867839,-12.4433,-14.3258
2.035,-12.01944145,-12.4433,-14.3258
2.036,-12.02020448,-12.4433,-14.3258
2.037,-12.02096748,-12.4433,-14.3258
2.038,-12.02173043,-12.4433,-14.3258
2.039,-12.02249333,-12.4433,-14.3258
2.04,-12.02325618,-12.4433,-14.3258
2.041,-12.02401896,-12.4433,-14.3258
2.042,-12.02478169,-12.4433,-14.3258
2.043,-12.02554434,-12.4433,-14.3258
2.044,-12.02630691,-12.4433,-14.3258
2.045,-12.0270694,-12.4433,-14.3258
2.046,-12.0278318,-12.4433,-14.3258
2.047,-12.02859411,-12.4433,-14.3258
2.048,-12.02935632,-12.4433,-14.3258
2.049,-12.03011842,-12.4433,-14.3258
2.05,-12.0308804,-12.4433,-14.3258
2.051,-12.03164227,-12.4433,-14.3258
2.052,-12.03240401,-12.4433,-14.3258
2.053,-12.03316563,-12.4433,-14.3258
2.054,-12.0339271,-12.4433,-14.3258
2.055,-12.03468843,-12.4433,-14.3258
2.056,-12.03544961,-12.4433,-14.3258
2.057,-12.03621063,-12.4433,-14.3258
2.058,-12.03697149,-12.4433,-14.3258
2.059,-12.03773218,-12.4433,-14.3258
2.06,-12.03849269,-12.4433,-14.3258
2.061,-12.03925303,-12.4433,-14.3258
2.062,-12.04001317,-12.4433,-14.3258
2.063,-12.04077312,-12.4433,-14.3258
2.064,-12.04153286,-12.4433,-14.3258
2.065,-12.0422924,-12.4433,-14.3258
2.066,-12.04305172,-12.4433,-14.3258
2.067,-12.04381082,-12.4433,-14.3258
2.068,-12.04456969,-12.4433,-14.3258
2.069,-12.04532832,-12.4433,-14.3258
2.07,-12.04608671,-12.4433,-14.3258
2.071,-12.04684486,-12.4433,-14.3258
2.072,-12.04760274,-12.4433,-14.3258
2.073,-12.04836036,-12.4433,-14.3258
2.074,-12.04911771,-12.4433,-14.3258
2.075,-12.04987479,-12.4433,-14.3258
2.076,-12.05063158,-12.4433,-14.3258
2.077,-12.05138808,-12.4433,-14.3258
2.078,-12.05214428,-12.4433,-14.3258
2.079,-12.05290017,-12.4433,-14.3258
2.08,-12.05365576,-12.4433,-14.3258
2.081,-12.05441102,-12.4433,-14.3258
2.082,-12.05516595,-12.4433,-14.3258
2.083,-12.05592055,-12.4433,-14.3258
2.084,-12.05667481,-12.4433,-14.3258
2.085,-12.05742872,-12.4433,-14.3258
2.086,-12.05818227,-12.4433,-14.3258
2.087,-12.05893546,-12.4433,-14.3258
2.088,-12.05968828,-12.4433,-14.3258
2.089,-12.06044072,-12.4433,-14.3258
2.09,-12.06119278,-12.4433,-14.3258
2.091,-12.06194444,-12.4433,-14.3258
2.092,-12.0626957,-12.4433,-14.3258
2.093,-12.06344655,-12.4433,-14.3258
2.094,-12.06419699,-12.4433,-14.3258
2.095,-12.064947,-12.4433,-14.3258
2.096,-12.06569659,-12.4433,-14.3258
2.097,-12.06644573,-12.4433,-14.3258
2.098,-12.06719443,-12.4433,-14.3258
2.099,-12.06794267,-12.4433,-14.3258
2.1,-12.06869045,-12.4433,-14.3258
2.101,-12.06943777,-12.4433,-14.3258
2.102,-12.0701846,-12.4433,-14.3258
2.103,-12.07093095,-12.4433,-14.3258
2.104,-12.07167681,-12.4433,-14.3258
2.105,-12.07242217,-12.4433,-14.3258
2.106,-12.07316702,-12.4433,-14.3258
2.107,-12.07391136,-12.4433,-14.3258
2.108,-12.07465517,-12.4433,-14.3258
2.109,-12.07539845,-12.4433,-14.3258
2.11,-12.07614119,-12.4433,-14.3258
2.111,-12.07688339,-12.4433,-14.3258
2.112,-12.07762502,-12.4433,-14.3258
2.113,-12.0783661,-12.4433,-14.3258
2.114,-12.0791066,-12.4433,-14.3258
2.115,-12.07984653,-12.4433,-14.3258
2.116,-12.08058587,-12.4433,-14.3258
2.117,-12.08132461,-12.4433,-14.3258
2.118,-12.08206275,-12.4433,-14.3258
2.119,-12.08280028,-12.4433,-14.3258
2.12,-12.08353719,-12.4433,-14.3258
2.121,-12.08427348,-12.4433,-14.3258
2.122,-12.08500913,-12.4433,-14.3258
2.123,-12.08574413,-12.4433,-14.3258
2.124,-12.08647849,-12.4433,-14.3258
2.125,-12.08721219,-12.4433,-14.3258
2.126,-12.08794521,-12.4433,-14.3258
2.127,-12.08867757,-12.4433,-14.3258
2.128,-12.08940924,-12.4433,-14.3258
2.129,-12.09014021,-12.4433,-14.3258
2.13,-12.09087049,-12.4433,-14.3258
2.131,-12.09160006,-12.4433,-14.3258
2.132,-12.09232891,-12.4433,-14.3258
2.133,-12.09305704,-12.4433,-14.3258
2.134,-12.09378444,-12.4433,-14.3258
2.135,-12.09451109,-12.4433,-14.3258
2.136,-12.095237,-12.4433,-14.3258
2.137,-12.09596215,-12.4433,-14.3258
2.138,-12.09668653,-12.4433,-14.3258
2.139,-12.09741014,-12.4433,-14.3258
2.14,-12.09813297,-12.4433,-14.3258
2.141,-12.09885501,-12.4433,-14.3258
2.142,-12.09957625,-12.4433,-14.3258
2.143,-12.10029668,-12.4433,-14.3258
2.144,-12.1010163,-12.4433,-14.3258
2.145,-12.1017351,-12.4433,-14.3258
2.146,-12.10245306,-12.4433,-14.3258
2.147,-12.10317018,-12.4433,-14.3258
2.148,-12.10388646,-12.4433,-14.3258
2.149,-12.10460188,-12.4433,-14.3258
2.15,-12.10531643,-12.4433,-14.3258
2.151,-12.10603012,-12.4433,-14.3258
2.152,-12.10674292,-12.4433,-14.3258
2.153,-12.10745483,-12.4433,-14.3258
2.154,-12.10816584,-12.4433,-14.3258
2.155,-12.10887595,-12.4433,-14.3258
2.156,-12.10958515,-12.4433,-14.3258
2.157,-12.11029342,-12.4433,-14.3258
2.158,-12.11100076,-12.4433,-14.3258
2.159,-12.11170716,-12.4433,-14.3258
2.16,-12.11241261,-12.4433,-14.3258
2.161,-12.11311711,-12.4433,-14.3258
2.162,-12.11382065,-12.4433,-14.3258
2.163,-12.11452321,-12.4433,-14.3258
2.164,-12.11522479,-12.4433,-14.3258
2.165,-12.11592538,-12.4433,-14.3258
2.166,-12.11662498,-12.4433,-14.3258
2.167,-12.11732357,-12.4433,-14.3258
2.168,-12.11802115,-12.4433,-14.3258
2.169,-12.1187177,-12.4433,-14.3258
2.17,-12.11941323,-12.4433,-14.3258
2.171,-12.12010772,-12.4433,-14.3258
2.172,-12.12080116,-12.4433,-14.3258
2.173,-12.12149354,-12.4433,-14.3258
2.174,-12.12218486,-12.4433,-14.3258
2.175,-12.12287512,-12.4433,-14.3258
2.176,-12.12356429,-12.4433,-14.3258
2.177,-12.12425237,-12.4433,-14.3258
2.178,-12.12493936,-12.4433,-14.3258
2.179,-12.12562524,-12.4433,-14.3258
2.18,-12.12631001,-12.4433,-14.3258
2.181,-12.12699366,-12.4433,-14.3258
2.182,-12.12767618,-12.4433,-14.3258
2.183,-12.12835757,-12.4433,-14.3258
2.184,-12.12903781,-12.4433,-14.3258
2.185,-12.1297169,-12.4433,-14.3258
2.186,-12.13039482,-12.4433,-14.3258
2.187,-12.13107158,-12.4433,-14.3258
2.188,-12.13174715,-12.4433,-14.3258
2.189,-12.13242155,-12.4433,-14.3258
2.19,-12.13309474,-12.4433,-14.3258
2.191,-12.13376674,-12.4433,-14.3258
2.192,-12.13443753,-12.4433,-14.3258
2.193,-12.13510709,-12.4433,-14.3258
2.194,-12.13577544,-12.4433,-14.3258
2.195,-12.13644254,-12.4433,-14.3258
2.196,-12.13710841,-12.4433,-14.3258
2.197,-12.13777303,-12.4433,-14.3258
2.198,-12.13843638,-12.4433,-14.3258
2.199,-12.13909847,-12.4433,-14.3258
2.2,-12.13975929,-12.4433,-14.3258
2.201,-12.14041883,-12.4433,-14.3258
2.202,-12.14107707,-12.4433,-14.3258
2.203,-12.14173402,-12.4433,-14.3258
2.204,-12.14238966,-12.4433,-14.3258
2.205,-12.14304399,-12.4433,-14.3258
2.206,-12.14369699,-12.4433,-14.3258
2.207,-12.14434867,-12.4433,-14.3258
2.208,-12.14499901,-12.4433,-14.3258
2.209,-12.145648,-12.4433,-14.3258
2.21,-12.14629564,-12.4433,-14.3258
2.211,-12.14694192,-12.4433,-14.3258
2.212,-12.14758683,-12.4433,-14.3258
2.213,-12.14823037,-12.4433,-14.3258
2.214,-12.14887252,-12.4433,-14.3258
2.215,-12.14951328,-12.4433,-14.3258
2.216,-12.15015264,-12.4433,-14.3258
2.217,-12.15079059,-12.4433,-14.3258
2.218,-12.15142713,-12.4433,-14.3258
2.219,-12.15206224,-12.4433,-14.3258
2.22,-12.15269593,-12.4433,-14.3258
2.221,-12.15332818,-12.4433,-14.3258
2.222,-12.15395898,-12.4433,-14.3258
2.223,-12.15458833,-12.4433,-14.3258
2.224,-12.15521622,-12.4433,-14.3258
2.225,-12.15584264,-12.4433,-14.3258
2.226,-12.15646759,-12.4433,-14.3258
2.227,-12.15709105,-12.4433,-14.3258
2.228,-12.15771302,-12.4433,-14.3258
2.229,-12.1583335,-12.4433,-14.3258
2.23,-12.15895247,-12.4433,-14.3258
2.231,-12.15956993,-12.4433,-14.3258
2.232,-12.16018587,-12.4433,-14.3258
