x,y1,y2,y3
0,-1.204275711,-1.04688,-1.20492
1,-1.204216013,-1.04688,-1.20492
2,-1.204156419,-1.04688,-1.20492
3,-1.204096931,-1.04688,-1.20492
4,-1.204037548,-1.04688,-1.20492
5,-1.203978273,-1.04688,-1.20492
6,-1.203919106,-1.04688,-1.20492
7,-1.203860048,-1.04688,-1.20492
8,-1.2038011,-1.04688,-1.20492
9,-1.203742263,-1.04688,-1.20492
10,-1.203683538,-1.04688,-1.20492
11,-1.203624925,-1.04688,-1.20492
12,-1.203566425,-1.04688,-1.20492
13,-1.20350804,-1.04688,-1.20492
14,-1.203449769,-1.04688,-1.20492
15,-1.203391615,-1.04688,-1.20492
16,-1.203333578,-1.04688,-1.20492
17,-1.203275659,-1.04688,-1.20492
18,-1.203217858,-1.04688,-1.20492
19,-1.203160177,-1.04688,-1.20492
20,-1.203102616,-1.04688,-1.20492
21,-1.203045176,-1.04688,-1.20492
22,-1.202987858,-1.04688,-1.20492
23,-1.202930663,-1.04688,-1.20492
24,-1.202873592,-1.04688,-1.20492
25,-1.202816645,-1.04688,-1.20492
26,-1.202759823,-1.04688,-1.20492
27,-1.202703128,-1.04688,-1.20492
28,-1.202646559,-1.04688,-1.20492
29,-1.202590118,-1.04688,-1.20492
30,-1.202533806,-1.04688,-1.20492
31,-1.202477623,-1.04688,-1.20492
32,-1.20242157,-1.04688,-1.20492
33,-1.202365648,-1.04688,-1.20492
34,-1.202309857,-1.04688,-1.20492
35,-1.202254199,-1.04688,-1.20492
36,-1.202198674,-1.04688,-1.20492
37,-1.202143284,-1.04688,-1.20492
38,-1.202088027,-1.04688,-1.20492
39,-1.202032907,-1.04688,-1.20492
40,-1.201977922,-1.04688,-1.20492
41,-1.201923075,-1.04688,-1.20492
42,-1.201868365,-1.04688,-1.20492
43,-1.201813794,-1.04688,-1.20492
44,-1.201759362,-1.04688,-1.20492
45,-1.20170507,-1.04688,-1.20492
46,-1.201650919,-1.04688,-1.20492
47,-1.201596909,-1.04688,-1.20492
48,-1.201543041,-1.04688,-1.20492
49,-1.201489316,-1.04688,-1.20492
50,-1.201435734,-1.04688,-1.20492
51,-1.201382297,-1.04688,-1.20492
52,-1.201329004,-1.04688,-1.20492
53,-1.201275857,-1.04688,-1.20492
54,-1.201222857,-1.04688,-1.20492
55,-1.201170003,-1.04688,-1.20492
56,-1.201117298,-1.04688,-1.20492
