"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]"
1,135.80532457261,44.9834010432045
1.001,135.671032388009,44.8488439608345
1.002,135.536703617899,44.7142844473796
1.003,135.40233829276,44.579722482545
1.004,135.267936443488,44.4451580460041
1.005,135.133498101395,44.3105911173986
1.006,134.99902329821,44.1760216763384
1.007,134.864512066081,44.0414497024019
1.008,134.729964437574,43.9068751751355
1.009,134.595380445678,43.772298074055
1.01,134.460760123801,43.6377183786438
1.011,134.326103505774,43.503136068355
1.012,134.191410625853,43.36855112261
1.013,134.056681518718,43.2339635207992
1.014,133.921916219473,43.0993732422822
1.015,133.78711476365,42.9647802663874
1.016,133.652277187209,42.8301845724128
1.017,133.517403526537,42.6955861396253
1.018,133.382493818451,42.5609849472614
1.019,133.247548100198,42.4263809745271
1.02,133.112566409456,42.2917742005977
1.021,132.977548784337,42.1571646046187
1.022,132.842495263382,42.0225521657048
1.023,132.707405885569,41.8879368629411
1.024,132.572280690308,41.753318675382
1.025,132.437119717447,41.6186975820525
1.026,132.301923007268,41.4840735619473
1.027,132.166690600491,41.3494465940321
1.028,132.031422538271,41.2148166572419
1.029,131.896118862206,41.080183730483
1.03,131.760779614328,40.9455477926313
1.031,131.625404837113,40.8109088225345
1.032,131.489994573476,40.67626679901
1.033,131.35454886677,40.5416217008464
1.034,131.219067760794,40.4069735068035
1.035,131.083551299789,40.2723221956114
1.036,130.947999528435,40.1376677459719
1.037,130.812412491861,40.0030101365578
1.038,130.676790235635,39.8683493460129
1.039,130.541132805775,39.7336853529532
1.04,130.405440248739,39.599018135965
1.041,130.269712611435,39.4643476736074
1.042,130.133949941215,39.3296739444104
1.043,129.998152285877,39.1949969268759
1.044,129.86231969367,39.0603165994777
1.045,129.726452213286,38.9256329406621
1.046,129.59054989387,38.7909459288466
1.047,129.454612785011,38.6562555424214
1.048,129.31864093675,38.521561759749
1.049,129.182634399576,38.3868645591639
1.05,129.046593224428,38.2521639189736
1.051,128.910517462696,38.1174598174576
1.052,128.774407166219,37.9827522328686
1.053,128.638262387287,37.8480411434317
1.054,128.502083178642,37.713326527345
1.055,128.365869593476,37.5786083627796
1.056,128.229621685433,37.4438866278796
1.057,128.093339508609,37.3091613007621
1.058,127.957023117552,37.1744323595181
1.059,127.820672567262,37.0396997822113
1.06,127.684287913191,36.9049635468792
1.061,127.547869211245,36.7702236315325
1.062,127.411416517779,36.6354800141561
1.063,127.274929889607,36.5007326727087
1.064,127.138409383989,36.365981585122
1.065,127.001855058643,36.2312267293029
1.066,126.865266971738,36.0964680831314
1.067,126.728645181895,35.9617056244622
1.068,126.591989748192,35.8269393311242
1.069,126.455300730157,35.6921691809206
1.07,126.31857818777,35.5573951516288
1.071,126.181822181468,35.4226172210017
1.072,126.045032772138,35.2878353667661
1.073,125.908210021122,35.1530495666238
1.074,125.771353990212,35.0182597982511
1.075,125.634464741657,34.8834660393005
1.076,125.497542338156,34.7486682673983
1.077,125.36058684286,34.6138664601467
1.078,125.223598319374,34.4790605951231
1.079,125.086576831755,34.3442506498804
1.08,124.949522444512,34.2094366019467
1.081,124.812435222605,34.0746184288261
1.082,124.675315231446,33.9397961079982
1.083,124.538162536899,33.8049696169185
1.084,124.400977205277,33.6701389330186
1.085,124.263759303347,33.5353040337058
1.086,124.126508898324,33.4004648963639
1.087,123.989226057873,33.2656214983528
1.088,123.851910850111,33.1307738170089
1.089,123.714563343602,32.9959218296447
1.09,123.577183607359,32.8610655135499
1.091,123.439771710846,32.7262048459901
1.092,123.302327723972,32.5913398042083
1.093,123.164851717097,32.4564703654242
1.094,123.027343761024,32.3215965068343
1.095,122.889803927008,32.1867182056128
1.096,122.752232286745,32.0518354389103
1.097,122.61462891238,31.9169481838552
1.098,122.476993876503,31.7820564175534
1.099,122.339327252147,31.647160117088
1.1,122.201629112789,31.51225925952
1.101,122.063899532351,31.3773538218878
1.102,121.926138585197,31.2424437812084
1.103,121.788346346133,31.107529114476
1.104,121.650522890405,30.9726097986628
1.105,121.512668293702,30.83768581072
1.106,121.374782632153,30.7027571275763
