frequency, S11, S21,, S22, S12
1068000000,-11.19390601,-0.577900018,,-11.23262601,-0.577897491
1069000000,-11.18565641,-0.578877638,,-11.22428582,-0.578879532
1070000000,-11.17742091,-0.579864196,,-11.2159654,-0.579863565
1071000000,-11.16919947,-0.580854642,,-11.20765554,-0.580850852
1072000000,-11.16099206,-0.581840133,,-11.19936263,-0.581839501
1073000000,-11.15278956,-0.582829511,,-11.19108116,-0.58282572
1074000000,-11.14459651,-0.5838133,,-11.18279742,-0.583812668
1075000064,-11.13641924,-0.584805401,,-11.17453967,-0.584804137
1076000000,-11.1282541,-0.585795705,,-11.16628783,-0.585793177
1076999936,-11.12010015,-0.586782946,,-11.15805643,-0.586784842
1077999872,-11.11196189,-0.587776606,,-11.14982635,-0.587776606
1078999808,-11.10382211,-0.588766572,,-11.14160031,-0.588762779
1079999744,-11.09570432,-0.589754739,,-11.13339192,-0.589753475
1080999680,-11.08759131,-0.590744901,,-11.12519298,-0.590745533
1081999616,-11.0794966,-0.591738955,,-11.11701526,-0.591739587
1082999552,-11.07140033,-0.592729313,,-11.10883335,-0.59273121
1083999488,-11.06333223,-0.593722932,,-11.10067351,-0.593722299
1084999424,-11.05526343,-0.594714751,,-11.09251489,-0.594714119
1085999360,-11.04721373,-0.595711098,,-11.08438551,-0.5957092
1086999296,-11.03916242,-0.596705013,,-11.07625099,-0.596703115
1087999232,-11.03113465,-0.597702191,,-11.06813391,-0.597698394
1088999168,-11.02311331,-0.598695671,,-11.06002701,-0.598692507
1089999104,-11.0151011,-0.599690516,,-11.05192668,-0.599689883
1090999040,-11.00710605,-0.600686725,,-11.0438419,-0.600684193
1091998976,-10.99910486,-0.601682401,,-11.03577083,-0.601681135
1092998912,-10.99114047,-0.602679442,,-11.02770089,-0.602678176
1093998848,-10.98316455,-0.603674683,,-11.01964822,-0.603674683
1094998784,-10.97521463,-0.604671923,,-11.01160382,-0.60467129
1095998720,-10.96726478,-0.605675595,,-11.0035847,-0.605675595
1096998656,-10.95932927,-0.606672401,,-10.99555679,-0.606673034
1097998592,-10.95140629,-0.607674373,,-10.98754873,-0.607673106
1098998528,-10.94348869,-0.608667578,,-10.97953547,-0.608669478
1099998464,-10.93558892,-0.60966975,,-10.97154826,-0.60966975
1100998400,-10.9277025,-0.610668855,,-10.96356831,-0.610665687
1101998336,-10.91981607,-0.611669961,,-10.9555983,-0.611667426
1102998272,-10.91194296,-0.612674969,,-10.94764532,-0.612670533
1103998208,-10.90408757,-0.613670571,,-10.9396951,-0.613670571
1104998144,-10.89623746,-0.614675147,,-10.93175386,-0.61467071
1105998080,-10.88839351,-0.61567602,,-10.9238367,-0.615677922
1106998016,-10.88056809,-0.616680797,,-10.91591603,-0.616680163
1107997952,-10.87274614,-0.617684407,,-10.90801583,-0.617688211
1108997888,-10.86494355,-0.618684313,,-10.90011034,-0.618684313
1109997824,-10.85714881,-0.619691929,,-10.89223412,-0.619688758
1110997760,-10.84935485,-0.620695841,,-10.88435613,-0.620694572
1111997696,-10.84158106,-0.621701122,,-10.87649673,-0.621701756
1112997632,-10.83381947,-0.622706505,,-10.86864261,-0.622705236
1113997568,-10.82606214,-0.623710085,,-10.86079113,-0.623709451
1114997504,-10.8183117,-0.62471567,,-10.85295551,-0.62471567
1115997440,-10.81057605,-0.625724528,,-10.84513749,-0.625723893
1116997376,-10.80285253,-0.62673095,,-10.83732646,-0.626732854
