!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:25:58
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-2.6522808,-2.964011,-17.283304,149.88545
2001000000,-2.5923274,-2.8100591,-18.038227,146.65912
2002000000,-2.5736604,-2.7946835,-19.039946,143.37688
2003000000,-2.5819857,-2.8681626,-20.13056,139.85832
2004000000,-2.6441176,-3.0008419,-21.054676,136.87848
2005000000,-2.7573979,-3.238188,-21.810688,134.16054
2006000000,-2.8578403,-3.5661502,-22.260422,131.9799
2007000000,-2.9923222,-3.8898809,-22.394415,130.23444
2008000000,-3.0761211,-4.2380061,-22.444868,128.72964
2009000000,-3.1632984,-4.6005988,-22.229834,127.79139
2010000000,-3.2402151,-4.9970002,-22.076017,127.27287
2011000000,-3.256144,-5.3421082,-21.655123,127.26081
2012000000,-3.2567146,-5.7482576,-21.574965,127.37703
2013000000,-3.2113705,-6.0866079,-21.362022,128.11348
2014000000,-3.184803,-6.4112496,-21.141808,129.04582
2015000000,-3.1357026,-6.7293077,-21.303801,130.55432
2016000000,-3.0925865,-6.9459171,-21.380436,132.26068
2017000000,-3.0125623,-7.1830769,-21.550579,134.23509
2018000000,-3.0065467,-7.3106971,-21.853262,136.56654
2019000000,-2.9709322,-7.3781781,-22.520874,139.42102
2020000000,-2.9490945,-7.3550968,-23.009907,142.03377
2021000000,-2.912847,-7.2535267,-23.474207,144.63963
2022000000,-2.9151695,-7.018786,-24.130974,147.16795
2023000000,-2.9193811,-6.7290735,-24.750391,149.38896
2024000000,-2.953954,-6.3199568,-25.433588,151.02982
2025000000,-3.0118036,-5.882031,-26.090517,152.16801
2026000000,-3.039391,-5.4180102,-26.130131,152.66283
2027000000,-3.1027594,-4.9245515,-26.703556,152.55508
2028000000,-3.1666462,-4.4683619,-26.758574,151.73756
2029000000,-3.2013845,-4.0289822,-26.997654,150.25343
2030000000,-3.2335205,-3.6393507,-27.08556,148.24611
2031000000,-3.2375829,-3.3018749,-27.021484,145.70718
2032000000,-3.2442257,-3.0646658,-26.769411,142.90637
2033000000,-3.2091687,-2.8781979,-26.969351,139.86725
2034000000,-3.1492171,-2.815623,-27.26219,136.43935
2035000000,-3.0812385,-2.8106711,-27.514956,133.50133
2036000000,-3.0361884,-2.9042296,-28.163918,129.89345
2037000000,-2.9971704,-3.0866334,-29.044615,127.18723
2038000000,-2.9710112,-3.3214469,-29.841854,124.54928
2039000000,-2.9793024,-3.6464193,-30.68343,122.38269
2040000000,-3.0894654,-4.0136862,-31.450768,120.31922
2041000000,-3.1419046,-4.4279566,-32.234833,119.1556
2042000000,-3.2506487,-4.8194962,-32.921677,118.36047
2043000000,-3.3727396,-5.2690315,-33.198105,118.07354
2044000000,-3.4897389,-5.6277184,-33.363453,118.10397
2045000000,-3.5976954,-5.9980192,-33.308357,118.84211
2046000000,-3.6501706,-6.3758888,-33.314209,119.73834
2047000000,-3.7248652,-6.6729174,-32.838703,121.23417
2048000000,-3.7094748,-6.9448419,-32.53532,122.86859
2049000000,-3.7394197,-7.1488371,-32.189011,124.89594
2050000000,-3.7164786,-7.3150845,-31.967857,127.11959
2051000000,-3.6268668,-7.4174685,-31.788504,129.4453
2052000000,-3.5401335,-7.4508219,-31.876295,132.00565
2053000000,-3.5133867,-7.3613343,-31.968233,134.68307
2054000000,-3.4123251,-7.2295275,-32.392471,137.39993
2055000000,-3.3697832,-6.9872475,-32.950905,139.76427
2056000000,-3.3309846,-6.659328,-33.614197,141.9882
2057000000,-3.3336804,-6.2267404,-34.268181,143.30826
2058000000,-3.2768617,-5.7693248,-35.161205,144.61603
2059000000,-3.2952261,-5.2902012,-36.255665,144.90752
2060000000,-3.3385248,-4.7997003,-36.702583,144.64822
2061000000,-3.3711846,-4.3324585,-37.516247,143.62819
2062000000,-3.4351923,-3.8770092,-38.159927,141.90091
2063000000,-3.5412896,-3.5034878,-38.640652,139.8661
2064000000,-3.6379414,-3.1563673,-38.885452,137.01216
2065000000,-3.7030716,-2.955132,-39.009476,134.09235
2066000000,-3.7534301,-2.7643154,-39.126427,130.84673
2067000000,-3.7770958,-2.7221062,-38.906563,127.56179
2068000000,-3.7771268,-2.7432635,-38.83625,124.51164
2069000000,-3.7691438,-2.8415732,-38.872002,121.32282
2070000000,-3.7269883,-3.0222042,-39.049576,118.61041
2071000000,-3.6635716,-3.284971,-39.281017,115.83091
2072000000,-3.6450086,-3.5854464,-39.874882,113.78568
2073000000,-3.6215928,-3.9305606,-40.480583,111.74763
2074000000,-3.6186862,-4.3125043,-41.259319,110.57184
2075000000,-3.6293488,-4.7117019,-42.025558,109.6573
2076000000,-3.6523142,-5.1344881,-42.725449,109.25535
2077000000,-3.7055535,-5.5146694,-43.442345,109.35955
2078000000,-3.7908969,-5.9164643,-44.129848,110.09472
2079000000,-3.8581874,-6.2927723,-44.728951,111.27553
2080000000,-3.9658504,-6.5903497,-45.159531,112.67829
2081000000,-4.066577,-6.8272719,-45.299522,114.6986
2082000000,-4.1405201,-7.0143971,-45.4687,116.86525
2083000000,-4.2309217,-7.1548958,-45.392586,119.35502
2084000000,-4.3103704,-7.1722236,-45.210712,121.73259
2085000000,-4.3163218,-7.139925,-45.053429,124.0326
2086000000,-4.325479,-7.0353837,-44.758099,126.66893
2087000000,-4.3183036,-6.8312206,-44.598785,128.86563
2088000000,-4.2549052,-6.5713034,-44.527889,130.96222
2089000000,-4.150188,-6.2506294,-44.556644,132.57121
2090000000,-4.0955114,-5.8502364,-45.048809,133.868
2091000000,-4.0154057,-5.4137678,-45.46579,134.65916
2092000000,-3.9285405,-4.9400525,-46.257359,134.97742
2093000000,-3.8981555,-4.4681716,-47.244598,134.52525
2094000000,-3.8936458,-4.0066786,-48.309937,133.6131
2095000000,-3.9026821,-3.5550516,-49.512482,131.56712
2096000000,-3.9865296,-3.1904619,-50.53756,129.31781
2097000000,-4.0827246,-2.8631711,-51.414482,126.69475
2098000000,-4.2184715,-2.6475213,-52.220623,123.67777
2099000000,-4.3334055,-2.5138001,-52.526867,120.48735
2100000000,-4.4557781,-2.4972813,-52.713902,117.24651
2101000000,-4.560133,-2.5275548,-52.643238,114.08896
2102000000,-4.6267152,-2.6061771,-52.621269,111.23503
2103000000,-4.6568127,-2.7848907,-52.443699,108.33436
2104000000,-4.6634455,-3.0364354,-52.302685,106.17033
2105000000,-4.6442895,-3.3396797,-52.271881,104.00799
2106000000,-4.615694,-3.6332514,-52.406075,102.44133
2107000000,-4.5857263,-3.9794786,-52.730686,101.20609
2108000000,-4.557333,-4.3594489,-53.124371,100.12071
2109000000,-4.5057292,-4.6934423,-53.629166,99.830276
2110000000,-4.4819045,-5.0930786,-54.26973,99.744331
2111000000,-4.4699216,-5.4230299,-55.142254,100.07047
2112000000,-4.4959826,-5.7775335,-55.855801,101.15089
2113000000,-4.5302954,-6.059607,-56.690151,102.3223
2114000000,-4.5683861,-6.3197637,-57.507412,104.24781
2115000000,-4.619513,-6.4877343,-58.10078,106.29389
2116000000,-4.7331529,-6.5859365,-58.783176,108.52325
2117000000,-4.7878385,-6.6067247,-59.248817,110.6608
2118000000,-4.8920789,-6.5388141,-59.735065,113.0294
2119000000,-4.956615,-6.4003296,-59.981983,115.02219
2120000000,-5.0277367,-6.1683345,-60.086929,117.02517
2121000000,-5.1008935,-5.8662233,-60.194309,118.73262
2122000000,-5.1396251,-5.5841055,-60.01981,119.70663
2123000000,-5.1491728,-5.2182488,-60.052658,120.51261
2124000000,-5.1493716,-4.8452139,-60.146652,120.85111
2125000000,-5.1070194,-4.4411144,-60.264713,120.68483
2126000000,-5.0629082,-4.0200863,-60.864014,119.97323
2127000000,-5.0035663,-3.6343572,-61.340317,118.81577
2128000000,-4.9458213,-3.2765741,-62.216862,117.24546
2129000000,-4.9294391,-2.9778898,-63.087727,115.24241
2130000000,-4.9494882,-2.7060459,-64.281082,112.71938
2131000000,-5.0030222,-2.5347962,-65.428009,109.87165
2132000000,-5.0835247,-2.4043651,-66.563995,106.85294
2133000000,-5.2248416,-2.4008956,-67.153732,104.0132
2134000000,-5.3693047,-2.4488459,-67.755119,101.27875
2135000000,-5.5400352,-2.5895948,-68.188385,98.364128
2136000000,-5.6261315,-2.7800324,-68.172501,96.262062
2137000000,-5.7254887,-2.9733796,-68.170097,94.178131
2138000000,-5.7974687,-3.2263794,-68.051666,92.323914
2139000000,-5.7983847,-3.4996381,-67.776283,90.992798
2140000000,-5.8062887,-3.822001,-67.851837,90.06263
2141000000,-5.7866268,-4.1199603,-67.902397,89.12413
2142000000,-5.7668853,-4.4321332,-68.235817,88.934593
2143000000,-5.7213049,-4.7505746,-68.423721,89.006248
2144000000,-5.673934,-5.0350904,-69.010132,89.265488
2145000000,-5.6785731,-5.3003259,-69.482338,90.149536
2146000000,-5.6408615,-5.5260401,-70.463989,91.14106
2147000000,-5.6273146,-5.7096076,-71.138359,92.619347
2148000000,-5.6401448,-5.8445878,-72.176399,94.06205
2149000000,-5.6936374,-5.8898067,-73.135712,95.848495
2150000000,-5.7303944,-5.8971014,-73.956116,98.005089
2151000000,-5.8259082,-5.8302069,-74.911255,99.680267
2152000000,-5.8879828,-5.6741204,-75.71804,101.51757
2153000000,-6.002933,-5.4639091,-76.331657,102.68076
2154000000,-6.0723057,-5.2031126,-76.982834,103.79679
2155000000,-6.1677823,-4.9130659,-77.52066,104.48785
2156000000,-6.2535682,-4.5735869,-77.922646,104.86667
2157000000,-6.3370924,-4.2562466,-78.359344,104.59708
2158000000,-6.4073114,-3.9062891,-78.538239,104.00932
2159000000,-6.4330001,-3.600811,-78.687103,103.10209
2160000000,-6.4979939,-3.2977765,-79.064888,101.8949
2161000000,-6.4920306,-3.0056548,-79.53904,100.21239
2162000000,-6.4691882,-2.8028233,-79.878273,98.314629
2163000000,-6.4857554,-2.6183891,-80.691315,96.000946
2164000000,-6.4945583,-2.5214524,-81.435219,93.684792
2165000000,-6.5433502,-2.4380589,-82.439034,91.207481
2166000000,-6.5914054,-2.4644547,-83.284431,88.988724
2167000000,-6.6939321,-2.5152137,-84.339767,86.352898
2168000000,-6.8079877,-2.6552258,-85.056503,84.286911
2169000000,-6.9145927,-2.7930677,-85.597557,82.183807
2170000000,-7.0365543,-3.0190475,-86.156136,80.572105
2171000000,-7.1617312,-3.2441697,-86.304222,79.213768
2172000000,-7.2369862,-3.4857366,-86.560883,78.255714
2173000000,-7.3087115,-3.7190571,-86.793602,77.432152
2174000000,-7.3298521,-3.9831929,-86.680901,76.907692
2175000000,-7.34835,-4.2217255,-86.899292,76.756783
2176000000,-7.3599877,-4.4838486,-87.220192,76.932281
2177000000,-7.3439026,-4.6582851,-87.604912,77.290222
2178000000,-7.3128161,-4.8700233,-88.164528,78.135406
2179000000,-7.3104525,-5.0126433,-88.898598,78.968674
2180000000,-7.2774172,-5.1305914,-89.763237,80.187119
2181000000,-7.3027992,-5.1890383,-90.709923,81.300316
2182000000,-7.2835884,-5.1766953,-91.721603,82.980453
2183000000,-7.3551321,-5.1306705,-92.870712,84.183945
2184000000,-7.4005704,-5.0240612,-93.922516,85.332588
2185000000,-7.4679279,-4.8577623,-95.215034,86.445015
2186000000,-7.5787225,-4.642529,-96.348091,87.288239
2187000000,-7.7036114,-4.3930016,-97.187263,87.726204
2188000000,-7.7877293,-4.1332335,-98.330406,87.706223
2189000000,-7.933228,-3.876622,-98.98262,87.505875
2190000000,-8.0493755,-3.6052935,-99.604568,87.053375
2191000000,-8.2063599,-3.3507621,-100.16078,86.278824
2192000000,-8.2985907,-3.0794766,-100.56846,84.902969
2193000000,-8.3671503,-2.8408754,-100.66766,83.573769
2194000000,-8.4668474,-2.707372,-101.3814,81.799416
2195000000,-8.5022659,-2.5440865,-101.74918,79.988762
2196000000,-8.5672646,-2.4604158,-102.1608,77.971962
2197000000,-8.565259,-2.4161646,-102.85457,75.972466
2198000000,-8.5861559,-2.3654163,-103.56425,73.884613
2199000000,-8.6221943,-2.4325488,-104.3868,71.866158
2200000000,-8.7042551,-2.4980741,-105.51995,69.87384
2201000000,-8.7597351,-2.6356635,-106.48736,68.146088
2202000000,-8.8877048,-2.8041763,-107.36015,66.613846
2203000000,-8.9819183,-2.9428549,-108.24469,65.177742
2204000000,-9.0947304,-3.1401691,-109.26496,64.245338
2205000000,-9.225441,-3.3750205,-109.89674,63.329323
2206000000,-9.3085661,-3.5698888,-110.42612,63.035965
2207000000,-9.418807,-3.7532873,-111.01153,62.759079
2208000000,-9.5020046,-3.9590979,-111.22865,62.752754
