!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:26:15
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2102000000,-4.5660081,-2.6717596,-53.242245,113.14131
2103000000,-4.5920143,-2.8068864,-53.070236,110.16077
2104000000,-4.5973678,-3.049751,-52.944668,107.99326
2105000000,-4.5786829,-3.3387563,-52.9501,105.63055
2106000000,-4.5619893,-3.6383185,-53.045948,104.02046
2107000000,-4.5374403,-3.9599619,-53.280201,102.66806
2108000000,-4.491302,-4.3328295,-53.631409,101.56712
2109000000,-4.4428792,-4.6723208,-54.124031,101.0223
2110000000,-4.4233828,-5.0698142,-54.882065,100.76768
2111000000,-4.4065952,-5.4076223,-55.535389,101.14888
2112000000,-4.436461,-5.7793508,-56.422348,101.95926
2113000000,-4.4661574,-6.0619593,-57.241806,103.12675
2114000000,-4.4936352,-6.3343382,-58.061081,104.88029
2115000000,-4.5559716,-6.5266337,-58.629505,106.74123
2116000000,-4.635673,-6.6366296,-59.362774,108.89731
2117000000,-4.7115927,-6.6745195,-59.761684,111.16507
2118000000,-4.7943244,-6.6303301,-60.381577,113.44501
2119000000,-4.8723059,-6.5279489,-60.613102,115.46021
2120000000,-4.9326739,-6.3001661,-60.749062,117.52861
2121000000,-5.0108886,-6.0170941,-60.883072,119.31733
2122000000,-5.0450501,-5.7516956,-60.661514,120.39671
2123000000,-5.0553861,-5.3878913,-60.821232,121.34076
2124000000,-5.0583124,-5.0240049,-60.880085,121.85641
2125000000,-5.0397797,-4.6342821,-61.046471,121.71777
2126000000,-4.9833617,-4.2172341,-61.538361,121.30307
2127000000,-4.9155002,-3.8359001,-61.974911,120.32904
2128000000,-4.8659978,-3.4570212,-62.906929,118.87566
2129000000,-4.8471217,-3.140521,-63.727058,116.89074
2130000000,-4.8699298,-2.8660581,-64.775429,114.54178
2131000000,-4.902729,-2.6467104,-66.017044,111.74434
2132000000,-4.9984245,-2.5247006,-67.089043,108.80413
2133000000,-5.1217265,-2.4815753,-67.806252,105.94659
2134000000,-5.2585635,-2.5001509,-68.406441,103.1768
2135000000,-5.4356313,-2.6475279,-68.768883,100.25708
2136000000,-5.5094767,-2.8018417,-68.961449,97.997421
2137000000,-5.619957,-3.0050118,-68.933792,95.78894
2138000000,-5.6883821,-3.2357748,-68.843048,93.880623
2139000000,-5.7029028,-3.52548,-68.453224,92.461449
2140000000,-5.698348,-3.8155005,-68.656212,91.389771
2141000000,-5.6930299,-4.1199403,-68.660347,90.337456
2142000000,-5.6601381,-4.4350328,-69.00824,90.129135
2143000000,-5.6383677,-4.7533255,-69.122192,90.093277
2144000000,-5.5849466,-5.0398846,-69.766129,90.257744
2145000000,-5.5848098,-5.3295264,-70.329369,90.910683
2146000000,-5.5411096,-5.546886,-71.206543,91.899612
2147000000,-5.5389977,-5.7617278,-71.845314,93.270432
2148000000,-5.5421915,-5.905314,-72.785088,94.791
2149000000,-5.5899844,-5.9659605,-73.863777,96.441917
2150000000,-5.6192923,-6.0001941,-74.604523,98.641357
2151000000,-5.7132559,-5.9639139,-75.628761,100.24165
2152000000,-5.7686052,-5.8160625,-76.466141,102.04816
2153000000,-5.8752069,-5.6278639,-76.945374,103.48703
2154000000,-5.9542012,-5.3997493,-77.681458,104.60436
2155000000,-6.0262423,-5.1027536,-78.220131,105.46405
2156000000,-6.1305113,-4.7737904,-78.698524,105.92953
2157000000,-6.2084379,-4.45681,-78.989548,105.83844
2158000000,-6.2634954,-4.095046,-79.397415,105.27056
2159000000,-6.2903996,-3.786705,-79.484787,104.69618
2160000000,-6.3416986,-3.4627643,-79.895889,103.44019
2161000000,-6.354157,-3.1770899,-80.339844,101.92593
2162000000,-6.3389111,-2.9568565,-80.708572,100.021
