!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:25:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-2.6721523,-2.9738324,-16.948246,147.97195
2001000000,-2.6111321,-2.8310959,-17.765491,144.7527
2002000000,-2.5976057,-2.8303747,-18.721714,141.39069
2003000000,-2.6202338,-2.9256809,-19.825438,137.94934
2004000000,-2.6857126,-3.0797575,-20.728758,135.01425
2005000000,-2.802006,-3.3315582,-21.406261,132.32796
2006000000,-2.8885379,-3.6506007,-21.865906,130.23265
2007000000,-3.0362937,-3.9945986,-22.039194,128.48921
2008000000,-3.1062291,-4.3441992,-21.991453,127.19131
2009000000,-3.2124074,-4.7008858,-21.737331,126.26649
2010000000,-3.2716732,-5.1138468,-21.563391,125.95985
2011000000,-3.258657,-5.4452686,-21.299805,125.90266
2012000000,-3.2653825,-5.8553414,-21.078583,126.09991
2013000000,-3.2427459,-6.1784945,-20.877699,126.95289
2014000000,-3.2004213,-6.5002432,-20.491602,127.97719
2015000000,-3.1698418,-6.8173771,-20.894188,129.55098
2016000000,-3.10007,-7.0387111,-20.86496,131.2451
2017000000,-3.0223076,-7.2600455,-21.091778,133.29712
2018000000,-3.015142,-7.3556523,-21.541044,135.68312
2019000000,-2.9724233,-7.4246798,-22.186686,138.6183
2020000000,-2.9557185,-7.3803301,-22.776236,141.29199
2021000000,-2.9260914,-7.253643,-23.235916,143.86037
2022000000,-2.9155188,-7.0035367,-23.734777,146.23663
2023000000,-2.9690378,-6.6981254,-24.519724,148.36191
2024000000,-2.9879208,-6.290926,-25.025143,149.9976
2025000000,-3.0400004,-5.8317885,-25.547729,151.06555
2026000000,-3.074043,-5.3553219,-25.864157,151.34306
2027000000,-3.1426353,-4.8784976,-26.336853,151.13251
2028000000,-3.2011766,-4.4138203,-26.306524,150.20363
2029000000,-3.2519245,-3.9780002,-26.689711,148.59535
2030000000,-3.276804,-3.6138108,-26.537775,146.47673
2031000000,-3.279269,-3.2952154,-26.567032,143.83266
2032000000,-3.2594323,-3.0819743,-26.296122,141.04611
2033000000,-3.22949,-2.8926241,-26.528111,137.8838
2034000000,-3.1716607,-2.8553643,-26.755714,134.59776
2035000000,-3.1147578,-2.8646474,-27.095312,131.65123
2036000000,-3.0603893,-2.9825926,-27.819244,128.14769
2037000000,-3.0229843,-3.1684589,-28.599245,125.47962
2038000000,-3.0058036,-3.4202154,-29.478186,122.83109
2039000000,-3.045347,-3.7499802,-30.270906,120.70251
2040000000,-3.1246014,-4.1229367,-31.219019,118.68321
2041000000,-3.1929004,-4.5333858,-31.867474,117.77887
2042000000,-3.3006382,-4.9238586,-32.458115,117.0747
2043000000,-3.4333739,-5.3662844,-32.721775,116.87177
2044000000,-3.5296493,-5.7375236,-32.805161,116.95038
2045000000,-3.6260059,-6.0969691,-32.771183,117.75096
2046000000,-3.6915247,-6.4654274,-32.729076,118.76989
2047000000,-3.7428842,-6.7514768,-32.191418,120.37421
2048000000,-3.7524595,-7.0279307,-31.985861,121.97733
2049000000,-3.7483761,-7.2162752,-31.64666,124.0815
2050000000,-3.7191467,-7.3571701,-31.464912,126.36141
2051000000,-3.6557364,-7.4521966,-31.335976,128.77707
2052000000,-3.5785375,-7.4672508,-31.354664,131.34024
2053000000,-3.5236504,-7.3563709,-31.484533,134.0472
2054000000,-3.4419379,-7.2102728,-31.920712,136.59886
2055000000,-3.3840258,-6.9444928,-32.602074,138.92873
2056000000,-3.345829,-6.5994806,-33.162296,141.06876
2057000000,-3.3307097,-6.1598315,-33.908169,142.30197
2058000000,-3.2988405,-5.696188,-34.746716,143.46329
2059000000,-3.3236036,-5.199677,-35.700554,143.58023
2060000000,-3.373322,-4.7298112,-36.427177,143.14807
2061000000,-3.4267325,-4.2624621,-37.074993,142.09163
2062000000,-3.5133278,-3.8195677,-37.661358,140.2366
2063000000,-3.5752904,-3.4580154,-38.191814,137.99939
2064000000,-3.6757641,-3.1310108,-38.364403,135.11017
2065000000,-3.7456334,-2.9495358,-38.407036,132.22598
2066000000,-3.7979953,-2.7861838,-38.568626,128.96681
2067000000,-3.8102643,-2.7608032,-38.345287,125.67216
2068000000,-3.8093867,-2.7904904,-38.335526,122.64654
2069000000,-3.8029847,-2.901737,-38.378586,119.54177
2070000000,-3.7574403,-3.1015663,-38.584301,116.91575
2071000000,-3.7006521,-3.3726733,-38.86869,114.17187
2072000000,-3.6774588,-3.6778221,-39.405792,112.34184
2073000000,-3.6546531,-4.0237365,-40.028515,110.31216
2074000000,-3.6424055,-4.4112091,-40.771194,109.2915
2075000000,-3.6597939,-4.8102217,-41.470684,108.45693
2076000000,-3.6990159,-5.2405057,-42.230316,108.17912
2077000000,-3.7501657,-5.6103578,-42.870689,108.43102
2078000000,-3.8305132,-5.9857388,-43.69302,109.159
2079000000,-3.9090109,-6.3721466,-44.209312,110.45744
2080000000,-4.0085845,-6.6443834,-44.661541,111.86972
2081000000,-4.1146135,-6.849329,-44.826675,114.07066
2082000000,-4.1890254,-7.0484004,-44.841042,116.22292
2083000000,-4.2814012,-7.1537147,-44.742649,118.7143
2084000000,-4.342454,-7.1614642,-44.663403,121.0623
2085000000,-4.3606143,-7.1263862,-44.433723,123.45314
2086000000,-4.3576131,-6.9915633,-44.13456,125.90311
2087000000,-4.3441081,-6.7564707,-44.002537,128.0694
2088000000,-4.2685251,-6.5007596,-43.886211,130.06807
2089000000,-4.1824327,-6.1579871,-43.986374,131.58948
2090000000,-4.1173158,-5.758419,-44.489113,132.71869
2091000000,-4.034873,-5.3161092,-45.017998,133.37025
2092000000,-3.9635067,-4.8459616,-45.799286,133.5703
2093000000,-3.9364076,-4.3732433,-46.785671,132.92049
2094000000,-3.9372785,-3.933661,-47.960907,131.83116
2095000000,-3.9638488,-3.4826343,-49.113205,129.77489
2096000000,-4.0468383,-3.1346698,-50.131657,127.43137
2097000000,-4.1284909,-2.8227956,-50.916378,124.80489
2098000000,-4.2746444,-2.6284361,-51.628784,121.7612
2099000000,-4.4105349,-2.5277853,-51.954845,118.48637
2100000000,-4.515954,-2.5220408,-52.111134,115.39809
2101000000,-4.6254816,-2.5678091,-52.046963,112.25141
2102000000,-4.683939,-2.6720402,-51.981655,109.40968
2103000000,-4.7021623,-2.8531394,-51.746258,106.71396
2104000000,-4.7158966,-3.1138897,-51.599533,104.73456
2105000000,-4.6925783,-3.4164143,-51.709095,102.49115
2106000000,-4.6698933,-3.7225585,-51.848034,101.08591
2107000000,-4.6422992,-4.0602059,-52.113411,99.894745
2108000000,-4.6011696,-4.4315057,-52.551918,98.954918
2109000000,-4.5602303,-4.7794409,-53.066402,98.654785
2110000000,-4.5306902,-5.163744,-53.735947,98.702065
2111000000,-4.5288796,-5.4934649,-54.59483,99.147316
2112000000,-4.5533509,-5.8236279,-55.360516,100.32313
2113000000,-4.6044388,-6.1052809,-56.109051,101.65036
2114000000,-4.6422982,-6.3285527,-56.919338,103.59325
2115000000,-4.6681266,-6.4815092,-57.56245,105.61192
2116000000,-4.7892046,-6.5486555,-58.265259,107.76065
2117000000,-4.8680592,-6.5513477,-58.660992,109.99707
2118000000,-4.958847,-6.4753795,-59.182648,112.23298
2119000000,-5.0316658,-6.3202529,-59.295708,114.18679
2120000000,-5.1030645,-6.071322,-59.400887,116.10072
2121000000,-5.1653504,-5.7559085,-59.459679,117.62737
2122000000,-5.2098122,-5.470583,-59.369255,118.4092
2123000000,-5.2177649,-5.0930653,-59.434612,119.16071
2124000000,-5.202189,-4.7257276,-59.525112,119.4075
2125000000,-5.1708784,-4.3216772,-59.648201,119.11679
2126000000,-5.1318946,-3.9269331,-60.255459,118.3074
2127000000,-5.0631657,-3.5542789,-60.769756,117.04471
2128000000,-5.008872,-3.1982124,-61.680817,115.36901
2129000000,-5.0047069,-2.9247086,-62.603706,113.22256
2130000000,-5.0602551,-2.6814847,-63.747196,110.68903
2131000000,-5.0940046,-2.5255108,-64.850372,107.90382
2132000000,-5.1843362,-2.4092033,-65.978279,104.89116
2133000000,-5.3246622,-2.4240937,-66.522522,102.05952
2134000000,-5.4781332,-2.4907534,-67.125061,99.460785
2135000000,-5.630569,-2.638257,-67.36644,96.679268
2136000000,-5.7252903,-2.8390679,-67.349403,94.699272
2137000000,-5.82162,-3.0499082,-67.346382,92.5793
2138000000,-5.8750739,-3.2869761,-67.214241,90.922096
2139000000,-5.8862677,-3.5669866,-67.017342,89.610275
2140000000,-5.8851743,-3.8843794,-67.049591,88.846115
2141000000,-5.8619113,-4.179935,-67.124039,87.998436
2142000000,-5.8475289,-4.492094,-67.502228,87.972572
2143000000,-5.7964902,-4.8042617,-67.799255,88.102982
2144000000,-5.7609363,-5.0755911,-68.307678,88.374626
2145000000,-5.7594914,-5.3202095,-68.947487,89.231056
2146000000,-5.7188883,-5.5168185,-69.79863,90.419785
2147000000,-5.7116847,-5.6858339,-70.524399,91.897934
2148000000,-5.7293835,-5.8074169,-71.597404,93.28067
2149000000,-5.7911439,-5.8212423,-72.490128,95.119568
2150000000,-5.8406157,-5.8217497,-73.460854,97.129951
2151000000,-5.9369435,-5.7338095,-74.2584,98.807159
2152000000,-6.0125198,-5.5546408,-75.042351,100.47266
2153000000,-6.1153827,-5.344378,-75.621689,101.64674
2154000000,-6.2011838,-5.0832491,-76.2845,102.54739
2155000000,-6.2850747,-4.7904258,-76.746155,103.17083
2156000000,-6.3720655,-4.4597793,-77.116447,103.38126
2157000000,-6.4681211,-4.1521492,-77.457642,102.97426
2158000000,-6.5241446,-3.8000596,-77.725655,102.28711
2159000000,-6.5512214,-3.5041993,-77.852646,101.30393
2160000000,-6.6021986,-3.2045479,-78.20369,100.06888
2161000000,-6.6096506,-2.9436431,-78.802498,98.288582
