frequency,e',e'',u',u''
1000000000,1.1344,0.0148,0.8826,0.048
1001000000,1.1341,0.0148,0.8829,0.0479
1002000000,1.1338,0.0148,0.8832,0.0479
1003000000,1.1336,0.0148,0.8836,0.0478
1004000000,1.1333,0.0148,0.8839,0.0477
1005000000,1.133,0.0148,0.8842,0.0476
1006000000,1.1327,0.0148,0.8845,0.0476
1007000000,1.1324,0.0148,0.8849,0.0475
1008000000,1.1321,0.0148,0.8852,0.0474
1009000000,1.1319,0.0148,0.8855,0.0473
1010000000,1.1316,0.0148,0.8858,0.0473
1011000000,1.1313,0.0148,0.8862,0.0472
1012000000,1.131,0.0148,0.8865,0.0471
1013000000,1.1308,0.0148,0.8868,0.047
1014000000,1.1305,0.0148,0.8871,0.047
1015000000,1.1302,0.0148,0.8874,0.0469
1016000000,1.1299,0.0148,0.8877,0.0468
1017000000,1.1297,0.0148,0.8881,0.0467
1018000000,1.1294,0.0148,0.8884,0.0467
1019000000,1.1291,0.0148,0.8887,0.0466
1020000000,1.1288,0.0148,0.889,0.0465
1021000000,1.1286,0.0148,0.8893,0.0465
1022000000,1.1283,0.0148,0.8896,0.0464
1023000000,1.128,0.0148,0.8899,0.0463
1024000000,1.1277,0.0148,0.8902,0.0462
1025000000,1.1275,0.0148,0.8906,0.0462
1026000000,1.1272,0.0148,0.8909,0.0461
1027000000,1.1269,0.0148,0.8912,0.046
1028000000,1.1267,0.0148,0.8915,0.046
1029000000,1.1264,0.0148,0.8918,0.0459
1030000000,1.1261,0.0148,0.8921,0.0458
1031000000,1.1259,0.0148,0.8924,0.0457
1032000000,1.1256,0.0147,0.8927,0.0457
1033000000,1.1253,0.0147,0.893,0.0456
1034000000,1.1251,0.0147,0.8934,0.0455
1035000000,1.1248,0.0147,0.8937,0.0455
1036000000,1.1245,0.0147,0.894,0.0454
1037000000,1.1243,0.0147,0.8943,0.0454
1038000000,1.124,0.0147,0.8946,0.0453
1039000000,1.1237,0.0147,0.8949,0.0452
1040000000,1.1235,0.0147,0.8952,0.0452
1041000000,1.1232,0.0147,0.8955,0.0451
1042000000,1.1229,0.0147,0.8958,0.0451
1043000000,1.1227,0.0147,0.8961,0.045
1044000000,1.1224,0.0147,0.8964,0.0449
1045000000,1.1222,0.0147,0.8967,0.0449
1046000000,1.1219,0.0147,0.897,0.0448
1047000000,1.1216,0.0147,0.8973,0.0448
1048000000,1.1214,0.0147,0.8976,0.0447
1049000000,1.1211,0.0147,0.8979,0.0446
1050000000,1.1209,0.0147,0.8982,0.0446
1051000000,1.1206,0.0147,0.8985,0.0445
1052000000,1.1203,0.0147,0.8988,0.0445
1053000000,1.1201,0.0147,0.8991,0.0444
1054000000,1.1198,0.0147,0.8994,0.0444
1055000000,1.1196,0.0147,0.8997,0.0443
1056000000,1.1193,0.0147,0.9,0.0443
1057000000,1.1191,0.0147,0.9003,0.0442
1058000000,1.1188,0.0147,0.9006,0.0442
1059000000,1.1185,0.0147,0.9009,0.0441
1060000000,1.1183,0.0147,0.9011,0.0441
1061000000,1.118,0.0147,0.9014,0.044
1062000000,1.1178,0.0147,0.9017,0.0439
1063000000,1.1175,0.0147,0.902,0.0439
1064000000,1.1173,0.0147,0.9023,0.0438
1065000000,1.117,0.0147,0.9026,0.0438
1066000000,1.1168,0.0146,0.9028,0.0437
1067000000,1.1165,0.0146,0.9031,0.0437
1068000000,1.1163,0.0146,0.9034,0.0436
1069000000,1.116,0.0146,0.9037,0.0436
1070000000,1.1158,0.0146,0.904,0.0435
1071000000,1.1155,0.0146,0.9042,0.0435
1072000000,1.1153,0.0146,0.9045,0.0434
1073000000,1.115,0.0146,0.9048,0.0434
1074000000,1.1148,0.0146,0.9051,0.0433
1075000000,1.1145,0.0146,0.9053,0.0433
1076000000,1.1143,0.0146,0.9056,0.0432
1077000000,1.114,0.0146,0.9059,0.0432
1078000000,1.1138,0.0146,0.9062,0.0431
1079000000,1.1135,0.0146,0.9064,0.0431
1080000000,1.1133,0.0146,0.9067,0.043
1081000000,1.113,0.0146,0.907,0.043
1082000000,1.1128,0.0145,0.9072,0.0429
1083000000,1.1126,0.0145,0.9075,0.0429
1084000000,1.1123,0.0145,0.9078,0.0428
1085000000,1.1121,0.0145,0.908,0.0428
1086000000,1.1118,0.0145,0.9083,0.0427
1087000000,1.1116,0.0145,0.9086,0.0427
1088000000,1.1114,0.0145,0.9088,0.0426
1089000000,1.1111,0.0145,0.9091,0.0426
1090000000,1.1109,0.0145,0.9093,0.0425
1091000000,1.1106,0.0145,0.9096,0.0425
1092000000,1.1104,0.0145,0.9098,0.0424
1093000000,1.1102,0.0145,0.9101,0.0424
1094000000,1.1099,0.0144,0.9104,0.0423
1095000000,1.1097,0.0144,0.9106,0.0423
1096000000,1.1095,0.0144,0.9109,0.0422
1097000000,1.1093,0.0144,0.9111,0.0422
1098000000,1.109,0.0144,0.9114,0.0421
1099000000,1.1088,0.0144,0.9116,0.0421
1100000000,1.1086,0.0144,0.9119,0.042
1101000000,1.1083,0.0144,0.9121,0.042
1102000000,1.1081,0.0144,0.9124,0.0419
1103000000,1.1079,0.0144,0.9126,0.0419
1104000000,1.1077,0.0144,0.9129,0.0418
1105000000,1.1074,0.0144,0.9131,0.0418
1106000000,1.1072,0.0144,0.9134,0.0417
1107000000,1.107,0.0144,0.9136,0.0417
1108000000,1.1068,0.0143,0.9139,0.0416
1109000000,1.1065,0.0143,0.9141,0.0416
1110000000,1.1063,0.0143,0.9144,0.0415
1111000000,1.1061,0.0143,0.9146,0.0415
1112000000,1.1059,0.0143,0.9149,0.0414
1113000000,1.1057,0.0143,0.9151,0.0414
1114000000,1.1054,0.0143,0.9154,0.0413
1115000000,1.1052,0.0143,0.9156,0.0413
1116000000,1.105,0.0143,0.9158,0.0412
1117000000,1.1048,0.0143,0.9161,0.0412
1118000000,1.1046,0.0143,0.9163,0.0411
1119000000,1.1044,0.0143,0.9165,0.0411
1120000000,1.1041,0.0143,0.9168,0.0411
1121000000,1.1039,0.0143,0.917,0.041
1122000000,1.1037,0.0143,0.9172,0.041
1123000000,1.1035,0.0143,0.9175,0.0409
1124000000,1.1033,0.0143,0.9177,0.0409
1125000000,1.1031,0.0142,0.9179,0.0408
1126000000,1.1029,0.0142,0.9182,0.0408
1127000000,1.1026,0.0142,0.9184,0.0407
1128000000,1.1024,0.0142,0.9186,0.0407
1129000000,1.1022,0.0142,0.9189,0.0406
1130000000,1.102,0.0142,0.9191,0.0406
1131000000,1.1018,0.0142,0.9193,0.0405
1132000000,1.1016,0.0142,0.9195,0.0405
1133000000,1.1014,0.0142,0.9198,0.0404
1134000000,1.1012,0.0142,0.92,0.0404
1135000000,1.101,0.0142,0.9202,0.0403
1136000000,1.1008,0.0142,0.9204,0.0403
1137000000,1.1006,0.0142,0.9206,0.0402
1138000000,1.1004,0.0142,0.9209,0.0402
1139000000,1.1002,0.0142,0.9211,0.0401
1140000000,1.0999,0.0142,0.9213,0.0401
1141000000,1.0997,0.0142,0.9215,0.04
1142000000,1.0995,0.0142,0.9217,0.04
1143000000,1.0993,0.0142,0.9219,0.0399
1144000000,1.0991,0.0142,0.9222,0.0399
1145000000,1.0989,0.0142,0.9224,0.0398
1146000000,1.0987,0.0142,0.9226,0.0398
1147000000,1.0985,0.0142,0.9228,0.0397
1148000000,1.0983,0.0142,0.923,0.0397
1149000000,1.0981,0.0142,0.9232,0.0396
1150000000,1.0979,0.0142,0.9234,0.0395
1151000000,1.0977,0.0142,0.9236,0.0395
1152000000,1.0975,0.0142,0.9239,0.0394
1153000000,1.0973,0.0142,0.9241,0.0394
1154000000,1.0971,0.0141,0.9243,0.0393
1155000000,1.097,0.0141,0.9245,0.0393
1156000000,1.0968,0.0141,0.9247,0.0392
1157000000,1.0966,0.0141,0.9249,0.0391
1158000000,1.0964,0.0141,0.9251,0.0391
1159000000,1.0962,0.0141,0.9253,0.039
1160000000,1.096,0.0141,0.9255,0.039
1161000000,1.0958,0.0141,0.9257,0.0389
1162000000,1.0956,0.0141,0.926,0.0388
1163000000,1.0954,0.0141,0.9262,0.0388
1164000000,1.0952,0.0141,0.9264,0.0387
1165000000,1.095,0.0141,0.9266,0.0387
1166000000,1.0948,0.0141,0.9268,0.0386
1167000000,1.0946,0.0141,0.927,0.0386
1168000000,1.0944,0.0141,0.9272,0.0385
1169000000,1.0942,0.0141,0.9274,0.0384
1170000000,1.0941,0.0141,0.9276,0.0384
1171000000,1.0939,0.0141,0.9278,0.0383
1172000000,1.0937,0.0141,0.928,0.0383
1173000000,1.0935,0.0141,0.9282,0.0382
1174000000,1.0933,0.0141,0.9285,0.0381
1175000000,1.0931,0.0141,0.9287,0.0381
1176000000,1.0929,0.0141,0.9289,0.038
1177000000,1.0927,0.0141,0.9291,0.038
1178000000,1.0926,0.0141,0.9293,0.0379
1179000000,1.0924,0.0141,0.9295,0.0379
1180000000,1.0922,0.0141,0.9297,0.0378
1181000000,1.092,0.0141,0.9299,0.0377
1182000000,1.0918,0.0141,0.9301,0.0377
1183000000,1.0916,0.0141,0.9303,0.0376
1184000000,1.0915,0.0141,0.9305,0.0376
1185000000,1.0913,0.0141,0.9307,0.0375
1186000000,1.0911,0.0141,0.9309,0.0374
1187000000,1.0909,0.0141,0.9311,0.0374
1188000000,1.0907,0.0141,0.9313,0.0373
1189000000,1.0905,0.0141,0.9315,0.0373
1190000000,1.0904,0.0141,0.9317,0.0372
1191000000,1.0902,0.0141,0.9319,0.0372
1192000000,1.09,0.0142,0.9321,0.0371
1193000000,1.0898,0.0142,0.9323,0.037
1194000000,1.0896,0.0142,0.9325,0.037
1195000000,1.0895,0.0142,0.9327,0.0369
1196000000,1.0893,0.0142,0.9329,0.0369
