!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:48:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-6.9497929,-5.4959841,-47.246651,-123.77002
2001000000,-7.0152063,-5.601162,-47.117592,-124.76929
2002000000,-7.039803,-5.7091947,-46.933071,-125.54882
2003000000,-7.0586367,-5.8284969,-46.649487,-126.31012
2004000000,-7.0695267,-5.9722152,-46.391674,-126.72163
2005000000,-7.053031,-6.1006451,-46.096767,-127.02766
2006000000,-7.0188994,-6.2348285,-45.934544,-127.08559
2007000000,-6.9818759,-6.3686175,-45.999954,-127.29044
2008000000,-6.9355302,-6.5040011,-46.056862,-126.92506
2009000000,-6.9169164,-6.6432805,-46.374073,-126.54185
2010000000,-6.8692632,-6.735517,-46.716011,-126.14568
2011000000,-6.8760724,-6.7998161,-47.097603,-125.24667
2012000000,-6.8847256,-6.8562183,-47.629913,-124.63526
2013000000,-6.9084954,-6.8702607,-48.046635,-123.7256
2014000000,-6.9529376,-6.8605561,-48.437729,-122.78564
2015000000,-6.9965005,-6.8247361,-48.874325,-121.99859
2016000000,-7.0523205,-6.7299151,-49.036003,-121.1822
2017000000,-7.1019182,-6.639411,-49.308388,-120.63216
2018000000,-7.190311,-6.5010586,-49.37849,-120.14261
2019000000,-7.2745934,-6.3605404,-49.526688,-119.77548
2020000000,-7.3051238,-6.1951485,-49.420273,-119.62892
2021000000,-7.3644238,-6.0197735,-49.195683,-119.53853
2022000000,-7.3837404,-5.8572102,-48.990582,-119.81099
2023000000,-7.4197187,-5.6970358,-48.709175,-120.3531
2024000000,-7.4285412,-5.5383797,-48.603046,-120.88683
2025000000,-7.4202547,-5.4156213,-48.320168,-121.75547
2026000000,-7.4267917,-5.3175087,-48.409866,-122.70574
2027000000,-7.3893576,-5.1880369,-48.429131,-123.78968
2028000000,-7.3675313,-5.1256084,-48.495281,-124.8759
2029000000,-7.3669496,-5.104588,-48.663052,-126.08271
2030000000,-7.3590608,-5.0996046,-49.030163,-127.28212
2031000000,-7.3627481,-5.0611897,-49.436398,-128.46712
2032000000,-7.3966737,-5.1345687,-49.827579,-129.63966
2033000000,-7.4438453,-5.203691,-50.114323,-130.65729
2034000000,-7.4987879,-5.3097177,-50.386642,-131.63814
2035000000,-7.5907278,-5.4312959,-50.483829,-132.33632
