Freq(Hz),S11 Phase_HFSS,S11 Phase_milled,S11 Phase_z0lver
1000000000,-120.1404913,136.18742,151.9252735
1001000000,-120.3378205,136.03513,151.6552521
1002000000,-120.5352896,135.40239,151.3756527
1003000000,-120.7328988,136.1866,151.0986178
1004000000,-120.9306484,135.66302,150.8247788
1005000000,-121.1285386,135.42677,150.5607316
1006000000,-121.3265695,135.93076,150.2903605
1007000000,-121.5247414,135.5954,150.0238848
1008000000,-121.7230545,135.46498,149.7662391
1009000000,-121.921509,135.00061,149.492847
1010000000,-122.1201052,135.25722,149.2392229
1011000000,-122.3188433,134.8452,148.9745249
1012000000,-122.5177235,134.52003,148.7246505
1013000000,-122.7167461,134.15886,148.4605255
1014000000,-122.9159112,134.47214,148.2067558
1015000000,-123.1152192,134.20082,147.9606698
1016000000,-123.3146702,134.40961,147.7041704
1017000000,-123.5142645,134.20644,147.4553645
1018000000,-123.7140024,134.07745,147.2124356
1019000000,-123.9138841,134.21152,146.9563831
1020000000,-124.1139098,133.97742,146.714513
1021000000,-124.3140798,133.6362,146.4605781
1022000000,-124.5143944,133.13536,146.2252651
1023000000,-124.7148538,133.16188,145.9787808
1024000000,-124.9154582,133.19589,145.7412627
1025000000,-125.116208,133.24611,145.5052113
1026000000,-125.3171034,132.95724,145.2655172
1027000000,-125.5181446,132.91815,145.027426
1028000000,-125.719332,132.8483,144.792754
1029000000,-125.9206658,132.8542,144.561006
1030000000,-126.1221462,132.88446,144.3254501
1031000000,-126.3237736,132.36655,144.0945472
1032000000,-126.5255483,132.60753,143.8634986
1033000000,-126.7274705,132.51881,143.6286906
1034000000,-126.9295405,132.40981,143.4047139
1035000000,-127.1317586,131.80463,143.1763949
1036000000,-127.3341251,131.89616,142.94556
1037000000,-127.5366402,131.8345,142.7171731
1038000000,-127.7393044,131.35182,142.4947894
1039000000,-127.9421178,131.53722,142.2709972
1040000000,-128.1450808,131.26288,142.0479529
1041000000,-128.3481938,131.50819,141.8280464
1042000000,-128.5514569,131.60217,141.6062649
1043000000,-128.7548705,131.03679,141.383687
1044000000,-128.958435,131.09129,141.1675203
1045000000,-129.1621506,130.64897,140.9490125
1046000000,-129.3660177,130.58679,140.7255603
1047000000,-129.5700366,130.33182,140.5143672
1048000000,-129.7742076,129.81491,140.2962966
1049000000,-129.978531,130.18535,140.0789157
1050000000,-130.1830072,130.2941,139.8658575
1051000000,-130.3876366,129.90784,139.6520513
1052000000,-130.5924194,130.00769,139.4436073
1053000000,-130.797356,129.76709,139.2286548
1054000000,-131.0024468,130.22871,139.0226005
1055000000,-131.2076921,129.64058,138.8123011
1056000000,-131.4130922,129.0067,138.5969795
1057000000,-131.6186476,129.19789,138.3886035
1058000000,-131.8243585,129.04268,138.177595
1059000000,-132.0302253,128.89813,137.9699281
1060000000,-132.2362485,128.75766,137.7661274
1061000000,-132.4424283,128.94167,137.5545846
1062000000,-132.6487651,128.33052,137.3540964
1063000000,-132.8552594,128.1794,137.1494991
1064000000,-133.0619115,128.00859,136.9439305
1065000000,-133.2687218,127.85427,136.7429663
1066000000,-133.4756906,128.02185,136.5380387
1067000000,-133.6828184,128.34921,136.3305467
1068000000,-133.8901056,127.66838,136.1363532
1069000000,-134.0975525,127.283,135.9318045
1070000000,-134.3051595,127.43925,135.7316271
1071000000,-134.5129272,127.17259,135.5322949
1072000000,-134.7208558,127.20924,135.3312141
1073000000,-134.9289458,127.13124,135.1348932
1074000000,-135.1371976,127.13485,134.9378147
1075000000,-135.3456116,126.92307,134.7383658
1076000000,-135.5541883,126.84203,134.5397719
1077000000,-135.7629281,126.62824,134.3409739
1078000000,-135.9718314,126.6472,134.1473438
1079000000,-136.1808986,126.5505,133.949255
1080000000,-136.3901302,126.45016,133.75613
