Freq(Hz),S21 Phase_copper strip,S21 Phase_HFSS,S21 Phase_milled,S21 Phase_z0lver
1000000000,-167.76472,102.7633221,141.98138,-167.7053442
1001000000,-168.24844,102.4917099,141.63503,-167.8900471
1002000000,-168.24867,102.2200358,141.42351,-168.0748277
1003000000,-168.45998,101.9482999,141.17484,-168.2596083
1004000000,-168.6797,101.6765024,141.04568,-168.4444084
1005000000,-168.80275,101.4046433,140.74557,-168.6292278
1006000000,-168.78845,101.1327229,140.54239,-168.8140667
1007000000,-169.06398,100.8607412,140.30411,-168.9989444
1008000000,-169.29654,100.5886984,140.09459,-169.1838222
1009000000,-169.40538,100.3165947,139.86655,-169.3687582
1010000000,-169.40149,100.0444302,139.6292,-169.5536748
1011000000,-169.75021,99.77220498,139.36314,-169.7386497
1012000000,-170.08704,99.49991927,139.02351,-169.923644
1013000000,-170.18816,99.22757318,138.8744,-170.1086383
1014000000,-170.20708,98.95516688,138.6226,-170.2936714
1015000000,-170.66617,98.68270049,138.40253,-170.478724
1016000000,-170.41357,98.41017417,138.44568,-170.6637961
1017000000,-170.93349,98.13758806,138.10306,-170.8488681
1018000000,-170.89551,97.86494231,137.83353,-171.0339984
1019000000,-171.02316,97.59223706,137.59378,-171.2190898
1020000000,-171.07243,97.31947247,137.53926,-171.404259
1021000000,-171.57114,97.04664869,137.0804,-171.5894476
1022000000,-171.61562,96.77376585,136.73134,-171.7746362
1023000000,-171.89169,96.50082411,136.65688,-171.9598248
1024000000,-172.08636,96.22782362,136.35228,-172.1450716
1025000000,-172.16554,95.95476452,136.03792,-172.3303185
1026000000,-172.17728,95.68164696,135.98767,-172.5155848
1027000000,-172.51062,95.4084711,135.66238,-172.7008511
1028000000,-172.77773,95.13523708,135.31467,-172.8861757
1029000000,-172.86137,94.86194505,135.23729,-173.0714808
1030000000,-172.97801,94.58859515,134.87411,-173.2568249
1031000000,-173.09488,94.31518755,134.78162,-173.4422077
1032000000,-173.35744,94.04172238,134.58461,-173.6275712
1033000000,-173.44547,93.7681998,134.35953,-173.8129735
1034000000,-173.64931,93.49461996,133.87517,-173.9983758
1035000000,-173.92348,93.22098299,133.75436,-174.1837781
1036000000,-174.02165,92.94728907,133.47168,-174.3692192
1037000000,-174.26619,92.67353832,133.16112,-174.5546992
1038000000,-174.36337,92.39973091,133.02385,-174.7401792
1039000000,-174.66603,92.12586698,132.67502,-174.9256592
1040000000,-174.72643,91.85194667,132.62865,-175.1111587
1041000000,-174.77986,91.57797014,132.49113,-175.2967164
1042000000,-175.15132,91.30393754,132.07376,-175.4822158
1043000000,-175.36073,91.02984901,131.79686,-175.667793
1044000000,-175.37828,90.7557047,131.70996,-175.8533701
1045000000,-175.46681,90.48150477,131.40639,-176.0389473
1046000000,-175.77379,90.20724934,131.10585,-176.2245439
1047000000,-175.96504,89.93293858,130.92784,-176.4101599
1048000000,-176.05925,89.65857263,130.5397,-176.5957953
1049000000,-176.03714,89.38415163,130.638,-176.7814308
1050000000,-176.41687,89.10967574,130.04524,-176.9670662
1051000000,-176.68857,88.83514509,130.02544,-177.1527599
1052000000,-176.71909,88.56055983,129.86395,-177.3384536
1053000000,-176.97002,88.28592012,129.51277,-177.5241668
1054000000,-177.10152,88.01122608,129.25928,-177.7098605
1055000000,-177.10402,87.73647787,129.18732,-177.8955736
1056000000,-177.56087,87.46167563,128.60744,-178.0813451
1057000000,-177.70773,87.1868195,128.5952,-178.2670776
1058000000,-177.88081,86.91190962,128.34387,-178.4528491
1059000000,-178.16104,86.63694614,127.85289,-178.6386205
1060000000,-177.91165,86.36192919,128.02966,-178.8244114
1061000000,-178.31473,86.08685893,127.8016,-179.0102217
1062000000,-178.6312,85.81173548,127.21819,-179.1960319
1063000000,-178.77719,85.53655898,127.07767,-179.3818811
1064000000,-178.74969,85.26132959,126.90581,-179.5676914
1065000000,-179.03075,84.98604742,126.75611,-179.7535794
1066000000,-179.22849,84.71071263,126.49973,-179.9394091
1067000000,-179.42064,84.43532534,126.22598,179.8746941
1068000000,-179.49455,84.1598857,126.03983,179.6888061
1069000000,-179.72328,83.88439384,125.82645,179.5028987
1070000000,-179.85559,83.60884988,125.57095,179.3169913
1071000000,179.95723,83.33325398,125.35076,179.1310644
1072000000,179.66182,83.05760625,125.08858,178.9451375
1073000000,179.68254,82.78190683,124.92842,178.7591913
1074000000,179.32724,82.50615586,124.60582,178.573245
1075000000,179.40202,82.23035345,124.18911,178.3872404
1076000000,179.1171,81.95449975,124.20957,178.2012941
1077000000,178.82286,81.67859487,123.7255,178.015309
1078000000,178.65277,81.40263895,123.63348,177.8293433
1079000000,178.50456,81.12663211,123.20515,177.6433387
1080000000,178.14682,80.85057447,122.91062,177.4573341
1081000000,178.07826,80.57446617,122.90862,177.2713101
1082000000,177.92865,80.29830732,122.70042,177.0853056
1083000000,177.67577,80.02209805,122.24026,176.8992427
1084000000,177.73671,79.74583847,122.1737,176.7131993
1085000000,177.47853,79.46952871,121.89836,176.5271364
1086000000,177.4068,79.19316889,121.85152,176.341093
1087000000,177.32121,78.91675911,121.29494,176.1549913
1088000000,176.97249,78.64029951,121.28837,175.968909
1089000000,176.81685,78.36379019,121.03336,175.7828267
1090000000,176.74043,78.08723127,120.89279,175.5967056
1091000000,176.4921,77.81062286,120.72594,175.4106233
1092000000,176.40408,77.53396507,120.25675,175.2244633
1093000000,176.1185,77.25725801,120.05241,175.0383228
1094000000,175.71298,76.98050179,119.72715,174.8521822
1095000000,175.67561,76.70369652,119.54079,174.6660416
1096000000,175.50357,76.4268423,119.28075,174.4798622
1097000000,175.40358,76.14993924,119.0215,174.2936828
1098000000,175.18256,75.87298745,118.81292,174.1075228
1099000000,175.09856,75.59598701,118.59053,173.9213434
1100000000,174.98734,75.31893805,118.4465,173.7351251
1101000000,174.66403,75.04184064,118.05265,173.5489262
1102000000,174.72923,74.76469489,118.15635,173.362708
1103000000,174.30966,74.48750091,117.67975,173.1764703
1104000000,173.91309,74.21025877,117.45258,172.9902326
1105000000,173.97734,73.93296858,117.30168,172.8039949
1106000000,173.60747,73.65563042,116.9241,172.6177183
1107000000,173.65918,73.37824438,116.77618,172.4314806
1108000000,173.27635,73.10081056,116.25284,172.2451652
1109000000,173.11195,72.82332904,116.22031,172.058908
1110000000,173.11345,72.54579991,116.02164,171.872612
1111000000,172.80765,72.26822324,115.61012,171.6863161
1112000000,172.82732,71.99059912,115.58389,171.5000201
1113000000,172.62054,71.71292764,115.37896,171.3136852
1114000000,172.45297,71.43520886,115.16634,171.1273504
1115000000,172.28688,71.15744286,114.79897,170.941035
1116000000,172.00587,70.87962972,114.62157,170.7546613
1117000000,171.86543,70.60176952,114.40075,170.568307
1118000000,171.59155,70.32386232,114.12291,170.3819527
1119000000,171.39575,70.04590819,113.72145,170.1955596
1120000000,171.22305,69.7679072,113.41246,170.0091664
1121000000,171.19035,69.48985941,113.35359,169.8227733
1122000000,170.99522,69.2117649,113.34853,169.6363802
1123000000,170.70009,68.93362371,112.80694,169.4499676
1124000000,170.52333,68.65543592,112.71415,169.2635551
1125000000,170.31888,68.37720157,112.11181,169.0771231
1126000000,170.32985,68.09892073,112.09817,168.8906522
1127000000,169.89299,67.82059345,111.80855,168.7042202
1128000000,169.80165,67.54221977,111.75586,168.5177688
1129000000,169.65495,67.26379976,111.31326,168.3312786
1130000000,169.41463,66.98533346,111.141,168.1448077
1131000000,169.32349,66.70682091,110.74506,167.9583175
1132000000,169.15584,66.42826217,110.69559,167.7718078
1133000000,169.1046,66.14965726,110.60674,167.5852981
1134000000,168.85876,65.87100623,110.23672,167.3987884
1135000000,168.5869,65.59230913,110.04718,167.2122398
1136000000,168.20911,65.31356597,109.66089,167.0257107
1137000000,168.09039,65.0347768,109.39502,166.8391427
1138000000,167.96675,64.75594166,109.21718,166.6525747
1139000000,168.0047,64.47706056,108.95242,166.4659873
1140000000,167.82121,64.19813353,108.89489,166.2794193
1141000000,167.43854,63.9191606,108.6283,166.0928125
1142000000,167.06546,63.6401418,108.13638,165.9061862
1143000000,167.22871,63.36107714,108.02515,165.7195405
1144000000,166.99828,63.08196663,107.80273,165.5329337
1145000000,166.72945,62.80281031,107.59373,165.3463074
1146000000,166.52611,62.52360817,107.23614,165.1596423
1147000000,166.26341,62.24436023,106.88003,164.9729577
1148000000,166.18219,61.9650665,106.81105,164.786312
1149000000,166.00194,61.68572698,106.64696,164.5995886
1150000000,165.71902,61.40634169,106.2995,164.4128846
1151000000,165.50522,61.12691061,106.06297,164.2261612
1152000000,165.40335,60.84743375,105.58807,164.0394378
1153000000,165.34637,60.56791112,105.71338,163.852695
1154000000,165.29462,60.28834269,105.38792,163.6659327
1155000000,164.95599,60.00872847,105.13103,163.479151
1156000000,164.83856,59.72906844,104.74401,163.2923693
1157000000,164.63618,59.44936259,104.79376,163.1056071
1158000000,164.40434,59.1696109,104.23248,162.9187671
