Frequency (GHz),Analytical (S21 dB),Z0lver (S21 dB),HFSS (S21 dB)
2,-1.04657791,-1.046578787,-1.204275711
2.01,-1.04657791,-1.046578787,-1.203683538
2.02,-1.04657791,-1.046578787,-1.203102616
2.03,-1.04657791,-1.046578787,-1.202533806
2.04,-1.04657791,-1.046578787,-1.201977922
2.05,-1.04657791,-1.046578787,-1.201435734
2.06,-1.04657791,-1.046578787,-1.200907964
2.07,-1.04657791,-1.046578787,-1.200395292
2.08,-1.04657791,-1.046578787,-1.19989835
2.09,-1.04657791,-1.046578787,-1.199417725
2.1,-1.04657791,-1.046578787,-1.198953962
2.11,-1.04657791,-1.046578787,-1.198507559
2.12,-1.04657791,-1.046578787,-1.19807897
2.13,-1.04657791,-1.046578787,-1.197668605
2.14,-1.04657791,-1.046578787,-1.197276831
2.15,-1.04657791,-1.046578787,-1.196903972
2.16,-1.04657791,-1.046578787,-1.196550308
2.17,-1.04657791,-1.046578787,-1.196216077
2.18,-1.04657791,-1.046578787,-1.195901478
2.19,-1.04657791,-1.046578787,-1.195606665
2.2,-1.04657791,-1.046578787,-1.195331754
2.21,-1.04657791,-1.046578787,-1.195076821
2.22,-1.04657791,-1.046578787,-1.194841901
2.23,-1.04657791,-1.046578787,-1.194626993
2.24,-1.04657791,-1.046578787,-1.194432057
2.25,-1.04657791,-1.046578787,-1.194257016
2.26,-1.04657791,-1.046578787,-1.194101757
2.27,-1.04657791,-1.046578787,-1.193966133
2.28,-1.04657791,-1.046578787,-1.19384996
2.29,-1.04657791,-1.046578787,-1.193753024
2.3,-1.04657791,-1.046578787,-1.193675074
2.31,-1.04657791,-1.046578787,-1.193615832
2.32,-1.04657791,-1.046578787,-1.193574986
2.33,-1.04657791,-1.046578787,-1.193552195
2.34,-1.04657791,-1.046578787,-1.193547092
2.35,-1.04657791,-1.046578787,-1.193559278
2.36,-1.04657791,-1.046578787,-1.19358833
2.37,-1.04657791,-1.046578787,-1.1936338
2.38,-1.04657791,-1.046578787,-1.193695214
2.39,-1.04657791,-1.046578787,-1.193772075
2.4,-1.04657791,-1.046578787,-1.193863865
2.41,-1.04657791,-1.046578787,-1.193970044
2.42,-1.04657791,-1.046578787,-1.194090052
2.43,-1.04657791,-1.046578787,-1.194223309
2.44,-1.04657791,-1.046578787,-1.19436922
2.45,-1.04657791,-1.046578787,-1.194527172
2.46,-1.04657791,-1.046578787,-1.194696536
2.47,-1.04657791,-1.046578787,-1.19487667
2.48,-1.04657791,-1.046578787,-1.195066919
2.49,-1.04657791,-1.046578787,-1.195266616
2.5,-1.04657791,-1.046578787,-1.195475082
2.51,-1.04657791,-1.046578787,-1.195691631
2.52,-1.04657791,-1.046578787,-1.195915567
2.53,-1.04657791,-1.046578787,-1.196146188
2.54,-1.04657791,-1.046578787,-1.196382785
2.55,-1.04657791,-1.046578787,-1.196624646
2.56,-1.04657791,-1.046578787,-1.196871054
2.57,-1.04657791,-1.046578787,-1.197121289
2.58,-1.04657791,-1.046578787,-1.197374633
2.59,-1.04657791,-1.046578787,-1.197630366
2.6,-1.04657791,-1.046578787,-1.197887768
2.61,-1.04657791,-1.046578787,-1.198146123
2.62,-1.04657791,-1.046578787,-1.198404718
2.63,-1.04657791,-1.046578787,-1.198662846
2.64,-1.04657791,-1.046578787,-1.198919804
2.65,-1.04657791,-1.046578787,-1.199174897
2.66,-1.04657791,-1.046578787,-1.199427436
2.67,-1.04657791,-1.046578787,-1.199676745
2.68,-1.04657791,-1.046578787,-1.199922154
2.69,-1.04657791,-1.046578787,-1.200163009
2.7,-1.04657791,-1.046578787,-1.200398663
2.71,-1.04657791,-1.046578787,-1.200628488
2.72,-1.04657791,-1.046578787,-1.200851867
2.73,-1.04657791,-1.046578787,-1.201068199
2.74,-1.04657791,-1.046578787,-1.201276902
2.75,-1.04657791,-1.046578787,-1.20147741
2.76,-1.04657791,-1.046578787,-1.201669176
2.77,-1.04657791,-1.046578787,-1.201851672
2.78,-1.04657791,-1.046578787,-1.202024393
2.79,-1.04657791,-1.046578787,-1.202186854
2.8,-1.04657791,-1.046578787,-1.202338594
2.81,-1.04657791,-1.046578787,-1.202479174
2.82,-1.04657791,-1.046578787,-1.202608183
2.83,-1.04657791,-1.046578787,-1.202725231
2.84,-1.04657791,-1.046578787,-1.20282996
2.85,-1.04657791,-1.046578787,-1.202922036
2.86,-1.04657791,-1.046578787,-1.203001154
2.87,-1.04657791,-1.046578787,-1.203067041
2.88,-1.04657791,-1.046578787,-1.20311945
2.89,-1.04657791,-1.046578787,-1.20315817
2.9,-1.04657791,-1.046578787,-1.203183019
2.91,-1.04657791,-1.046578787,-1.203193849
2.92,-1.04657791,-1.046578787,-1.203190546
2.93,-1.04657791,-1.046578787,-1.20317303
2.94,-1.04657791,-1.046578787,-1.203141259
2.95,-1.04657791,-1.046578787,-1.203095225
2.96,-1.04657791,-1.046578787,-1.203034959
2.97,-1.04657791,-1.046578787,-1.202960528
2.98,-1.04657791,-1.046578787,-1.20287204
2.99,-1.04657791,-1.046578787,-1.202769642
3,-1.04657791,-1.046578787,-1.202653521
