Freq(Hz),S22(dB)_milled,S22(dB)_HFSS,S22(dB)_z0lver
1000000000,-15.753864,-16.9769338,-21.17998727
1001000000,-15.802276,-16.98627013,-21.19489929
1002000000,-15.815721,-16.99559762,-21.20981556
1003000000,-15.816309,-17.0049162,-21.22474477
1004000000,-15.814073,-17.01422579,-21.23967574
1005000000,-15.822076,-17.02352631,-21.25461718
1006000000,-15.845732,-17.03281769,-21.26956598
1007000000,-15.839893,-17.04209986,-21.28451963
1008000000,-15.810659,-17.05137275,-21.2994775
1009000000,-15.852491,-17.06063627,-21.31445023
1010000000,-15.867419,-17.06989035,-21.32942593
1011000000,-15.852005,-17.07913491,-21.34440897
1012000000,-15.867474,-17.08836989,-21.35940062
1013000000,-15.815397,-17.0975952,-21.37439836
1014000000,-15.870024,-17.10681076,-21.38939522
1015000000,-15.875871,-17.11601651,-21.40440383
1016000000,-15.965344,-17.12521236,-21.41942422
1017000000,-15.940546,-17.13439823,-21.43445258
1018000000,-15.890702,-17.14357406,-21.44948066
1019000000,-15.912082,-17.15273975,-21.46452625
1020000000,-15.954394,-17.16189523,-21.47957281
1021000000,-15.975022,-17.17104043,-21.49462351
1022000000,-15.933745,-17.18017526,-21.50968409
1023000000,-15.924234,-17.18929965,-21.52475135
1024000000,-15.944427,-17.19841351,-21.53982145
1025000000,-16.010855,-17.20751677,-21.55490592
1026000000,-15.934181,-17.21660934,-21.56999773
1027000000,-15.979423,-17.22569116,-21.58509816
1028000000,-15.958591,-17.23476213,-21.60020527
1029000000,-15.954919,-17.24382217,-21.61531
1030000000,-15.974211,-17.25287122,-21.63042981
1031000000,-15.976389,-17.26190917,-21.64555694
1032000000,-15.990837,-17.27093596,-21.66068748
1033000000,-16.027342,-17.2799515,-21.67582924
1034000000,-16.028801,-17.28895571,-21.69097962
1035000000,-16.030109,-17.2979485,-21.70613078
1036000000,-16.029902,-17.3069298,-21.72129643
1037000000,-15.99801,-17.31589953,-21.73646416
1038000000,-16.013002,-17.32485759,-21.75164116
1039000000,-16.036364,-17.33380391,-21.76682349
1040000000,-16.063087,-17.3427384,-21.78201443
1041000000,-16.102634,-17.35166098,-21.797212
1042000000,-16.049259,-17.36057156,-21.81242479
1043000000,-16.076811,-17.36947007,-21.82763565
1044000000,-16.049122,-17.37835641,-21.84285842
1045000000,-16.08951,-17.38723051,-21.85809115
1046000000,-16.078554,-17.39609227,-21.87332254
1047000000,-16.108652,-17.40494161,-21.88857451
1048000000,-16.134544,-17.41377846,-21.90381915
1049000000,-16.112089,-17.42260271,-21.91908305
1050000000,-16.116686,-17.43141429,-21.93434491
1051000000,-16.12492,-17.44021311,-21.94961471
1052000000,-16.098791,-17.44899908,-21.9649025
1053000000,-16.154823,-17.45777212,-21.98019088
1054000000,-16.184158,-17.46653213,-21.99548855
1055000000,-16.166424,-17.47527905,-22.01079418
1056000000,-16.161173,-17.48401276,-22.02610979
1057000000,-16.161318,-17.4927332,-22.04142863
1058000000,-16.196878,-17.50144027,-22.05675543
1059000000,-16.189148,-17.51013388,-22.07208814
1060000000,-16.208,-17.51881394,-22.08742947
1061000000,-16.212029,-17.52748038,-22.10277943
1062000000,-16.234875,-17.53613309,-22.11814074
1063000000,-16.213099,-17.54477199,-22.13350388
1064000000,-16.262192,-17.55339699,-22.14888315
1065000000,-16.183399,-17.562008,-22.16426287
1066000000,-16.287069,-17.57060493,-22.17965121
1067000000,-16.240078,-17.5791877,-22.19504339
1068000000,-16.221899,-17.58775621,-22.2104435
1069000000,-16.286222,-17.59631038,-22.22586049
1070000000,-16.247421,-17.60485011,-22.24128337
1071000000,-16.264429,-17.61337531,-22.256708
1072000000,-16.231411,-17.62188589,-22.27214195
1073000000,-16.278658,-17.63038176,-22.28758799
1074000000,-16.302349,-17.63886284,-22.3030399
1075000000,-16.289974,-17.64732902,-22.31849699
1076000000,-16.319975,-17.65578022,-22.33396132
1077000000,-16.323294,-17.66421635,-22.34943985
1078000000,-16.26742,-17.67263732,-22.36492145
1079000000,-16.302916,-17.68104303,-22.3804075
1080000000,-16.301748,-17.68943339,-22.39590708
1081000000,-16.267216,-17.69780831,-22.4114104
1082000000,-16.341064,-17.70616769,-22.42693147
1083000000,-16.341339,-17.71451146,-22.44245208
1084000000,-16.308666,-17.7228395,-22.4579771
1085000000,-16.354637,-17.73115173,-22.47351498
1086000000,-16.315817,-17.73944806,-22.48906715
1087000000,-16.352615,-17.7477284,-22.50462305
1088000000,-16.366478,-17.75599264,-22.52017767
1089000000,-16.333027,-17.7642407,-22.5357544
1090000000,-16.392113,-17.77247249,-22.55132275
1091000000,-16.37237,-17.7806879,-22.56691039
1092000000,-16.383406,-17.78888685,-22.58251097
1093000000,-16.39427,-17.79706924,-22.5981095
1094000000,-16.391254,-17.80523498,-22.61371882
1095000000,-16.411913,-17.81338397,-22.62933393
1096000000,-16.392729,-17.82151612,-22.64497202
1097000000,-16.441103,-17.82963133,-22.66060659
1098000000,-16.439156,-17.83772952,-22.67624478
1099000000,-16.437227,-17.84581058,-22.69189305
1100000000,-16.428879,-17.85387442,-22.70755575
1101000000,-16.426287,-17.86192095,-22.72321915
1102000000,-16.445852,-17.86995007,-22.73889627
1103000000,-16.437191,-17.87796168,-22.75458278
1104000000,-16.453096,-17.88595569,-22.77027724
1105000000,-16.451767,-17.89393201,-22.78597235
1106000000,-16.448473,-17.90189054,-22.8016885
1107000000,-16.498692,-17.90983118,-22.81740166
1108000000,-16.449123,-17.91775384,-22.83312639
1109000000,-16.466887,-17.92565842,-22.84885832
1110000000,-16.511873,-17.93354483,-22.86460257
1111000000,-16.471395,-17.94141297,-22.88035623
1112000000,-16.467361,-17.94926275,-22.89611784
1113000000,-16.504662,-17.95709406,-22.91188296
1114000000,-16.50737,-17.96490682,-22.92766043
1115000000,-16.511045,-17.97270092,-22.94344954
1116000000,-16.513241,-17.98047628,-22.95923327
1117000000,-16.532961,-17.98823278,-22.97504343
1118000000,-16.546415,-17.99597035,-22.99085042
1119000000,-16.526754,-18.00368888,-23.00667127
1120000000,-16.521101,-18.01138827,-23.02249337
1121000000,-16.56954,-18.01906844,-23.03833382
1122000000,-16.58144,-18.02672927,-23.05418147
1123000000,-16.541639,-18.03437068,-23.07003482
1124000000,-16.544998,-18.04199258,-23.08589985
1125000000,-16.547874,-18.04959485,-23.10176232
1126000000,-16.566284,-18.05717741,-23.11764547
1127000000,-16.562969,-18.06474016,-23.13353205
1128000000,-16.606794,-18.072283,-23.14943033
1129000000,-16.584328,-18.07980584,-23.165329
1130000000,-16.602901,-18.08730859,-23.1812492
1131000000,-16.62578,-18.09479113,-23.1971728
1132000000,-16.619488,-18.10225338,-23.21309827
1133000000,-16.621786,-18.10969524,-23.22903545
1134000000,-16.557812,-18.11711662,-23.24498437
1135000000,-16.604326,-18.12451741,-23.26094427
1136000000,-16.637806,-18.13189753,-23.27691746
1137000000,-16.611334,-18.13925687,-23.29288329
1138000000,-16.585649,-18.14659533,-23.3088716
1139000000,-16.65502,-18.15391283,-23.32486248
1140000000,-16.628586,-18.16120927,-23.34086897
1141000000,-16.690544,-18.16848454,-23.35687648
1142000000,-16.659296,-18.17573856,-23.37289577
1143000000,-16.630621,-18.18297122,-23.38892454
1144000000,-16.646395,-18.19018243,-23.40496589
1145000000,-16.680548,-18.1973721,-23.42100666
1146000000,-16.670696,-18.20454013,-23.43706544
1147000000,-16.671387,-18.21168642,-23.45312983
1148000000,-16.684624,-18.21881087,-23.4691967
1149000000,-16.694445,-18.2259134,-23.48528319
1150000000,-16.688026,-18.2329939,-23.50137606
1151000000,-16.706423,-18.24005229,-23.51747453
1152000000,-16.699116,-18.24708845,-23.53359112
1153000000,-16.704723,-18.25410231,-23.54970153
1154000000,-16.723135,-18.26109376,-23.56582771
1155000000,-16.722269,-18.26806271,-23.58196577
1156000000,-16.700748,-18.27500906,-23.59811334
1157000000,-16.772045,-18.28193272,-23.61426569
1158000000,-16.726694,-18.2888336,-23.63043785
1159000000,-16.765568,-18.29571159,-23.64660686
1160000000,-16.734325,-18.30256661,-23.6627838
1161000000,-16.766113,-18.30939856,-23.67898854
1162000000,-16.759869,-18.31620735,-23.69517657
1163000000,-16.769194,-18.32299288,-23.71139005
1164000000,-16.747108,-18.32975506,-23.72760747
1165000000,-16.777149,-18.3364938,-23.74384164
1166000000,-16.769302,-18.34320899,-23.76008135
1167000000,-16.774269,-18.34990056,-23.77632821
1168000000,-16.776878,-18.3565684,-23.79258541
1169000000,-16.746777,-18.36321242,-23.80885378
1170000000,-16.808113,-18.36983253,-23.82512606
1171000000,-16.840809,-18.37642864,-23.8414184
1172000000,-16.795921,-18.38300066,-23.8577106
1173000000,-16.805208,-18.38954849,-23.8740075
1174000000,-16.791056,-18.39607203,-23.89032612
1175000000,-16.790827,-18.40257121,-23.90664538
1176000000,-16.817064,-18.40904592,-23.92298316
1177000000,-16.811638,-18.41549608,-23.93932237
1178000000,-16.862841,-18.4219216,-23.95567279
1179000000,-16.838236,-18.42832238,-23.97203852
1180000000,-16.815725,-18.43469833,-23.98840401
1181000000,-16.838276,-18.44104937,-24.00478071
1182000000,-16.903196,-18.44737541,-24.02118427
1183000000,-16.851847,-18.45367634,-24.03758017
1184000000,-16.854345,-18.45995209,-24.05398895
1185000000,-16.872776,-18.46620257,-24.07040981
1186000000,-16.848274,-18.47242768,-24.08684111
1187000000,-16.869991,-18.47862734,-24.10327622
1188000000,-16.897295,-18.48480147,-24.11972177
1189000000,-16.913107,-18.49094996,-24.13618108
1190000000,-16.850431,-18.49707274,-24.15264501
1191000000,-16.886742,-18.50316971,-24.16913108
1192000000,-16.874111,-18.5092408,-24.18561091
