Freq(Hz),S22(Phase)_milled,S22(Phase)_z0lver
1000000000,5.84373,81.58138226
1001000000,5.8646741,81.51638558
1002000000,5.9320879,81.45134518
1003000000,5.7202654,81.38636792
1004000000,5.4927268,81.32144894
1005000000,5.6054158,81.25655425
1006000000,5.2929602,81.19168871
1007000000,5.6694841,81.12685716
1008000000,5.3900261,81.06204989
1009000000,5.4753308,80.99728149
1010000000,5.191484,80.93255679
1011000000,5.4639239,80.86787095
1012000000,5.2347631,80.8031754
1013000000,4.9872823,80.73856728
1014000000,5.0439167,80.67395915
1015000000,4.6257186,80.60938503
1016000000,4.8990436,80.54484004
1017000000,4.9208641,80.48033877
1018000000,4.6716561,80.41588607
1019000000,4.5827789,80.3514528
1020000000,4.7538657,80.28704381
1021000000,4.4246516,80.22266396
1022000000,4.7033086,80.15831326
1023000000,4.4408798,80.09403056
1024000000,4.5266047,80.02974299
1025000000,4.0043664,79.96551372
1026000000,4.7474885,79.90129415
1027000000,4.3783102,79.83714745
1028000000,4.0171151,79.77299102
1029000000,3.8289545,79.70887346
1030000000,3.963026,79.64478503
1031000000,3.945735,79.58073547
1032000000,3.8633983,79.51670047
1033000000,3.8799591,79.45274804
1034000000,3.7045145,79.38879076
1035000000,3.7822771,79.3248529
1036000000,3.6607249,79.26098304
1037000000,3.7071996,79.19710833
1038000000,3.6850066,79.13329676
1039000000,3.4052873,79.06948032
1040000000,3.4963977,79.00569789
1041000000,3.2361975,78.94196889
1042000000,3.1806273,78.87827388
1043000000,3.2110236,78.81459831
1044000000,3.4749455,78.75096644
1045000000,3.2458055,78.68737344
1046000000,3.2117698,78.62378529
1047000000,3.0482192,78.56024085
1048000000,3.0689864,78.49670612
1049000000,3.0468674,78.43321511
1050000000,2.5909381,78.36973868
1051000000,2.9066746,78.30633024
1052000000,2.9215531,78.24293637
1053000000,2.7805941,78.1795765
1054000000,2.9114852,78.11625062
1055000000,2.7489347,78.05292961
1056000000,2.7023513,77.98965231
1057000000,2.4246302,77.92642844
1058000000,2.4889143,77.8631997
1059000000,2.3256958,77.79998554
1060000000,2.3699412,77.73686367
1061000000,2.3411214,77.67371265
1062000000,2.3206613,77.61063934
1063000000,2.2325792,77.54755147
1064000000,2.0893106,77.48452673
1065000000,2.1167724,77.42153114
1066000000,1.918353,77.35855983
1067000000,1.8804342,77.29559338
1068000000,2.0733268,77.23265607
1069000000,2.0785391,77.16979161
1070000000,1.6064997,77.10692716
1071000000,1.8820715,77.0441307
1072000000,1.6854055,76.98129539
1073000000,1.8226563,76.91852322
1074000000,1.6284783,76.85578991
1075000000,1.4802651,76.79306631
1076000000,1.3838102,76.73039128
1077000000,1.3413275,76.6677211
1078000000,1.3096402,76.60508493
1079000000,1.206181,76.54246818
1080000000,1.4353509,76.47994372
1081000000,1.3406115,76.41739983
1082000000,1.2579398,76.3548608
1083000000,1.2085596,76.29240919
1084000000,1.2229465,76.22995758
1085000000,1.0393897,76.16751569
1086000000,0.85241085,76.10511751
1087000000,1.0648769,76.04277276
1088000000,0.93111277,75.98038915
1089000000,0.81094897,75.91809297
1090000000,0.67482156,75.85582107
1091000000,0.47960448,75.79354432
1092000000,0.63205576,75.73132585
1093000000,0.60893297,75.66912681
1094000000,0.60448718,75.60697633
1095000000,0.48294955,75.54481615
1096000000,0.44253838,75.48268996
1097000000,0.32535854,75.42059292
1098000000,0.25459275,75.35853473
1099000000,0.18654451,75.29649111
1100000000,0.31673604,75.23444264
1101000000,0.25740966,75.17249616
1102000000,0.19242382,75.11053997
1103000000,0.081964701,75.04861778
1104000000,-0.15393975,74.98671502
1105000000,0.062619358,74.92481711
1106000000,-0.000259638,74.86300663
1107000000,0.1456359,74.80117672
1108000000,-0.29144526,74.73939053
1109000000,-0.13865899,74.67759948
1110000000,-0.22644383,74.61589099
1111000000,-0.32987455,74.55412423
1112000000,-0.28374043,74.49246917
1113000000,-0.15413499,74.43078983
1114000000,-0.48550609,74.36917849
1115000000,-0.40415597,74.30758658
1116000000,-0.72885257,74.24598495
1117000000,-0.64106053,74.1844416
1118000000,-0.58915758,74.12290797
1119000000,-0.74140382,74.06142777
1120000000,-0.73569238,73.99996214
1121000000,-0.78819746,73.93849651
1122000000,-0.67378336,73.87706002
1123000000,-0.88003457,73.81566239
1124000000,-0.88319236,73.75426961
1125000000,-1.097514,73.69293998
1126000000,-0.82361257,73.63159577
1127000000,-0.93530661,73.57031471
1128000000,-1.2053164,73.50906278
1129000000,-1.025463,73.44783029
1130000000,-1.2049241,73.38658323
1131000000,-1.3820492,73.32540902
1132000000,-1.0259644,73.26424938
1133000000,-1.1537611,73.20309945
1134000000,-1.3758147,73.14200295
1135000000,-1.3007542,73.08092103
1136000000,-1.550361,73.01984396
1137000000,-1.8052855,72.95879117
1138000000,-1.5491349,72.89779182
1139000000,-1.4248052,72.83678275
1140000000,-1.6194237,72.77583196
1141000000,-1.7031668,72.71484717
1142000000,-1.6373982,72.65396439
1143000000,-1.7698874,72.5930816
1144000000,-1.8863337,72.53221824
1145000000,-1.9177802,72.47135488
1146000000,-1.91576,72.41052551
1147000000,-1.8964908,72.34974958
1148000000,-2.2049892,72.28899308
1149000000,-2.0659657,72.22824628
1150000000,-2.2652972,72.16754806
1151000000,-2.1668291,72.10684013
1152000000,-1.9702041,72.04615162
1153000000,-1.9465641,71.98553111
1154000000,-2.1652865,71.9249106
1155000000,-2.2220881,71.86429981
1156000000,-2.0873263,71.80375215
1157000000,-2.3061159,71.74317536
1158000000,-2.3581634,71.68267627
1159000000,-2.3346002,71.62217719
1160000000,-2.5403452,71.56168296
1161000000,-2.5816832,71.50122759
1162000000,-2.839931,71.44081593
1163000000,-2.5738854,71.38039942
1164000000,-2.5780318,71.31998776
1165000000,-2.635308,71.25967325
1166000000,-2.7028203,71.19934902
1167000000,-2.8871484,71.13901021
1168000000,-2.7362208,71.07872484
1169000000,-2.8620846,71.01847832
1170000000,-2.8638618,70.95822695
1171000000,-2.7439823,70.89799985
1172000000,-3.1661749,70.83782619
1173000000,-2.9548111,70.77765739
1174000000,-2.9779837,70.71750315
1175000000,-3.3885963,70.65734892
1176000000,-3.4288521,70.59725297
1177000000,-3.2605908,70.53717159
1178000000,-3.0810137,70.47713392
1179000000,-3.187427,70.41711082
1180000000,-3.4929333,70.35710716
1181000000,-3.600352,70.29711806
1182000000,-3.449394,70.23714354
1183000000,-3.1794631,70.1771933
1184000000,-3.5405118,70.1173062
1185000000,-3.3489769,70.05741424
1186000000,-3.4553444,69.99752229
1187000000,-3.5926006,69.93767404
1188000000,-3.725198,69.87784037
1189000000,-3.6890168,69.81800184
1190000000,-3.7450376,69.75825074
1191000000,-4.0658307,69.69848993
1192000000,-4.0131936,69.63873882
1193000000,-3.8727715,69.57901201
1194000000,-3.9902513,69.51933376
1195000000,-3.7471089,69.45968466
1196000000,-3.8993597,69.40002098
1197000000,-4.1617222,69.34038159
1198000000,-4.0998964,69.28075191
1199000000,-3.8802941,69.22119509
1200000000,-4.1430411,69.16163341
1201000000,-4.2577386,69.10209116
1202000000,-4.2166524,69.04257806
1203000000,-4.2012744,68.98306009
1204000000,-4.4137287,68.92360041
1205000000,-4.3003435,68.86417473
1206000000,-4.2988491,68.80471505
1207000000,-4.2884693,68.7453088
1208000000,-4.3859801,68.68591226
1209000000,-4.3110566,68.62654972
1210000000,-4.5834317,68.56718232
1211000000,-4.3496437,68.50788778
1212000000,-4.5328188,68.44857866
1213000000,-4.6271458,68.38926955
1214000000,-4.5584326,68.33001387
1215000000,-4.5759249,68.27077275
1216000000,-4.485981,68.21157049
1217000000,-4.708159,68.15235366
1218000000,-4.6352296,68.09320969
1219000000,-4.6625566,68.03401229
1220000000,-4.7209587,67.97490231
1221000000,-4.8334632,67.91580205
1222000000,-5.0422153,67.85669208
1223000000,-4.9668789,67.79762096
1224000000,-4.8688993,67.73857413
1225000000,-5.2679853,67.67953701
1226000000,-5.0132599,67.62052417
1227000000,-5.2844768,67.56152591
1228000000,-4.8706222,67.5025665
1229000000,-5.0606785,67.44365081
1230000000,-5.3472962,67.38468169
1231000000,-5.2309194,67.32578056
1232000000,-5.1671696,67.26689401
1233000000,-5.1214209,67.20805117
1234000000,-5.3164845,67.14915976
1235000000,-5.5306897,67.09034121
1236000000,-5.2969022,67.03153723
1237000000,-5.4559584,66.97275753
1238000000,-5.3596268,66.91401669
1239000000,-5.4421182,66.85523213
1240000000,-5.4444866,66.79650586
1241000000,-5.1844163,66.73779417
1242000000,-5.6190586,66.67912618
1243000000,-5.4601951,66.62049705
1244000000,-5.7242832,66.56183392
1245000000,-5.573071,66.50319993
1246000000,-5.9718986,66.44458052
1247000000,-5.6032133,66.38599025
1248000000,-5.7563052,66.32739512
1249000000,-5.738091,66.2688777
1250000000,-5.6932602,66.21034571
1251000000,-6.1033449,66.15185258
1252000000,-5.9906306,66.0933303
1253000000,-5.9355655,66.03489059
1254000000,-5.9938669,65.97641689
1255000000,-6.0686421,65.91801118
1256000000,-6.0299726,65.85956662
1257000000,-6.1957011,65.80121434
1258000000,-6.2941737,65.74283292
1259000000,-6.2584271,65.68444664
1260000000,-6.0740767,65.6261235
1261000000,-6.3875709,65.56781008
1262000000,-6.2515421,65.5094918
1263000000,-6.1411467,65.45125123
1264000000,-6.2882061,65.39296695
1265000000,-6.500423,65.3347361
1266000000,-6.5248675,65.27653924
1267000000,-6.379436,65.21832296
1268000000,-6.5389962,65.16015039
1269000000,-6.365943,65.10199725
1270000000,-6.5066361,65.04382468
1271000000,-6.5853601,64.98570554
1272000000,-6.8867168,64.92758154
1273000000,-6.8352218,64.8694964
1274000000,-6.6357374,64.81141125
1275000000,-6.8832612,64.7533844
1276000000,-7.153791,64.69534782
1277000000,-6.9988837,64.63730639
1278000000,-6.5991802,64.57934753
1279000000,-6.7341256,64.52134982
1280000000,-6.9917674,64.46341524
1281000000,-6.8494763,64.40542724
1282000000,-6.9085402,64.34750723
1283000000,-7.0216556,64.28962123
1284000000,-6.8983054,64.2317158
1285000000,-7.0304976,64.17382979
1286000000,-7.1040831,64.11600207
1287000000,-7.0468793,64.05817435
1288000000,-6.8173008,64.00036606
1289000000,-7.1579237,63.94255777
1290000000,-7.389967,63.88478833
1291000000,-7.1086507,63.82699946
1292000000,-7.1593871,63.76927374
1293000000,-7.0615149,63.71153345
1294000000,-7.3688068,63.65384658
1295000000,-7.2883983,63.59613543
1296000000,-7.383379,63.53846799
1297000000,-7.3973494,63.48083455
1298000000,-7.3661294,63.42318168
1299000000,-7.3643355,63.36552396
1300000000,-7.3985376,63.30794394
1301000000,-7.6007967,63.25035907
1302000000,-7.6168351,63.1927742
1303000000,-7.6507416,63.13525733
1304000000,-7.6747217,63.07772103
1305000000,-7.592196,63.02021388
1306000000,-7.5006809,62.96269701
1307000000,-7.6043811,62.90524813
1308000000,-7.6599846,62.84775555
1309000000,-7.9690185,62.79031153
1310000000,-7.6795721,62.73284323
1311000000,-7.8100557,62.67542836
1312000000,-7.7316976,62.61801348
1313000000,-7.9426684,62.56068118
1314000000,-7.9805222,62.5033003
1315000000,-8.0286655,62.44598257
1316000000,-7.916379,62.38864055
1317000000,-7.8839831,62.33134225
1318000000,-7.9154158,62.27402937
1319000000,-7.8244281,62.21678935
1320000000,-7.9373312,62.15946676
1321000000,-7.9577265,62.10222674
1322000000,-8.0183916,62.04500129
1323000000,-8.0050764,61.98779041
1324000000,-8.0870962,61.9306621
1325000000,-7.9548945,61.87344636
1326000000,-7.9895592,61.81628406
