Freq,S21sim,S21mea
1.187,-12.48848525,-14.356986
1.188,-12.47722743,-14.394553
1.189,-12.46600301,-14.347015
1.19,-12.45481193,-14.340238
1.191,-12.44365415,-14.343342
1.192,-12.4325296,-14.32965
1.193,-12.42143824,-14.313207
1.194,-12.41038,-14.3097
1.195,-12.39935484,-14.294608
1.196,-12.3883627,-14.293362
1.197,-12.37740353,-14.29404
1.198,-12.36647726,-14.246609
1.199,-12.35558386,-14.240878
1.2,-12.34472325,-14.239434
1.201,-12.33389539,-14.237553
1.202,-12.32310022,-14.211171
1.203,-12.31233769,-14.207005
1.204,-12.30160773,-14.179185
1.205,-12.2909103,-14.19201
1.206,-12.28024534,-14.188136
1.207,-12.26961279,-14.161561
1.208,-12.2590126,-14.170454
1.209,-12.24844471,-14.137892
1.21,-12.23790906,-14.127064
1.211,-12.2274056,-14.122097
1.212,-12.21693427,-14.11518
1.213,-12.20649502,-14.104981
1.214,-12.19608778,-14.13413
1.215,-12.18571251,-14.117375
1.216,-12.17536914,-14.091513
1.217,-12.16505762,-14.090327
1.218,-12.15477788,-14.05824
1.219,-12.14452988,-14.048788
1.22,-12.13431356,-14.061057
1.221,-12.12412885,-14.027802
1.222,-12.1139757,-14.03922
1.223,-12.10385405,-14.000708
1.224,-12.09376385,-14.00956
1.225,-12.08370504,-14.01303
1.226,-12.07367755,-13.965242
1.227,-12.06368134,-14.014206
1.228,-12.05371633,-13.980231
1.229,-12.04378248,-13.991682
1.23,-12.03387972,-13.977131
1.231,-12.024008,-13.949689
1.232,-12.01416726,-13.941223
1.233,-12.00435744,-13.931001
1.234,-11.99457847,-13.944972
1.235,-11.98483031,-13.926539
1.236,-11.97511289,-13.893615
1.237,-11.96542615,-13.895207
1.238,-11.95577003,-13.86509
1.239,-11.94614448,-13.900079
1.24,-11.93654943,-13.894905
1.241,-11.92698483,-13.881976
1.242,-11.91745061,-13.841341
1.243,-11.90794671,-13.846395
1.244,-11.89847308,-13.835085
1.245,-11.88902965,-13.809286
1.246,-11.87961637,-13.795586
1.247,-11.87023318,-13.844082
1.248,-11.86088001,-13.794802
1.249,-11.8515568,-13.780765
1.25,-11.84226349,-13.799931
1.251,-11.83300003,-13.788203
1.252,-11.82376635,-13.754176
1.253,-11.8145624,-13.753221
1.254,-11.8053881,-13.74446
1.255,-11.7962434,-13.777308
1.256,-11.78712825,-13.733826
1.257,-11.77804257,-13.742624
1.258,-11.76898631,-13.75244
1.259,-11.7599594,-13.686241
1.26,-11.75096179,-13.704492
1.261,-11.74199341,-13.71525
1.262,-11.7330542,-13.666855
1.263,-11.7241441,-13.682076
1.264,-11.71526305,-13.692727
1.265,-11.70641099,-13.642929
1.266,-11.69758785,-13.658851
1.267,-11.68879358,-13.673338
1.268,-11.68002811,-13.656242
1.269,-11.67129137,-13.629751
1.27,-11.66258332,-13.61038
1.271,-11.65390388,-13.602821
1.272,-11.64525299,-13.649929
1.273,-11.63663059,-13.614182
1.274,-11.62803663,-13.585942
1.275,-11.61947102,-13.580172
1.276,-11.61093373,-13.595178
1.277,-11.60242467,-13.59822
1.278,-11.5939438,-13.568768
1.279,-11.58549104,-13.538497
1.28,-11.57706633,-13.542443
1.281,-11.56866961,-13.56341
1.282,-11.56030083,-13.506834
1.283,-11.55195991,-13.526356
1.284,-11.54364679,-13.525318
1.285,-11.53536141,-13.54048
1.286,-11.52710371,-13.529133
1.287,-11.51887362,-13.521846
1.288,-11.51067108,-13.47384
1.289,-11.50249603,-13.49206
1.29,-11.49434841,-13.494569
1.291,-11.48622815,-13.471014
1.292,-11.47813518,-13.462982
1.293,-11.47006945,-13.421238
1.294,-11.46203089,-13.435986
1.295,-11.45401944,-13.418966
1.296,-11.44603503,-13.394904
1.297,-11.4380776,-13.388336
1.298,-11.43014709,-13.3821
1.299,-11.42224344,-13.404503
1.3,-11.41436657,-13.386055
1.301,-11.40651644,-13.372147
1.302,-11.39869296,-13.39071
1.303,-11.39089609,-13.373454
1.304,-11.38312575,-13.321137
1.305,-11.37538188,-13.366225
1.306,-11.36766442,-13.295192
1.307,-11.3599733,-13.307483
1.308,-11.35230847,-13.344374
1.309,-11.34466985,-13.344284
1.31,-11.33705738,-13.287576
1.311,-11.32947101,-13.308559
1.312,-11.32191065,-13.263563
1.313,-11.31437626,-13.285396
1.314,-11.30686777,-13.273023
1.315,-11.2993851,-13.282136
1.316,-11.29192821,-13.242387
1.317,-11.28449702,-13.244028
1.318,-11.27709147,-13.257827
1.319,-11.2697115,-13.213449
1.32,-11.26235704,-13.205242
1.321,-11.25502802,-13.221771
1.322,-11.24772439,-13.194923
1.323,-11.24044609,-13.209203
1.324,-11.23319303,-13.20498
1.325,-11.22596517,-13.206952
1.326,-11.21876243,-13.193441
1.327,-11.21158476,-13.221312
1.328,-11.20443209,-13.161434
1.329,-11.19730435,-13.180181
1.33,-11.19020148,-13.13192
1.331,-11.18312341,-13.174626
1.332,-11.17607009,-13.137479
1.333,-11.16904145,-13.103801
1.334,-11.16203741,-13.127351
1.335,-11.15505793,-13.121517
1.336,-11.14810293,-13.101644
1.337,-11.14117235,-13.111497
1.338,-11.13426613,-13.12184
1.339,-11.1273842,-13.131766
1.34,-11.12052649,-13.073767
1.341,-11.11369295,-13.046668
1.342,-11.10688351,-13.068566
1.343,-11.1000981,-13.073094
1.344,-11.09333666,-13.044683
1.345,-11.08659913,-13.066929
1.346,-11.07988544,-13.085034
1.347,-11.07319553,-13.003132
1.348,-11.06652933,-13.033208
1.349,-11.05988678,-12.992887
1.35,-11.05326782,-13.019979
1.351,-11.04667237,-13.028064
1.352,-11.04010038,-13.004232
1.353,-11.03355179,-12.987411
1.354,-11.02702652,-12.994284
1.355,-11.02052452,-12.970847
1.356,-11.01404572,-12.943243
1.357,-11.00759005,-12.960463
1.358,-11.00115745,-12.961457
1.359,-10.99474787,-12.930024
1.36,-10.98836122,-12.928436
1.361,-10.98199746,-12.910745
1.362,-10.97565651,-12.937286
1.363,-10.96933831,-12.926603
1.364,-10.9630428,-12.914127
1.365,-10.95676992,-12.914588
1.366,-10.95051959,-12.897263
1.367,-10.94429176,-12.894677
1.368,-10.93808637,-12.912519
1.369,-10.93190334,-12.848451
1.37,-10.92574262,-12.858192
1.371,-10.91960414,-12.856847
1.372,-10.91348783,-12.848333
1.373,-10.90739364,-12.840851
1.374,-10.9013215,-12.867373
1.375,-10.89527134,-12.856204
1.376,-10.88924311,-12.83079
1.377,-10.88323674,-12.825214
1.378,-10.87725216,-12.804611
1.379,-10.87128932,-12.829979
1.38,-10.86534814,-12.808823
1.381,-10.85942857,-12.802026
1.382,-10.85353054,-12.805947
1.383,-10.84765399,-12.810671
1.384,-10.84179886,-12.806275
1.385,-10.83596508,-12.714174
1.386,-10.83015259,-12.735157
1.387,-10.82436132,-12.791485
1.388,-10.81859122,-12.730292
1.389,-10.81284221,-12.784221
1.39,-10.80711425,-12.744818
1.391,-10.80140726,-12.757669
1.392,-10.79572117,-12.732408
1.393,-10.79005594,-12.724236
1.394,-10.78441149,-12.719567
1.395,-10.77878777,-12.744564
1.396,-10.7731847,-12.720342
1.397,-10.76760223,-12.705515
1.398,-10.7620403,-12.688519
1.399,-10.75649884,-12.677813
1.4,-10.75097779,-12.667224
1.401,-10.74547708,-12.684587
1.402,-10.73999666,-12.692579
1.403,-10.73453647,-12.6841
1.404,-10.72909643,-12.647708
1.405,-10.72367649,-12.639695
1.406,-10.71827659,-12.68032
1.407,-10.71289666,-12.618698
1.408,-10.70753664,-12.669175
1.409,-10.70219648,-12.623483
1.41,-10.6968761,-12.640053
1.411,-10.69157544,-12.619485
1.412,-10.68629445,-12.653515
1.413,-10.68103307,-12.630258
1.414,-10.67579122,-12.586703
1.415,-10.67056885,-12.60177
1.416,-10.6653659,-12.558426
1.417,-10.66018231,-12.575843
1.418,-10.65501801,-12.574799
1.419,-10.64987295,-12.598177
1.42,-10.64474706,-12.563651
1.421,-10.63964028,-12.539814
1.422,-10.63455255,-12.575099
1.423,-10.6294838,-12.57087
1.424,-10.62443399,-12.586529
1.425,-10.61940304,-12.534401
1.426,-10.6143909,-12.569171
1.427,-10.60939751,-12.553079
1.428,-10.6044228,-12.544131
1.429,-10.59946671,-12.521433
1.43,-10.59452919,-12.546459
1.431,-10.58961017,-12.514312
1.432,-10.58470959,-12.504657
1.433,-10.5798274,-12.467144
1.434,-10.57496353,-12.497381
1.435,-10.57011792,-12.487679
1.436,-10.56529051,-12.49875
1.437,-10.56048124,-12.485515
1.438,-10.55569006,-12.504348
1.439,-10.5509169,-12.47964
1.44,-10.5461617,-12.502374
1.441,-10.5414244,-12.499164
1.442,-10.53670495,-12.459333
1.443,-10.53200328,-12.467186
1.444,-10.52731933,-12.446157
1.445,-10.52265305,-12.447592
1.446,-10.51800438,-12.469364
1.447,-10.51337325,-12.475064
1.448,-10.50875961,-12.448708
1.449,-10.50416339,-12.447046
1.45,-10.49958455,-12.445866
1.451,-10.49502301,-12.444674
1.452,-10.49047873,-12.444959
1.453,-10.48595164,-12.41398
1.454,-10.48144169,-12.443661
1.455,-10.47694881,-12.411082
1.456,-10.47247295,-12.409166
1.457,-10.46801405,-12.389933
1.458,-10.46357205,-12.429877
1.459,-10.45914689,-12.42961
1.46,-10.45473851,-12.367043
1.461,-10.45034687,-12.39757
1.462,-10.44597189,-12.408884
1.463,-10.44161352,-12.381008
1.464,-10.43727171,-12.361596
1.465,-10.43294639,-12.379457
1.466,-10.42863751,-12.382463
1.467,-10.42434502,-12.332151
1.468,-10.42006884,-12.325423
1.469,-10.41580893,-12.379185
1.47,-10.41156524,-12.349731
1.471,-10.40733769,-12.344408
1.472,-10.40312624,-12.346656
1.473,-10.39893083,-12.3493
1.474,-10.3947514,-12.324093
1.475,-10.39058789,-12.358234
1.476,-10.38644025,-12.293547
1.477,-10.38230843,-12.351664
1.478,-10.37819236,-12.32405
1.479,-10.37409199,-12.308816
1.48,-10.37000726,-12.288002
1.481,-10.36593812,-12.29116
1.482,-10.36188452,-12.339586
1.483,-10.35784638,-12.285886
1.484,-10.35382367,-12.298028
1.485,-10.34981632,-12.286897
1.486,-10.34582428,-12.306819
1.487,-10.3418475,-12.24953
1.488,-10.33788591,-12.282139
1.489,-10.33393946,-12.286604
1.49,-10.3300081,-12.268932
1.491,-10.32609177,-12.280614
1.492,-10.32219042,-12.25025
1.493,-10.318304,-12.244586
1.494,-10.31443244,-12.247849
1.495,-10.31057569,-12.271158
1.496,-10.3067337,-12.231353
