Freq,S21sim,S21mea
1,-29.39032988,-31.301643
1.001,-29.4210121,-31.332808
1.002,-29.45169194,-31.212919
1.003,-29.48236942,-31.278296
1.004,-29.51304454,-31.497305
1.005,-29.54371733,-31.351234
1.006,-29.57438777,-31.625061
1.007,-29.60505588,-31.437616
1.008,-29.63572167,-31.483425
1.009,-29.66638515,-31.491283
1.01,-29.69704632,-31.606161
1.011,-29.72770519,-31.601315
1.012,-29.75836177,-31.609657
1.013,-29.78901607,-31.722557
1.014,-29.8196681,-31.637875
1.015,-29.85031786,-31.785969
1.016,-29.88096535,-31.790335
1.017,-29.9116106,-31.887991
1.018,-29.94225361,-31.892616
1.019,-29.97289437,-31.862726
1.02,-30.00353291,-31.929167
1.021,-30.03416923,-31.970865
1.022,-30.06480333,-32.005459
1.023,-30.09543523,-32.017334
1.024,-30.12606493,-32.05756
1.025,-30.15669244,-32.026237
1.026,-30.18731776,-31.896591
1.027,-30.21794091,-32.17934
1.028,-30.24856189,-32.032253
1.029,-30.2791807,-32.077461
1.03,-30.30979736,-32.121853
1.031,-30.34041188,-32.112034
1.032,-30.37102425,-32.333706
1.033,-30.40163449,-32.282272
1.034,-30.43224261,-32.266598
1.035,-30.4628486,-32.358715
1.036,-30.49345248,-32.305744
1.037,-30.52405426,-32.386684
1.038,-30.55465394,-32.288342
1.039,-30.58525153,-32.364174
1.04,-30.61584703,-32.417946
1.041,-30.64644046,-32.551357
1.042,-30.67703182,-32.587124
1.043,-30.70762111,-32.71983
1.044,-30.73820835,-32.647373
1.045,-30.76879353,-32.607021
1.046,-30.79937668,-32.502357
1.047,-30.82995778,-32.809956
1.048,-30.86053686,-32.78318
1.049,-30.89111391,-32.792652
1.05,-30.92168895,-32.724026
1.051,-30.95226197,-32.846191
1.052,-30.982833,-32.855019
1.053,-31.01340202,-32.771202
1.054,-31.04396906,-33.002369
1.055,-31.07453411,-32.908482
1.056,-31.10509719,-32.895641
1.057,-31.13565829,-33.096775
1.058,-31.16621743,-33.084145
1.059,-31.19677461,-32.988037
1.06,-31.22732984,-32.966015
1.061,-31.25788312,-32.94775
1.062,-31.28843446,-33.174461
1.063,-31.31898387,-33.259075
1.064,-31.34953136,-33.364178
1.065,-31.38007692,-33.36842
1.066,-31.41062057,-33.260372
1.067,-31.44116231,-33.292301
1.068,-31.47170214,-33.434952
1.069,-31.50224009,-33.183506
1.07,-31.53277614,-33.225204
1.071,-31.5633103,-33.397614
1.072,-31.59384259,-33.558239
1.073,-31.62437301,-33.573196
1.074,-31.65490156,-33.513973
1.075,-31.68542825,-33.452835
1.076,-31.71595309,-33.431618
1.077,-31.74647608,-33.313641
1.078,-31.77699722,-33.62957
1.079,-31.80751653,-33.741695
1.08,-31.83803401,-33.751526
1.081,-31.86854966,-33.655231
1.082,-31.8990635,-33.815453
1.083,-31.92957552,-33.501797
1.084,-31.96008573,-33.796829
1.085,-31.99059414,-34.035736
1.086,-32.02110076,-33.901787
1.087,-32.05160558,-33.863342
1.088,-32.08210862,-34.00354
1.089,-32.11260988,-33.888512
1.09,-32.14310936,-33.990761
1.091,-32.17360708,-33.988323
1.092,-32.20410303,-34.055477
1.093,-32.23459723,-33.905312
1.094,-32.26508967,-34.14278
1.095,-32.29558037,-33.838959
1.096,-32.32606933,-33.987309
1.097,-32.35655655,-34.16333
1.098,-32.38704204,-34.045681
1.099,-32.41752581,-34.339603
1.1,-32.44800785,-34.388187
1.101,-32.47848818,-34.398598
1.102,-32.50896681,-34.305481
1.103,-32.53944373,-34.267204
1.104,-32.56991895,-34.584389
1.105,-32.60039248,-34.386246
1.106,-32.63086432,-34.452251
1.107,-32.66133448,-34.513607
1.108,-32.69180296,-34.766014
1.109,-32.72226976,-34.548519
1.11,-32.7527349,-34.608723
1.111,-32.78319838,-34.659355
1.112,-32.8136602,-34.604443
1.113,-32.84412037,-34.524601
1.114,-32.8745789,-34.568508
1.115,-32.90503578,-34.789097
1.116,-32.93549102,-34.603622
1.117,-32.96594463,-34.652802
1.118,-32.99639662,-34.788761
1.119,-33.02684698,-34.858707
1.12,-33.05729573,-34.935802
1.121,-33.08774286,-34.912376
1.122,-33.11818839,-34.991753
1.123,-33.14863231,-34.862331
1.124,-33.17907464,-35.04842
1.125,-33.20951537,-35.110134
1.126,-33.23995452,-35.072102
1.127,-33.27039208,-35.044392
1.128,-33.30082807,-34.989548
1.129,-33.33126248,-35.178074
1.13,-33.36169532,-35.310879
1.131,-33.3921266,-35.206612
1.132,-33.42255631,-35.066113
