Freq [GHz],"Simul_dB(S(2,1)) []",Measure_S21 Log Mag(dB)
1.207,-0.020272141,0.046550442
1.208,-0.020288641,0.044650503
1.209,-0.02030509,0.056047395
1.21,-0.020321487,0.034584317
1.211,-0.020337833,0.055912264
1.212,-0.020354126,0.069866113
1.213,-0.020370368,0.071982458
1.214,-0.020386557,0.051534832
1.215,-0.020402695,0.040083136
1.216,-0.02041878,0.029909521
1.217,-0.020434814,0.048939876
1.218,-0.020450795,0.086096138
1.219,-0.020466724,0.066739976
1.22,-0.020482601,0.049112137
1.221,-0.020498426,0.057404131
1.222,-0.020514198,0.041381314
1.223,-0.020529918,0.05718236
1.224,-0.020545585,0.047779862
1.225,-0.0205612,0.035069119
1.226,-0.020576763,0.062490098
1.227,-0.020592272,0.0304805
1.228,-0.02060773,0.04533416
1.229,-0.020623134,0.034697376
1.23,-0.020638486,0.072607428
1.231,-0.020653785,0.043562185
1.232,-0.020669031,0.0644067
1.233,-0.020684224,0.010781378
1.234,-0.020699365,0.03120207
1.235,-0.020714452,0.044986684
1.236,-0.020729487,0.055866137
1.237,-0.020744468,0.024031894
1.238,-0.020759396,0.044516463
1.239,-0.020774271,0.025730116
1.24,-0.020789093,0.050171517
1.241,-0.020803862,0.033527952
1.242,-0.020818578,0.050789133
1.243,-0.02083324,0.049966142
1.244,-0.020847849,0.053496782
1.245,-0.020862404,0.064854756
1.246,-0.020876906,0.075751565
1.247,-0.020891355,0.023052726
1.248,-0.02090575,0.045621756
1.249,-0.020920092,0.052179359
1.25,-0.02093438,0.052429151
1.251,-0.020948614,0.039923731
1.252,-0.020962795,0.062605083
1.253,-0.020976922,0.06439843
1.254,-0.020990995,0.061050024
1.255,-0.021005014,0.046419021
1.256,-0.02101898,0.053983632
1.257,-0.021032891,0.060047559
1.258,-0.021046749,0.047378879
1.259,-0.021060553,0.055615358
1.26,-0.021074303,0.069340937
1.261,-0.021087999,0.030741224
1.262,-0.021101641,0.024623478
1.263,-0.021115228,0.03643674
1.264,-0.021128762,0.037585549
1.265,-0.021142242,0.038918696
1.266,-0.021155667,0.067021035
1.267,-0.021169038,0.057134956
1.268,-0.021182355,0.043121677
1.269,-0.021195617,0.052985828
1.27,-0.021208825,0.04823406
1.271,-0.021221979,0.052458279
1.272,-0.021235078,0.040353194
1.273,-0.021248123,0.047747809
1.274,-0.021261114,0.038562354
1.275,-0.02127405,0.046508372
1.276,-0.021286931,0.055864692
1.277,-0.021299758,0.019291459
1.278,-0.02131253,0.060175497
1.279,-0.021325248,0.071398474
1.28,-0.021337911,0.072230294
1.281,-0.021350519,0.063701056
1.282,-0.021363073,0.038466852
1.283,-0.021375572,0.065608613
1.284,-0.021388016,0.06055788
1.285,-0.021400405,0.006237311
1.286,-0.021412739,0.034880683
1.287,-0.021425019,0.022466889
1.288,-0.021437244,0.061854411
1.289,-0.021449413,0.031619754
1.29,-0.021461528,0.026722681
1.291,-0.021473588,0.064108878
1.292,-0.021485593,0.046133202
1.293,-0.021497542,0.044184733
1.294,-0.021509437,0.06456428
1.295,-0.021521277,0.031756852
1.296,-0.021533061,0.070603766
1.297,-0.021544791,0.067303501
1.298,-0.021556465,0.05544588
1.299,-0.021568084,0.05637145
1.3,-0.021579648,0.045317337
1.301,-0.021591156,0.060995687
1.302,-0.021602609,0.032913163
1.303,-0.021614007,0.048941251
1.304,-0.02162535,0.078537896
1.305,-0.021636638,0.028578946
1.306,-0.02164787,0.055658448
1.307,-0.021659046,0.057537418
1.308,-0.021670167,0.042615321
1.309,-0.021681233,0.030673668
1.31,-0.021692244,0.037360296
1.311,-0.021703199,0.047365446
1.312,-0.021714098,0.063625768
1.313,-0.021724942,0.029870419
1.314,-0.02173573,0.039049547
1.315,-0.021746463,0.053790055
1.316,-0.02175714,0.058846124
1.317,-0.021767762,0.050828647
1.318,-0.021778328,0.03304055
1.319,-0.021788839,0.063890159
1.32,-0.021799293,0.040800828
1.321,-0.021809693,0.031645607
1.322,-0.021820036,0.032392487
1.323,-0.021830324,0.033415563
1.324,-0.021840556,0.061723363
1.325,-0.021850732,0.029403102
1.326,-0.021860853,0.022430805
1.327,-0.021870918,0.040550854
1.328,-0.021880927,0.036112372
1.329,-0.02189088,0.025398789
1.33,-0.021900777,0.032722373
1.331,-0.021910619,0.025109392
1.332,-0.021920405,0.030673308
1.333,-0.021930135,0.050751299
1.334,-0.021939809,0.04743699
1.335,-0.021949427,0.042269059
1.336,-0.021958989,0.0516419
1.337,-0.021968496,0.016351864
1.338,-0.021977946,-0.000840889
1.339,-0.021987341,0.044200592
1.34,-0.021996679,0.047364634
1.341,-0.022005962,0.046141021
1.342,-0.022015188,0.023280377
1.343,-0.022024359,0.008890338
1.344,-0.022033474,0.046766222
1.345,-0.022042533,0.006946844
1.346,-0.022051535,0.025684401
1.347,-0.022060482,0.03842194
1.348,-0.022069372,0.034424536
1.349,-0.022078207,0.043970622
1.35,-0.022086986,0.048594266
1.351,-0.022095708,0.030915184
1.352,-0.022104374,0.050599799
1.353,-0.022112985,0.041731201
1.354,-0.022121539,0.017312093
1.355,-0.022130037,0.043947194
1.356,-0.022138479,0.043243732
1.357,-0.022146865,0.035479527
1.358,-0.022155195,0.029420139
1.359,-0.022163469,0.028366454
1.36,-0.022171686,0.041376326
1.361,-0.022179848,0.04293564
1.362,-0.022187953,0.031839419
1.363,-0.022196002,0.051355336
1.364,-0.022203995,0.021266261
1.365,-0.022211932,0.041402929
1.366,-0.022219813,0.054380529
1.367,-0.022227638,0.036268894
1.368,-0.022235406,0.046978403
1.369,-0.022243118,0.034114312
1.37,-0.022250775,0.026497036
1.371,-0.022258375,0.026718348
1.372,-0.022265918,0.031484485
1.373,-0.022273406,0.024712993
1.374,-0.022280837,0.002632409
1.375,-0.022288213,0.035818547
1.376,-0.022295532,0.020583464
1.377,-0.022302795,0.028139848
1.378,-0.022310002,0.039444607
1.379,-0.022317152,0.022875424
1.38,-0.022324247,0.042841747
1.381,-0.022331285,0.025735367
1.382,-0.022338267,0.044626541
1.383,-0.022345193,0.006147251
1.384,-0.022352063,0.033720627
1.385,-0.022358876,0.049313229
1.386,-0.022365634,0.043384358
1.387,-0.022372335,0.026091315
1.388,-0.02237898,0.030453287
1.389,-0.022385569,0.012541469
1.39,-0.022392102,0.02200068
1.391,-0.022398579,0.017818397
1.392,-0.022404999,0.042559441
1.393,-0.022411364,0.018856166
1.394,-0.022417672,-0.001482992
1.395,-0.022423924,0.019171126
1.396,-0.02243012,0.037855756
1.397,-0.02243626,0.014458005
1.398,-0.022442344,0.025235781
1.399,-0.022448371,0.037085369
1.4,-0.022454343,0.031556316
1.401,-0.022460259,0.033004303
1.402,-0.022466118,0.03615902
1.403,-0.022471921,0.032239586
1.404,-0.022477669,0.028952125
1.405,-0.02248336,0.023549257
1.406,-0.022488995,0.013647922
1.407,-0.022494574,0.041131862
1.408,-0.022500098,0.03317162
1.409,-0.022505565,0.015472295
1.41,-0.022510976,0.014744837
1.411,-0.022516331,0.023527371
1.412,-0.02252163,-0.000139064
1.413,-0.022526873,0.014298853
1.414,-0.02253206,0.027374554
1.415,-0.022537192,0.02545663
1.416,-0.022542267,0.067122571
1.417,-0.022547286,0.028294045
1.418,-0.02255225,0.044467669
1.419,-0.022557157,0.03387152
1.42,-0.022562009,0.056053698
1.421,-0.022566805,0.024864679
1.422,-0.022571545,0.020363891
1.423,-0.022576229,0.037333392
1.424,-0.022580857,0.031801112
1.425,-0.022585429,0.032069944
1.426,-0.022589946,0.014799058
1.427,-0.022594407,0.036798377
1.428,-0.022598812,-0.006979784
1.429,-0.022603161,0.04013529
1.43,-0.022607455,0.006655397
1.431,-0.022611692,0.042471837
1.432,-0.022615875,0.020025343
1.433,-0.022620001,0.051908813
1.434,-0.022624072,0.031398673
1.435,-0.022628087,0.062421951
1.436,-0.022632046,0.038854551
1.437,-0.02263595,0.013337303
1.438,-0.022639798,0.002344774
1.439,-0.022643591,0.036559328
1.44,-0.022647328,0.001717299
1.441,-0.02265101,0.027384365
1.442,-0.022654636,0.032658238
1.443,-0.022658206,0.025953101
1.444,-0.022661721,0.033565927
1.445,-0.022665181,0.03510021
1.446,-0.022668585,0.009627675
1.447,-0.022671934,0.01576999
1.448,-0.022675227,0.019876575
1.449,-0.022678465,0.028746678
1.45,-0.022681647,0.051346265
1.451,-0.022684775,0.020362286
1.452,-0.022687847,0.012378288
1.453,-0.022690863,0.028676713
1.454,-0.022693825,0.018704707
1.455,-0.022696731,0.020856304
1.456,-0.022699582,0.031002453
1.457,-0.022702378,0.028616026
1.458,-0.022705118,0.033486832
1.459,-0.022707804,0.026285471
1.46,-0.022710434,0.046267781
1.461,-0.02271301,0.014958903
1.462,-0.02271553,0.014138196
1.463,-0.022717995,0.019883215
1.464,-0.022720405,0.033259492
1.465,-0.02272276,0.047783583
1.466,-0.022725061,0.011466045
1.467,-0.022727306,0.04144391
1.468,-0.022729497,0.026759487
1.469,-0.022731632,0.010001784
1.47,-0.022733713,0.013602329
1.471,-0.022735739,0.013591416
1.472,-0.02273771,0.007335336
1.473,-0.022739626,0.004108119
1.474,-0.022741488,0.044939246
1.475,-0.022743295,-0.001067953
1.476,-0.022745047,0.041253354
1.477,-0.022746745,0.021064214
1.478,-0.022748388,0.019794345
1.479,-0.022749977,0.005787301
1.48,-0.022751511,0.024282569
1.481,-0.02275299,0.028668826
1.482,-0.022754415,0.01280832
1.483,-0.022755786,0.031005951
1.484,-0.022757102,0.012646534
1.485,-0.022758364,0.01635812
1.486,-0.022759572,0.009166996
1.487,-0.022760725,0.029790385
1.488,-0.022761824,0.049664292
1.489,-0.022762868,0.022819368
1.49,-0.022763859,0.014397805
1.491,-0.022764795,-0.000116045
1.492,-0.022765677,0.004000458
1.493,-0.022766505,0.039981995
1.494,-0.022767279,0.016240153
1.495,-0.022767999,0.019120982
1.496,-0.022768665,0.000821897
1.497,-0.022769277,0.023423286
1.498,-0.022769836,0.023033241
1.499,-0.02277034,0.034399476
1.5,-0.02277079,0.017542679
1.501,-0.022771187,0.015475675
1.502,-0.02277153,0.030595878
1.503,-0.022771819,0.021787774
1.504,-0.022772054,0.02347341
1.505,-0.022772236,0.011760226
1.506,-0.022772364,0.008462583
1.507,-0.022772439,0.035098284
1.508,-0.02277246,0.016780727
1.509,-0.022772428,0.019583805
1.51,-0.022772342,0.039704151
1.511,-0.022772203,0.032681078
1.512,-0.02277201,0.019871054
1.513,-0.022771764,0.033083577
1.514,-0.022771465,0.024987396
1.515,-0.022771112,0.051936802
1.516,-0.022770707,0.019012323
1.517,-0.022770248,0.023901043
1.518,-0.022769736,0.021381784
1.519,-0.022769171,0.03234094
1.52,-0.022768553,0.022263788
1.521,-0.022767882,0.048292384
1.522,-0.022767158,0.026870131
1.523,-0.022766381,0.030590173
1.524,-0.022765552,0.049851775
1.525,-0.022764669,0.013988078
1.526,-0.022763734,0.020118007
1.527,-0.022762746,0.028643398
1.528,-0.022761706,0.019561779
1.529,-0.022760612,0.002529983
1.53,-0.022759467,0.033814009
1.531,-0.022758268,0.006296054
1.532,-0.022757018,0.034191657
1.533,-0.022755714,0.033711977
1.534,-0.022754359,0.041652471
1.535,-0.022752951,0.027840288
1.536,-0.022751491,0.032710038
1.537,-0.022749978,0.027355468
1.538,-0.022748413,0.010132234
1.539,-0.022746797,0.025446348
1.54,-0.022745128,0.005950343
1.541,-0.022743407,0.020809418
1.542,-0.022741634,0.022124428
1.543,-0.022739809,0.016765928
1.544,-0.022737932,0.013567682
1.545,-0.022736004,0.00955114
1.546,-0.022734023,0.040777385
1.547,-0.022731991,0.035565976
1.548,-0.022729907,0.0100879
1.549,-0.022727772,0.024094872
1.55,-0.022725585,0.03554599
1.551,-0.022723346,0.035737097
1.552,-0.022721056,0.031299181
1.553,-0.022718714,0.026332373
1.554,-0.022716322,0.03427444
1.555,-0.022713877,0.019195605
1.556,-0.022711382,0.016105484
1.557,-0.022708835,0.024308672
1.558,-0.022706237,0.016241619
1.559,-0.022703588,0.023343084
1.56,-0.022700888,0.022002321
1.561,-0.022698138,-0.002840764
1.562,-0.022695336,0.024465291
1.563,-0.022692483,0.018654304
1.564,-0.022689579,-0.00059925
1.565,-0.022686625,0.011549339
1.566,-0.02268362,-0.01659706
1.567,-0.022680564,0.00920888
1.568,-0.022677458,0.045335919
1.569,-0.022674301,0.062462203
1.57,-0.022671093,0.01352986
1.571,-0.022667836,0.015834229
1.572,-0.022664527,0.020400392
1.573,-0.022661169,0.058741167
1.574,-0.02265776,0.011397559
1.575,-0.022654301,0.002885672
1.576,-0.022650792,0.025181158
1.577,-0.022647233,0.002113637
1.578,-0.022643624,0.000989808
1.579,-0.022639965,0.026598239
1.58,-0.022636256,0.017187968
1.581,-0.022632497,0.004325926
1.582,-0.022628688,0.024408842
1.583,-0.02262483,-0.02291074
1.584,-0.022620922,0.008947544
1.585,-0.022616965,0.015705481
1.586,-0.022612958,0.002494873
1.587,-0.022608901,1.36E-06
1.588,-0.022604795,0.032415319
1.589,-0.02260064,0.026805021
1.59,-0.022596436,0.003410074
1.591,-0.022592182,0.050089393
1.592,-0.022587879,0.024354825
1.593,-0.022583527,0.013366656
1.594,-0.022579126,0.000761781
1.595,-0.022574676,0.01778725
1.596,-0.022570177,0.010469908
1.597,-0.02256563,0.002330165
1.598,-0.022561033,0.023535205
1.599,-0.022556388,0.030718185
1.6,-0.022551694,0.014346068
1.601,-0.022546952,0.010089584
1.602,-0.022542161,0.007357115
1.603,-0.022537322,-0.001875527
1.604,-0.022532435,0.01812271
1.605,-0.022527499,-0.001678387
1.606,-0.022522515,0.019331474
1.607,-0.022517482,0.014220449
1.608,-0.022512402,0.005210639
1.609,-0.022507274,0.028456446
1.61,-0.022502097,0.019425739
1.611,-0.022496873,0.025477875
1.612,-0.022491601,0.00492425
1.613,-0.022486281,0.000140058
1.614,-0.022480914,0.014011681
1.615,-0.022475499,0.016677558
1.616,-0.022470036,0.004411436
1.617,-0.022464526,0.003116081
1.618,-0.022458969,0.023901129
1.619,-0.022453364,0.004197079
1.62,-0.022447712,-0.007093672
1.621,-0.022442013,0.030567206
1.622,-0.022436266,0.009706558
1.623,-0.022430473,0.027024493
1.624,-0.022424632,0.011688288
1.625,-0.022418745,0.027616158
1.626,-0.022412811,-0.002328524
1.627,-0.02240683,0.046025805
1.628,-0.022400803,0.040042676
1.629,-0.022394728,0.039365694
1.63,-0.022388608,0.0306719
1.631,-0.022382441,-0.006415379
1.632,-0.022376227,-0.007432804
1.633,-0.022369967,0.026042705
1.634,-0.022363661,0.015492691
1.635,-0.022357309,-0.001275633
1.636,-0.02235091,0.020630024
1.637,-0.022344466,-0.015337332
1.638,-0.022337976,0.04402614
1.639,-0.02233144,0.007392343
1.64,-0.022324858,-0.004113783
1.641,-0.02231823,0.016777677
1.642,-0.022311557,0.01255407
1.643,-0.022304838,0.007615205
1.644,-0.022298073,0.032678694
1.645,-0.022291264,-0.004294544
1.646,-0.022284409,0.002622303
1.647,-0.022277508,0.02744103
1.648,-0.022270563,0.001815289
1.649,-0.022263572,0.004698713
1.65,-0.022256537,-3.22E-05
1.651,-0.022249456,0.028915146
1.652,-0.022242331,0.016228881
1.653,-0.02223516,0.023791598
1.654,-0.022227945,0.014863056
1.655,-0.022220686,0.037688423
1.656,-0.022213382,-0.022778803
1.657,-0.022206033,0.013047254
1.658,-0.02219864,-0.012832536
1.659,-0.022191203,-0.006793816
1.66,-0.022183722,0.004748201
1.661,-0.022176196,-0.011326999
1.662,-0.022168626,0.000893958
1.663,-0.022161013,0.024345774
1.664,-0.022153355,-0.002234435
1.665,-0.022145654,0.005195033
1.666,-0.022137909,-0.007400958
1.667,-0.02213012,0.008424649
1.668,-0.022122288,0.034532588
1.669,-0.022114412,0.028510729
1.67,-0.022106493,0.009268467
1.671,-0.022098531,0.015994973
1.672,-0.022090525,0.028188562
1.673,-0.022082476,-0.009063911
1.674,-0.022074384,-0.003012422
1.675,-0.022066249,0.02164818
1.676,-0.022058071,0.020186605
1.677,-0.022049851,0.020470001
1.678,-0.022041587,0.011285056
1.679,-0.022033281,0.02470322
1.68,-0.022024933,0.00438922
1.681,-0.022016541,0.005598054
1.682,-0.022008108,-0.000842161
1.683,-0.021999632,0.027203396
1.684,-0.021991114,-0.002067962
1.685,-0.021982554,0.015657209
1.686,-0.021973952,0.000978683
1.687,-0.021965308,0.020566966
1.688,-0.021956622,0.025423639
1.689,-0.021947894,-0.000178915
1.69,-0.021939125,-0.003025384
1.691,-0.021930314,0.002819191
1.692,-0.021921461,0.007455675
1.693,-0.021912567,0.005886509
1.694,-0.021903631,-0.005882601
1.695,-0.021894655,0.040567145
1.696,-0.021885637,-0.016472479
1.697,-0.021876578,0.011319121
1.698,-0.021867478,-0.002159075
1.699,-0.021858337,-0.004990731
1.7,-0.021849156,0.014796269
1.701,-0.021839933,0.009952183
1.702,-0.021830671,0.011314878
1.703,-0.021821367,0.005610331
1.704,-0.021812023,0.004599733
1.705,-0.021802639,0.00848282
1.706,-0.021793214,0.033055861
1.707,-0.021783749,0.002806169
1.708,-0.021774245,0.015134243
1.709,-0.0217647,0.017436191
1.71,-0.021755115,0.014270602
1.711,-0.02174549,0.001433199
1.712,-0.021735826,-0.010033557
1.713,-0.021726122,-0.005952423
1.714,-0.021716379,0.009522826
1.715,-0.021706596,0.010729184
1.716,-0.021696773,0.029011831
1.717,-0.021686912,-0.008488147
1.718,-0.021677011,0.001479233
1.719,-0.021667071,0.013290752
1.72,-0.021657093,0.007390986
1.721,-0.021647075,0.007170065
1.722,-0.021637019,-0.005184752
1.723,-0.021626923,-0.005499114
1.724,-0.02161679,0.000491633
1.725,-0.021606617,0.002631906
1.726,-0.021596407,-0.006730036
1.727,-0.021586158,0.015502454
1.728,-0.021575871,0.020762039
1.729,-0.021565545,0.004718356
1.73,-0.021555182,0.016881054
1.731,-0.021544781,0.015047811
1.732,-0.021534342,0.007452175
1.733,-0.021523865,0.004476655
1.734,-0.02151335,-0.001042497
1.735,-0.021502798,-0.011588785
1.736,-0.021492208,-0.005853169
1.737,-0.021481582,0.003295917
1.738,-0.021470917,0.011913529
1.739,-0.021460216,0.052845098
1.74,-0.021449478,0.020056427
1.741,-0.021438702,0.019371664
1.742,-0.02142789,0.038904823
1.743,-0.021417041,0.02361466
1.744,-0.021406155,-0.00401776
1.745,-0.021395233,0.021829603
1.746,-0.021384274,-0.021858752
1.747,-0.021373279,0.018073073
1.748,-0.021362248,0.002230222
1.749,-0.02135118,0.012135298
1.75,-0.021340077,0.022422928
1.751,-0.021328937,0.023306059
1.752,-0.021317761,0.015890999
1.753,-0.02130655,0.00165422
1.754,-0.021295303,0.009263055
1.755,-0.02128402,-0.011826448
1.756,-0.021272702,0.022064578
1.757,-0.021261349,-0.003333439
1.758,-0.02124996,-0.008100499
1.759,-0.021238536,0.034089491
1.76,-0.021227077,0.024071654
1.761,-0.021215583,0.010323104
1.762,-0.021204054,0.008004359
1.763,-0.021192491,0.005488345
1.764,-0.021180892,0.029228706
1.765,-0.021169259,0.013007228
1.766,-0.021157592,0.011011694
1.767,-0.02114589,0.01350088
1.768,-0.021134154,0.006956336
1.769,-0.021122384,0.010774044
1.77,-0.02111058,0.008680448
1.771,-0.021098742,0.011754971
1.772,-0.02108687,0.012564072
1.773,-0.021074964,0.039084375
1.774,-0.021063024,0.037091296
1.775,-0.021051051,0.017295823
1.776,-0.021039045,0.006512586
1.777,-0.021027005,0.002877625
1.778,-0.021014932,-0.015535321
1.779,-0.021002826,0.01874584
1.78,-0.020990687,0.014796467
1.781,-0.020978515,-0.003438616
1.782,-0.02096631,0.035755742
1.783,-0.020954072,0.010722058
1.784,-0.020941802,-0.002732617
1.785,-0.0209295,0.007966309
1.786,-0.020917164,0.018330459
1.787,-0.020904797,0.044645131
1.788,-0.020892397,0.008953366
1.789,-0.020879966,-0.016201565
1.79,-0.020867502,0.025623038
1.791,-0.020855007,0.009868145
1.792,-0.020842479,0.003162803
1.793,-0.020829921,0.003316549
1.794,-0.02081733,0.012431037
1.795,-0.020804708,-0.012009707
1.796,-0.020792055,0.01748783
1.797,-0.02077937,-0.011720734
1.798,-0.020766655,0.004489302
1.799,-0.020753908,0.012717141
1.8,-0.020741131,0.021673638
1.801,-0.020728323,0.010875765
1.802,-0.020715484,0.020785045
1.803,-0.020702614,0.033198856
1.804,-0.020689714,0.011623423
1.805,-0.020676784,0.013747856
1.806,-0.020663823,0.024045443
1.807,-0.020650832,0.006202392
1.808,-0.020637811,0.008087947
1.809,-0.02062476,0.036924507
1.81,-0.02061168,-0.013849138
1.811,-0.020598569,0.013749271
