Freq,S11_HFSS,S22_HFSS,S33_HFSS,S11_Milled,S22_Milled,S33_Milled
1.065,-12.8865726,-13.07923176,-13.10161386,-14.650734,-16.183399,-16.685152
1.066,-12.89101166,-13.08526302,-13.10754079,-14.634023,-16.287069,-16.778624
1.067,-12.89544889,-13.09129609,-13.11346935,-14.680746,-16.240078,-16.731598
1.068,-12.89988428,-13.09733096,-13.11939954,-14.64434,-16.221899,-16.678078
1.069,-12.90431785,-13.1033676,-13.12533133,-14.612847,-16.286222,-16.753248
1.07,-12.90874957,-13.10940601,-13.13126471,-14.68426,-16.247421,-16.738287
1.071,-12.91317946,-13.11544615,-13.13719966,-14.716465,-16.264429,-16.719131
1.072,-12.91760751,-13.12148803,-13.14313618,-14.67216,-16.231411,-16.706087
1.073,-12.92203372,-13.12753162,-13.14907424,-14.708735,-16.278658,-16.746967
1.074,-12.92645809,-13.13357691,-13.15501382,-14.691785,-16.302349,-16.787573
1.075,-12.93088061,-13.13962387,-13.16095492,-14.732418,-16.289974,-16.758755
1.076,-12.93530129,-13.1456725,-13.16689752,-14.775084,-16.319975,-16.808714
1.077,-12.93972012,-13.15172277,-13.1728416,-14.740139,-16.323294,-16.791761
1.078,-12.94413711,-13.15777467,-13.17878714,-14.749069,-16.26742,-16.744028
1.079,-12.94855224,-13.16382819,-13.18473414,-14.754567,-16.302916,-16.790409
1.08,-12.95296553,-13.1698833,-13.19068256,-14.740864,-16.301748,-16.787659
1.081,-12.95737696,-13.17594,-13.19663241,-14.719471,-16.267216,-16.759565
1.082,-12.96178654,-13.18199826,-13.20258366,-14.768456,-16.341064,-16.821522
1.083,-12.96619427,-13.18805807,-13.2085363,-14.7766,-16.341339,-16.832689
1.084,-12.97060015,-13.19411941,-13.21449031,-14.708719,-16.308666,-16.808678
1.085,-12.97500416,-13.20018226,-13.22044568,-14.759569,-16.354637,-16.865126
1.086,-12.97940633,-13.20624662,-13.22640239,-14.823761,-16.315817,-16.814049
1.087,-12.98380663,-13.21231245,-13.23236042,-14.781899,-16.352615,-16.868202
1.088,-12.98820508,-13.21837975,-13.23831976,-14.770027,-16.366478,-16.874109
1.089,-12.99260167,-13.2244485,-13.24428039,-14.812264,-16.333027,-16.834057
1.09,-12.9969964,-13.23051869,-13.25024231,-14.825729,-16.392113,-16.912912
1.091,-13.00138927,-13.23659029,-13.25620548,-14.792626,-16.37237,-16.899567
1.092,-13.00578028,-13.24266329,-13.2621699,-14.856089,-16.383406,-16.897757
1.093,-13.01016943,-13.24873767,-13.26813555,-14.812549,-16.39427,-16.91993
1.094,-13.01455672,-13.25481342,-13.27410242,-14.809291,-16.391254,-16.899092
1.095,-13.01894215,-13.26089051,-13.28007048,-14.852143,-16.411913,-16.91778
1.096,-13.02332572,-13.26696895,-13.28603973,-14.780326,-16.392729,-16.910421
1.097,-13.02770742,-13.27304869,-13.29201014,-14.827867,-16.441103,-16.961327
1.098,-13.03208727,-13.27912974,-13.2979817,-14.870893,-16.439156,-16.969219
1.099,-13.03646525,-13.28521207,-13.3039544,-14.907434,-16.437227,-16.958221
1.1,-13.04084137,-13.29129567,-13.30992822,-14.882931,-16.428879,-16.948351
1.101,-13.04521563,-13.29738052,-13.31590314,-14.872505,-16.426287,-16.974289
1.102,-13.04958803,-13.3034666,-13.32187915,-14.889507,-16.445852,-16.957533
1.103,-13.05395856,-13.3095539,-13.32785622,-14.892884,-16.437191,-16.977995
1.104,-13.05832724,-13.3156424,-13.33383436,-14.893991,-16.453096,-16.993645
1.105,-13.06269405,-13.32173208,-13.33981353,-14.929855,-16.451767,-16.972801
1.106,-13.067059,-13.32782293,-13.34579373,-14.923505,-16.448473,-16.993269
1.107,-13.0714221,-13.33391493,-13.35177493,-14.914742,-16.498692,-17.013002
1.108,-13.07578333,-13.34000806,-13.35775712,-14.880026,-16.449123,-17.005199
1.109,-13.0801427,-13.34610231,-13.36374029,-14.835521,-16.466887,-17.008877
1.11,-13.08450022,-13.35219766,-13.36972442,-14.907979,-16.511873,-17.034199
1.111,-13.08885587,-13.35829409,-13.37570948,-14.962475,-16.471395,-17.003452
1.112,-13.09320967,-13.36439158,-13.38169548,-14.960933,-16.467361,-16.99172
1.113,-13.09756161,-13.37049013,-13.38768238,-14.974758,-16.504662,-17.047253
1.114,-13.1019117,-13.3765897,-13.39367018,-14.944509,-16.50737,-17.044273
1.115,-13.10625993,-13.3826903,-13.39965886,-14.929942,-16.511045,-17.055836
1.116,-13.1106063,-13.38879189,-13.40564839,-15.005775,-16.513241,-17.049332
1.117,-13.11495083,-13.39489446,-13.41163877,-14.94711,-16.532961,-17.053345
1.118,-13.1192935,-13.40099799,-13.41762998,-15.001506,-16.546415,-17.089621
