Freq,Thru2,Thru,S180,S90
1.117,-22.920027,-24.426899,-20.103014,-22.826609
1.118,-22.863316,-24.397299,-20.149725,-22.857046
1.119,-22.826071,-24.410782,-20.120052,-22.846294
1.12,-22.796345,-24.459166,-20.141212,-22.791224
1.121,-22.79583,-24.489819,-20.111546,-22.741495
1.122,-22.683681,-24.403908,-20.148972,-22.762636
1.123,-22.693026,-24.44696,-20.174269,-22.735203
1.124,-22.619514,-24.464485,-20.239115,-22.612591
1.125,-22.581505,-24.462461,-20.173874,-22.607899
1.126,-22.552275,-24.461971,-20.227388,-22.699017
1.127,-22.477201,-24.467474,-20.145582,-22.609674
1.128,-22.427494,-24.438295,-20.182348,-22.609575
1.129,-22.438158,-24.544275,-20.134146,-22.538126
1.13,-22.33963,-24.454048,-20.199173,-22.594458
1.131,-22.330496,-24.526363,-20.233082,-22.476889
1.132,-22.282261,-24.473759,-20.164494,-22.5788
1.133,-22.263876,-24.487019,-20.287928,-22.524738
1.134,-22.232409,-24.544514,-20.248659,-22.409725
1.135,-22.202917,-24.482794,-20.30909,-22.534639
1.136,-22.170929,-24.538555,-20.353781,-22.345327
1.137,-22.168217,-24.549898,-20.377476,-22.353308
1.138,-22.098343,-24.505373,-20.414778,-22.43074
1.139,-22.087629,-24.5425,-20.386288,-22.40505
1.14,-22.052832,-24.498749,-20.328871,-22.450968
1.141,-22.049234,-24.556406,-20.396851,-22.335913
1.142,-22.057732,-24.558233,-20.367065,-22.378006
1.143,-22.072401,-24.601099,-20.31576,-22.33593
1.144,-22.075476,-24.569321,-20.440212,-22.363045
1.145,-22.026134,-24.551937,-20.35697,-22.321333
1.146,-22.097809,-24.573483,-20.419128,-22.240145
1.147,-22.107664,-24.566221,-20.341198,-22.287586
1.148,-22.155781,-24.601574,-20.406462,-22.25773
1.149,-22.20155,-24.626999,-20.382914,-22.238993
1.15,-22.271711,-24.571236,-20.389492,-22.251102
1.151,-22.344353,-24.573328,-20.442888,-22.202713
1.152,-22.379498,-24.559206,-20.547337,-22.133371
1.153,-22.449244,-24.565092,-20.434856,-22.123964
1.154,-22.530737,-24.593342,-20.40052,-22.143881
1.155,-22.622217,-24.626228,-20.498272,-22.094398
1.156,-22.640715,-24.583906,-20.600653,-22.068758
1.157,-22.656851,-24.615309,-20.570343,-22.084711
1.158,-22.657099,-24.579519,-20.527231,-22.002085
1.159,-22.666054,-24.619543,-20.490435,-22.11043
1.16,-22.661884,-24.578232,-20.552061,-22.068974
1.161,-22.619265,-24.582615,-20.540533,-22.080189
1.162,-22.592922,-24.576864,-20.61939,-21.981222
1.163,-22.524977,-24.558989,-20.574415,-22.076406
1.164,-22.476788,-24.598158,-20.527205,-22.018633
1.165,-22.467426,-24.55512,-20.600126,-22.059458
1.166,-22.389074,-24.608736,-20.611261,-21.980295
1.167,-22.340693,-24.582991,-20.567123,-21.978386
1.168,-22.275209,-24.565384,-20.628016,-21.972078
1.169,-22.230282,-24.588999,-20.66124,-21.975182
1.17,-22.152487,-24.568111,-20.61669,-21.995859
1.171,-22.135567,-24.579838,-20.780281,-21.957125
1.172,-22.0473,-24.539591,-20.676228,-21.989521
1.173,-21.98727,-24.562035,-20.676128,-21.993803
1.174,-21.958681,-24.568279,-20.678741,-22.016474
1.175,-21.876093,-24.552544,-20.705477,-21.935982
1.176,-21.822432,-24.552204,-20.696104,-21.90699
1.177,-21.761791,-24.525984,-20.74439,-21.864996
1.178,-21.739788,-24.544127,-20.827604,-21.980194
1.179,-21.690195,-24.54159,-20.732748,-21.970486
1.18,-21.643721,-24.537506,-20.784887,-22.06797
1.181,-21.583786,-24.548838,-20.808743,-21.950485
1.182,-21.592049,-24.517359,-20.906847,-22.068939
