Freq,S21,S31,S32
1.152,-106.51936,-106.39413,-161.75192
1.153,-106.54533,-106.36574,-161.69199
1.154,-106.67876,-106.55842,-162.01503
1.155,-106.92055,-106.89366,-162.01791
1.156,-106.95265,-106.87144,-162.11079
1.157,-106.92506,-106.82957,-162.22498
1.158,-106.96871,-106.91302,-162.47716
1.159,-107.38608,-107.08723,-162.65175
1.16,-107.36452,-107.10748,-162.73619
1.161,-107.32392,-107.09969,-162.64093
1.162,-107.49174,-107.35252,-162.91724
1.163,-107.66384,-107.39706,-163.05522
1.164,-107.63065,-107.45665,-163.23434
1.165,-107.71753,-107.62519,-163.19255
1.166,-107.85207,-107.67661,-163.36879
1.167,-107.98598,-107.83859,-163.5784
1.168,-108.00517,-107.94295,-163.59398
1.169,-108.12717,-107.96626,-163.617
1.17,-108.20168,-108.1278,-163.9446
1.171,-108.4754,-108.21351,-164.06862
1.172,-108.28168,-108.18752,-163.97568
1.173,-108.45743,-108.29445,-164.09575
1.174,-108.40218,-108.25565,-164.04456
1.175,-108.66579,-108.69226,-164.5452
1.176,-108.75033,-108.58237,-164.59842
1.177,-108.91001,-108.74121,-164.72794
1.178,-108.9287,-108.83698,-164.76418
1.179,-108.94567,-108.93023,-164.85043
1.18,-109.07751,-109.04113,-165.11757
1.181,-109.11864,-109.10737,-165.1356
1.182,-109.56093,-109.38131,-165.23727
1.183,-109.52669,-109.37486,-165.52344
1.184,-109.50133,-109.42213,-165.47478
1.185,-109.62457,-109.4072,-165.46283
1.186,-109.62655,-109.5364,-165.60916
1.187,-109.93275,-109.7674,-165.99617
1.188,-109.84114,-109.87477,-165.89221
1.189,-109.95583,-110.0723,-166.35179
1.19,-110.09604,-109.98704,-166.37015
1.191,-110.11858,-109.96235,-166.241
1.192,-110.26973,-110.2256,-166.53065
1.193,-110.25455,-110.20641,-166.61879
1.194,-110.38905,-110.26839,-166.59683
1.195,-110.50985,-110.51374,-166.85037
1.196,-110.57655,-110.6237,-167.08461
1.197,-110.86216,-110.83795,-167.27052
1.198,-110.86608,-110.83205,-167.3297
1.199,-110.96529,-110.89138,-167.32539
1.2,-111.0563,-111.0008,-167.80046
1.201,-111.11732,-110.94623,-167.59663
1.202,-111.12992,-111.09499,-167.67557
1.203,-111.40056,-111.13448,-167.81227
1.204,-111.38027,-111.30995,-168.18549
1.205,-111.5457,-111.4113,-168.11708
1.206,-111.54476,-111.34203,-168.04417
1.207,-111.54106,-111.39965,-168.15369
1.208,-111.79147,-111.68256,-168.26811
1.209,-111.65349,-111.80804,-168.41394
1.21,-111.97039,-111.80457,-168.61584
1.211,-111.84516,-112.02848,-168.6678
1.212,-112.13892,-112.05479,-168.79558
1.213,-112.30202,-112.21555,-168.99608
1.214,-112.34764,-112.15967,-169.08871
1.215,-112.43137,-112.36352,-169.17064
1.216,-112.37469,-112.36388,-169.18393
1.217,-112.50174,-112.6208,-169.56323
1.218,-112.84241,-112.63917,-169.62344
1.219,-112.67588,-112.65452,-169.69005
1.22,-112.71787,-112.82411,-169.68251
1.221,-112.83413,-112.89458,-170.0331
1.222,-112.96664,-112.80045,-170.08862
1.223,-113.21439,-113.12365,-170.35547
1.224,-113.10317,-113.03423,-170.23514
1.225,-113.22986,-113.08951,-170.4236
1.226,-113.51585,-113.43501,-170.62738
1.227,-113.4602,-113.48432,-170.57219
1.228,-113.71026,-113.54817,-170.80936
1.229,-113.69403,-113.66997,-170.74594
1.23,-113.86112,-113.76283,-171.04062
1.231,-113.97301,-113.9797,-171.15201
1.232,-113.93301,-113.87566,-171.2408
1.233,-114.10052,-114.0598,-171.57016
1.234,-114.18393,-114.23734,-171.44099
1.235,-114.21619,-114.13417,-171.69969
1.236,-114.40293,-114.27256,-171.68454
1.237,-114.32008,-114.2931,-171.93488
1.238,-114.60203,-114.51398,-171.96902
1.239,-114.62993,-114.67605,-172.16281
1.24,-114.6469,-114.71297,-172.20032
1.241,-114.60448,-114.75249,-172.24329
1.242,-114.9075,-114.71027,-172.44371
1.243,-115.05231,-114.93431,-172.75058
1.244,-115.1983,-115.08459,-172.60748
1.245,-115.20586,-115.19781,-172.79028
1.246,-115.31438,-115.24279,-172.90321
1.247,-115.44041,-115.46323,-173.21857
1.248,-115.51757,-115.61031,-173.11426
1.249,-115.63046,-115.4752,-173.29805
1.25,-115.7198,-115.64996,-173.37947
1.251,-115.64312,-115.72859,-173.66272
1.252,-116.02077,-115.8802,-173.87015
1.253,-115.96182,-116.023,-173.7975
1.254,-116.03776,-116.21909,-174.0423
1.255,-116.05046,-116.06731,-173.93382
1.256,-116.41477,-116.1228,-174.21426
1.257,-116.24937,-116.31484,-174.27875
1.258,-116.49269,-116.42245,-174.41843
1.259,-116.63585,-116.56319,-174.59627
1.26,-116.42843,-116.43123,-174.5809
1.261,-116.43369,-116.57153,-174.66122
1.262,-116.81908,-116.74602,-174.92543
1.263,-116.85922,-116.89344,-175.15628
1.264,-116.81637,-116.8859,-175.01559
1.265,-116.83873,-116.87103,-175.12859
1.266,-116.97258,-117.02678,-175.20686
1.267,-117.29031,-117.28654,-175.43175
1.268,-117.34571,-117.28547,-175.59897
1.269,-117.37716,-117.28495,-175.61206
1.27,-117.45901,-117.57271,-175.88342
1.271,-117.6432,-117.57021,-175.92458
1.272,-117.74036,-117.77716,-176.1797
1.273,-117.8256,-117.71796,-176.08954
1.274,-117.89507,-117.93684,-176.36456
1.275,-118.10123,-118.03976,-176.56606
1.276,-118.07836,-118.02599,-176.49602
1.277,-118.05737,-118.12335,-176.69032
1.278,-118.22525,-118.26273,-176.53496
1.279,-118.40262,-118.4385,-176.77481
1.28,-118.5867,-118.55814,-177.13208
1.281,-118.45451,-118.54657,-177.08388
1.282,-118.68835,-118.52545,-177.21635
1.283,-118.77247,-118.9001,-177.57809
1.284,-118.81736,-118.89955,-177.52562
1.285,-118.90719,-118.83869,-177.62283
1.286,-118.8935,-118.86373,-177.74202
1.287,-119.00263,-118.92782,-177.71736
1.288,-118.9924,-119.05031,-178.05319
1.289,-119.29015,-119.25058,-178.27322
1.29,-119.43393,-119.50156,-178.08276
1.291,-119.40835,-119.49047,-178.37563
1.292,-119.84056,-119.82442,-178.47543
1.293,-119.5143,-119.63673,-178.63033
1.294,-119.6814,-119.55204,-178.69838
1.295,-119.75962,-119.79285,-178.77521
1.296,-119.75365,-119.66393,-178.78731
1.297,-119.96181,-119.97967,-179.0594
1.298,-120.36821,-120.32254,-179.25494
1.299,-119.87702,-120.0686,-179.29684
1.3,-120.34418,-120.46262,-179.48465
1.301,-120.42065,-120.42767,-179.47662
1.302,-120.48927,-120.43562,-179.72139
1.303,-120.61334,-120.65778,-179.96075
1.304,-120.58269,-120.55485,-179.76147
1.305,-120.76033,-120.75944,-179.95468
1.306,-120.75388,-120.75387,-179.94661
1.307,-121.11813,-121.06375,-180.34987
1.308,-120.88462,-120.79456,-180.2377
1.309,-121.0493,-121.10949,-180.41032
1.31,-121.1285,-121.25804,-180.67085
1.311,-121.32549,-121.28762,-180.64706
1.312,-121.45298,-121.30775,-180.79262
1.313,-121.63756,-121.61897,-180.98267
1.314,-121.79031,-121.82806,-181.15266
1.315,-121.87493,-121.7643,-181.35457
1.316,-121.68089,-121.90282,-181.30466
1.317,-122.04003,-121.87541,-181.45331
1.318,-122.00931,-121.85853,-181.51004
1.319,-122.23454,-122.20512,-181.67882
1.32,-122.16825,-122.19151,-181.8824
1.321,-122.40493,-122.24659,-181.96059
1.322,-122.35221,-122.26648,-181.94649
1.323,-122.49487,-122.53255,-182.23712
1.324,-122.35732,-122.39959,-182.2377
1.325,-122.44741,-122.43901,-182.35794
1.326,-122.72499,-122.52648,-182.38025
1.327,-122.74277,-122.68323,-182.50142
1.328,-122.89789,-122.96067,-182.7227
1.329,-122.97108,-122.93013,-182.77103
1.33,-123.05388,-123.1669,-182.98619
1.331,-123.0333,-123.31061,-183.21204
1.332,-123.15278,-123.35315,-183.30426
1.333,-123.45014,-123.53856,-183.47641
1.334,-123.51102,-123.50748,-183.72372
1.335,-123.59457,-123.50676,-183.66478
1.336,-123.82162,-123.5845,-183.83565
1.337,-123.74979,-123.67461,-183.90341
1.338,-123.84892,-123.79853,-183.90678
1.339,-123.88787,-123.95228,-184.25786
1.34,-123.96366,-123.94284,-184.08722
1.341,-124.04447,-124.11254,-184.27429
1.342,-124.32162,-124.34633,-184.55296
1.343,-124.38082,-124.37925,-184.60165
1.344,-124.36437,-124.32414,-184.70398
1.345,-124.61385,-124.59144,-184.92992
1.346,-124.63172,-124.72324,-184.94873
1.347,-124.77291,-124.75331,-185.18909
1.348,-124.84694,-124.69428,-185.2222
1.349,-124.9486,-125.00077,-185.25221
1.35,-125.08691,-124.98114,-185.4425
1.351,-125.00969,-124.86896,-185.49562
1.352,-125.28288,-125.29361,-185.61375
1.353,-125.4315,-125.41854,-185.86826
1.354,-125.47515,-125.24723,-185.80139
1.355,-125.294,-125.30628,-185.9543
1.356,-125.65853,-125.5408,-186.1655
1.357,-125.6897,-125.65902,-186.32628
1.358,-125.63261,-125.78949,-186.35855
1.359,-125.82034,-125.89876,-186.53227
1.36,-125.98718,-125.96217,-186.78232
1.361,-126.07996,-126.10265,-186.92111
1.362,-126.29245,-126.28676,-186.96465
1.363,-126.06498,-126.18715,-187.10088
1.364,-126.3419,-126.36297,-187.29622
1.365,-126.4104,-126.42287,-187.29126
1.366,-126.35256,-126.49303,-187.23582
1.367,-126.54006,-126.45859,-187.4631
1.368,-126.66186,-126.6356,-187.74408
1.369,-126.5918,-126.70985,-187.65271
1.37,-126.8216,-126.91788,-187.8046
1.371,-126.90844,-126.83719,-187.81537
1.372,-127.27498,-127.24702,-188.08521
1.373,-127.1852,-127.217,-188.35028
1.374,-127.36728,-127.20992,-188.37329
1.375,-127.33054,-127.21916,-188.55766
1.376,-127.21252,-127.37717,-188.46472
1.377,-127.51978,-127.55555,-188.6752
1.378,-127.62616,-127.60339,-188.80847
1.379,-127.69614,-127.81506,-188.87405
1.38,-127.82064,-127.79327,-189.01878
1.381,-127.77699,-127.86414,-189.2719
1.382,-128.16508,-127.97488,-189.47041
1.383,-127.98305,-128.07388,-189.29964
1.384,-128.04247,-128.09003,-189.49767
1.385,-128.25012,-128.19771,-189.55115
1.386,-128.23071,-128.271,-189.7766
1.387,-128.40692,-128.29858,-189.81259
1.388,-128.45335,-128.5699,-189.84622
1.389,-128.68634,-128.60724,-190.15726
1.39,-128.8685,-128.74338,-190.40565
1.391,-128.77141,-128.91283,-190.31458
1.392,-128.87808,-128.88481,-190.37846
1.393,-128.99445,-128.93184,-190.55981
1.394,-129.09517,-129.23698,-190.87247
1.395,-129.13142,-129.01306,-190.70808
1.396,-129.34514,-129.40213,-190.88885
1.397,-129.30762,-129.40518,-190.96284
1.398,-129.41197,-129.60258,-191.10048
1.399,-129.43738,-129.32742,-190.92348
1.4,-129.74181,-129.70042,-191.74837
1.401,-129.76457,-129.83144,-191.59366
1.402,-129.57735,-129.68112,-191.3943
1.403,-130.01648,-129.95915,-191.86099
1.404,-130.02489,-129.90149,-191.79605
1.405,-130.28088,-130.1665,-192.16861
1.406,-130.27368,-130.20558,-192.31578
1.407,-130.22676,-130.21576,-192.14044
1.408,-130.23628,-130.19205,-192.36957
1.409,-130.314,-130.43839,-192.40576
1.41,-130.655,-130.63147,-192.60997
1.411,-130.59239,-130.75763,-192.77425
1.412,-130.88222,-130.84593,-192.97333
1.413,-130.88802,-130.93733,-192.88496
1.414,-131.05952,-130.9478,-193.01443
1.415,-131.06029,-131.11984,-193.16611
1.416,-131.20493,-131.21992,-193.43828
1.417,-131.27617,-131.28419,-193.49913
1.418,-131.26952,-131.38632,-193.48177
1.419,-131.52104,-131.58897,-193.74181
1.42,-131.37611,-131.28564,-193.70963
1.421,-131.66171,-131.66823,-193.88304
1.422,-131.55911,-131.66354,-193.85587
1.423,-131.78346,-131.688,-193.9015
1.424,-131.91191,-131.98862,-194.13551
1.425,-131.98293,-131.931,-194.35008
1.426,-131.96194,-132.10535,-194.37869
1.427,-132.14076,-132.04222,-194.57802
1.428,-132.42123,-132.24593,-194.65303
1.429,-132.34241,-132.25177,-194.7402
1.43,-132.16298,-132.31415,-194.89021
1.431,-132.54974,-132.61597,-195.18707
1.432,-132.64064,-132.59581,-195.18344
1.433,-132.58862,-132.69865,-195.41705
1.434,-132.72243,-132.78433,-195.2856
1.435,-132.97636,-132.85585,-195.62228
1.436,-132.97406,-133.07088,-195.66786
1.437,-133.15955,-133.05,-195.93521
1.438,-133.1955,-133.20183,-195.99734
1.439,-133.30283,-133.44395,-195.99326
1.44,-133.36488,-133.42682,-196.12407
1.441,-133.31763,-133.42975,-196.07657
1.442,-133.50101,-133.4449,-196.29372
1.443,-133.77197,-133.80814,-196.57471
1.444,-133.60728,-133.59766,-196.61217
1.445,-133.8734,-133.8074,-196.65381
1.446,-134.03333,-133.98027,-196.98422
1.447,-134.13811,-133.91107,-196.80148
1.448,-134.1295,-134.17526,-197.04173
1.449,-134.26384,-134.26822,-197.20541
1.45,-134.28629,-134.36986,-197.29997
1.451,-134.57097,-134.54483,-197.43616
1.452,-134.48576,-134.56898,-197.49152
1.453,-134.77283,-134.70885,-197.81096
1.454,-134.80287,-134.76332,-197.80392
1.455,-134.9231,-134.86653,-197.95743
1.456,-134.92264,-134.94128,-198.198
1.457,-134.91232,-135.01338,-198.17757
1.458,-135.1203,-135.15332,-198.50656
1.459,-135.04004,-135.26125,-198.35248
1.46,-135.17368,-134.99178,-198.49446
1.461,-135.43811,-135.62213,-198.79411
1.462,-135.52109,-135.44751,-198.81702
1.463,-135.51675,-135.53085,-198.99313
1.464,-135.49091,-135.64693,-199.09888
1.465,-135.83615,-135.84276,-199.29782
1.466,-135.71829,-135.70961,-199.09262
1.467,-135.85152,-135.86797,-199.60875
1.468,-136.02225,-136.07112,-199.50233
1.469,-136.26498,-136.29482,-199.71291
1.47,-136.30898,-136.2507,-199.72412
1.471,-136.31288,-136.38882,-199.78743
1.472,-136.41391,-136.49292,-200.18022
1.473,-136.59729,-136.56158,-200.19168
1.474,-136.51556,-136.51106,-200.16409
1.475,-136.76642,-136.9158,-200.3443
1.476,-136.60205,-136.74359,-200.36823
1.477,-136.72119,-136.73059,-200.34839
1.478,-136.88483,-136.91724,-200.62029
1.479,-137.12296,-137.11748,-200.81848
1.48,-137.21863,-137.26701,-201.07306
1.481,-137.36317,-137.23361,-201.01688
1.482,-137.51378,-137.55569,-201.28526
1.483,-137.48024,-137.46628,-201.2299
1.484,-137.47154,-137.48529,-201.40228
1.485,-137.67169,-137.59955,-201.32106
1.486,-137.60727,-137.64832,-201.72354
1.487,-137.85161,-137.90407,-201.7641
