Freq,S11,S22,S33
1,119.21049,5.84373,6.5443339
1.001,119.28559,5.8646741,6.7962127
1.002,119.51999,5.9320879,6.9259701
1.003,119.35461,5.7202654,6.6801028
1.004,119.5321,5.4927268,6.5573516
1.005,119.28111,5.6054158,6.3972955
1.006,119.12949,5.2929602,6.2914052
1.007,119.29576,5.6694841,6.4045663
1.008,119.21896,5.3900261,6.1853938
1.009,119.24446,5.4753308,6.2467489
1.01,119.15956,5.191484,6.1454949
1.011,118.46354,5.4639239,6.3962464
1.012,118.83692,5.2347631,6.1704764
1.013,118.59124,4.9872823,5.7918043
1.014,118.7683,5.0439167,5.8848176
1.015,118.97276,4.6257186,5.4409213
1.016,119.06185,4.8990436,5.8820267
1.017,118.95971,4.9208641,5.7443471
1.018,118.62856,4.6716561,5.3865767
1.019,118.39742,4.5827789,5.4906645
1.02,118.63709,4.7538657,5.573947
1.021,118.51868,4.4246516,5.3496838
1.022,118.67869,4.7033086,5.3736663
1.023,118.32308,4.4408798,5.2929463
1.024,118.60519,4.5266047,5.2267346
1.025,118.60267,4.0043664,4.8827076
1.026,117.92841,4.7474885,5.5083647
1.027,118.20049,4.3783102,5.1655383
1.028,117.96685,4.0171151,4.8583651
1.029,118.27441,3.8289545,4.8005834
1.03,117.94181,3.963026,4.7997627
1.031,118.06896,3.945735,4.9156427
1.032,117.9753,3.8633983,4.6230683
1.033,118.17898,3.8799591,4.6645246
1.034,118.03874,3.7045145,4.5317059
1.035,117.95135,3.7822771,4.4769011
1.036,118.27934,3.6607249,4.4046836
1.037,117.96141,3.7071996,4.5932679
1.038,118.05359,3.6850066,4.4675899
1.039,117.72606,3.4052873,4.0537844
1.04,117.70921,3.4963977,4.3209162
1.041,118.04272,3.2361975,4.0452995
1.042,117.64339,3.1806273,3.9680765
1.043,117.75079,3.2110236,4.2046056
1.044,117.53361,3.4749455,4.2985592
1.045,117.43725,3.2458055,4.2894254
1.046,117.69833,3.2117698,4.0748906
1.047,117.71529,3.0482192,3.8544264
1.048,117.66681,3.0689864,3.8395751
1.049,117.52718,3.0468674,3.7434709
1.05,117.69962,2.5909381,3.535687
1.051,117.27011,2.9066746,3.8043487
1.052,117.12977,2.9215531,3.7293222
1.053,117.00912,2.7805941,3.5870306
1.054,116.90977,2.9114852,3.6179953
1.055,117.16236,2.7489347,3.5313542
1.056,117.23563,2.7023513,3.5230894
1.057,117.01902,2.4246302,3.2819753
1.058,117.21377,2.4889143,3.455894
1.059,116.66228,2.3256958,3.2285814
1.06,116.97213,2.3699412,3.2689414
1.061,116.93268,2.3411214,3.20575
1.062,116.89941,2.3206613,3.2343338
1.063,116.82402,2.2325792,2.9865677
1.064,117.30669,2.0893106,3.0530884
1.065,116.597,2.1167724,3.0309784
1.066,116.74176,1.918353,2.8080988
1.067,116.86831,1.8804342,2.883944
1.068,116.62206,2.0733268,2.9063673
1.069,116.78815,2.0785391,2.93872
1.07,116.619,1.6064997,2.5815103
1.071,116.67765,1.8820715,2.846137
1.072,116.37334,1.6854055,2.584672
1.073,116.35899,1.8226563,2.6051838
1.074,116.60293,1.6284783,2.4523613
1.075,116.5543,1.4802651,2.3351316
1.076,116.63306,1.3838102,2.1520734
1.077,116.76625,1.3413275,2.198046
1.078,116.08965,1.3096402,2.2394409
1.079,116.01923,1.206181,2.2359486
1.08,116.17599,1.4353509,2.2459202
1.081,116.16558,1.3406115,2.0918436
1.082,116.12836,1.2579398,1.9999012
1.083,116.22675,1.2085596,2.014478
1.084,115.87576,1.2229465,2.1760767
1.085,115.878,1.0393897,1.8779407
1.086,115.74547,0.85241085,1.7842902
1.087,116.1557,1.0648769,1.8904581
1.088,116.0674,0.93111277,1.6647989
1.089,115.59924,0.81094897,1.6112185
1.09,115.82692,0.67482156,1.5380614
1.091,115.45879,0.47960448,1.5046372
1.092,115.70139,0.63205576,1.4724958
1.093,115.71995,0.60893297,1.3706089
1.094,115.76488,0.60448718,1.519789
1.095,115.88066,0.48294955,1.2793778
1.096,115.5644,0.44253838,1.300238
1.097,115.51655,0.32535854,1.0985193
1.098,115.6168,0.25459275,1.1264466
1.099,115.64585,0.18654451,1.0217081
1.1,115.22162,0.31673604,1.0749159
1.101,115.31175,0.25740966,1.1939983
1.102,115.03343,0.19242382,1.1080854
1.103,114.95413,0.081964701,0.74330693
1.104,115.22932,-0.15393975,0.6719619
1.105,115.13616,0.062619358,0.93910193
1.106,114.84315,-0.000259638,0.73238987
1.107,115.06103,0.1456359,0.89593387
1.108,114.83591,-0.29144526,0.51663262
1.109,114.81709,-0.13865899,0.75211656
1.11,115.09547,-0.22644383,0.5864166
1.111,115.00106,-0.32987455,0.29414377
1.112,114.50759,-0.28374043,0.54093218
1.113,114.91134,-0.15413499,0.57593894
1.114,114.72157,-0.48550609,0.39553738
1.115,114.89577,-0.40415597,0.41593498
1.116,114.70004,-0.72885257,0.030927626
1.117,114.5209,-0.64106053,0.1507666
1.118,114.92912,-0.58915758,0.12568496
1.119,114.38305,-0.74140382,0.06103567
1.12,114.63314,-0.73569238,-0.064662695
1.121,114.37197,-0.78819746,0.12954934
1.122,114.47814,-0.67378336,-0.028851667
1.123,114.26135,-0.88003457,-0.18339598
1.124,114.33375,-0.88319236,-0.15386766
1.125,114.51885,-1.097514,-0.28759211
1.126,114.16283,-0.82361257,-0.056945581
1.127,114.07837,-0.93530661,-0.18275508
1.128,114.16096,-1.2053164,-0.36396131
1.129,113.94122,-1.025463,-0.15050283
1.13,113.92757,-1.2049241,-0.36029515
1.131,114.2209,-1.3820492,-0.56162274
1.132,114.22842,-1.0259644,-0.38995785
1.133,113.91173,-1.1537611,-0.41121709
1.134,113.88236,-1.3758147,-0.61071634
1.135,113.82269,-1.3007542,-0.5104748
1.136,113.93987,-1.550361,-0.85642719
1.137,113.57342,-1.8052855,-1.0704379
1.138,113.49619,-1.5491349,-0.76951951
1.139,113.73604,-1.4248052,-0.77389401
1.14,113.44909,-1.6194237,-0.79127067
1.141,113.86561,-1.7031668,-1.0114204
1.142,113.2687,-1.6373982,-0.88278133
1.143,113.63442,-1.7698874,-1.0742424
1.144,113.49389,-1.8863337,-1.0850028
1.145,113.32818,-1.9177802,-1.212927
1.146,113.5737,-1.91576,-0.89776224
1.147,113.28203,-1.8964908,-1.0720769
1.148,113.08075,-2.2049892,-1.5643705
1.149,113.34443,-2.0659657,-1.39817
1.15,113.02416,-2.2652972,-1.5058714
1.151,113.31746,-2.1668291,-1.3927373
1.152,113.33648,-1.9702041,-1.3691696
1.153,112.99442,-1.9465641,-1.1038721
1.154,113.05325,-2.1652865,-1.4443754
1.155,113.04977,-2.2220881,-1.70476
1.156,112.94137,-2.0873263,-1.3879503
1.157,113.19208,-2.3061159,-1.5863787
1.158,112.90546,-2.3581634,-1.7085452
1.159,112.95428,-2.3346002,-1.6529272
1.16,112.88734,-2.5403452,-1.7345753
1.161,112.98119,-2.5816832,-1.6766425
1.162,113.08835,-2.839931,-2.1073124
1.163,112.75969,-2.5738854,-1.910235
1.164,112.75762,-2.5780318,-2.0801136
1.165,112.63901,-2.635308,-1.9996922
1.166,112.73077,-2.7028203,-1.9993373
1.167,112.78139,-2.8871484,-2.2339716
1.168,112.55945,-2.7362208,-2.2177484
1.169,112.13251,-2.8620846,-2.2433715
1.17,112.60699,-2.8638618,-2.1905556
1.171,112.51797,-2.7439823,-2.3025222
1.172,112.26986,-3.1661749,-2.5056467
