Freq,S11_HFSS,S22_HFSS,S33_HFSS,S44_HFSS,S11_Milled,S22_Milled,S33_Milled,S44_Milled
1,-4.317175257,-10.52618261,-4.328987302,-10.57598723,-4.6348395,-11.280647,-4.5515471,-10.930903
1.001,-4.313757577,-10.54024541,-4.325489429,-10.59033256,-4.5919943,-11.36977,-4.5181999,-10.987521
1.002,-4.310338474,-10.55435572,-4.321990082,-10.60472592,-4.6164355,-11.385002,-4.5515003,-11.012508
1.003,-4.306917973,-10.56851376,-4.318489288,-10.61916754,-4.6028991,-11.357979,-4.5391455,-10.991899
1.004,-4.303496098,-10.58271975,-4.314987069,-10.63365762,-4.5738692,-11.371806,-4.5044699,-11.020203
1.005,-4.300072873,-10.59697391,-4.311483453,-10.6481964,-4.593842,-11.389421,-4.5427904,-11.057718
1.006,-4.296648324,-10.61127647,-4.307978463,-10.66278409,-4.5699763,-11.392499,-4.5130177,-11.044017
1.007,-4.293222474,-10.62562764,-4.304472126,-10.67742094,-4.5485988,-11.442576,-4.5167837,-11.087819
1.008,-4.28979535,-10.64002765,-4.300964467,-10.69210716,-4.570138,-11.415813,-4.5027761,-11.04544
1.009,-4.286366976,-10.65447673,-4.297455512,-10.70684298,-4.5584912,-11.440481,-4.5061445,-11.082186
1.01,-4.282937378,-10.6689751,-4.293945288,-10.72162864,-4.5447178,-11.455206,-4.4737921,-11.10241
1.011,-4.279506582,-10.68352299,-4.290433821,-10.73646436,-4.5887618,-11.496253,-4.5166678,-11.108741
1.012,-4.276074613,-10.69812064,-4.286921138,-10.75135038,-4.5658541,-11.529275,-4.5222192,-11.136457
1.013,-4.272641499,-10.71276828,-4.283407265,-10.76628694,-4.5503926,-11.525167,-4.4949608,-11.184651
1.014,-4.269207265,-10.72746612,-4.27989223,-10.78127427,-4.5196857,-11.551148,-4.4865599,-11.215725
1.015,-4.265771938,-10.74221443,-4.27637606,-10.7963126,-4.5567379,-11.549329,-4.4922848,-11.14613
