Freq,S21_HFSS,S31_HFSS,S41_HFSS,S21_Milled,S31_Milled,S41_Milled
1.07,-6.673389768,-12.49265625,-5.240113527,-7.2172799,-5.553966,-6.7506323
1.071,-6.677518815,-12.51090819,-5.238875211,-7.1965151,-5.5842209,-6.7608457
1.072,-6.681671617,-12.52916357,-5.237639909,-7.2115035,-5.5513577,-6.7481852
1.073,-6.685848307,-12.54742134,-5.236407658,-7.2248874,-5.5746565,-6.7876787
1.074,-6.690049015,-12.56568044,-5.2351785,-7.1940217,-5.5671506,-6.7540832
1.075,-6.694273874,-12.58393978,-5.233952475,-7.2432046,-5.5972776,-6.7931585
1.076,-6.698523018,-12.60219827,-5.232729623,-7.2336063,-5.5768824,-6.7925639
1.077,-6.70279658,-12.62045477,-5.231509984,-7.2298741,-5.5773139,-6.7872553
1.078,-6.707094695,-12.63870813,-5.230293601,-7.2090383,-5.547164,-6.7570248
1.079,-6.711417499,-12.65695718,-5.229080515,-7.2204576,-5.5776792,-6.7951016
1.08,-6.715765127,-12.67520072,-5.227870767,-7.2302833,-5.5657244,-6.7719302
1.081,-6.720137716,-12.69343752,-5.2266644,-7.2626681,-5.5501676,-6.7981806
1.082,-6.724535404,-12.71166635,-5.225461456,-7.2521286,-5.593111,-6.7872205
1.083,-6.728958328,-12.72988593,-5.224261978,-7.2266693,-5.5636978,-6.7806745
1.084,-6.733406628,-12.74809498,-5.223066008,-7.2133574,-5.5500059,-6.7781715
1.085,-6.737880443,-12.76629216,-5.221873591,-7.2443447,-5.5621362,-6.8085032
1.086,-6.742379913,-12.78447615,-5.220684769,-7.259696,-5.5610871,-6.7965465
1.087,-6.746905179,-12.80264557,-5.219499587,-7.2462287,-5.5542474,-6.772316
1.088,-6.751456384,-12.82079903,-5.218318089,-7.254437,-5.5809054,-6.791481
1.089,-6.756033669,-12.8389351,-5.21714032,-7.2469277,-5.531776,-6.7846661
1.09,-6.760637179,-12.85705235,-5.215966325,-7.2149014,-5.5591683,-6.7711315
1.091,-6.765267055,-12.87514929,-5.214796149,-7.2373562,-5.5535522,-6.7691998
1.092,-6.769923445,-12.89322444,-5.213629838,-7.2281199,-5.5664649,-6.8029799
1.093,-6.774606492,-12.91127625,-5.212467438,-7.2493706,-5.5511613,-6.7588415
1.094,-6.779316343,-12.92930319,-5.211308994,-7.2959471,-5.5659828,-6.8219976
1.095,-6.784053145,-12.94730367,-5.210154555,-7.2501245,-5.5474563,-6.8038611
1.096,-6.788817045,-12.96527608,-5.209004166,-7.2845197,-5.5499635,-6.7945991
1.097,-6.793608193,-12.98321879,-5.207857876,-7.2812352,-5.5446005,-6.8052874
1.098,-6.798426736,-13.00113012,-5.206715732,-7.2599607,-5.5461726,-6.7782068
1.099,-6.803272825,-13.01900839,-5.205577781,-7.2879682,-5.5495796,-6.8475366
1.1,-6.808146611,-13.03685187,-5.204444073,-7.2485199,-5.5367832,-6.8124185
1.101,-6.813048245,-13.05465881,-5.203314656,-7.2929163,-5.558496,-6.8388915
1.102,-6.817977879,-13.07242743,-5.202189579,-7.3091044,-5.5422254,-6.8118277
1.103,-6.822935665,-13.09015592,-5.201068892,-7.2916889,-5.5288386,-6.8178821
1.104,-6.827921759,-13.10784244,-5.199952645,-7.2897573,-5.5218439,-6.8172307
1.105,-6.832936314,-13.12548513,-5.198840887,-7.3046784,-5.5644708,-6.8131924
1.106,-6.837979485,-13.14308207,-5.19773367,-7.2929211,-5.5099268,-6.80404
1.107,-6.843051428,-13.16063134,-5.196631045,-7.3117247,-5.559041,-6.8198829
1.108,-6.8481523,-13.17813098,-5.195533062,-7.305203,-5.5353065,-6.8356972
1.109,-6.85328226,-13.195579,-5.194439773,-7.2694101,-5.5075707,-6.7906895
1.11,-6.858441464,-13.21297338,-5.193351231,-7.3110271,-5.5271163,-6.8232102
1.111,-6.863630072,-13.23031206,-5.192267487,-7.3173652,-5.5342078,-6.8248525
1.112,-6.868848244,-13.24759296,-5.191188595,-7.2942328,-5.5176816,-6.8138862
1.113,-6.874096141,-13.26481396,-5.190114609,-7.3418741,-5.526473,-6.840147
1.114,-6.879373924,-13.28197292,-5.18904558,-7.3278947,-5.5398707,-6.8546014
1.115,-6.884681756,-13.29906766,-5.187981565,-7.3415341,-5.5266819,-6.8230629
1.116,-6.890019798,-13.31609596,-5.186922616,-7.3245282,-5.5345407,-6.8487968
1.117,-6.895388216,-13.3330556,-5.185868788,-7.2985106,-5.5105362,-6.8164401
1.118,-6.900787174,-13.3499443,-5.184820138,-7.3225484,-5.5514445,-6.8122311
