Freq [GHz],"Simul_cang_deg(S(2,1)) [deg]",Measure_S21 Phase(°)
1,149.9650718,-31.301643
1.001,149.934036,-31.332808
1.002,149.9030012,-31.212919
1.003,149.8719674,-31.278296
1.004,149.8409346,-31.497305
1.005,149.8099029,-31.351234
1.006,149.7788722,-31.625061
1.007,149.7478425,-31.437616
1.008,149.7168139,-31.483425
1.009,149.6857863,-31.491283
1.01,149.6547597,-31.606161
1.011,149.6237341,-31.601315
1.012,149.5927096,-31.609657
1.013,149.5616861,-31.722557
1.014,149.5306637,-31.637875
1.015,149.4996423,-31.785969
1.016,149.4686219,-31.790335
1.017,149.4376025,-31.887991
1.018,149.4065842,-31.892616
1.019,149.3755669,-31.862726
1.02,149.3445506,-31.929167
1.021,149.3135354,-31.970865
1.022,149.2825212,-32.005459
1.023,149.251508,-32.017334
1.024,149.2204959,-32.05756
1.025,149.1894848,-32.026237
1.026,149.1584747,-31.896591
1.027,149.1274657,-32.17934
1.028,149.0964577,-32.032253
1.029,149.0654507,-32.077461
1.03,149.0344448,-32.121853
1.031,149.0034399,-32.112034
1.032,148.972436,-32.333706
1.033,148.9414332,-32.282272
1.034,148.9104314,-32.266598
1.035,148.8794306,-32.358715
1.036,148.8484309,-32.305744
1.037,148.8174322,-32.386684
1.038,148.7864345,-32.288342
1.039,148.7554378,-32.364174
1.04,148.7244422,-32.417946
1.041,148.6934476,-32.551357
1.042,148.6624541,-32.587124
1.043,148.6314616,-32.71983
1.044,148.6004701,-32.647373
1.045,148.5694796,-32.607021
1.046,148.5384902,-32.502357
1.047,148.5075018,-32.809956
1.048,148.4765144,-32.78318
1.049,148.4455281,-32.792652
1.05,148.4145428,-32.724026
1.051,148.3835585,-32.846191
1.052,148.3525753,-32.855019
1.053,148.321593,-32.771202
1.054,148.2906119,-33.002369
1.055,148.2596317,-32.908482
1.056,148.2286526,-32.895641
1.057,148.1976745,-33.096775
1.058,148.1666974,-33.084145
1.059,148.1357213,-32.988037
1.06,148.1047463,-32.966015
1.061,148.0737723,-32.94775
1.062,148.0427994,-33.174461
1.063,148.0118274,-33.259075
1.064,147.9808565,-33.364178
1.065,147.9498866,-33.36842
1.066,147.9189177,-33.260372
1.067,147.8879499,-33.292301
1.068,147.8569831,-33.434952
1.069,147.8260173,-33.183506
1.07,147.7950525,-33.225204
1.071,147.7640888,-33.397614
1.072,147.733126,-33.558239
1.073,147.7021643,-33.573196
1.074,147.6712037,-33.513973
1.075,147.640244,-33.452835
1.076,147.6092854,-33.431618
1.077,147.5783277,-33.313641
1.078,147.5473711,-33.62957
1.079,147.5164156,-33.741695
1.08,147.485461,-33.751526
1.081,147.4545075,-33.655231
1.082,147.4235549,-33.815453
1.083,147.3926034,-33.501797
1.084,147.3616529,-33.796829
1.085,147.3307034,-34.035736
1.086,147.299755,-33.901787
1.087,147.2688075,-33.863342
1.088,147.2378611,-34.00354
1.089,147.2069157,-33.888512
1.09,147.1759713,-33.990761
1.091,147.1450279,-33.988323
1.092,147.1140855,-34.055477
1.093,147.0831441,-33.905312
1.094,147.0522038,-34.14278
1.095,147.0212644,-33.838959
1.096,146.9903261,-33.987309
1.097,146.9593887,-34.16333
1.098,146.9284524,-34.045681
1.099,146.8975171,-34.339603
1.1,146.8665828,-34.388187
1.101,146.8356495,-34.398598
1.102,146.8047172,-34.305481
1.103,146.7737859,-34.267204
1.104,146.7428556,-34.584389
1.105,146.7119263,-34.386246
1.106,146.680998,-34.452251
1.107,146.6500707,-34.513607
1.108,146.6191444,-34.766014
1.109,146.5882192,-34.548519
