Freq,S11M,S22M,S33M,S44M,S11H,S22H,S33H,S44H
1,-4.6348395,-5.976728,-10.641809,-10.930903,-4.259983871,-6.494632878,-11.39738977,-5.330257693
1.001,-4.5919943,-6.0015302,-10.65833,-10.987521,-4.256570955,-6.497474638,-11.41423858,-5.328922174
1.002,-4.6164355,-6.0097637,-10.666235,-11.012508,-4.253156815,-6.500332921,-11.43112823,-5.327587554
1.003,-4.6028991,-6.0224285,-10.694569,-10.991899,-4.249741475,-6.50320782,-11.44805855,-5.326253854
1.004,-4.5738692,-5.9945445,-10.699408,-11.020203,-4.24632496,-6.506099429,-11.4650294,-5.324921101
1.005,-4.593842,-6.0441689,-10.768373,-11.057718,-4.242907294,-6.50900784,-11.48204059,-5.323589318
1.006,-4.5699763,-6.0262895,-10.726007,-11.044017,-4.239488502,-6.511933148,-11.49909197,-5.322258531
1.007,-4.5485988,-6.0293417,-10.749262,-11.087819,-4.236068609,-6.514875447,-11.51618334,-5.320928763
1.008,-4.570138,-6.0265918,-10.750133,-11.04544,-4.232647641,-6.517834832,-11.53331451,-5.31960004
1.009,-4.5584912,-6.0331078,-10.755584,-11.082186,-4.229225621,-6.520811398,-11.5504853,-5.318272387
1.01,-4.5447178,-6.0241189,-10.781174,-11.10241,-4.225802578,-6.523805243,-11.56769549,-5.31694583
1.011,-4.5887618,-6.0365362,-10.80985,-11.108741,-4.222378534,-6.526816462,-11.58494488,-5.315620394
1.012,-4.5658541,-6.0515528,-10.838021,-11.136457,-4.218953518,-6.529845153,-11.60223325,-5.314296105
1.013,-4.5503926,-6.0179963,-10.80777,-11.184651,-4.215527555,-6.532891412,-11.61956037,-5.312972989
1.014,-4.5196857,-6.0421782,-10.820589,-11.215725,-4.212100672,-6.53595534,-11.636926,-5.311651072
1.015,-4.5567379,-6.0283875,-10.87909,-11.14613,-4.208672894,-6.539037033,-11.65432989,-5.310330381
1.016,-4.5395632,-6.0435076,-10.833554,-11.189468,-4.205244249,-6.542136591,-11.67177181,-5.309010941
1.017,-4.5155745,-6.0638027,-10.904716,-11.217411,-4.201814765,-6.545254115,-11.68925149,-5.307692781
1.018,-4.5477304,-6.0737901,-10.879139,-11.265887,-4.198384467,-6.548389705,-11.70676865,-5.306375926
1.019,-4.5109434,-6.0814734,-10.925851,-11.258414,-4.194953384,-6.55154346,-11.72432302,-5.305060404
1.02,-4.5378971,-6.0779905,-10.971731,-11.30047,-4.191521543,-6.554715484,-11.7419143,-5.303746242
1.021,-4.5014896,-6.0419455,-10.951514,-11.294121,-4.188088972,-6.557905878,-11.75954222,-5.302433469
1.022,-4.5015411,-6.0373354,-10.95337,-11.308737,-4.1846557,-6.561114743,-11.77720644,-5.301122111
1.023,-4.5310402,-6.0627861,-11.035975,-11.299639,-4.181221754,-6.564342185,-11.79490667,-5.299812196
1.024,-4.5174613,-6.0972285,-11.018505,-11.338431,-4.177787164,-6.567588306,-11.81264256,-5.298503753
1.025,-4.5197449,-6.1108198,-11.037668,-11.383286,-4.174351957,-6.57085321,-11.83041379,-5.297196811
1.026,-4.5167031,-6.1172624,-11.038846,-11.348786,-4.170916164,-6.574137002,-11.84822001,-5.295891397
1.027,-4.4913349,-6.0865359,-11.04495,-11.374321,-4.167479813,-6.577439788,-11.86606085,-5.29458754
1.028,-4.5052829,-6.1055212,-11.091418,-11.412807,-4.164042934,-6.580761674,-11.88393596,-5.293285271
1.029,-4.5364861,-6.0944576,-11.057398,-11.435217,-4.160605556,-6.584102766,-11.90184495,-5.291984617
1.03,-4.494844,-6.1189623,-11.138405,-11.435358,-4.15716771,-6.587463171,-11.91978742,-5.290685608
1.031,-4.4452267,-6.1091213,-11.136851,-11.423741,-4.153729425,-6.590842997,-11.93776299,-5.289388275
1.032,-4.4883175,-6.1229663,-11.15699,-11.452751,-4.150290733,-6.594242352,-11.95577123,-5.288092646
1.033,-4.484611,-6.1336098,-11.163325,-11.473334,-4.146851664,-6.597661345,-11.97381171,-5.286798753
1.034,-4.4944539,-6.1355114,-11.194449,-11.473856,-4.143412248,-6.601100086,-11.99188401,-5.285506625
1.035,-4.4633565,-6.1077161,-11.184137,-11.527229,-4.139972518,-6.604558684,-12.00998766,-5.284216293
1.036,-4.455986,-6.1274443,-11.202115,-11.551644,-4.136532505,-6.60803725,-12.02812221,-5.282927787
1.037,-4.4392371,-6.1361713,-11.214261,-11.548045,-4.133092239,-6.611535896,-12.04628719,-5.281641139
1.038,-4.4597635,-6.1188827,-11.236273,-11.548675,-4.129651754,-6.615054732,-12.06448209,-5.280356381
1.039,-4.4711781,-6.1460476,-11.243206,-11.535129,-4.126211082,-6.618593873,-12.08270643,-5.279073543
1.04,-4.437326,-6.1268749,-11.257689,-11.568441,-4.122770255,-6.62215343,-12.10095969,-5.277792657
1.041,-4.4923244,-6.1505313,-11.316528,-11.59677,-4.119329305,-6.625733517,-12.11924134,-5.276513756
1.042,-4.4445601,-6.1699486,-11.325045,-11.635574,-4.115888266,-6.629334249,-12.13755083,-5.275236871
1.043,-4.4424043,-6.1443901,-11.322614,-11.588,-4.112447172,-6.63295574,-12.15588761,-5.273962035
1.044,-4.4314198,-6.1220884,-11.31531,-11.617673,-4.109006055,-6.636598107,-12.1742511,-5.27268928
1.045,-4.4670691,-6.1726565,-11.345811,-11.672144,-4.10556495,-6.640261464,-12.19264073,-5.27141864
1.046,-4.402822,-6.1443362,-11.390227,-11.675427,-4.10212389,-6.643945929,-12.21105589,-5.270150148
1.047,-4.4139466,-6.1758924,-11.406029,-11.654202,-4.098682911,-6.64765162,-12.22949597,-5.268883836
1.048,-4.4208398,-6.1886168,-11.414124,-11.71086,-4.095242046,-6.651378653,-12.24796032,-5.26761974
1.049,-4.400393,-6.1479454,-11.390985,-11.719254,-4.091801331,-6.655127148,-12.26644831,-5.266357892
1.05,-4.4149275,-6.1612782,-11.417082,-11.717004,-4.088360801,-6.658897225,-12.28495927,-5.265098327
1.051,-4.4151912,-6.1968722,-11.483363,-11.715033,-4.084920491,-6.662689002,-12.30349253,-5.263841079
1.052,-4.3939452,-6.1954079,-11.460479,-11.754237,-4.081480438,-6.666502601,-12.32204738,-5.262586183
1.053,-4.4015141,-6.1984591,-11.491391,-11.74315,-4.078040678,-6.670338143,-12.3406231,-5.261333674
1.054,-4.4259114,-6.2094622,-11.479713,-11.785465,-4.074601246,-6.674195749,-12.35921898,-5.260083587
1.055,-4.4111133,-6.2000217,-11.526631,-11.797523,-4.071162179,-6.678075543,-12.37783427,-5.258835958
1.056,-4.40418,-6.2010503,-11.541079,-11.781026,-4.067723516,-6.681977646,-12.39646818,-5.257590822
1.057,-4.3591614,-6.1828685,-11.536471,-11.793333,-4.064285292,-6.685902184,-12.41511995,-5.256348215
1.058,-4.3832407,-6.2338181,-11.606836,-11.867849,-4.060847546,-6.68984928,-12.43378877,-5.255108173
1.059,-4.3604989,-6.2203403,-11.601919,-11.864545,-4.057410315,-6.69381906,-12.45247382,-5.253870734
1.06,-4.3811231,-6.2098541,-11.590051,-11.873174,-4.053973638,-6.69781165,-12.47117426,-5.252635933
1.061,-4.3596554,-6.2733245,-11.632028,-11.917826,-4.050537553,-6.701827175,-12.48988923,-5.251403808
1.062,-4.3704209,-6.2359018,-11.644479,-11.894399,-4.047102099,-6.705865763,-12.50861785,-5.250174397
1.063,-4.330946,-6.2273517,-11.654819,-11.88366,-4.043667315,-6.709927542,-12.52735922,-5.248947736
1.064,-4.3752098,-6.2373247,-11.674725,-11.947609,-4.040233241,-6.714012641,-12.54611243,-5.247723863
1.065,-4.3226686,-6.2252493,-11.642493,-11.938257,-4.036799917,-6.718121188,-12.56487653,-5.246502818
1.066,-4.3691144,-6.2226281,-11.716839,-11.956166,-4.033367382,-6.722253313,-12.58365056,-5.245284638
1.067,-4.3540149,-6.2406387,-11.71854,-11.983307,-4.029935677,-6.726409148,-12.60243354,-5.244069361
1.068,-4.3265715,-6.2258172,-11.74432,-12.024911,-4.026504843,-6.730588822,-12.62122448,-5.242857028
1.069,-4.3495598,-6.2636991,-11.773101,-12.026273,-4.023074922,-6.734792469,-12.64002234,-5.241647678
