!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, April 01, 2016 14:28:56
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm),S11 SWR(U)
1126000000,9.5471315,127.82849,39.633316
1127000000,10.131387,128.35899,37.635944
1128000000,10.234991,129.46623,37.816803
1129000000,10.326468,129.73036,37.617657
1130000000,9.8522968,130.65569,39.900612
1131000000,10.399247,131.34828,38.169868
1132000000,10.435316,131.86322,38.299141
1133000000,10.578514,132.22894,37.968403
1134000000,10.721013,133.20372,37.951721
1135000000,10.60976,134.25606,38.876667
1136000000,10.498385,134.45224,39.385674
1137000000,10.845484,135.64423,38.731289
1138000000,11.307873,135.46605,37.078011
1139000000,11.984674,135.88228,35.195957
1140000000,11.797001,137.65771,36.57317
1141000000,11.107862,137.83142,38.903275
1142000000,11.738384,138.16093,36.990383
1143000000,11.740994,139.59145,37.659561
1144000000,11.691156,140.02238,38.024605
1145000000,11.578315,140.8744,38.804844
1146000000,11.993515,141.82916,37.926403
1147000000,12.814055,142.27156,35.722431
1148000000,12.391022,143.06561,37.292633
1149000000,12.37797,144.33989,37.92366
1150000000,12.748413,144.09793,36.725166
1151000000,12.731258,144.72595,37.059193
1152000000,12.378781,146.04799,38.723133
1153000000,13.200031,146.6001,36.587475
1154000000,12.76598,147.69632,38.3214
1155000000,12.699336,148.77843,39.0257
1156000000,14.097195,149.04013,35.314442
1157000000,13.459988,149.33241,37.092453
1158000000,14.278028,150.64516,35.547966
1159000000,13.347948,151.61594,38.430168
1160000000,13.525049,152.07942,38.141594
1161000000,13.588326,152.96846,38.365696
1162000000,14.397207,153.70914,36.554436
1163000000,15.053472,154.27072,35.21405
1164000000,14.447917,155.46724,37.180965
1165000000,15.297173,157.144,35.832626
1166000000,14.619825,158.12212,37.889717
1167000000,15.864243,157.70497,34.794899
1168000000,14.976541,159.77261,37.701263
1169000000,15.040944,160.78293,37.97311
1170000000,15.670278,161.78378,36.882957
1171000000,15.956985,162.80833,36.647789
1172000000,15.709146,163.51999,37.512699
1173000000,15.981254,163.7182,36.965099
1174000000,16.082239,164.94643,37.239056
1175000000,16.08046,165.54921,37.491066
1176000000,17.385553,167.00481,35.280117
1177000000,17.244989,168.59572,36.18219
1178000000,16.248812,168.68716,38.400623
1179000000,18.183855,170.24294,34.962116
1180000000,17.563131,171.88383,36.814236
1181000000,18.271875,173.11496,35.877197
1182000000,17.338615,174.36287,38.273396
1183000000,18.121593,174.59877,36.738998
1184000000,19.373556,175.52528,34.744869
1185000000,19.422279,176.00237,34.832344
1186000000,18.529884,178.06696,37.265575
1187000000,18.714609,179.07417,37.289261
1188000000,19.629723,179.3103,35.670395
1189000000,19.839413,181.69868,36.171021
1190000000,20.566095,183.71622,35.637058
1191000000,21.321915,183.39369,34.290337
1192000000,20.206417,184.24054,36.448967
1193000000,21.617655,186.11862,34.764523
1194000000,21.453636,187.29877,35.43531
1195000000,21.787149,188.48326,35.314186
1196000000,21.941105,188.91833,35.221935
1197000000,22.482862,190.73007,35.005619
1198000000,21.642641,192.26132,36.874866
1199000000,22.547667,193.86124,35.976437
1200000000,21.941942,194.62401,37.216827
1201000000,23.054937,196.25667,36.015022
1202000000,22.340929,197.69174,37.645229
1203000000,23.932783,199.86325,35.921257
1204000000,22.713064,201.47946,38.374622
1205000000,23.832726,202.57115,36.983475
1206000000,25.492371,203.43178,34.910709
1207000000,23.157082,205.9483,39.228989
1208000000,24.289331,206.25577,37.546577
1209000000,25.547569,208.45168,36.457275
1210000000,25.484224,210.39941,37.186218
1211000000,23.599714,211.37836,40.43148
1212000000,27.402323,213.56413,35.63353
1213000000,27.376354,215.04138,36.129261
1214000000,27.229067,215.78076,36.553223
1215000000,26.63905,218.78386,38.320629
1216000000,29.032099,218.61014,35.196915
1217000000,29.275969,221.26477,35.71133
1218000000,29.836008,223.54941,35.743916
1219000000,29.551119,224.83588,36.468277
1220000000,30.289619,226.40868,36.075966
1221000000,30.522507,228.56306,36.452335
1222000000,31.287193,231.54773,36.468822
1223000000,31.367966,232.03677,36.522655
1224000000,33.481567,233.30141,34.64727
1225000000,33.286098,236.55345,35.762051
1226000000,33.435051,236.22644,35.515881
1227000000,35.270126,239.20161,34.539333
1228000000,33.292656,241.23018,37.098591
1229000000,35.406963,241.90567,35.146545
1230000000,38.534698,244.86757,33.158138
1231000000,36.995201,249.68216,35.765778
1232000000,37.268448,250.09451,35.62471
1233000000,39.386364,251.59373,34.170738
1234000000,40.04343,254.51143,34.373322
1235000000,40.261124,257.18948,34.877151
1236000000,40.32859,258.26126,35.0956
1237000000,39.272099,261.74738,36.922295
1238000000,41.99794,262.98486,34.937313
1239000000,41.900261,265.24307,35.584816
1240000000,42.93224,264.9678,34.700844
1241000000,45.19614,269.62689,34.15123
1242000000,45.761597,276.06012,35.286564
1243000000,46.091026,274.48322,34.670063
1244000000,44.597061,279.66718,37.06184
1245000000,48.191689,278.88419,34.25008
1246000000,47.311932,284.32687,36.149345
1247000000,51.810944,286.56161,33.67049
1248000000,47.951363,289.66559,36.971062
1249000000,49.367504,292.86118,36.71954
1250000000,54.670055,298.60834,34.599106
1251000000,53.600838,298.45184,35.212303
1252000000,53.641937,302.78021,36.157959
1253000000,52.672489,306.98248,37.758957
1254000000,56.827171,311.24963,36.083763
1255000000,60.523544,312.58307,34.295094
1256000000,58.666645,314.4256,35.701061
1257000000,59.196358,319.26776,36.439705
1258000000,64.683624,321.20966,33.938831
