Freq(Hz),S11_Phase_90deg,S11_Phase_180deg,S11_Phase_thru,S11_Phase_thru_with_coupling,,
1120000000,109.30346,7.2326002,127.41647,86.059944,,
1121000000,109.12889,6.6807842,127.52801,86.130676,,
1122000000,109.03397,6.8635101,127.62959,86.383965,,
1123000000,108.65437,6.158659,127.5006,86.009636,,
1124000000,108.34532,4.628829,126.99156,86.306679,,
1125000000,108.53566,4.7664051,127.04317,86.138405,,
1126000000,108.31421,4.6776829,126.83932,85.622955,,
1127000000,108.13589,4.0193219,126.42302,85.721794,,
1128000000,107.73946,3.5095584,126.13775,85.868065,,
1129000000,107.66357,2.698889,126.54283,86.019127,,
1130000000,107.62175,2.8772106,125.72975,85.61528,,
1131000000,107.3191,1.4228749,125.727,85.791008,,
1132000000,107.07158,1.9791828,125.75552,85.456444,,
1133000000,106.86702,1.0818888,125.47897,85.748932,,
1134000000,106.75193,0.0100631,125.56453,85.736137,,
1135000000,106.515,0.1670991,125.05063,85.23246,,
1136000000,106.4108,-1.4461255,125.13494,85.432365,,
1137000000,106.00237,-1.6021259,124.61128,85.599815,,
1138000000,106.01434,-1.7006384,124.65927,85.137146,,
1139000000,105.66277,-2.1007311,124.19858,85.092796,,
1140000000,105.52881,-2.2761991,124.22631,85.003731,,
1141000000,105.48466,-3.3642759,124.17568,85.354729,,
1142000000,105.18469,-3.4633019,124.01981,84.948334,,
1143000000,104.9942,-4.5165162,123.7077,84.88871,,
1144000000,104.8623,-4.8002086,123.68925,84.9459,,
1145000000,104.46354,-5.3321757,123.39248,84.659462,,
1146000000,104.35091,-6.0986924,123.1642,84.676674,,
1147000000,104.15282,-6.3982463,122.58151,84.575554,,
1148000000,104.10076,-7.008512,122.85328,84.612785,,
1149000000,104.20007,-7.5840416,122.83799,84.614799,,
1150000000,103.77945,-7.977149,122.51297,84.491707,,
1151000000,103.93003,-8.5783272,122.57134,84.481194,,
1152000000,103.1891,-9.6628132,122.29736,84.436104,,
1153000000,103.21183,-10.515394,121.94276,84.489517,,
1154000000,103.2692,-10.879098,122.07816,84.333473,,
1155000000,102.75645,-11.725295,121.51796,84.108475,,
1156000000,102.7944,-12.056593,121.85411,84.403954,,
1157000000,102.47501,-12.81299,121.33823,84.090935,,
1158000000,102.21015,-13.475029,121.34334,84.043442,,
1159000000,102.05758,-13.875494,120.93827,83.529625,,
1160000000,101.93811,-14.221014,120.84102,83.692719,,
1161000000,101.58527,-14.767572,120.50918,83.695618,,
1162000000,101.65696,-15.930808,120.46988,83.711952,,
1163000000,101.41697,-15.997753,120.30656,83.233856,,
1164000000,101.1804,-17.000599,120.12158,83.350861,,
1165000000,100.98514,-17.336084,120.06406,83.102081,,
1166000000,100.69184,-18.581936,119.73271,83.512375,,
1167000000,100.71653,-19.249622,119.28275,83.107445,,
1168000000,100.47654,-19.672323,119.30502,83.122879,,
1169000000,100.04286,-20.476561,119.03083,82.983665,,
1170000000,100.21415,-20.461885,118.91048,82.848289,,
1171000000,99.949623,-21.633635,118.76847,82.971817,,
1172000000,99.781349,-22.154778,118.53401,82.629707,,
1173000000,99.600227,-22.836552,118.49644,82.625267,,
1174000000,99.460289,-23.317232,118.26421,82.538811,,
1175000000,99.153793,-24.725534,117.87566,82.680954,,
1176000000,99.224022,-25.811064,117.90891,82.337906,,
1177000000,99.239319,-26.70787,118.02773,82.516655,,
1178000000,98.835793,-26.957684,117.7086,82.425262,,
1179000000,98.674675,-27.681837,117.60224,82.453102,,
1180000000,98.627663,-27.892319,117.53123,82.00193,,
1181000000,98.317406,-29.926962,117.00311,82.292183,,
1182000000,98.3004,-29.975403,117.17979,82.035988,,
1183000000,97.977783,-30.159586,116.7065,82.062584,,
1184000000,98.167969,-31.066839,116.64641,81.894829,,
1185000000,97.714638,-31.643759,116.30865,82.074242,,
1186000000,97.556152,-32.767223,116.19086,82.330833,,
1187000000,97.407585,-32.766624,116.33688,81.889687,,
1188000000,97.307785,-34.412323,116.10258,81.786179,,
1189000000,97.269287,-35.41539,115.85912,81.75798,,
1190000000,97.032997,-36.72776,115.68204,81.515717,,
1191000000,97.054214,-36.850101,115.6853,81.844093,,
1192000000,96.781624,-37.267426,115.42457,81.255051,,
1193000000,96.531479,-37.357155,115.11391,81.193436,,
1194000000,96.457909,-39.419273,115.19673,81.49604,,
1195000000,96.407242,-38.812378,114.98132,81.364014,,
1196000000,96.209839,-39.843929,114.84142,81.391815,,
1197000000,96.015656,-42.364277,114.68751,81.410309,,
1198000000,95.746536,-41.086678,114.52393,81.144348,,
1199000000,95.707092,-42.465233,114.25072,81.134933,,
1200000000,95.604523,-44.823238,114.10622,81.354317,,
1201000000,95.405594,-44.685928,114.24401,80.956123,,
1202000000,95.292816,-45.245525,113.48491,80.502388,,
1203000000,95.270493,-46.957935,114.1519,81.083946,,
1204000000,94.889015,-47.568104,113.39502,80.696091,,
1205000000,94.869011,-48.385139,113.43765,80.846504,,
1206000000,94.779793,-48.6502,113.14098,80.754921,,
1207000000,94.75898,-50.364738,113.14181,80.762894,,
1208000000,94.55249,-49.8848,112.80121,80.433151,,
1209000000,94.370689,-51.891808,112.77701,80.22097,,
1210000000,94.282585,-52.378254,112.69205,79.848236,,
1211000000,93.712555,-53.225193,112.39893,80.422318,,
1212000000,94.214951,-54.262615,112.21429,79.863533,,
1213000000,94.018745,-53.411518,112.14148,79.874016,,
1214000000,93.561478,-55.015408,112.02374,80.121323,,
1215000000,93.461517,-56.868744,111.66354,79.871117,,
1216000000,93.495049,-57.627789,111.58244,79.963272,,
1217000000,93.226448,-58.615078,111.68449,79.867691,,
1218000000,93.135674,-58.233299,111.61923,79.746056,,
1219000000,93.195572,-60.631393,111.10789,79.596123,,
1220000000,93.141457,-61.787113,111.36271,80.205215,,
1221000000,93.001846,-62.048637,110.71971,79.630493,,
1222000000,93.081131,-62.276737,110.72024,79.469307,,
1223000000,92.376183,-63.568184,110.65081,79.42865,,
1224000000,92.488892,-63.394775,110.78493,79.46788,,
1225000000,92.617691,-66.299271,110.27396,79.413734,,
1226000000,92.292374,-66.175591,110.5152,79.302605,,
1227000000,92.190788,-67.252335,110.11004,79.252464,,
1228000000,91.79052,-68.376022,109.83233,78.953712,,
1229000000,91.899223,-68.697136,109.86671,78.972618,,
1230000000,91.866615,-69.438461,110.11476,79.01059,,
1231000000,91.601402,-70.865028,109.59639,78.700096,,
1232000000,91.435684,-72.476006,109.43383,78.928902,,
1233000000,91.515671,-72.637543,109.32104,78.911125,,
1234000000,91.640022,-74.488869,109.09554,78.473167,,
1235000000,91.584419,-74.190674,109.13072,78.772743,,
1236000000,91.139053,-74.729263,108.7765,78.430626,,
1237000000,91.311493,-76.386414,108.87881,78.740349,,
1238000000,91.255791,-77.872192,108.41538,78.595619,,
1239000000,91.08532,-78.8311,108.42034,78.049713,,
1240000000,90.93853,-79.432037,108.35052,78.150558,,
1241000000,91.002617,-80.309494,108.20386,78.248154,,
1242000000,90.850586,-81.335312,108.11513,78.151031,,
1243000000,90.789177,-81.710922,108.14515,78.391304,,
1244000000,90.533806,-82.542244,107.82111,78.064262,,
1245000000,90.366646,-83.424133,107.68503,77.683945,,
1246000000,90.585236,-85.288292,107.55841,77.697098,,
1247000000,90.627762,-86.491356,107.66126,77.833984,,
1248000000,89.942322,-85.963028,107.21452,77.857063,,
1249000000,89.994919,-87.681259,107.09195,77.601418,,
1250000000,90.105721,-88.427925,107.24747,77.845512,,
1251000000,89.725044,-88.185547,107.11343,77.560143,,
1252000000,89.734016,-90.383377,106.25011,77.22374,,
1253000000,89.372299,-89.617722,106.46391,77.253761,,
1254000000,89.7631,-90.945717,106.44785,77.115746,,
1255000000,89.258888,-91.541069,106.37966,77.241631,,
1256000000,89.290565,-93.2192,106.2838,77.216721,,
1257000000,89.240784,-94.245445,106.05637,76.953796,,
1258000000,89.219269,-94.673485,105.91685,76.961525,,
1259000000,89.225098,-95.939095,105.7006,76.549583,,
1260000000,88.851166,-96.059372,105.6183,76.556213,,
1261000000,88.990509,-97.223152,105.44412,76.677055,,
1262000000,88.845444,-97.795937,105.13106,76.468185,,
1263000000,88.794716,-99.029129,105.28111,76.611427,,
1264000000,88.789795,-99.160225,105.31558,76.675667,,
1265000000,88.537071,-100.22042,104.71958,76.545898,,
1266000000,88.692429,-101.47237,104.72035,76.384537,,
1267000000,88.629112,-102.60007,104.5887,76.33786,,
1268000000,88.570679,-102.25351,104.5964,76.158356,,
1269000000,88.689308,-103.86189,104.55634,76.12468,,
1270000000,88.429779,-105.10441,104.05661,76.103966,,
1271000000,88.307556,-105.02995,103.74581,75.882553,,
1272000000,88.106583,-105.54422,104.07043,75.888283,,
1273000000,88.266434,-106.61585,103.81155,75.554596,,
1274000000,88.337273,-106.96558,103.82084,75.777328,,
1275000000,88.118713,-108.25069,103.19464,75.406097,,
1276000000,88.066422,-108.3073,103.65511,75.546753,,
1277000000,88.290489,-110.30169,103.46654,75.530945,,
1278000000,88.178284,-110.68309,102.95881,75.280365,,
1279000000,87.968544,-110.71241,103.00362,75.159233,,
1280000000,87.864334,-111.52034,102.85145,75.086578,,
1281000000,87.862816,-112.24704,102.92094,75.138573,,
1282000000,88.025475,-113.30957,102.41572,75.055817,,
1283000000,88.225029,-114.1796,102.62601,75.135223,,
1284000000,87.686539,-114.17079,102.30007,75.021202,,
1285000000,87.98558,-115.7924,102.28082,74.724686,,
1286000000,87.63868,-115.9826,101.89666,74.864212,,
1287000000,87.814323,-116.87626,101.68925,74.601685,,
1288000000,87.849953,-117.45773,101.77169,74.465118,,
1289000000,88.041901,-118.52186,101.2142,74.282837,,
1290000000,87.908806,-119.45888,101.24672,74.271805,,
1291000000,87.932831,-119.42302,101.27155,74.351822,,
1292000000,87.78125,-119.49267,101.21334,74.040054,,
1293000000,88.184708,-120.94761,100.85004,74.437134,,
1294000000,87.668823,-121.08962,101.00504,74.045341,,
1295000000,87.709694,-121.87175,100.81575,73.849937,,
1296000000,88.138802,-122.72247,100.60871,73.879112,,
1297000000,87.633148,-123.21772,100.15521,73.782547,,
1298000000,87.828606,-123.69075,100.29015,73.782196,,
1299000000,87.938217,-124.42776,100.02186,73.754097,,
1300000000,88.121445,-124.99715,100.21019,73.718864,,
1301000000,88.312149,-126.67675,99.893517,73.30204,,
1302000000,87.997467,-126.19204,99.747017,73.190315,,
1303000000,87.834892,-126.28292,99.547928,73.264427,,
1304000000,87.763107,-127.04782,99.488159,73.169258,,
1305000000,88.746735,-128.60126,99.700081,73.442284,,
1306000000,88.591743,-129.32478,99.08136,73.231659,,
1307000000,88.075813,-129.16006,98.947746,72.946495,,
1308000000,88.425346,-129.72151,99.275597,72.881454,,
1309000000,88.598106,-130.51317,98.91893,72.873802,,
1310000000,88.488907,-130.88387,98.941093,72.829498,,
1311000000,88.579826,-131.02965,98.907974,72.849396,,
1312000000,88.511627,-131.71204,98.964478,72.806808,,
1313000000,88.430367,-133.04916,98.138275,72.212166,,
1314000000,88.821198,-133.40065,98.312798,72.210602,,
1315000000,89.065735,-134.46161,98.177963,72.183151,,
1316000000,88.768158,-134.44861,97.947823,72.209412,,
1317000000,88.748985,-134.64079,98.302155,72.117554,,
1318000000,89.041603,-134.98499,97.911629,72.024292,,
1319000000,88.807137,-135.52536,97.780182,72.026535,,
1320000000,89.62796,-136.44635,97.42411,71.527161,,
1321000000,89.638031,-136.91946,97.444481,71.809715,,
1322000000,89.593628,-137.31833,97.487694,71.312241,,
1323000000,90.030624,-138.67091,97.223854,71.432915,,
1324000000,89.739059,-138.18495,97.297379,71.298241,,
1325000000,89.495987,-138.44052,97.294266,71.336021,,
1326000000,89.960022,-139.4735,96.893806,71.018562,,
1327000000,89.61898,-139.72334,96.646225,70.831497,,
1328000000,90.477676,-140.18018,97.026855,71.137772,,
1329000000,90.231796,-140.91405,96.36129,70.618835,,
1330000000,90.397392,-141.26193,96.242249,70.612099,,
1331000000,90.411942,-142.09717,96.113976,70.387993,,
1332000000,90.25312,-142.25275,95.620537,70.443382,,
1333000000,91.42363,-143.40932,96.005455,69.960983,,
1334000000,90.990532,-143.52556,95.767471,70.19529,,
1335000000,91.115082,-143.39015,95.678619,70.026962,,
1336000000,91.688652,-144.37825,95.653786,70.239464,,
1337000000,91.777748,-144.96408,95.521088,70.027092,,
1338000000,92.18129,-145.56889,95.253822,69.927132,,
1339000000,91.880699,-145.93587,95.204376,70.185059,,
1340000000,91.923111,-146.57497,95.017273,69.408539,,
1341000000,92.580711,-147.16495,94.843506,69.197014,,
1342000000,92.541512,-147.14989,94.890068,69.450073,,
1343000000,92.370361,-146.95578,94.514,69.255066,,
1344000000,93.035248,-148.01448,94.705025,68.985703,,
1345000000,93.572792,-148.60344,94.585564,69.156387,,
1346000000,94.236282,-148.99947,94.285713,69.00737,,
1347000000,93.305618,-149.52162,93.869835,68.770676,,
1348000000,93.714569,-149.69878,93.832687,68.717911,,
1349000000,94.162575,-150.6252,93.903473,68.58551,,
1350000000,94.114655,-150.37473,93.550484,68.630524,,
1351000000,95.140335,-151.33162,93.819435,68.430832,,
1352000000,94.991959,-151.52875,93.436226,68.389359,,
1353000000,94.733376,-151.78113,93.317245,68.217896,,
1354000000,95.888336,-152.88461,93.232574,67.883926,,
1355000000,95.86026,-152.68285,93.314575,67.857681,,
1356000000,95.853432,-153.37025,92.966614,67.674515,,
1357000000,96.047798,-153.28481,93.011024,67.793388,,
1358000000,97.424095,-154.20285,92.803871,67.843658,,
1359000000,97.477928,-154.59909,92.465408,67.47168,,
1360000000,97.541199,-155.02626,92.405396,67.612885,,
1361000000,97.965019,-155.12688,92.39962,67.525307,,
1362000000,98.605995,-155.56496,92.104202,67.224289,,
1363000000,97.810265,-155.43187,91.938843,67.08297,,
1364000000,98.898514,-156.39513,92.087105,66.963356,,
1365000000,99.616302,-156.75943,92.06353,67.185219,,
1366000000,99.903549,-157.44464,91.731163,66.877548,,
1367000000,100.36816,-157.70667,91.724998,67.04924,,
1368000000,100.67834,-158.55121,91.411751,67.028801,,
1369000000,100.88234,-158.69687,91.115501,66.884094,,
1370000000,101.58633,-159.29541,91.323288,66.984818,,
1371000000,102.05248,-159.2527,91.301254,67.315247,,
1372000000,101.90084,-159.64607,90.915436,67.33625,,
1373000000,102.80825,-160.38277,91.157608,67.629196,,
1374000000,103.75175,-160.86014,90.829803,67.592255,,
1375000000,104.19008,-161.25517,90.93853,68.102333,,
1376000000,104.18658,-161.29362,90.139702,68.198212,,
1377000000,104.64651,-161.85013,90.344139,68.446808,,
1378000000,105.72139,-162.33565,90.490196,69.102852,,
1379000000,106.13773,-162.77127,90.084122,68.941689,,
1380000000,105.95251,-162.72881,89.950439,69.022728,,
1381000000,107.62248,-163.63853,89.820335,69.403252,,
1382000000,108.18354,-163.9978,90.131706,69.520844,,
1383000000,106.70189,-163.95869,89.730713,69.374748,,
1384000000,108.42413,-164.70544,89.724663,69.450104,,
1385000000,108.88714,-164.75383,89.580719,69.239326,,
1386000000,110.39822,-165.25592,89.437927,69.435669,,
1387000000,109.7961,-165.24394,89.597382,69.135338,,
1388000000,111.03493,-166.50568,89.130768,69.135292,,
1389000000,110.64619,-166.15738,89.270149,68.839508,,
1390000000,111.38279,-167.11768,89.10878,69.095131,,
