Freq(Hz),S11_90deg,S11_180deg,S11_thru,S11_thru_with_coupling
1000000000,-19.569447,-21.032949,-20.169868,-19.784582
1001000000,-19.551292,-21.040606,-20.016636,-19.783237
1002000000,-19.621008,-21.003637,-20.113371,-19.730751
1003000000,-19.555891,-21.051216,-20.011717,-19.758236
1004000000,-19.636709,-20.988087,-20.096352,-19.740103
1005000000,-19.563034,-21.011366,-19.924267,-19.702692
1006000000,-19.50526,-21.02396,-19.961945,-19.728205
1007000000,-19.505278,-21.038414,-19.811533,-19.640085
1008000000,-19.512636,-21.073307,-19.83251,-19.595076
1009000000,-19.455328,-21.040855,-19.778112,-19.574547
1010000000,-19.489134,-20.972883,-19.78326,-19.590309
1011000000,-19.444468,-21.05352,-19.74066,-19.577269
1012000000,-19.462057,-21.044872,-19.667862,-19.545736
1013000000,-19.418959,-21.095442,-19.593542,-19.471741
1014000000,-19.444866,-21.131557,-19.580849,-19.477875
1015000000,-19.429123,-21.084114,-19.592926,-19.518276
1016000000,-19.372078,-21.063747,-19.45429,-19.48098
1017000000,-19.324684,-21.141619,-19.416403,-19.354963
1018000000,-19.340694,-21.068192,-19.356531,-19.44347
1019000000,-19.328722,-21.142075,-19.344543,-19.317059
1020000000,-19.372097,-21.075233,-19.410488,-19.396723
1021000000,-19.321016,-21.089443,-19.334503,-19.327326
1022000000,-19.294008,-21.099857,-19.228378,-19.305161
1023000000,-19.313704,-21.126463,-19.248415,-19.302052
1024000000,-19.297316,-21.116671,-19.273855,-19.271694
1025000000,-19.262362,-21.123787,-19.189371,-19.19754
1026000000,-19.236414,-21.123329,-19.117474,-19.168348
1027000000,-19.263775,-21.150545,-19.087719,-19.175571
1028000000,-19.18786,-21.102606,-19.027756,-19.155136
1029000000,-19.230064,-21.100956,-19.056038,-19.200541
1030000000,-19.185049,-21.159277,-19.022951,-19.073738
1031000000,-19.215109,-21.192909,-18.995396,-19.094606
1032000000,-19.167034,-21.168118,-18.90514,-19.049425
1033000000,-19.147928,-21.21822,-18.859446,-19.029577
1034000000,-19.178989,-21.169382,-18.850531,-19.048374
1035000000,-19.188389,-21.174868,-18.8349,-19.023106
1036000000,-19.110352,-21.253683,-18.782118,-18.959837
1037000000,-19.156858,-21.235458,-18.825243,-18.962517
1038000000,-19.098316,-21.306181,-18.681028,-18.890652
1039000000,-19.10907,-21.25461,-18.718061,-18.935833
1040000000,-19.158028,-21.236967,-18.725096,-18.967752
1041000000,-19.122866,-21.284363,-18.669924,-18.915628
1042000000,-19.132397,-21.292433,-18.71353,-18.948866
1043000000,-19.138044,-21.302839,-18.665565,-18.907902
1044000000,-19.079149,-21.327887,-18.52693,-18.805389
1045000000,-19.077417,-21.296419,-18.555622,-18.887594
1046000000,-19.068066,-21.372931,-18.459381,-18.790333
1047000000,-19.034788,-21.339886,-18.448641,-18.7696
1048000000,-19.052036,-21.418995,-18.410238,-18.753492
1049000000,-19.058512,-21.376076,-18.433052,-18.771313
1050000000,-19.033628,-21.419216,-18.420975,-18.748777
1051000000,-19.042774,-21.424719,-18.367054,-18.742815
1052000000,-19.019196,-21.468332,-18.358761,-18.638281
1053000000,-19.001198,-21.400656,-18.35359,-18.697163
1054000000,-18.999037,-21.43079,-18.286589,-18.67519
1055000000,-18.94916,-21.504932,-18.241325,-18.623798
1056000000,-18.930035,-21.504368,-18.12426,-18.581955
1057000000,-18.969881,-21.415293,-18.212694,-18.650671
