!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:03:27
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1105000000,-0.22629552,-158.34639,-21.766884,95.411552
1106000000,-0.23093984,-158.48486,-21.738247,95.982613
1107000000,-0.22611859,-158.5611,-21.750828,95.999901
1108000000,-0.20915051,-158.96622,-21.664572,94.838486
1109000000,-0.24057862,-159.02242,-21.686535,95.079521
1110000000,-0.21899919,-159.23801,-21.640619,94.744232
1111000000,-0.21113181,-159.28757,-21.546146,94.83448
1112000000,-0.19799897,-159.23598,-21.500969,94.962311
1113000000,-0.22589134,-159.43512,-21.532642,94.873314
1114000000,-0.24727878,-159.5773,-21.570538,94.116302
1115000000,-0.2384249,-159.73692,-21.530758,94.555138
1116000000,-0.21448201,-159.92619,-21.478802,93.928085
1117000000,-0.2402454,-160.17542,-21.413658,93.990555
1118000000,-0.23780188,-160.22374,-21.413698,93.647911
1119000000,-0.20962796,-160.36372,-21.367325,93.588356
1120000000,-0.23853391,-160.61255,-21.364109,93.437492
1121000000,-0.2068184,-160.65033,-21.328743,93.336014
1122000000,-0.2225631,-160.80458,-21.262022,93.189125
1123000000,-0.2364897,-160.94849,-21.300915,92.942139
1124000000,-0.23587349,-161.17357,-21.253302,92.881737
1125000000,-0.25056013,-161.25066,-21.237894,92.069153
1126000000,-0.23448786,-161.25757,-21.205645,92.804886
1127000000,-0.22616923,-161.53746,-21.120655,92.054535
1128000000,-0.20492624,-161.48718,-21.111151,92.39563
1129000000,-0.24411049,-161.67114,-21.105553,91.466484
1130000000,-0.24736884,-161.88167,-21.132629,91.730103
1131000000,-0.20071337,-162.02702,-21.035496,91.409393
1132000000,-0.23866707,-162.09111,-21.099997,91.324005
1133000000,-0.23670894,-162.31975,-21.018969,91.280762
1134000000,-0.22023878,-162.49167,-21.006338,90.952019
1135000000,-0.24922836,-162.65756,-20.988478,90.62574
1136000000,-0.24753538,-162.55348,-21.014614,90.527
1137000000,-0.2090963,-162.81049,-20.87818,90.657913
1138000000,-0.23464037,-162.99467,-20.956083,90.280968
1139000000,-0.23016113,-163.19965,-20.901844,90.025505
1140000000,-0.24703491,-163.26285,-20.868717,90.02256
1141000000,-0.22897796,-163.47418,-20.871838,89.576149
1142000000,-0.24442004,-163.63637,-20.814865,89.480591
1143000000,-0.24113508,-163.82773,-20.775963,89.368378
1144000000,-0.25196293,-163.80392,-20.755569,89.403191
1145000000,-0.24788949,-164.14359,-20.764658,89.191475
1146000000,-0.24413997,-164.07677,-20.693222,88.992172
1147000000,-0.21626443,-164.12981,-20.684473,89.088417
1148000000,-0.21272422,-164.50006,-20.644918,88.631882
1149000000,-0.24572536,-164.46912,-20.676474,88.736664
1150000000,-0.23412496,-164.91563,-20.607574,88.450195
1151000000,-0.23220156,-164.9912,-20.586205,88.251381
1152000000,-0.21431088,-165.05907,-20.602669,88.023384
1153000000,-0.23346177,-165.05768,-20.570612,88.126244
1154000000,-0.23427905,-165.30818,-20.534904,87.935699
1155000000,-0.23571466,-165.6127,-20.545147,87.568893
1156000000,-0.22820522,-165.78154,-20.466911,87.360641
1157000000,-0.20648077,-165.74791,-20.448929,87.225327
1158000000,-0.2423404,-165.90347,-20.478083,87.036034
1159000000,-0.23338294,-166.17113,-20.41188,86.747108
1160000000,-0.2271643,-166.1344,-20.463703,87.035995
1161000000,-0.22405975,-166.3455,-20.37677,86.678406
1162000000,-0.23154347,-166.43562,-20.384438,86.494514
1163000000,-0.25097942,-166.63391,-20.37499,86.21003
1164000000,-0.20321895,-166.73892,-20.355093,86.119354
1165000000,-0.21329823,-166.90512,-20.288164,86.230835
1166000000,-0.21282911,-167.01138,-20.310879,85.502991
1167000000,-0.2326574,-167.21338,-20.303333,85.72657
1168000000,-0.25999036,-167.39491,-20.315365,85.206306
1169000000,-0.22403319,-167.62216,-20.248293,85.551834
1170000000,-0.22857532,-167.55743,-20.27009,85.143288
1171000000,-0.21131262,-167.71132,-20.251209,85.191383
1172000000,-0.23134394,-167.95645,-20.266983,85.139153
1173000000,-0.23526803,-167.98143,-20.212019,84.739456
1174000000,-0.25655678,-168.23055,-20.246315,84.488731
1175000000,-0.25031742,-168.43956,-20.202164,84.30024
1176000000,-0.23076835,-168.51463,-20.165567,84.325264
