Freq,Thru2,Thru,S180,S90
1,-0.2875891,-0.26389679,-0.39998901,-0.35568506
1.001,-0.29476851,-0.23368518,-0.35674083,-0.34235346
1.002,-0.29302391,-0.26683468,-0.40917194,-0.35647979
1.003,-0.28635475,-0.28114173,-0.40976441,-0.3722772
1.004,-0.27997735,-0.2876569,-0.40994176,-0.35565555
1.005,-0.28545344,-0.27965158,-0.39510849,-0.35968369
1.006,-0.27296636,-0.26425374,-0.38968557,-0.3490141
1.007,-0.27610093,-0.26598269,-0.3722896,-0.36937171
1.008,-0.26544613,-0.24692033,-0.39244789,-0.35426697
1.009,-0.27845418,-0.24726276,-0.4019722,-0.37352553
1.01,-0.29440331,-0.2788282,-0.37897077,-0.34999999
1.011,-0.27366558,-0.2489592,-0.38447988,-0.3724733
1.012,-0.26767328,-0.26738796,-0.40897414,-0.35833481
1.013,-0.30799699,-0.2461984,-0.40656096,-0.3525399
1.014,-0.29370135,-0.28316641,-0.41184747,-0.37380719
1.015,-0.27722231,-0.22903581,-0.37541196,-0.37120563
1.016,-0.2694999,-0.28458914,-0.39460805,-0.36156076
1.017,-0.27658862,-0.28129026,-0.4089663,-0.36532152
1.018,-0.31076905,-0.28973585,-0.39448449,-0.37142837
1.019,-0.26707524,-0.26595235,-0.40017274,-0.35898408
1.02,-0.32454619,-0.30388936,-0.42511773,-0.40813017
1.021,-0.26814774,-0.24943934,-0.38210601,-0.3515746
1.022,-0.30675501,-0.26870641,-0.40906504,-0.37530172
1.023,-0.30680409,-0.27753323,-0.40003932,-0.36807173
1.024,-0.27774945,-0.27108485,-0.38540575,-0.35915914
1.025,-0.2967889,-0.26889741,-0.41791803,-0.3633118
1.026,-0.27236214,-0.26301417,-0.38969958,-0.36617258
1.027,-0.30439153,-0.2822544,-0.39349371,-0.35831299
1.028,-0.25307655,-0.25772727,-0.35530984,-0.36163941
1.029,-0.29504395,-0.27326736,-0.39621025,-0.37359655
1.03,-0.29704115,-0.29446292,-0.40154958,-0.38120395
1.031,-0.30480966,-0.30274472,-0.41228521,-0.38751298
1.032,-0.27764773,-0.24258447,-0.37674439,-0.35135493
1.033,-0.29254529,-0.26342145,-0.38645628,-0.35586488
1.034,-0.29415193,-0.25165603,-0.40029189,-0.35115445
1.035,-0.28959975,-0.27828175,-0.38855204,-0.37267363
1.036,-0.27251557,-0.24546736,-0.37806082,-0.31973252
1.037,-0.27593988,-0.26349804,-0.38934785,-0.37131053
