!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Wednesday, March 09, 2016 16:50:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB),S11 Phase(°)
1101000000,-0.32142991,-171.09334,-23.592035,-40.604759
1102000000,-0.33737022,-171.31606,-23.571785,-40.442307
1103000000,-0.33016598,-171.77303,-23.515388,-40.757893
1104000000,-0.33001879,-171.74408,-23.469446,-41.105556
1105000000,-0.31376955,-172.04094,-23.388731,-41.158123
1106000000,-0.31891736,-171.83772,-23.413862,-41.04118
1107000000,-0.32873401,-171.98512,-23.381697,-41.613773
1108000000,-0.3210291,-172.35515,-23.32593,-41.405083
1109000000,-0.32100216,-172.51387,-23.267929,-41.54203
1110000000,-0.3457779,-172.66251,-23.24218,-42.201397
1111000000,-0.32178369,-172.93715,-23.173618,-41.976887
1112000000,-0.31741875,-172.9064,-23.112698,-42.359627
1113000000,-0.33248377,-173.01331,-23.097992,-42.7155
1114000000,-0.33824205,-173.46477,-23.103165,-42.812366
1115000000,-0.3401832,-173.41632,-23.003448,-42.989605
1116000000,-0.33844173,-173.67937,-22.960777,-43.328854
1117000000,-0.29692739,-173.69536,-22.920027,-43.347305
1118000000,-0.3566159,-173.89268,-22.863316,-43.618473
1119000000,-0.34700647,-174.07388,-22.826071,-43.714363
1120000000,-0.34661472,-174.33545,-22.796345,-43.934704
1121000000,-0.37338495,-174.29898,-22.79583,-44.14362
1122000000,-0.33594295,-174.40062,-22.683681,-44.220108
1123000000,-0.34619772,-174.79294,-22.693026,-44.923767
1124000000,-0.34014252,-174.89645,-22.619514,-45.060543
1125000000,-0.3257814,-175.02063,-22.581505,-45.043972
1126000000,-0.36235186,-175.18652,-22.552275,-45.514633
1127000000,-0.3395417,-175.4317,-22.477201,-45.609447
1128000000,-0.35469267,-175.38332,-22.427494,-46.006947
1129000000,-0.3578999,-175.65756,-22.438158,-46.238361
1130000000,-0.37363386,-175.97664,-22.33963,-46.60154
1131000000,-0.3050006,-176.01408,-22.330496,-46.908127
1132000000,-0.33283094,-176.11964,-22.282261,-47.114586
1133000000,-0.35229254,-176.28084,-22.263876,-47.540768
1134000000,-0.35390687,-176.42818,-22.232409,-48.074921
1135000000,-0.38330111,-176.64096,-22.202917,-48.209896
1136000000,-0.37563673,-176.92867,-22.170929,-48.76339
1137000000,-0.37121466,-177.18616,-22.168217,-49.297153
1138000000,-0.36951536,-177.05324,-22.098343,-49.367512
1139000000,-0.40005463,-177.25395,-22.087629,-50.027821
1140000000,-0.40038863,-177.52975,-22.052832,-50.413033
1141000000,-0.39401767,-177.54091,-22.049234,-50.572941
1142000000,-0.40432912,-177.80975,-22.057732,-51.339882
1143000000,-0.38175255,-177.87709,-22.072401,-51.689533
1144000000,-0.43489662,-178.09041,-22.075476,-52.401497
1145000000,-0.40610415,-178.15414,-22.026134,-52.692467
1146000000,-0.43483901,-178.3799,-22.097809,-53.037983
1147000000,-0.41996029,-178.40556,-22.107664,-53.641293
1148000000,-0.42963532,-178.47882,-22.155781,-53.804897
1149000000,-0.43318191,-178.72659,-22.20155,-54.196606
1150000000,-0.4482812,-178.85495,-22.271711,-54.714722
1151000000,-0.43137607,-178.83543,-22.344353,-54.55368
1152000000,-0.4517706,-179.17448,-22.379498,-54.812546
1153000000,-0.44081306,-179.14006,-22.449244,-54.910816
1154000000,-0.45491505,-179.17453,-22.530737,-54.581329
1155000000,-0.43049878,-179.4126,-22.622217,-54.385525
1156000000,-0.4500896,-179.27657,-22.640715,-53.758339
1157000000,-0.42280629,-179.44925,-22.656851,-53.529125
1158000000,-0.43894592,-179.75362,-22.657099,-53.094948
1159000000,-0.4285391,-179.98332,-22.666054,-52.719318
1160000000,-0.45136887,-179.89294,-22.661884,-52.410675
1161000000,-0.43145391,-179.968,-22.619265,-51.955936
1162000000,-0.41968849,-180.25342,-22.592922,-51.625256
1163000000,-0.42374372,-180.30586,-22.524977,-51.153442
1164000000,-0.39176574,-180.54448,-22.476788,-50.990963
1165000000,-0.39520597,-180.65529,-22.467426,-51.062305
1166000000,-0.40549675,-180.92856,-22.389074,-50.621471
1167000000,-0.389065,-180.9351,-22.340693,-50.335297
1168000000,-0.38644913,-181.12396,-22.275209,-50.356464
1169000000,-0.39558715,-181.46082,-22.230282,-50.164368
1170000000,-0.38009703,-181.51009,-22.152487,-50.059944
1171000000,-0.39392602,-181.70375,-22.135567,-50.06604
1172000000,-0.38436568,-181.76071,-22.0473,-50.198231
