Freq,S21_HFSS,S31_HFSS,S32_HFSS,S21_Milled,S31_Milled,S32_Milled
1.062,-3.465225305,-3.455375213,-7.658960302,-3.3336556,-3.3234296,-10.21288
1.063,-3.465167829,-3.455329709,-7.663267385,-3.2845469,-3.3086331,-10.181127
1.064,-3.465110579,-3.455284442,-7.667573731,-3.3420646,-3.3186893,-10.202634
1.065,-3.465053554,-3.455239411,-7.671879343,-3.3033853,-3.3014886,-10.210646
1.066,-3.464996755,-3.455194616,-7.676184222,-3.3479021,-3.2994149,-10.238541
1.067,-3.46494018,-3.455150056,-7.680488369,-3.3162873,-3.2902696,-10.236441
1.068,-3.464883831,-3.455105732,-7.684791784,-3.2969613,-3.3064783,-10.22697
1.069,-3.464827705,-3.455061642,-7.68909447,-3.3263743,-3.3245373,-10.254172
1.07,-3.464771804,-3.455017786,-7.693396428,-3.3315251,-3.296581,-10.268863
1.071,-3.464716127,-3.454974164,-7.697697657,-3.3096399,-3.317755,-10.241669
1.072,-3.464660673,-3.454930776,-7.701998161,-3.3251798,-3.3219252,-10.264326
1.073,-3.464605443,-3.45488762,-7.70629794,-3.3367116,-3.3323643,-10.303245
1.074,-3.464550436,-3.454844697,-7.710596995,-3.2916262,-3.3004506,-10.275352
1.075,-3.464495651,-3.454802006,-7.714895327,-3.3485451,-3.3271925,-10.293759
1.076,-3.464441089,-3.454759547,-7.719192938,-3.3235183,-3.3168166,-10.274597
1.077,-3.46438675,-3.454717319,-7.72348983,-3.3420601,-3.3282127,-10.322569
1.078,-3.464332632,-3.454675322,-7.727786003,-3.302496,-3.295476,-10.27797
1.079,-3.464278735,-3.454633556,-7.732081459,-3.3202212,-3.3110723,-10.29604
1.08,-3.46422506,-3.454592019,-7.736376198,-3.3189657,-3.2946754,-10.299706
1.081,-3.464171606,-3.454550712,-7.740670224,-3.3335114,-3.3103466,-10.310525
1.082,-3.464118373,-3.454509635,-7.744963536,-3.3751006,-3.3307035,-10.354845
1.083,-3.46406536,-3.454468786,-7.749256136,-3.3406274,-3.3063374,-10.361199
1.084,-3.464012567,-3.454428165,-7.753548027,-3.3123097,-3.2946503,-10.326486
1.085,-3.463959994,-3.454387773,-7.757839208,-3.3216343,-3.2940104,-10.351471
1.086,-3.463907641,-3.454347607,-7.762129681,-3.3279614,-3.3185353,-10.379667
1.087,-3.463855506,-3.454307669,-7.766419449,-3.2983701,-3.2969,-10.372319
1.088,-3.463803591,-3.454267957,-7.770708512,-3.3447397,-3.3034861,-10.398252
1.089,-3.463751894,-3.454228472,-7.774996872,-3.315136,-3.2921619,-10.377849
1.09,-3.463700415,-3.454189212,-7.779284531,-3.3181629,-3.2944629,-10.348009
1.091,-3.463649154,-3.454150177,-7.783571489,-3.3104694,-3.3052454,-10.381666
1.092,-3.463598111,-3.454111367,-7.787857748,-3.3319159,-3.3091674,-10.361856
1.093,-3.463547285,-3.454072781,-7.792143311,-3.3192346,-3.3024111,-10.403367
1.094,-3.463496676,-3.454034419,-7.796428178,-3.322859,-3.3046653,-10.392953
1.095,-3.463446283,-3.453996281,-7.800712351,-3.3301446,-3.2952981,-10.392932
1.096,-3.463396107,-3.453958365,-7.804995832,-3.3383682,-3.3032956,-10.450511
1.097,-3.463346147,-3.453920672,-7.809278622,-3.3154953,-3.3276401,-10.438622
1.098,-3.463296402,-3.453883201,-7.813560723,-3.3254166,-3.2995498,-10.42562
1.099,-3.463246873,-3.453845952,-7.817842137,-3.337347,-3.3037052,-10.449018
1.1,-3.463197559,-3.453808923,-7.822122864,-3.3446696,-3.2987504,-10.424455
1.101,-3.463148459,-3.453772115,-7.826402908,-3.3250246,-3.3310199,-10.470598
1.102,-3.463099573,-3.453735528,-7.830682268,-3.3151324,-3.3247266,-10.475094
1.103,-3.463050902,-3.45369916,-7.834960948,-3.3110652,-3.3206191,-10.488007
1.104,-3.463002444,-3.453663011,-7.839238949,-3.3133545,-3.3070974,-10.462892
1.105,-3.462954199,-3.45362708,-7.843516272,-3.3489497,-3.3162529,-10.469571
1.106,-3.462906167,-3.453591368,-7.847792919,-3.3195403,-3.295404,-10.469335
1.107,-3.462858348,-3.453555874,-7.852068892,-3.318223,-3.3289371,-10.512797
1.108,-3.462810741,-3.453520597,-7.856344193,-3.3301737,-3.3247955,-10.519897
1.109,-3.462763346,-3.453485537,-7.860618824,-3.2983696,-3.3056912,-10.491136
1.11,-3.462716162,-3.453450693,-7.864892785,-3.3268585,-3.3232915,-10.532916
1.111,-3.462669189,-3.453416065,-7.86916608,-3.3236947,-3.3007143,-10.525644
1.112,-3.462622427,-3.453381652,-7.87343871,-3.3107107,-3.2789159,-10.510232
1.113,-3.462575876,-3.453347454,-7.877710676,-3.3270438,-3.2938871,-10.532685
1.114,-3.462529534,-3.45331347,-7.88198198,-3.3428516,-3.3026552,-10.530254
1.115,-3.462483402,-3.4532797,-7.886252625,-3.3153305,-3.321259,-10.544749
1.116,-3.46243748,-3.453246143,-7.890522612,-3.3317859,-3.3127303,-10.543881
1.117,-3.462391766,-3.453212799,-7.894791944,-3.299964,-3.288269,-10.532024
1.118,-3.462346261,-3.453179668,-7.899060621,-3.3330905,-3.3197811,-10.584217
1.119,-3.462300964,-3.453146748,-7.903328645,-3.2983,-3.2809784,-10.560959
1.12,-3.462255875,-3.45311404,-7.90759602,-3.3234932,-3.294349,-10.595125
1.121,-3.462210994,-3.453081542,-7.911862746,-3.3158226,-3.3134966,-10.587985
1.122,-3.46216632,-3.453049255,-7.916128826,-3.3317032,-3.3017955,-10.598371
1.123,-3.462121852,-3.453017177,-7.920394262,-3.299938,-3.2968848,-10.571243
1.124,-3.46207759,-3.452985309,-7.924659054,-3.2799673,-3.2785501,-10.578753
1.125,-3.462033535,-3.45295365,-7.928923207,-3.3292546,-3.2979991,-10.60705
1.126,-3.461989685,-3.452922198,-7.933186721,-3.3024545,-3.3074253,-10.626793
1.127,-3.46194604,-3.452890955,-7.937449598,-3.3259292,-3.3038349,-10.621049
1.128,-3.4619026,-3.452859919,-7.941711841,-3.3190017,-3.3132248,-10.663734
1.129,-3.461859365,-3.452829089,-7.945973451,-3.3392096,-3.3214946,-10.651869
1.13,-3.461816333,-3.452798466,-7.950234431,-3.3335533,-3.3451848,-10.663339
1.131,-3.461773505,-3.452768048,-7.954494782,-3.306725,-3.3065069,-10.610091
1.132,-3.461730881,-3.452737835,-7.958754507,-3.3261104,-3.3132675,-10.651902
1.133,-3.461688459,-3.452707827,-7.963013608,-3.3115656,-3.2973351,-10.657561
1.134,-3.461646239,-3.452678023,-7.967272086,-3.3134766,-3.3072412,-10.691261
1.135,-3.461604222,-3.452648423,-7.971529945,-3.3261051,-3.3434019,-10.710342
1.136,-3.461562406,-3.452619026,-7.975787185,-3.3474836,-3.3285432,-10.69614
1.137,-3.461520792,-3.452589831,-7.98004381,-3.3607228,-3.3209143,-10.706781
1.138,-3.461479378,-3.452560838,-7.984299821,-3.3059881,-3.2958481,-10.707919
1.139,-3.461438165,-3.452532047,-7.988555221,-3.3389089,-3.3202217,-10.731966
1.14,-3.461397152,-3.452503456,-7.992810011,-3.3522301,-3.3101108,-10.738436
1.141,-3.461356339,-3.452475066,-7.997064194,-3.3504701,-3.3168252,-10.743497
1.142,-3.461315724,-3.452446876,-8.001317772,-3.3290906,-3.3230083,-10.748964
1.143,-3.461275309,-3.452418884,-8.005570747,-3.3147638,-3.2823567,-10.721813
1.144,-3.461235092,-3.452391092,-8.009823121,-3.3201778,-3.3101554,-10.748817
1.145,-3.461195073,-3.452363498,-8.014074897,-3.3087275,-3.3084638,-10.74229
1.146,-3.461155251,-3.452336101,-8.018326078,-3.2941363,-3.304914,-10.738216
1.147,-3.461115627,-3.452308902,-8.022576664,-3.3163538,-3.2809541,-10.742579
1.148,-3.4610762,-3.452281899,-8.026826658,-3.3247371,-3.2966917,-10.773067
1.149,-3.461036968,-3.452255093,-8.031076064,-3.3138397,-3.2954259,-10.770821
1.15,-3.460997933,-3.452228481,-8.035324882,-3.3215039,-3.3107455,-10.792253
1.151,-3.460959093,-3.452202065,-8.039573115,-3.3276973,-3.3173504,-10.799948
1.152,-3.460920449,-3.452175843,-8.043820766,-3.3099077,-3.2783864,-10.774674
1.153,-3.460881999,-3.452149815,-8.048067837,-3.2970021,-3.2929566,-10.792825
1.154,-3.460843743,-3.45212398,-8.05231433,-3.3204541,-3.3242731,-10.821312
1.155,-3.460805681,-3.452098338,-8.056560248,-3.339401,-3.288136,-10.809521
1.156,-3.460767813,-3.452072887,-8.060805593,-3.3079476,-3.2859199,-10.801022
