Freq,Thru2,Thru,S180,S90
1,-25.839699,-25.158552,158.69286,-54.133839
1.001,-25.613811,-25.384043,159.17957,-54.685867
1.002,-25.489006,-25.43959,158.259,-54.812901
1.003,-26.202667,-26.111702,158.71237,-55.146629
1.004,-26.07555,-26.385406,157.56052,-54.623486
1.005,-26.571053,-27.113869,158.31424,-55.401272
1.006,-27.309473,-27.513065,157.77924,-55.487053
1.007,-26.270239,-27.335289,158.16925,-56.167519
1.008,-26.424654,-27.408762,157.75989,-56.415497
1.009,-26.945045,-28.110125,157.74612,-56.735672
1.01,-27.347191,-28.529572,157.39754,-56.832787
1.011,-27.206696,-28.779444,157.20605,-57.201427
1.012,-27.322229,-29.024288,157.29247,-57.483776
1.013,-27.427406,-29.313505,157.33569,-57.943146
1.014,-26.799126,-28.922384,157.35374,-58.184387
1.015,-28.404837,-30.388334,156.88995,-58.178467
1.016,-28.95405,-31.121767,156.96152,-58.219166
1.017,-27.239605,-30.213154,157.15591,-59.326771
1.018,-28.400536,-31.119104,156.94127,-58.482471
1.019,-27.530979,-30.592972,156.70267,-59.814686
1.02,-28.606155,-31.818123,156.03418,-59.489098
1.021,-28.417101,-31.569868,156.23372,-59.694359
1.022,-28.901827,-32.16497,156.27319,-60.202805
1.023,-28.54447,-32.494125,155.51314,-60.29303
1.024,-28.843384,-32.715137,155.21794,-60.597958
1.025,-28.717876,-32.758568,155.19879,-61.172657
1.026,-28.884192,-33.044102,155.17291,-61.837029
1.027,-29.331381,-33.749371,155.01363,-61.44902
1.028,-29.598503,-33.966763,154.9743,-61.792675
1.029,-30.132582,-34.493999,154.53987,-61.546322
1.03,-29.686329,-34.364746,154.34908,-62.400131
1.031,-29.680779,-34.547729,154.15385,-62.600624
1.032,-30.12372,-35.161163,154.24181,-62.860641
1.033,-30.288355,-35.339073,154.25114,-63.567272
1.034,-30.657768,-36.027512,153.65137,-63.440022
1.035,-30.865202,-36.312252,153.64957,-63.524975
1.036,-30.517145,-36.111965,153.99443,-64.328766
1.037,-31.005917,-36.610996,153.1156,-64.115738
1.038,-30.882893,-36.703926,153.90329,-64.928673
1.039,-31.564381,-37.385201,153.23906,-64.538277
1.04,-32.21246,-38.28973,153.03123,-64.83091
1.041,-31.647968,-38.076813,153.46774,-64.962128
1.042,-32.140835,-38.47303,152.77676,-65.049301
1.043,-32.52301,-39.046349,152.34561,-65.710938
1.044,-32.348152,-39.623161,152.84485,-66.197861
1.045,-33.148849,-40.125385,151.94513,-65.81633
1.046,-32.694649,-39.927971,152.74117,-66.563515
1.047,-32.718662,-40.101864,151.84209,-67.026054
1.048,-33.133427,-40.723553,152.42648,-67.135811
1.049,-33.515423,-41.157665,151.58449,-67.299469
1.05,-33.319794,-41.099617,151.86147,-67.471222
1.051,-33.714554,-41.821476,151.72055,-67.982956
1.052,-33.488373,-41.564533,151.16348,-68.707397
1.053,-33.943188,-42.265278,150.80856,-67.831192
1.054,-34.054153,-42.654446,151.02916,-68.468895
1.055,-33.957714,-42.833214,150.89737,-69.423363
1.056,-34.072449,-43.427399,151.73605,-69.012085
1.057,-34.673531,-43.696484,150.1438,-68.683922
1.058,-34.937935,-44.320835,150.94087,-69.177315
1.059,-34.82019,-44.557503,150.46304,-69.421356
1.06,-34.90765,-44.875168,150.31596,-69.657394
1.061,-35.034283,-45.144413,150.34065,-70.501823
1.062,-34.964157,-45.271339,149.85207,-70.295341
1.063,-35.085102,-45.52039,150.011,-71.00943
1.064,-35.352219,-45.965748,149.15721,-70.847008
1.065,-35.605343,-46.181366,149.42517,-71.327728
1.066,-35.276543,-46.404919,149.35777,-71.591736
1.067,-35.444305,-46.687832,149.40805,-72.11161
1.068,-35.683613,-47.034996,148.94173,-72.156746
1.069,-35.837978,-47.496727,148.80463,-71.936707
1.07,-35.593803,-47.921692,148.75288,-72.344543
1.071,-35.901882,-48.011421,148.5768,-72.327103
1.072,-36.298035,-48.547638,148.3918,-72.750244
1.073,-36.498871,-48.932308,148.66779,-73.090607
