Freq,Thru2,Thru,S180,S90
1,-155.50523,-147.51851,144.16089,160.92741
1.001,-155.45065,-147.53516,144.19624,161.03
1.002,-156.05646,-147.91827,143.59468,160.30754
1.003,-155.95197,-147.97752,143.43889,160.35291
1.004,-156.00925,-147.93077,143.43207,160.12451
1.005,-156.2117,-148.37962,143.16505,159.79657
1.006,-156.26945,-148.30928,142.95332,159.81085
1.007,-156.30527,-148.46274,142.81303,159.69777
1.008,-156.54367,-148.51541,142.55156,159.4785
1.009,-156.92844,-148.82634,142.29494,159.11546
1.01,-156.94046,-148.9106,142.04895,159.03204
1.011,-157.05382,-149.10699,141.90602,158.96297
1.012,-157.33334,-149.23964,141.55083,158.39793
1.013,-157.44626,-149.26318,141.50319,158.25679
1.014,-157.52913,-149.37592,141.32167,158.42496
1.015,-157.92657,-149.62682,141.06093,158.19009
1.016,-157.92303,-149.75964,140.88568,158.00407
1.017,-158.02672,-149.99557,140.52728,157.55458
1.018,-158.02963,-149.93448,140.46727,157.41275
1.019,-158.39998,-150.21236,140.05443,157.23407
1.02,-158.39464,-150.36249,139.98553,157.11902
1.021,-158.64769,-150.46541,139.86378,156.88924
1.022,-158.842,-150.55576,139.66196,156.53505
1.023,-158.88322,-150.84424,139.185,156.52972
1.024,-158.92023,-150.92743,139.23152,156.29063
1.025,-159.27417,-151.20096,138.77229,155.95409
1.026,-159.39983,-151.35516,138.58815,155.85843
1.027,-159.76353,-151.56575,138.39818,155.54697
1.028,-159.74889,-151.37015,138.22971,155.36008
1.029,-159.86613,-151.5963,138.07314,155.11415
1.03,-160.30486,-151.88243,137.71101,154.75607
1.031,-160.2168,-152.02975,137.47543,154.7951
1.032,-160.51906,-152.24762,137.22433,154.42264
1.033,-160.50085,-152.35873,137.08849,154.29642
1.034,-160.63655,-152.51782,136.91251,154.18048
1.035,-160.99832,-152.75116,136.6252,153.8609
1.036,-160.96391,-152.71576,136.53471,153.86551
1.037,-161.19208,-153.02454,136.07864,153.51843
1.038,-161.50348,-153.16371,135.95708,153.37874
1.039,-161.5379,-153.32397,135.68956,153.08061
1.04,-161.53218,-153.32095,135.7888,153.06169
1.041,-161.82591,-153.48418,135.56702,152.85384
1.042,-161.86797,-153.51199,135.39821,152.71683
1.043,-162.12944,-153.66524,134.98444,152.53943
1.044,-162.20653,-153.95174,134.77083,152.26617
1.045,-162.45547,-153.98322,134.43927,151.96193
1.046,-162.3994,-154.15622,134.39664,151.92947
1.047,-162.66298,-154.39642,133.91711,151.7364
1.048,-162.90526,-154.67867,133.83099,151.3726
1.049,-162.96385,-154.56607,133.67444,151.21518
1.05,-163.21136,-154.78659,133.65091,151.03169
1.051,-163.24817,-154.89806,133.34053,150.84543
1.052,-163.61041,-155.14796,133.02814,150.67764
1.053,-163.61003,-155.01152,132.735,150.58818
1.054,-163.75034,-155.21509,132.6606,150.30339
1.055,-163.89734,-155.50276,132.40341,150.0896
1.056,-164.10197,-155.70195,132.23378,149.96272
1.057,-164.31456,-155.70227,131.95534,149.71812
1.058,-164.51659,-155.92946,131.86676,149.42735
1.059,-164.55499,-156.14313,131.52411,149.36957
1.06,-164.84988,-156.39737,131.24783,149.08453
1.061,-165.02832,-156.35127,131.11372,148.87993
1.062,-165.28337,-156.65341,130.88147,148.64238
1.063,-165.21654,-156.70204,130.62054,148.37183
1.064,-165.40092,-156.83607,130.35242,148.13737
1.065,-165.65051,-157.11084,130.22989,148.09959
1.066,-165.49911,-157.02872,130.03503,148.03717
1.067,-165.70239,-157.23102,129.79124,147.7657
1.068,-166.00137,-157.4762,129.71385,147.41139
1.069,-166.43005,-157.70284,129.23074,147.11008
1.07,-166.20695,-157.61453,129.2493,147.20917
1.071,-166.61855,-157.92764,128.94214,146.72832
1.072,-166.56171,-158.05844,128.76285,146.68866
1.073,-166.74712,-158.08067,128.61607,146.52199
1.074,-166.94893,-158.2691,128.37811,146.34981
1.075,-167.04507,-158.29346,128.22137,146.04289
1.076,-167.43636,-158.66789,127.97287,145.7778
1.077,-167.33461,-158.75232,127.66883,145.745
1.078,-167.5222,-158.84787,127.53722,145.50536
1.079,-167.74469,-159.10078,127.15384,145.17603
1.08,-167.86101,-159.25964,127.01682,145.01799
1.081,-168.07487,-159.30254,126.75408,144.85143
1.082,-168.29083,-159.58513,126.6733,144.66451
1.083,-168.31537,-159.41045,126.64694,144.57512
1.084,-168.46902,-159.80986,126.26606,144.2711
1.085,-168.68854,-159.85161,125.94492,144.01863
1.086,-169.02287,-160.10468,125.68085,143.84758
1.087,-168.97693,-160.11316,125.63155,143.72322
1.088,-169.18237,-160.44028,125.30733,143.50497
1.089,-169.12425,-160.44954,125.25661,143.45148
1.09,-169.384,-160.58708,124.99078,143.08194
1.091,-169.63098,-160.73994,124.73502,142.87073
1.092,-169.86266,-160.89124,124.3793,142.55702
1.093,-169.90639,-161.06107,124.24294,142.41571
1.094,-169.88765,-161.14708,124.20206,142.42941
1.095,-170.22462,-161.3907,123.97153,142.13754
1.096,-170.49509,-161.5847,123.71287,141.78114
1.097,-170.31038,-161.60138,123.65885,141.8849
1.098,-170.76277,-161.9425,123.12964,141.31865
1.099,-170.90805,-161.95151,123.01444,141.39085
1.1,-170.9476,-162.10374,122.91596,141.15231
1.101,-171.09334,-162.16606,122.58263,140.88416
1.102,-171.31606,-162.3777,122.29148,140.82355
1.103,-171.77303,-162.78557,121.98756,140.15712
1.104,-171.74408,-162.73718,121.94378,140.1544
1.105,-172.04094,-162.96541,121.51695,139.96367
1.106,-171.83772,-162.86839,121.68799,140.10187
1.107,-171.98512,-163.05817,121.47855,139.97685
1.108,-172.35515,-163.35811,120.97659,139.39668
1.109,-172.51387,-163.49646,120.75462,139.29376
1.11,-172.66251,-163.73447,120.69485,139.08325
1.111,-172.93715,-163.99525,120.26415,138.78053
1.112,-172.9064,-163.81772,120.17591,138.56619
1.113,-173.01331,-163.87256,120.01462,138.55144
1.114,-173.46477,-164.22032,119.73451,138.19658
1.115,-173.41632,-164.41425,119.56319,138.04648
1.116,-173.67937,-164.47466,119.39824,137.89478
1.117,-173.69536,-164.57713,119.19218,137.72385
1.118,-173.89268,-164.7859,118.85498,137.40308
1.119,-174.07388,-164.92088,118.76334,137.42209
1.12,-174.33545,-165.20151,118.36995,136.87778
1.121,-174.29898,-165.12599,118.23367,136.72369
1.122,-174.40062,-165.30998,117.99391,136.70853
1.123,-174.79294,-165.31467,117.94939,136.43506
1.124,-174.89645,-165.72528,117.56457,136.39595
1.125,-175.02063,-165.85379,117.53875,136.19994
1.126,-175.18652,-165.88426,117.28191,135.8721
1.127,-175.4317,-166.04039,116.8747,135.72188
1.128,-175.38332,-166.22093,116.83988,135.62186
1.129,-175.65756,-166.27884,116.70512,135.34892
1.13,-175.97664,-166.61121,116.44362,135.13493
1.131,-176.01408,-166.88148,116.07139,134.75801
1.132,-176.11964,-166.77422,115.96117,134.78828
1.133,-176.28084,-166.82675,115.66824,134.554
1.134,-176.42818,-167.12329,115.49088,134.26395
1.135,-176.64096,-167.26628,115.12769,133.96912
1.136,-176.92867,-167.34544,114.97103,133.81903
1.137,-177.18616,-167.64012,114.60723,133.56883
1.138,-177.05324,-167.73434,114.68967,133.46135
1.139,-177.25395,-167.82787,114.38191,133.209
1.14,-177.52975,-168.18443,114.0531,132.92107
1.141,-177.54091,-168.22293,113.90472,132.66077
1.142,-177.80975,-168.47842,113.67275,132.53374
1.143,-177.87709,-168.57426,113.48033,132.47943
1.144,-178.09041,-168.59544,113.29275,132.31723
1.145,-178.15414,-168.83038,112.95322,131.78671
1.146,-178.3799,-168.97908,112.71236,131.73923
1.147,-178.40556,-169.06328,112.82243,131.72235
1.148,-178.47882,-169.15775,112.41104,131.43744
1.149,-178.72659,-169.33437,112.21198,131.19666
1.15,-178.85495,-169.39635,111.97349,131.15926
1.151,-178.83543,-169.45673,111.89708,130.90706
1.152,-179.17448,-169.77618,111.49196,130.64827
1.153,-179.14006,-169.82532,111.48281,130.43341
1.154,-179.17453,-170.0515,111.2101,130.31033
1.155,-179.4126,-170.21956,110.77092,129.91527
1.156,-179.27657,-170.22731,110.75345,129.86473
1.157,-179.44925,-170.64133,110.47157,129.52107
1.158,-179.75362,-170.71164,110.17163,129.48131
1.159,-179.98332,-170.97339,109.80335,129.23761
1.16,-179.89294,-170.89159,109.91833,129.09795
1.161,-179.968,-171.17627,109.56763,128.94418
1.162,-180.25342,-171.29845,109.52734,128.47243
1.163,-180.30586,-171.31587,109.27884,128.37308
1.164,-180.54448,-171.55376,108.86254,128.01558
1.165,-180.65529,-171.64159,108.78361,128.00142
1.166,-180.92856,-171.79031,108.48516,127.8511
1.167,-180.9351,-172.07581,108.34353,127.41505
1.168,-181.12396,-172.19199,108.0359,127.24715
1.169,-181.46082,-172.41563,107.89019,127.0195
1.17,-181.51009,-172.57822,107.62035,126.83358
1.171,-181.70375,-172.50484,107.38014,126.58957
1.172,-181.76071,-172.64796,107.34069,126.55964
1.173,-181.77849,-172.72411,107.29004,126.53721
1.174,-182.01453,-172.93024,106.91471,126.08672
1.175,-182.35104,-173.27594,106.50467,125.79918
1.176,-182.47137,-173.38995,106.27477,125.64865
1.177,-182.54398,-173.25124,106.39153,125.7551
1.178,-182.66898,-173.70145,105.81416,125.21739
1.179,-182.84813,-173.67831,105.78547,125.05328
1.18,-182.99782,-173.87025,105.65854,124.85625
1.181,-183.4451,-174.17288,105.21766,124.57442
1.182,-183.38887,-174.09676,105.17809,124.63135
1.183,-183.716,-174.43361,104.75623,124.17022
1.184,-183.59709,-174.35309,104.85197,124.26288
1.185,-183.67087,-174.51543,104.5864,123.94956
1.186,-184.03406,-174.72774,104.19742,123.60867
1.187,-184.13055,-175.01239,103.8751,123.57792
1.188,-184.37454,-175.09468,103.81694,123.36628
1.189,-184.38155,-175.08179,103.82168,123.22031
1.19,-184.76201,-175.50604,103.23202,122.91249
1.191,-184.79324,-175.51732,103.12686,122.90649
1.192,-185.11082,-175.51776,102.88172,122.78159
1.193,-185.09866,-175.75929,102.73026,122.70446
1.194,-185.45483,-175.871,102.58839,122.58273
1.195,-185.47311,-176.1183,102.50871,122.36374
1.196,-185.4743,-176.14207,102.27385,122.54951
1.197,-185.56238,-176.01779,102.04785,122.2713
1.198,-185.86179,-176.58977,101.74044,122.08586
1.199,-185.96268,-176.60913,101.63177,121.99166
1.2,-186.15985,-176.8136,101.20028,121.8787
1.201,-186.37135,-176.87955,100.99015,121.69759
1.202,-186.5961,-177.18922,100.73524,121.3713
1.203,-186.77666,-177.35175,100.47353,121.39893
1.204,-186.93143,-177.37749,100.30579,121.25198
1.205,-187.09381,-177.63879,100.1887,120.857
1.206,-187.22447,-177.79536,99.910164,120.64265
1.207,-187.46948,-177.97398,99.564545,120.52305
1.208,-187.62187,-178.09167,99.507561,120.22124
1.209,-187.80983,-178.26465,99.266335,120.05128
1.21,-187.83003,-178.23798,99.035721,119.95652
1.211,-188.08293,-178.50793,98.67662,119.70994
1.212,-188.34602,-178.7458,98.776237,119.54588
1.213,-188.3528,-178.7309,98.513329,119.42154
1.214,-188.52188,-178.79482,98.177307,119.19274
1.215,-188.61992,-179.01474,97.996277,118.9069
1.216,-189.00826,-179.19588,97.741829,118.77553
1.217,-188.94586,-179.25957,97.552437,118.63308
1.218,-189.32738,-179.53566,97.422676,118.2716
